Element 1: (2, (6, 6), ['.', '.', 'G', '%'], [(14, 6), (6, 7), (16, 6)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'South', (6, 5))
Element 2: (2, (6, 5), ['.', '.', 'G', '.'], [(15, 6), (6, 6), (17, 6)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'East', (7, 5))
Element 3: (2, (7, 5), ['', '.', '%', '%'], [(15, 7), (5, 6), (18, 6)], [False, False, True, True], 94, False, [False, True, False, False], 87, 'South', (7, 4))
Element 4: (2, (7, 4), ['.', '.', '', '.'], [(16, 7), (5, 5), (18, 5)], [False, False, False, False], 92, False, [True, True, False, True], 126, 'East', (8, 4))
Element 5: (2, (8, 4), ['', '%', '%', '.'], [(16, 8), (5, 4), (18, 4)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (9, 4))
Element 6: (2, (9, 4), ['', '%', '.', '.'], [(17, 8), (6, 4), (17, 4)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (10, 4))
Element 7: (2, (10, 4), ['', '.', '.', '%'], [(18, 8), (6, 3), (17, 5)], [False, False, False, True], 86, False, [False, True, True, False], 243, 'North', (10, 5))
Element 8: (2, (10, 5), ['.', '', '.', '%'], [(18, 9), (7, 3), (17, 4)], [False, False, False, True], 84, False, [True, False, True, False], 272, 'North', (10, 6))
Element 9: (2, (10, 6), ['.', '', 'F', '%'], [(18, 10), (7, 2), (17, 3)], [False, False, False, True], 82, False, [True, False, False, False], 311, 'North', (10, 7))
Element 10: (2, (10, 7), ['F', '', '.', '%'], [(18, 11), (8, 2), (16, 3)], [False, False, False, True], 80, False, [False, False, True, False], 1340, 'West', (9, 7))
Element 11: (2, (9, 7), ['%', '.', '.', ''], [(17, 11), (9, 2), (16, 4)], [True, False, False, False], 78, False, [False, True, True, False], 2369, 'North', (9, 8))
Element 12: (2, (9, 8), ['.', '', '.', '.'], [(17, 10), (9, 1), (15, 4)], [False, False, False, False], 76, False, [True, False, True, True], 3398, 'East', (10, 8))
Element 13: (2, (10, 8), ['', '', '%', '.'], [(17, 9), (10, 1), (15, 5)], [False, False, True, False], 74, False, [False, False, False, True], 3437, 'East', (11, 8))
Element 14: (2, (11, 8), ['', '%', '.', '%'], [(16, 9), (11, 1), (14, 5)], [False, True, False, True], 72, False, [False, False, True, False], 3476, 'North', (11, 9))
Element 15: (2, (11, 9), ['%', '', '.', '.'], [(16, 10), (12, 1), (13, 5)], [True, False, False, False], 70, False, [False, False, True, True], 3515, 'East', (12, 9))
Element 16: (2, (12, 9), ['', '%', '.', '.'], [(16, 11), (13, 1), (12, 5)], [False, True, False, False], 68, False, [False, False, True, True], 3554, 'East', (13, 9))
Element 17: (2, (13, 9), ['', '.', '.', '%'], [(16, 12), (14, 1), (12, 6)], [False, False, False, True], 66, False, [False, True, True, False], 3593, 'North', (13, 10))
Element 18: (2, (13, 10), ['.', '', '.', '.'], [(16, 13), (14, 2), (12, 7)], [False, False, False, False], 64, False, [True, False, True, True], 3632, 'East', (14, 10))
Element 19: (2, (14, 10), ['', '%', '.', '.'], [(17, 13), (15, 2), (13, 7)], [False, True, False, False], 62, False, [False, False, True, True], 3671, 'East', (15, 10))
Element 20: (2, (15, 10), ['', '.', '.', ''], [(18, 13), (16, 2), (14, 7)], [False, False, False, False], 60, False, [False, True, True, False], 3710, 'North', (15, 11))
Element 21: (2, (15, 11), ['.', '', '.', ''], [(17, 13), (16, 3), (14, 8)], [False, False, False, False], 58, False, [True, False, True, False], 3729, 'North', (15, 12))
Element 22: (2, (15, 12), ['.', '', '%', ''], [(16, 13), (17, 3), (15, 8)], [False, False, True, False], 56, False, [True, False, False, False], 3748, 'West', (14, 12))
Element 23: (2, (14, 12), ['.', '.', '%', ''], [(16, 12), (17, 4), (15, 9)], [False, False, True, False], 54, False, [True, True, False, False], 3767, 'South', (14, 11))
Element 24: (2, (14, 11), ['.', '', '', ''], [(15, 12), (18, 4), (16, 9)], [False, False, False, False], 52, False, [True, False, False, False], 3776, 'West', (13, 11))
Element 25: (2, (13, 11), ['.', '', '.', ''], [(15, 11), (18, 5), (17, 9)], [False, False, False, False], 50, False, [True, False, True, False], 3785, 'North', (13, 12))
Element 26: (2, (13, 12), ['.', '', '%', ''], [(15, 10), (18, 6), (18, 9)], [False, False, True, False], 48, False, [True, False, False, False], 3794, 'West', (12, 12))
