Element 1: (2, (15, 7), ['', '.', 'G', '.'], [(10, 7), (14, 8), (15, 8)], [False, False, False, False], 98, False, [False, True, False, True], 1009, 'East', (16, 7))
Element 2: (2, (16, 7), ['', '.', 'G', '%'], [(9, 7), (13, 8), (16, 8)], [False, False, False, True], 96, False, [False, True, False, False], 2038, 'South', (16, 6))
Element 3: (2, (16, 6), ['.', '%', '', '.'], [(9, 8), (13, 9), (17, 8)], [False, True, False, False], 94, False, [True, False, False, True], 2077, 'East', (17, 6))
Element 4: (2, (17, 6), ['', '.', '%', '.'], [(10, 8), (13, 10), (18, 8)], [False, False, True, False], 92, False, [False, True, False, True], 2116, 'East', (18, 6))
Element 5: (2, (18, 6), ['', '.', '%', '%'], [(11, 8), (14, 10), (18, 9)], [False, False, True, True], 90, False, [False, True, False, False], 2155, 'South', (18, 5))
Element 6: (2, (18, 5), ['.', '.', '', '%'], [(11, 9), (15, 10), (18, 10)], [False, False, False, True], 88, False, [True, True, False, False], 2194, 'South', (18, 4))
Element 7: (2, (18, 4), ['.', '%', '', '%'], [(12, 9), (16, 10), (18, 11)], [False, True, False, True], 86, False, [True, False, False, False], 2233, 'West', (17, 4))
Element 8: (2, (17, 4), ['.', '.', '.', ''], [(12, 10), (17, 10), (17, 11)], [False, False, False, False], 84, False, [True, True, True, False], 2272, 'North', (17, 5))
Element 9: (2, (17, 5), ['%', '', '', ''], [(12, 11), (17, 9), (16, 11)], [True, False, False, False], 82, False, [False, False, False, False], 2311, 'South', (17, 4))
Element 10: (2, (17, 4), ['.', '.', '', ''], [(13, 11), (16, 9), (16, 12)], [False, False, False, False], 80, False, [True, True, False, False], 2340, 'South', (17, 3))
Element 11: (2, (17, 3), ['.', '%', '', '%'], [(14, 11), (15, 9), (16, 13)], [False, True, False, True], 78, False, [True, False, False, False], 2379, 'West', (16, 3))
Element 12: (2, (16, 3), ['%', '.', '.', ''], [(15, 11), (15, 8), (17, 13)], [True, False, False, False], 76, False, [False, True, True, False], 2408, 'North', (16, 4))
Element 13: (2, (16, 4), ['.', '', '%', ''], [(15, 12), (16, 8), (18, 13)], [False, False, True, False], 74, False, [True, False, False, False], 2437, 'West', (15, 4))
Element 14: (2, (15, 4), ['%', '%', '.', ''], [(14, 12), (17, 8), (17, 13)], [True, True, False, False], 72, False, [False, False, True, False], 2456, 'North', (15, 5))
Element 15: (2, (15, 5), ['.', '', '.', '%'], [(13, 12), (18, 8), (16, 13)], [False, False, False, True], 70, False, [True, False, True, False], 2475, 'North', (15, 6))
Element 16: (2, (15, 6), ['.', '', '', ''], [(12, 12), (18, 9), (16, 12)], [False, False, False, False], 68, False, [True, False, False, False], 2494, 'West', (14, 6))
Element 17: (2, (14, 6), ['.', '.', '', ''], [(12, 13), (18, 10), (15, 12)], [False, False, False, False], 66, False, [True, True, False, False], 3503, 'South', (14, 5))
Element 18: (2, (14, 5), ['.', '%', '', ''], [(11, 13), (18, 11), (15, 11)], [False, True, False, False], 64, False, [True, False, False, False], 3522, 'West', (13, 5))
Element 19: (2, (13, 5), ['.', '%', '.', ''], [(10, 13), (17, 11), (15, 10)], [False, True, False, False], 62, False, [True, False, True, False], 3541, 'North', (13, 6))
Element 20: (2, (13, 6), ['.', '', '.', ''], [(10, 12), (16, 11), (16, 10)], [False, False, False, False], 60, False, [True, False, True, False], 3560, 'North', (13, 7))
Element 21: (2, (13, 7), ['.', '', '', ''], [(10, 11), (16, 12), (17, 10)], [False, False, False, False], 58, False, [True, False, False, False], 3579, 'West', (12, 7))
Element 22: (2, (12, 7), ['%', '.', '%', ''], [(11, 11), (16, 13), (17, 9)], [True, False, True, False], 56, False, [False, True, False, False], 3598, 'South', (12, 6))
Element 23: (2, (12, 6), ['%', '.', '', ''], [(11, 10), (17, 13), (16, 9)], [True, False, False, False], 54, False, [False, True, False, False], 3617, 'South', (12, 5))
Element 24: (2, (12, 5), ['%', '%', '', ''], [(10, 10), (18, 13), (15, 9)], [True, True, False, False], 52, False, [False, False, False, False], 3636, 'North', (12, 6))
Element 25: (2, (12, 6), ['%', '', '', ''], [(9, 10), (17, 13), (16, 9)], [True, False, False, False], 50, False, [False, False, False, False], 3645, 'North', (12, 7))
Element 26: (2, (12, 7), ['%', '', '%', ''], [(9, 11), (16, 13), (17, 9)], [True, False, True, False], 48, False, [False, False, False, False], 3654, 'East', (13, 7))
Element 27: (2, (13, 7), ['', '', '', ''], [(9, 12), (16, 12), (17, 10)], [False, False, False, False], 46, False, [False, False, False, False], 3663, 'East', (14, 7))
Element 28: (2, (14, 7), ['', '', '', ''], [(9, 11), (15, 12), (16, 10)], [False, False, False, False], 44, False, [False, False, False, False], 3662, 'North', (14, 8))
Element 29: (2, (14, 8), ['', '', '%', ''], [(8, 11), (15, 11), (16, 9)], [False, False, True, False], 42, False, [False, False, False, False], 3671, 'East', (15, 8))
Element 30: (2, (15, 8), ['', '', '', ''], [(7, 11), (14, 11), (16, 10)], [False, False, False, False], 40, False, [False, False, False, False], 4670, 'East', (16, 8))
Element 31: (2, (16, 8), ['', '', '', ''], [(7, 10), (14, 12), (15, 10)], [False, False, False, False], 38, False, [False, False, False, False], 4679, 'East', (17, 8))
Element 32: (2, (17, 8), ['', '%', '', ''], [(7, 9), (13, 12), (15, 9)], [False, True, False, False], 36, False, [False, False, False, False], 5678, 'East', (18, 8))
Element 33: (2, (18, 8), ['', '%', '', '%'], [(6, 9), (13, 11), (15, 10)], [False, True, False, True], 34, False, [False, False, False, False], 6677, 'North', (18, 9))
Element 34: (2, (18, 9), ['', '', '', '%'], [(6, 10), (12, 11), (14, 10)], [False, False, False, True], 32, False, [False, False, False, False], 6686, 'North', (18, 10))
Element 35: (2, (18, 10), ['', '', '', '%'], [(6, 11), (12, 12), (14, 11)], [False, False, False, True], 30, False, [False, False, False, False], 6695, 'North', (18, 11))
Element 36: (2, (18, 11), ['', '', '%', '%'], [(5, 11), (12, 13), (14, 12)], [False, False, True, True], 28, False, [False, False, False, False], 6704, 'West', (17, 11))
Element 37: (2, (17, 11), ['', '', '%', ''], [(5, 10), (11, 13), (13, 12)], [False, False, True, False], 26, False, [False, False, False, False], 6713, 'South', (17, 10))
Element 38: (2, (17, 10), ['', '', '', ''], [(5, 9), (10, 13), (13, 11)], [False, False, False, False], 24, False, [False, False, False, False], 6722, 'South', (17, 9))
Element 39: (2, (17, 9), ['', '', '', ''], [(4, 9), (10, 12), (13, 10)], [False, False, False, False], 22, False, [False, False, False, False], 6731, 'West', (16, 9))
Element 40: (2, (16, 9), ['', '', '', ''], [(4, 10), (10, 11), (13, 9)], [False, False, False, False], 20, False, [False, False, False, False], 6740, 'North', (16, 10))
Element 41: (2, (16, 10), ['', '', '', ''], [(3, 10), (11, 11), (13, 8)], [False, False, False, False], 18, False, [False, False, False, False], 6749, 'North', (16, 11))
Element 42: (2, (16, 11), ['', '', '', ''], [(3, 11), (11, 10), (14, 8)], [False, False, False, False], 16, False, [False, False, False, False], 6758, 'North', (16, 12))
Element 43: (2, (16, 12), ['', '', '', '%'], [(3, 12), (12, 10), (14, 7)], [False, False, False, True], 14, False, [False, False, False, False], 6767, 'North', (16, 13))
Element 44: (2, (16, 13), ['%', '', '%', ''], [(3, 13), (12, 9), (15, 7)], [True, False, True, False], 12, False, [False, False, False, False], 6776, 'East', (17, 13))
Element 45: (2, (17, 13), ['', '%', '%', ''], [(4, 13), (11, 9), (16, 7)], [False, True, True, False], 10, False, [False, False, False, False], 7775, 'East', (18, 13))
Element 46: (2, (18, 13), ['', '%', '%', '%'], [(5, 13), (11, 8), (16, 6)], [False, True, True, True], 8, False, [False, False, False, False], 8774, 'West', (17, 13))
Element 47: (2, (17, 13), ['', '%', '%', ''], [(6, 13), (10, 8), (17, 6)], [False, True, True, False], 6, False, [False, False, False, False], 8783, 'West', (16, 13))
Element 48: (2, (16, 13), ['%', '', '%', ''], [(7, 13), (10, 7), (18, 6)], [True, False, True, False], 4, False, [False, False, False, False], 8792, 'South', (16, 12))
Element 49: (2, (16, 12), ['', '', '', '%'], [(6, 13), (10, 6), (18, 5)], [False, False, False, True], 2, False, [False, False, False, False], 8791, 'West', (15, 12))
Element 50: (2, (15, 12), ['', '', '%', ''], [(6, 13), (10, 6), (18, 4)], [False, False, True, False], 0, False, [False, False, False, False], 8790, 'Stop', (15, 12))
Element 51: #0#
