Element 1: (2, (13, 5), ['.', '%', '.', 'G'], [(15, 6), (6, 13), (14, 5)], [False, True, False, False], 98, False, [True, False, True, False], 19, 'North', (13, 6))
Element 2: (2, (13, 6), ['.', '', '.', ''], [(16, 6), (5, 13), (15, 5)], [False, False, False, False], 96, False, [True, False, True, False], 1048, 'North', (13, 7))
Element 3: (2, (13, 7), ['.', '', '.', '.'], [(17, 6), (4, 13), (15, 4)], [False, False, False, False], 94, False, [True, False, True, True], 2077, 'East', (14, 7))
Element 4: (2, (14, 7), ['', '', '.', '.'], [(18, 6), (3, 13), (16, 4)], [False, False, False, False], 92, False, [False, False, True, True], 2116, 'East', (15, 7))
Element 5: (2, (15, 7), ['', '', '.', '.'], [(18, 5), (3, 12), (17, 4)], [False, False, False, False], 90, False, [False, False, True, True], 2155, 'East', (16, 7))
Element 6: (2, (16, 7), ['', '', '.', '%'], [(17, 5), (3, 11), (18, 4)], [False, False, False, True], 88, False, [False, False, True, False], 2194, 'North', (16, 8))
Element 7: (2, (16, 8), ['.', '', '.', '.'], [(17, 4), (3, 10), (18, 5)], [False, False, False, False], 86, False, [True, False, True, True], 2213, 'East', (17, 8))
Element 8: (2, (17, 8), ['', '%', '.', '.'], [(17, 3), (4, 10), (18, 6)], [False, True, False, False], 84, False, [False, False, True, True], 2242, 'East', (18, 8))
Element 9: (2, (18, 8), ['', '%', '.', '%'], [(16, 3), (5, 10), (17, 6)], [False, True, False, True], 82, False, [False, False, True, False], 2271, 'North', (18, 9))
Element 10: (2, (18, 9), ['.', '', '.', '%'], [(16, 2), (6, 10), (17, 5)], [False, False, False, True], 80, False, [True, False, True, False], 2300, 'North', (18, 10))
Element 11: (2, (18, 10), ['.', '', '.', '%'], [(15, 2), (6, 9), (17, 6)], [False, False, False, True], 78, False, [True, False, True, False], 3319, 'North', (18, 11))
Element 12: (2, (18, 11), ['.', '', '%', '%'], [(14, 2), (7, 9), (16, 6)], [False, False, True, True], 76, False, [True, False, False, False], 4338, 'West', (17, 11))
Element 13: (2, (17, 11), ['.', '.', '%', ''], [(14, 3), (8, 9), (16, 7)], [False, False, True, False], 74, False, [True, True, False, False], 4367, 'South', (17, 10))
Element 14: (2, (17, 10), ['.', '.', '', ''], [(13, 3), (9, 9), (16, 8)], [False, False, False, False], 72, False, [True, True, False, False], 4396, 'South', (17, 9))
Element 15: (2, (17, 9), ['G', '', '', ''], [(12, 3), (9, 10), (16, 9)], [False, False, False, False], 70, False, [False, False, False, False], 4435, 'North', (17, 10))
Element 16: (2, (17, 10), ['G', '', '', ''], [(12, 2), (10, 10), (16, 10)], [False, False, False, False], 68, False, [False, False, False, False], 4464, 'South', (17, 9))
Element 17: (2, (17, 9), ['', '', '', ''], [(12, 1), (11, 10), (16, 11)], [False, False, False, False], 66, False, [False, False, False, False], 4493, 'North', (17, 10))
Element 18: (2, (17, 10), ['', '', '', ''], [(13, 1), (12, 10), (16, 12)], [False, False, False, False], 64, False, [False, False, False, False], 4522, 'North', (17, 11))
Element 19: (2, (17, 11), ['', '', '%', ''], [(14, 1), (13, 10), (16, 13)], [False, False, True, False], 62, False, [False, False, False, False], 4551, 'West', (16, 11))
