Element 1: (1, (1, 10), ['%', '%', '.', '.'], [(6, 9), (10, 1), (11, 1)], [True, True, False, False], 98, False, [False, False, True, True], 999, 'East', (2, 10))
Element 2: (1, (2, 10), ['', '%', '.', '.'], [(7, 9), (9, 1), (12, 1)], [False, True, False, False], 96, False, [False, False, True, True], 3018, 'East', (3, 10))
Element 3: (1, (3, 10), ['', '%', '.', '.'], [(8, 9), (9, 2), (13, 1)], [False, True, False, False], 94, False, [False, False, True, True], 3057, 'East', (4, 10))
Element 4: (1, (4, 10), ['', '.', '%', '.'], [(9, 9), (10, 2), (14, 1)], [False, False, True, False], 92, False, [False, True, False, True], 3096, 'East', (5, 10))
Element 5: (1, (5, 10), ['', '', '.', '.'], [(9, 10), (11, 2), (14, 2)], [False, False, False, False], 90, False, [False, False, True, True], 3135, 'East', (6, 10))
Element 6: (1, (6, 10), ['', '', '.', '.'], [(10, 10), (12, 2), (15, 2)], [False, False, False, False], 88, False, [False, False, True, True], 3174, 'East', (7, 10))
Element 7: (1, (7, 10), ['', '', 'F', '.'], [(11, 10), (12, 3), (16, 2)], [False, False, False, False], 86, False, [False, False, False, True], 3213, 'North', (7, 11))
Element 8: (1, (7, 11), ['.', '', '%', '.'], [(12, 10), (13, 3), (16, 3)], [False, False, True, False], 84, False, [True, False, False, True], 4242, 'East', (8, 11))
Element 9: (1, (8, 11), ['', '.', '%', '.'], [(13, 10), (14, 3), (17, 3)], [False, False, True, False], 82, False, [False, True, False, True], 4281, 'East', (9, 11))
Element 10: (1, (9, 11), ['', '', '.', '.'], [(14, 10), (14, 2), (17, 4)], [False, False, False, False], 80, False, [False, False, True, True], 4310, 'East', (10, 11))
Element 11: (1, (10, 11), ['', '', '.', '.'], [(15, 10), (15, 2), (18, 4)], [False, False, False, False], 78, False, [False, False, True, True], 4339, 'East', (11, 11))
Element 12: (1, (11, 11), ['', '', '%', '.'], [(16, 10), (16, 2), (18, 5)], [False, False, True, False], 76, False, [False, False, False, True], 4368, 'East', (12, 11))
Element 13: (1, (12, 11), ['', '', '.', '.'], [(17, 10), (16, 3), (18, 6)], [False, False, False, False], 74, False, [False, False, True, True], 4397, 'East', (13, 11))
Element 14: (1, (13, 11), ['', '', '.', '.'], [(18, 10), (16, 4), (17, 6)], [False, False, False, False], 72, False, [False, False, True, True], 4436, 'East', (14, 11))
Element 15: (1, (14, 11), ['', '', '.', '.'], [(18, 11), (15, 4), (17, 5)], [False, False, False, False], 70, False, [False, False, True, True], 4475, 'East', (15, 11))
Element 16: (1, (15, 11), ['', '', '.', '.'], [(17, 11), (15, 5), (17, 6)], [False, False, False, False], 68, False, [False, False, True, True], 4504, 'East', (16, 11))
Element 17: (1, (16, 11), ['', '', '.', ''], [(18, 11), (15, 6), (16, 6)], [False, False, False, False], 66, False, [False, False, True, False], 4533, 'North', (16, 12))
Element 18: (1, (16, 12), ['.', '', '.', '%'], [(18, 10), (15, 7), (16, 7)], [False, False, False, True], 64, False, [True, False, True, False], 4562, 'North', (16, 13))
Element 19: (1, (16, 13), ['%', '', '%', '.'], [(18, 9), (15, 8), (16, 8)], [True, False, True, False], 62, False, [False, False, False, True], 4601, 'East', (17, 13))
Element 20: (1, (17, 13), ['', '%', '%', '.'], [(18, 8), (15, 9), (17, 8)], [False, True, True, False], 60, False, [False, False, False, True], 4640, 'East', (18, 13))
Element 21: (1, (18, 13), ['', '%', '%', '%'], [(17, 8), (16, 9), (17, 9)], [False, True, True, True], 58, False, [False, False, False, False], 4669, 'West', (17, 13))
Element 22: (1, (17, 13), ['', '%', '%', ''], [(17, 9), (16, 10), (18, 9)], [False, True, True, False], 56, False, [False, False, False, False], 4668, 'West', (16, 13))
Element 23: (1, (16, 13), ['%', '', '%', ''], [(16, 9), (17, 10), (18, 10)], [True, False, True, False], 54, False, [False, False, False, False], 4667, 'South', (16, 12))
Element 24: (1, (16, 12), ['.', '', '', '%'], [(16, 8), (17, 11), (18, 11)], [False, False, False, True], 52, False, [True, False, False, False], 4666, 'West', (15, 12))
Element 25: (1, (15, 12), ['.', '', '%', ''], [(16, 7), (16, 11), (17, 11)], [False, False, True, False], 50, False, [True, False, False, False], 4675, 'West', (14, 12))
Element 26: (1, (14, 12), ['.', '', '%', ''], [(16, 6), (16, 12), (17, 10)], [False, False, True, False], 48, False, [True, False, False, False], 4684, 'West', (13, 12))
Element 27: (1, (13, 12), ['.', '', '%', ''], [(17, 6), (16, 13), (16, 10)], [False, False, True, False], 46, False, [True, False, False, False], 4693, 'West', (12, 12))
Element 28: (1, (12, 12), ['%', '', 'F', ''], [(18, 6), (17, 13), (16, 11)], [True, False, False, False], 44, False, [False, False, False, False], 4702, 'North', (12, 13))
Element 29: (1, (12, 13), ['.', '', '%', '%'], [(18, 5), (18, 13), (16, 12)], [False, False, True, True], 42, False, [True, False, False, False], 5701, 'West', (11, 13))
Element 30: (1, (11, 13), ['.', '%', '%', ''], [(18, 4), (17, 13), (16, 13)], [False, True, True, False], 40, False, [True, False, False, False], 5710, 'West', (10, 13))
Element 31: (1, (10, 13), ['%', '.', '%', ''], [(17, 4), (18, 13), (17, 13)], [True, False, True, False], 38, False, [False, True, False, False], 5719, 'South', (10, 12))
Element 32: (1, (10, 12), ['.', '', '', '%'], [(17, 5), (18, 13), (16, 13)], [False, False, False, True], 36, False, [True, False, False, False], 5728, 'West', (9, 12))
Element 33: (1, (9, 12), ['%', '', '%', ''], [(17, 4), (18, 13), (16, 12)], [True, False, True, False], 34, False, [False, False, False, False], 5737, 'East', (10, 12))
Element 34: (1, (10, 12), ['', '', '', '%'], [(17, 3), (17, 13), (15, 12)], [False, False, False, True], 32, False, [False, False, False, False], 5736, 'North', (10, 13))
Element 35: (1, (10, 13), ['%', '', '%', ''], [(16, 3), (17, 13), (15, 11)], [True, False, True, False], 30, False, [False, False, False, False], 5735, 'East', (11, 13))
Element 36: (1, (11, 13), ['', '%', '%', ''], [(16, 4), (16, 13), (15, 10)], [False, True, True, False], 28, False, [False, False, False, False], 5734, 'East', (12, 13))
Element 37: (1, (12, 13), ['', '', '%', '%'], [(15, 4), (16, 12), (15, 9)], [False, False, True, True], 26, False, [False, False, False, False], 5733, 'South', (12, 12))
Element 38: (1, (12, 12), ['%', '', '', ''], [(15, 5), (16, 11), (16, 9)], [True, False, False, False], 24, False, [False, False, False, False], 5732, 'East', (13, 12))
Element 39: (1, (13, 12), ['', '', '%', ''], [(14, 5), (16, 10), (15, 9)], [False, False, True, False], 22, False, [False, False, False, False], 5741, 'East', (14, 12))
Element 40: (1, (14, 12), ['', '', '%', ''], [(14, 6), (16, 9), (15, 8)], [False, False, True, False], 20, False, [False, False, False, False], 5750, 'East', (15, 12))
Element 41: (1, (15, 12), ['', '', '%', ''], [(14, 7), (16, 10), (14, 8)], [False, False, True, False], 18, False, [False, False, False, False], 5769, 'East', (16, 12))
Element 42: (1, (16, 12), ['', '', '', '%'], [(13, 7), (16, 10), (13, 8)], [False, False, False, True], 16, False, [False, False, False, False], 5788, 'South', (16, 11))
Element 43: (1, (16, 11), ['', '', '', ''], [(13, 6), (15, 10), (13, 9)], [False, False, False, False], 14, False, [False, False, False, False], 5807, 'East', (17, 11))
Element 44: (1, (17, 11), ['', '', '%', ''], [(13, 5), (15, 11), (12, 9)], [False, False, True, False], 12, False, [False, False, False, False], 5826, 'East', (18, 11))
Element 45: (1, (18, 11), ['', '', '%', '%'], [(12, 5), (15, 12), (11, 9)], [False, False, True, True], 10, False, [False, False, False, False], 5845, 'South', (18, 10))
Element 46: (1, (18, 10), ['', '', '', '%'], [(12, 6), (14, 12), (11, 8)], [False, False, False, True], 8, False, [False, False, False, False], 5864, 'South', (18, 9))
Element 47: (1, (18, 9), ['', '', '', '%'], [(12, 7), (14, 11), (10, 8)], [False, False, False, True], 6, False, [False, False, False, False], 5883, 'South', (18, 8))
Element 48: (1, (18, 8), ['', '%', '', '%'], [(12, 6), (14, 10), (10, 7)], [False, True, False, True], 4, False, [False, False, False, False], 6882, 'West', (17, 8))
Element 49: (1, (17, 8), ['', '%', '', ''], [(12, 5), (13, 10), (9, 7)], [False, True, False, False], 2, False, [False, False, False, False], 7881, 'North', (17, 9))
Element 50: (1, (17, 9), ['', '', '', ''], [(12, 5), (13, 11), (9, 8)], [False, False, False, False], 0, False, [False, False, False, False], 7890, 'Stop', (17, 9))
Element 51: #0#
