Element 1: (2, (3, 7), ['.', '', 'F', '%'], [(17, 11), (4, 6), (14, 7)], [False, False, False, True], 98, False, [True, False, False, False], 19, 'North', (3, 8))
Element 2: (2, (3, 8), ['%', '', '%', '%'], [(18, 11), (5, 6), (15, 7)], [True, False, True, True], 96, False, [False, False, False, False], 1048, 'South', (3, 7))
Element 3: (2, (3, 7), ['.', '', '', '%'], [(18, 10), (6, 6), (16, 7)], [False, False, False, True], 94, False, [True, False, False, False], 1077, 'West', (2, 7))
Element 4: (2, (2, 7), ['.', '.', '%', ''], [(18, 9), (6, 7), (16, 8)], [False, False, True, False], 92, False, [True, True, False, False], 1116, 'South', (2, 6))
Element 5: (2, (2, 6), ['.', '%', '', ''], [(18, 8), (5, 7), (17, 8)], [False, True, False, False], 90, False, [True, False, False, False], 1155, 'West', (1, 6))
Element 6: (2, (1, 6), ['%', '%', '.', ''], [(17, 8), (6, 7), (17, 9)], [True, True, False, False], 88, False, [False, False, True, False], 1174, 'North', (1, 7))
Element 7: (2, (1, 7), ['%', '', '%', ''], [(17, 9), (6, 6), (17, 10)], [True, False, True, False], 86, False, [False, False, False, False], 1193, 'South', (1, 6))
Element 8: (2, (1, 6), ['%', '%', '', ''], [(16, 9), (6, 5), (16, 10)], [True, True, False, False], 84, False, [False, False, False, False], 1222, 'East', (2, 6))
Element 9: (2, (2, 6), ['', '%', '', ''], [(15, 9), (7, 5), (15, 10)], [False, True, False, False], 82, False, [False, False, False, False], 1251, 'East', (3, 6))
Element 10: (2, (3, 6), ['', '%', '', ''], [(15, 8), (7, 4), (15, 11)], [False, True, False, False], 80, False, [False, False, False, False], 1280, 'East', (4, 6))
Element 11: (2, (4, 6), ['', '.', '%', ''], [(14, 8), (8, 4), (15, 12)], [False, False, True, False], 78, False, [False, True, False, False], 1309, 'South', (4, 5))
Element 12: (2, (4, 5), ['%', '.', '', '.'], [(13, 8), (9, 4), (16, 12)], [True, False, False, False], 76, False, [False, True, False, True], 1348, 'East', (5, 5))
Element 13: (2, (5, 5), ['', '.', '', ''], [(13, 9), (10, 4), (16, 13)], [False, False, False, False], 74, False, [False, True, False, False], 1387, 'South', (5, 4))
Element 14: (2, (5, 4), ['.', '.', '', '.'], [(13, 10), (10, 5), (17, 13)], [False, False, False, False], 72, False, [True, True, False, True], 1426, 'East', (6, 4))
Element 15: (2, (6, 4), ['', '.', '', ''], [(14, 10), (10, 6), (18, 13)], [False, False, False, False], 70, False, [False, True, False, False], 1465, 'South', (6, 3))
Element 16: (2, (6, 3), ['.', '.', '', '.'], [(14, 11), (10, 7), (17, 13)], [False, False, False, False], 68, False, [True, True, False, True], 2484, 'East', (7, 3))
Element 17: (2, (7, 3), ['', '.', '', '%'], [(14, 12), (9, 7), (16, 13)], [False, False, False, True], 66, False, [False, True, False, False], 3503, 'South', (7, 2))
Element 18: (2, (7, 2), ['.', '%', '', '.'], [(13, 12), (9, 8), (16, 12)], [False, True, False, False], 64, False, [True, False, False, True], 3532, 'East', (8, 2))
Element 19: (2, (8, 2), ['', '%', '%', '.'], [(13, 11), (10, 8), (16, 11)], [False, True, True, False], 62, False, [False, False, False, True], 3561, 'East', (9, 2))
Element 20: (2, (9, 2), ['', 'F', '%', '.'], [(12, 11), (11, 8), (17, 11)], [False, False, True, False], 60, False, [False, False, False, True], 3590, 'South', (9, 1))
Element 21: (2, (9, 1), ['%', '%', '', '.'], [(12, 12), (11, 9), (18, 11)], [True, True, False, False], 58, False, [False, False, False, True], 4609, 'East', (10, 1))
Element 22: (2, (10, 1), ['', '%', '.', '.'], [(12, 13), (12, 9), (18, 10)], [False, True, False, False], 56, False, [False, False, True, True], 5628, 'East', (11, 1))
Element 23: (2, (11, 1), ['', '%', '.', '.'], [(11, 13), (12, 10), (18, 9)], [False, True, False, False], 54, False, [False, False, True, True], 5657, 'East', (12, 1))
Element 24: (2, (12, 1), ['', '%', '.', '.'], [(10, 13), (11, 10), (18, 8)], [False, True, False, False], 52, False, [False, False, True, True], 5686, 'East', (13, 1))
Element 25: (2, (13, 1), ['', '%', '%', '.'], [(10, 12), (11, 11), (18, 9)], [False, True, True, False], 50, False, [False, False, False, True], 5715, 'East', (14, 1))
Element 26: (2, (14, 1), ['', '%', '.', '%'], [(10, 11), (12, 11), (18, 10)], [False, True, False, True], 48, False, [False, False, True, False], 5734, 'North', (14, 2))
Element 27: (2, (14, 2), ['%', '', '.', '.'], [(10, 10), (13, 11), (18, 11)], [True, False, False, False], 46, False, [False, False, True, True], 5753, 'East', (15, 2))
Element 28: (2, (15, 2), ['', '%', '%', '.'], [(9, 10), (14, 11), (17, 11)], [False, True, True, False], 44, False, [False, False, False, True], 5772, 'East', (16, 2))
Element 29: (2, (16, 2), ['', '%', '.', '%'], [(9, 11), (15, 11), (16, 11)], [False, True, False, True], 42, False, [False, False, True, False], 5791, 'North', (16, 3))
Element 30: (2, (16, 3), ['%', '', '.', '.'], [(9, 12), (16, 11), (16, 12)], [True, False, False, False], 40, False, [False, False, True, True], 5810, 'East', (17, 3))
Element 31: (2, (17, 3), ['', '%', '.', '%'], [(9, 11), (17, 11), (15, 12)], [False, True, False, True], 38, False, [False, False, True, False], 5819, 'North', (17, 4))
Element 32: (2, (17, 4), ['.', '', '.', '.'], [(8, 11), (18, 11), (14, 12)], [False, False, False, False], 36, False, [True, False, True, True], 5838, 'East', (18, 4))
Element 33: (2, (18, 4), ['', '%', '.', '%'], [(7, 11), (18, 10), (14, 11)], [False, True, False, True], 34, False, [False, False, True, False], 6847, 'North', (18, 5))
Element 34: (2, (18, 5), ['.', '', '.', '%'], [(7, 10), (18, 9), (14, 10)], [False, False, False, True], 32, False, [True, False, True, False], 6866, 'North', (18, 6))
Element 35: (2, (18, 6), ['.', '', '%', '%'], [(7, 9), (18, 8), (13, 10)], [False, False, True, True], 30, False, [True, False, False, False], 7875, 'West', (17, 6))
Element 36: (2, (17, 6), ['.', '.', '%', ''], [(6, 9), (17, 8), (13, 11)], [False, False, True, False], 28, False, [True, True, False, False], 8884, 'South', (17, 5))
Element 37: (2, (17, 5), ['%', '', '', ''], [(6, 10), (17, 9), (13, 12)], [True, False, False, False], 26, False, [False, False, False, False], 8903, 'North', (17, 6))
Element 38: (2, (17, 6), ['.', '', '%', ''], [(6, 11), (17, 10), (12, 12)], [False, False, True, False], 24, False, [True, False, False, False], 8912, 'West', (16, 6))
Element 39: (2, (16, 6), ['.', '%', '', ''], [(5, 11), (16, 10), (12, 13)], [False, True, False, False], 22, False, [True, False, False, False], 8931, 'West', (15, 6))
Element 40: (2, (15, 6), ['.', '.', '', ''], [(5, 10), (16, 9), (11, 13)], [False, False, False, False], 20, False, [True, True, False, False], 8950, 'South', (15, 5))
Element 41: (2, (15, 5), ['.', '.', '', '%'], [(5, 9), (16, 8), (10, 13)], [False, False, False, True], 18, False, [True, True, False, False], 8969, 'South', (15, 4))
