Element 1: (1, (3, 1), ['F', '%', '.', '.'], [(18, 5), (5, 11), (18, 8)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'West', (2, 1))
Element 2: (1, (2, 1), ['.', '%', '.', ''], [(18, 6), (6, 11), (18, 9)], [False, True, False, False], 96, False, [True, False, True, False], 1038, 'North', (2, 2))
Element 3: (1, (2, 2), ['.', '', '%', '.'], [(17, 6), (7, 11), (18, 10)], [False, False, True, False], 94, False, [True, False, False, True], 2067, 'East', (3, 2))
Element 4: (1, (3, 2), ['', '', '%', '.'], [(16, 6), (8, 11), (18, 11)], [False, False, True, False], 92, False, [False, False, False, True], 2106, 'East', (4, 2))
Element 5: (1, (4, 2), ['', '.', '%', '.'], [(16, 7), (9, 11), (17, 11)], [False, False, True, False], 90, False, [False, True, False, True], 2145, 'East', (5, 2))
Element 6: (1, (5, 2), ['', '%', '.', '.'], [(16, 8), (10, 11), (17, 10)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (6, 2))
Element 7: (1, (6, 2), ['', '%', '.', '.'], [(17, 8), (11, 11), (17, 9)], [False, True, False, False], 86, False, [False, False, True, True], 2223, 'East', (7, 2))
Element 8: (1, (7, 2), ['', '%', '.', '.'], [(18, 8), (12, 11), (16, 9)], [False, True, False, False], 84, False, [False, False, True, True], 2252, 'East', (8, 2))
Element 9: (1, (8, 2), ['', '%', '%', '.'], [(18, 9), (13, 11), (16, 10)], [False, True, True, False], 82, False, [False, False, False, True], 2281, 'East', (9, 2))
Element 10: (1, (9, 2), ['', 'F', '%', '.'], [(18, 10), (14, 11), (16, 11)], [False, False, True, False], 80, False, [False, False, False, True], 2310, 'South', (9, 1))
Element 11: (1, (9, 1), ['%', '%', '', '.'], [(18, 11), (15, 11), (16, 12)], [True, True, False, False], 78, False, [False, False, False, True], 3329, 'East', (10, 1))
Element 12: (1, (10, 1), ['', '%', '.', '.'], [(17, 11), (15, 12), (16, 13)], [False, True, False, False], 76, False, [False, False, True, True], 3358, 'East', (11, 1))
Element 13: (1, (11, 1), ['', '%', '.', '.'], [(17, 10), (14, 12), (17, 13)], [False, True, False, False], 74, False, [False, False, True, True], 3387, 'East', (12, 1))
Element 14: (1, (12, 1), ['', '%', '.', '.'], [(17, 9), (13, 12), (18, 13)], [False, True, False, False], 72, False, [False, False, True, True], 3416, 'East', (13, 1))
Element 15: (1, (13, 1), ['', '%', '%', '.'], [(16, 9), (12, 12), (17, 13)], [False, True, True, False], 70, False, [False, False, False, True], 3435, 'East', (14, 1))
Element 16: (1, (14, 1), ['', '%', '.', '%'], [(15, 9), (12, 13), (16, 13)], [False, True, False, True], 68, False, [False, False, True, False], 4454, 'North', (14, 2))
Element 17: (1, (14, 2), ['%', '', '.', '.'], [(15, 10), (11, 13), (16, 12)], [True, False, False, False], 66, False, [False, False, True, True], 4483, 'East', (15, 2))
Element 18: (1, (15, 2), ['', '%', '%', '.'], [(14, 10), (10, 13), (16, 11)], [False, True, True, False], 64, False, [False, False, False, True], 4512, 'East', (16, 2))
Element 19: (1, (16, 2), ['', '%', '.', '%'], [(13, 10), (10, 12), (16, 10)], [False, True, False, True], 62, False, [False, False, True, False], 4541, 'North', (16, 3))
