Element 1: (1, (1, 1), ['%', '%', '.', 'F'], [(7, 5), (12, 6), (14, 11)], [True, True, False, False], 98, False, [False, False, True, False], 9, 'East', (2, 1))
Element 2: (1, (2, 1), ['', '%', '.', '.'], [(7, 4), (13, 6), (15, 11)], [False, True, False, False], 96, False, [False, False, True, True], 1038, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '.', '.'], [(8, 4), (14, 6), (16, 11)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(9, 4), (15, 6), (17, 11)], [False, True, False, True], 92, False, [False, False, True, False], 1116, 'North', (4, 2))
Element 5: (1, (4, 2), ['.', '', '%', '.'], [(10, 4), (16, 6), (18, 11)], [False, False, True, False], 90, False, [True, False, False, True], 1155, 'East', (5, 2))
Element 6: (1, (5, 2), ['', '%', '.', '.'], [(10, 5), (17, 6), (18, 10)], [False, True, False, False], 88, False, [False, False, True, True], 1194, 'East', (6, 2))
Element 7: (1, (6, 2), ['', '%', '.', '.'], [(10, 6), (18, 6), (18, 9)], [False, True, False, False], 86, False, [False, False, True, True], 1233, 'East', (7, 2))
Element 8: (1, (7, 2), ['', '%', '.', '.'], [(10, 7), (18, 5), (18, 8)], [False, True, False, False], 84, False, [False, False, True, True], 2262, 'East', (8, 2))
Element 9: (1, (8, 2), ['', '%', '%', '.'], [(9, 7), (18, 4), (17, 8)], [False, True, True, False], 82, False, [False, False, False, True], 3291, 'East', (9, 2))
Element 10: (1, (9, 2), ['', 'F', '%', '.'], [(9, 8), (17, 4), (17, 9)], [False, False, True, False], 80, False, [False, False, False, True], 3330, 'South', (9, 1))
Element 11: (1, (9, 1), ['%', '%', '', '.'], [(10, 8), (17, 5), (17, 10)], [True, True, False, False], 78, False, [False, False, False, True], 4359, 'East', (10, 1))
Element 12: (1, (10, 1), ['', '%', '.', '.'], [(11, 8), (17, 4), (16, 10)], [False, True, False, False], 76, False, [False, False, True, True], 4388, 'East', (11, 1))
Element 13: (1, (11, 1), ['', '%', '.', '.'], [(11, 9), (17, 3), (16, 9)], [False, True, False, False], 74, False, [False, False, True, True], 4427, 'East', (12, 1))
Element 14: (1, (12, 1), ['', '%', '.', '.'], [(12, 9), (16, 3), (16, 8)], [False, True, False, False], 72, False, [False, False, True, True], 4466, 'East', (13, 1))
Element 15: (1, (13, 1), ['', '%', '%', '.'], [(13, 9), (16, 4), (16, 7)], [False, True, True, False], 70, False, [False, False, False, True], 4505, 'East', (14, 1))
