Element 1: (2, (16, 2), ['G', '%', 'G', '%'], [(15, 2), (6, 7), (16, 3)], [False, True, False, True], 98, False, [False, False, False, False], 19, 'Stop', (16, 2))
Element 2: (2, (16, 2), ['', '%', '', '%'], [(14, 2), (6, 6), (17, 3)], [False, True, False, True], 96, False, [False, False, False, False], 38, 'North', (16, 3))
Element 3: (2, (16, 3), ['%', '', '.', ''], [(14, 3), (6, 5), (17, 4)], [True, False, False, False], 94, False, [False, False, True, False], 67, 'North', (16, 4))
Element 4: (2, (16, 4), ['.', '', '%', ''], [(13, 3), (7, 5), (18, 4)], [False, False, True, False], 92, False, [True, False, False, False], 106, 'West', (15, 4))
Element 5: (2, (15, 4), ['%', '%', '.', ''], [(12, 3), (7, 4), (18, 5)], [True, True, False, False], 90, False, [False, False, True, False], 145, 'North', (15, 5))
Element 6: (2, (15, 5), ['.', '', '.', '%'], [(12, 2), (8, 4), (18, 6)], [False, False, False, True], 88, False, [True, False, True, False], 184, 'North', (15, 6))
Element 7: (2, (15, 6), ['.', '', '.', '.'], [(12, 1), (9, 4), (17, 6)], [False, False, False, False], 86, False, [True, False, True, True], 223, 'East', (16, 6))
Element 8: (2, (16, 6), ['', '%', '.', ''], [(13, 1), (10, 4), (17, 5)], [False, True, False, False], 84, False, [False, False, True, False], 262, 'North', (16, 7))
Element 9: (2, (16, 7), ['.', '', '.', '%'], [(14, 1), (10, 5), (17, 6)], [False, False, False, True], 82, False, [True, False, True, False], 291, 'North', (16, 8))
Element 10: (2, (16, 8), ['.', '', '.', '.'], [(13, 1), (10, 6), (18, 6)], [False, False, False, False], 80, False, [True, False, True, True], 310, 'East', (17, 8))
Element 11: (2, (17, 8), ['', '%', '.', '.'], [(12, 1), (10, 7), (18, 5)], [False, True, False, False], 78, False, [False, False, True, True], 1319, 'East', (18, 8))
Element 12: (2, (18, 8), ['', '%', '.', '%'], [(11, 1), (9, 7), (17, 5)], [False, True, False, True], 76, False, [False, False, True, False], 2338, 'North', (18, 9))
Element 13: (2, (18, 9), ['.', '', '.', '%'], [(11, 2), (9, 8), (18, 5)], [False, False, False, True], 74, False, [True, False, True, False], 2367, 'North', (18, 10))
Element 14: (2, (18, 10), ['.', '', '.', '%'], [(11, 3), (10, 8), (18, 4)], [False, False, False, True], 72, False, [True, False, True, False], 2396, 'North', (18, 11))
Element 15: (2, (18, 11), ['.', '', '%', '%'], [(10, 3), (11, 8), (17, 4)], [False, False, True, True], 70, False, [True, False, False, False], 2425, 'West', (17, 11))
Element 16: (2, (17, 11), ['.', '.', '%', ''], [(10, 2), (11, 9), (17, 5)], [False, False, True, False], 68, False, [True, True, False, False], 2454, 'South', (17, 10))
Element 17: (2, (17, 10), ['.', '.', '', ''], [(10, 1), (12, 9), (17, 4)], [False, False, False, False], 66, False, [True, True, False, False], 2483, 'South', (17, 9))
Element 18: (2, (17, 9), ['.', '', '', ''], [(9, 1), (13, 9), (17, 3)], [False, False, False, False], 64, False, [True, False, False, False], 3502, 'West', (16, 9))
