Element 1: (2, (8, 11), ['F', '.', '%', '.'], [(2, 1), (6, 6), (9, 10)], [False, False, True, False], 98, False, [False, True, False, True], 1009, 'West', (7, 11))
Element 2: (2, (7, 11), ['.', '.', '%', ''], [(3, 1), (6, 7), (10, 10)], [False, False, True, False], 96, False, [True, True, False, False], 2038, 'South', (7, 10))
Element 3: (2, (7, 10), ['.', 'F', '', '.'], [(4, 1), (5, 7), (11, 10)], [False, False, False, False], 94, False, [True, False, False, True], 2077, 'South', (7, 9))
Element 4: (2, (7, 9), ['F', '%', '', '.'], [(4, 2), (6, 7), (12, 10)], [False, True, False, False], 92, False, [False, False, False, True], 3096, 'West', (6, 9))
Element 5: (2, (6, 9), ['.', '%', '.', ''], [(5, 2), (6, 6), (13, 10)], [False, True, False, False], 90, False, [True, False, True, False], 4115, 'North', (6, 10))
Element 6: (2, (6, 10), ['.', '', '.', ''], [(6, 2), (6, 5), (14, 10)], [False, False, False, False], 88, False, [True, False, True, False], 4154, 'North', (6, 11))
Element 7: (2, (6, 11), ['.', '', '%', ''], [(7, 2), (7, 5), (15, 10)], [False, False, True, False], 86, False, [True, False, False, False], 4193, 'West', (5, 11))
Element 8: (2, (5, 11), ['%', '.', '%', ''], [(8, 2), (7, 4), (16, 10)], [True, False, True, False], 84, False, [False, True, False, False], 4232, 'South', (5, 10))
Element 9: (2, (5, 10), ['.', '.', '', ''], [(9, 2), (8, 4), (17, 10)], [False, False, False, False], 82, False, [True, True, False, False], 4271, 'South', (5, 9))
Element 10: (2, (5, 9), ['.', '%', '', ''], [(9, 1), (9, 4), (18, 10)], [False, True, False, False], 80, False, [True, False, False, False], 5300, 'West', (4, 9))
Element 11: (2, (4, 9), ['%', '%', '.', ''], [(10, 1), (10, 4), (18, 11)], [True, True, False, False], 78, False, [False, False, True, False], 5339, 'North', (4, 10))
Element 12: (2, (4, 10), ['.', '', '%', ''], [(11, 1), (10, 5), (17, 11)], [False, False, True, False], 76, False, [True, False, False, False], 5378, 'West', (3, 10))
Element 13: (2, (3, 10), ['.', '%', '.', ''], [(12, 1), (10, 6), (16, 11)], [False, True, False, False], 74, False, [True, False, True, False], 5417, 'North', (3, 11))
Element 14: (2, (3, 11), ['.', '', '.', '%'], [(13, 1), (10, 7), (16, 12)], [False, False, False, True], 72, False, [True, False, True, False], 6446, 'North', (3, 12))
Element 15: (2, (3, 12), ['.', '', '.', '%'], [(14, 1), (9, 7), (16, 13)], [False, False, False, True], 70, False, [True, False, True, False], 7475, 'North', (3, 13))
Element 16: (2, (3, 13), ['.', '', '%', 'F'], [(14, 2), (9, 8), (17, 13)], [False, False, True, False], 68, False, [True, False, False, False], 7514, 'East', (4, 13))
Element 17: (2, (4, 13), ['', '%', '%', 'F'], [(15, 2), (10, 8), (18, 13)], [False, True, True, False], 66, False, [False, False, False, False], 8543, 'East', (5, 13))
Element 18: (2, (5, 13), ['', '%', '%', '.'], [(16, 2), (11, 8), (17, 13)], [False, True, True, False], 64, False, [False, False, False, True], 9562, 'East', (6, 13))
Element 19: (2, (6, 13), ['', '%', '%', '.'], [(16, 3), (11, 9), (16, 13)], [False, True, True, False], 62, False, [False, False, False, True], 9591, 'East', (7, 13))
Element 20: (2, (7, 13), ['', '%', '%', '%'], [(17, 3), (12, 9), (16, 12)], [False, True, True, True], 60, False, [False, False, False, False], 9620, 'West', (6, 13))
Element 21: (2, (6, 13), ['', '%', '%', ''], [(17, 4), (13, 9), (15, 12)], [False, True, True, False], 58, False, [False, False, False, False], 9649, 'West', (5, 13))
Element 22: (2, (5, 13), ['', '%', '%', ''], [(18, 4), (13, 8), (15, 11)], [False, True, True, False], 56, False, [False, False, False, False], 9678, 'West', (4, 13))
Element 23: (2, (4, 13), ['', '%', '%', ''], [(18, 5), (14, 8), (14, 11)], [False, True, True, False], 54, False, [False, False, False, False], 9707, 'West', (3, 13))
Element 24: (2, (3, 13), ['.', '', '%', ''], [(18, 6), (15, 8), (14, 12)], [False, False, True, False], 52, False, [True, False, False, False], 9736, 'West', (2, 13))
Element 25: (2, (2, 13), ['%', '.', '%', ''], [(17, 6), (16, 8), (13, 12)], [True, False, True, False], 50, False, [False, True, False, False], 9775, 'South', (2, 12))
Element 26: (2, (2, 12), ['.', '.', '', ''], [(17, 5), (17, 8), (13, 11)], [False, False, False, False], 48, False, [True, True, False, False], 9814, 'South', (2, 11))
Element 27: (2, (2, 11), ['.', '.', '', ''], [(17, 6), (18, 8), (12, 11)], [False, False, False, False], 46, False, [True, True, False, False], 9843, 'South', (2, 10))
Element 28: (2, (2, 10), ['.', '%', '', ''], [(16, 6), (18, 9), (12, 12)], [False, True, False, False], 44, False, [True, False, False, False], 9882, 'West', (1, 10))
Element 29: (2, (1, 10), ['%', '%', '.', ''], [(16, 7), (17, 9), (12, 13)], [True, True, False, False], 42, False, [False, False, True, False], 10911, 'North', (1, 11))
Element 30: (2, (1, 11), ['%', '', '.', ''], [(15, 7), (16, 9), (11, 13)], [True, False, False, False], 40, False, [False, False, True, False], 10950, 'North', (1, 12))
Element 31: (2, (1, 12), ['%', '', '%', ''], [(15, 6), (15, 9), (10, 13)], [True, False, True, False], 38, False, [False, False, False, False], 10989, 'South', (1, 11))
Element 32: (2, (1, 11), ['%', '', '', ''], [(15, 5), (15, 10), (10, 12)], [True, False, False, False], 36, False, [False, False, False, False], 11008, 'South', (1, 10))
Element 33: (2, (1, 10), ['%', '%', '', ''], [(15, 4), (16, 10), (10, 11)], [True, True, False, False], 34, False, [False, False, False, False], 11027, 'East', (2, 10))
Element 34: (2, (2, 10), ['', '%', '', ''], [(16, 4), (17, 10), (11, 11)], [False, True, False, False], 32, False, [False, False, False, False], 11046, 'North', (2, 11))
Element 35: (2, (2, 11), ['', '', '', ''], [(15, 4), (18, 10), (10, 11)], [False, False, False, False], 30, False, [False, False, False, False], 11045, 'West', (1, 11))
Element 36: (2, (1, 11), ['%', '', '', ''], [(15, 5), (18, 11), (9, 11)], [True, False, False, False], 28, False, [False, False, False, False], 11054, 'East', (2, 11))
Element 37: (2, (2, 11), ['', '', '', ''], [(14, 5), (17, 11), (9, 12)], [False, False, False, False], 26, False, [False, False, False, False], 11073, 'North', (2, 12))
Element 38: (2, (2, 12), ['', '', '', ''], [(14, 6), (16, 11), (9, 11)], [False, False, False, False], 24, False, [False, False, False, False], 11082, 'West', (1, 12))
Element 39: (2, (1, 12), ['%', '', '%', ''], [(14, 7), (16, 12), (8, 11)], [True, False, True, False], 22, False, [False, False, False, False], 11091, 'East', (2, 12))
Element 40: (2, (2, 12), ['', '', '', ''], [(13, 7), (16, 13), (8, 10)], [False, False, False, False], 20, False, [False, False, False, False], 11110, 'North', (2, 13))
Element 41: (2, (2, 13), ['%', '', '%', ''], [(13, 6), (17, 13), (8, 9)], [True, False, True, False], 18, False, [False, False, False, False], 11129, 'East', (3, 13))
Element 42: (2, (3, 13), ['', '', '%', ''], [(13, 5), (18, 13), (9, 9)], [False, False, True, False], 16, False, [False, False, False, False], 11148, 'South', (3, 12))
Element 43: (2, (3, 12), ['', '', '', '%'], [(12, 5), (17, 13), (9, 8)], [False, False, False, True], 14, False, [False, False, False, False], 11157, 'West', (2, 12))
Element 44: (2, (2, 12), ['', '', '', ''], [(12, 6), (16, 13), (8, 8)], [False, False, False, False], 12, False, [False, False, False, False], 11176, 'East', (3, 12))
Element 45: (2, (3, 12), ['', '', '', '%'], [(12, 7), (16, 12), (9, 8)], [False, False, False, True], 10, False, [False, False, False, False], 11185, 'South', (3, 11))
