Element 1: (0, (10, 6), ['.', '.', 'F', '%'], [(4, 1), (9, 5), (18, 10)], [False, False, False, True], 98, False, [True, True, False, False], 0, 'North', (10, 7))
Element 2: (0, (10, 7), ['F', '', '.', '%'], [(4, 2), (10, 5), (18, 11)], [False, False, False, True], 96, False, [False, False, True, False], 1029, 'West', (9, 7))
Element 3: (0, (9, 7), ['%', '.', '.', ''], [(5, 2), (10, 4), (17, 11)], [True, False, False, False], 94, False, [False, True, True, False], 2058, 'North', (9, 8))
Element 4: (0, (9, 8), ['.', '', '.', '.'], [(6, 2), (10, 3), (17, 10)], [False, False, False, False], 92, False, [True, False, True, True], 2097, 'East', (10, 8))
Element 5: (0, (10, 8), ['', '', '%', '.'], [(7, 2), (11, 3), (17, 9)], [False, False, True, False], 90, False, [False, False, False, True], 2136, 'East', (11, 8))
Element 6: (0, (11, 8), ['', '%', '.', '%'], [(8, 2), (12, 3), (18, 9)], [False, True, False, True], 88, False, [False, False, True, False], 2175, 'North', (11, 9))
Element 7: (0, (11, 9), ['%', '', '.', '.'], [(9, 2), (13, 3), (18, 8)], [True, False, False, False], 86, False, [False, False, True, True], 2214, 'East', (12, 9))
Element 8: (0, (12, 9), ['', '%', '.', '.'], [(9, 1), (14, 3), (17, 8)], [False, True, False, False], 84, False, [False, False, True, True], 3243, 'East', (13, 9))
Element 9: (0, (13, 9), ['', '.', '.', '%'], [(10, 1), (14, 2), (16, 8)], [False, False, False, True], 82, False, [False, True, True, False], 3282, 'North', (13, 10))
Element 10: (0, (13, 10), ['.', '', '.', '.'], [(11, 1), (15, 2), (16, 9)], [False, False, False, False], 80, False, [True, False, True, True], 3321, 'East', (14, 10))
Element 11: (0, (14, 10), ['', '%', '.', '.'], [(12, 1), (16, 2), (16, 10)], [False, True, False, False], 78, False, [False, False, True, True], 3360, 'East', (15, 10))
Element 12: (0, (15, 10), ['', '.', '.', ''], [(13, 1), (16, 3), (16, 11)], [False, False, False, False], 76, False, [False, True, True, False], 3399, 'North', (15, 11))
Element 13: (0, (15, 11), ['.', '', '.', ''], [(14, 1), (17, 3), (16, 12)], [False, False, False, False], 74, False, [True, False, True, False], 3438, 'North', (15, 12))
Element 14: (0, (15, 12), ['.', '', '%', ''], [(14, 2), (17, 4), (16, 13)], [False, False, True, False], 72, False, [True, False, False, False], 3467, 'West', (14, 12))
Element 15: (0, (14, 12), ['.', '.', '%', ''], [(15, 2), (18, 4), (17, 13)], [False, False, True, False], 70, False, [True, True, False, False], 3496, 'South', (14, 11))
Element 16: (0, (14, 11), ['.', '', '', ''], [(16, 2), (18, 5), (18, 13)], [False, False, False, False], 68, False, [True, False, False, False], 3525, 'West', (13, 11))
Element 17: (0, (13, 11), ['.', '', '.', ''], [(16, 3), (18, 6), (17, 13)], [False, False, False, False], 66, False, [True, False, True, False], 3544, 'North', (13, 12))
Element 18: (0, (13, 12), ['.', '', '%', ''], [(16, 4), (17, 6), (16, 13)], [False, False, True, False], 64, False, [True, False, False, False], 3573, 'West', (12, 12))
Element 19: (0, (12, 12), ['%', '.', 'F', ''], [(15, 4), (17, 5), (16, 12)], [True, False, False, False], 62, False, [False, True, False, False], 3602, 'North', (12, 13))
Element 20: (0, (12, 13), ['.', '', '%', '%'], [(15, 5), (17, 6), (16, 11)], [False, False, True, True], 60, False, [True, False, False, False], 4611, 'West', (11, 13))
Element 21: (0, (11, 13), ['.', '%', '%', ''], [(15, 6), (16, 6), (16, 10)], [False, True, True, False], 58, False, [True, False, False, False], 4640, 'West', (10, 13))
Element 22: (0, (10, 13), ['%', '.', '%', ''], [(15, 7), (16, 7), (16, 9)], [True, False, True, False], 56, False, [False, True, False, False], 4669, 'South', (10, 12))
Element 23: (0, (10, 12), ['.', '.', '', '%'], [(15, 8), (16, 8), (15, 9)], [False, False, False, True], 54, False, [True, True, False, False], 4698, 'South', (10, 11))
Element 24: (0, (10, 11), ['.', '.', '', '.'], [(14, 8), (17, 8), (15, 10)], [False, False, False, False], 52, False, [True, True, False, True], 4717, 'East', (11, 11))
Element 25: (0, (11, 11), ['', '.', '%', '.'], [(14, 7), (18, 8), (15, 11)], [False, False, True, False], 50, False, [False, True, False, True], 4736, 'East', (12, 11))
Element 26: (0, (12, 11), ['', '.', '', ''], [(14, 6), (18, 9), (15, 12)], [False, False, False, False], 48, False, [False, True, False, False], 4755, 'South', (12, 10))
Element 27: (0, (12, 10), ['.', '', '', ''], [(14, 5), (18, 10), (14, 12)], [False, False, False, False], 46, False, [True, False, False, False], 4774, 'West', (11, 10))
Element 28: (0, (11, 10), ['.', '', '', ''], [(13, 5), (18, 11), (14, 11)], [False, False, False, False], 44, False, [True, False, False, False], 4793, 'West', (10, 10))
Element 29: (0, (10, 10), ['.', '%', '', ''], [(13, 6), (17, 11), (14, 10)], [False, True, False, False], 42, False, [True, False, False, False], 4812, 'West', (9, 10))
Element 30: (0, (9, 10), ['.', '.', '.', ''], [(13, 7), (17, 10), (13, 10)], [False, False, False, False], 40, False, [True, True, True, False], 4831, 'North', (9, 11))
Element 31: (0, (9, 11), ['.', '', '.', ''], [(13, 8), (17, 9), (13, 11)], [False, False, False, False], 38, False, [True, False, True, False], 4850, 'North', (9, 12))
