Element 1: (1, (2, 2), ['.', 'F', '%', '.'], [(14, 2), (13, 9), (15, 10)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'South', (2, 1))
Element 2: (1, (2, 1), ['.', '%', '', '.'], [(15, 2), (13, 10), (16, 10)], [False, True, False, False], 96, False, [True, False, False, True], 1038, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '.', '.'], [(16, 2), (14, 10), (17, 10)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(16, 3), (14, 11), (18, 10)], [False, True, False, True], 92, False, [False, False, True, False], 1116, 'North', (4, 2))
Element 5: (1, (4, 2), ['.', '', '%', '.'], [(17, 3), (15, 11), (18, 11)], [False, False, True, False], 90, False, [True, False, False, True], 1155, 'East', (5, 2))
Element 6: (1, (5, 2), ['', '%', '.', '.'], [(17, 4), (16, 11), (17, 11)], [False, True, False, False], 88, False, [False, False, True, True], 1194, 'East', (6, 2))
Element 7: (1, (6, 2), ['', '%', '.', '.'], [(18, 4), (16, 12), (16, 11)], [False, True, False, False], 86, False, [False, False, True, True], 1223, 'East', (7, 2))
Element 8: (1, (7, 2), ['', '%', '.', '.'], [(18, 5), (16, 13), (16, 12)], [False, True, False, False], 84, False, [False, False, True, True], 1252, 'East', (8, 2))
Element 9: (1, (8, 2), ['', '%', '%', '.'], [(18, 6), (17, 13), (15, 12)], [False, True, True, False], 82, False, [False, False, False, True], 1291, 'East', (9, 2))
Element 10: (1, (9, 2), ['', 'F', '%', '.'], [(17, 6), (18, 13), (14, 12)], [False, False, True, False], 80, False, [False, False, False, True], 1330, 'South', (9, 1))
Element 11: (1, (9, 1), ['%', '%', '', '.'], [(17, 5), (17, 13), (13, 12)], [True, True, False, False], 78, False, [False, False, False, True], 2349, 'East', (10, 1))
Element 12: (1, (10, 1), ['', '%', '.', '.'], [(17, 6), (16, 13), (13, 11)], [False, True, False, False], 76, False, [False, False, True, True], 2368, 'East', (11, 1))
Element 13: (1, (11, 1), ['', '%', '.', '.'], [(16, 6), (16, 12), (12, 11)], [False, True, False, False], 74, False, [False, False, True, True], 2397, 'East', (12, 1))
Element 14: (1, (12, 1), ['', '%', '.', '.'], [(16, 7), (15, 12), (12, 12)], [False, True, False, False], 72, False, [False, False, True, True], 2426, 'East', (13, 1))
Element 15: (1, (13, 1), ['', '%', '%', '.'], [(16, 8), (14, 12), (12, 13)], [False, True, True, False], 70, False, [False, False, False, True], 3445, 'East', (14, 1))
Element 16: (1, (14, 1), ['', '%', '', '%'], [(17, 8), (13, 12), (11, 13)], [False, True, False, True], 68, False, [False, False, False, False], 3474, 'North', (14, 2))
Element 17: (1, (14, 2), ['%', '', '', ''], [(18, 8), (13, 11), (10, 13)], [True, False, False, False], 66, False, [False, False, False, False], 3493, 'East', (15, 2))
Element 18: (1, (15, 2), ['', '%', '%', ''], [(18, 9), (12, 11), (10, 12)], [False, True, True, False], 64, False, [False, False, False, False], 3512, 'East', (16, 2))
Element 19: (1, (16, 2), ['', '%', '', '%'], [(17, 9), (12, 10), (10, 11)], [False, True, False, True], 62, False, [False, False, False, False], 3541, 'North', (16, 3))
Element 20: (1, (16, 3), ['%', '', '.', ''], [(16, 9), (12, 9), (11, 11)], [True, False, False, False], 60, False, [False, False, True, False], 3570, 'North', (16, 4))
Element 21: (1, (16, 4), ['.', '', '%', ''], [(15, 9), (11, 9), (11, 10)], [False, False, True, False], 58, False, [True, False, False, False], 3609, 'West', (15, 4))
Element 22: (1, (15, 4), ['%', '%', '.', ''], [(15, 8), (11, 8), (10, 10)], [True, True, False, False], 56, False, [False, False, True, False], 3648, 'North', (15, 5))
Element 23: (1, (15, 5), ['.', '', '.', '%'], [(15, 7), (10, 8), (9, 10)], [False, False, False, True], 54, False, [True, False, True, False], 3687, 'North', (15, 6))
Element 24: (1, (15, 6), ['.', '', '', ''], [(14, 7), (10, 7), (9, 11)], [False, False, False, False], 52, False, [True, False, False, False], 4716, 'West', (14, 6))
Element 25: (1, (14, 6), ['.', '.', '', ''], [(14, 8), (9, 7), (9, 12)], [False, False, False, False], 50, False, [True, True, False, False], 5745, 'South', (14, 5))
Element 26: (1, (14, 5), ['.', '%', '', ''], [(13, 8), (9, 8), (9, 11)], [False, True, False, False], 48, False, [True, False, False, False], 5774, 'West', (13, 5))
Element 27: (1, (13, 5), ['.', '%', '.', ''], [(13, 7), (9, 9), (8, 11)], [False, True, False, False], 46, False, [True, False, True, False], 5813, 'North', (13, 6))
Element 28: (1, (13, 6), ['.', '', '', ''], [(12, 7), (8, 9), (7, 11)], [False, False, False, False], 44, False, [True, False, False, False], 6842, 'West', (12, 6))
Element 29: (1, (12, 6), ['%', '.', '', ''], [(13, 7), (7, 9), (7, 10)], [True, False, False, False], 42, False, [False, True, False, False], 7861, 'South', (12, 5))
Element 30: (1, (12, 5), ['%', '%', '', ''], [(13, 8), (6, 9), (8, 10)], [True, True, False, False], 40, False, [False, False, False, False], 8880, 'North', (12, 6))
Element 31: (1, (12, 6), ['%', '', '', ''], [(13, 9), (6, 10), (8, 9)], [True, False, False, False], 38, False, [False, False, False, False], 8889, 'North', (12, 7))
Element 32: (1, (12, 7), ['%', '', '%', ''], [(13, 10), (6, 11), (8, 8)], [True, False, True, False], 36, False, [False, False, False, False], 8908, 'East', (13, 7))
Element 33: (1, (13, 7), ['', '', '', ''], [(14, 10), (5, 11), (9, 8)], [False, False, False, False], 34, False, [False, False, False, False], 8917, 'East', (14, 7))
Element 34: (1, (14, 7), ['', '', '', ''], [(15, 10), (5, 10), (10, 8)], [False, False, False, False], 32, False, [False, False, False, False], 8926, 'East', (15, 7))
Element 35: (1, (15, 7), ['', '', '', ''], [(16, 10), (5, 9), (11, 8)], [False, False, False, False], 30, False, [False, False, False, False], 8935, 'East', (16, 7))
Element 36: (1, (16, 7), ['', '', '', '%'], [(17, 10), (4, 9), (11, 9)], [False, False, False, True], 28, False, [False, False, False, False], 8944, 'North', (16, 8))
Element 37: (1, (16, 8), ['', '', '', ''], [(18, 10), (4, 10), (12, 9)], [False, False, False, False], 26, False, [False, False, False, False], 8953, 'East', (17, 8))
