Element 1: (3, (11, 13), ['G', '%', '%', 'F'], [(6, 6), (2, 7), (10, 13)], [False, True, True, False], 98, False, [False, False, False, False], 29, 'East', (12, 13))
Element 2: (3, (12, 13), ['G', '.', '%', '%'], [(6, 7), (3, 7), (11, 13)], [False, False, True, True], 96, False, [False, True, False, False], 1048, 'South', (12, 12))
Element 3: (3, (12, 12), ['%', '.', 'G', '.'], [(5, 7), (3, 8), (12, 13)], [True, False, False, False], 94, False, [False, True, False, True], 2067, 'East', (13, 12))
Element 4: (3, (13, 12), ['G', '.', '%', '.'], [(6, 7), (3, 7), (12, 12)], [False, False, True, False], 92, False, [False, True, False, True], 2076, 'East', (14, 12))
Element 5: (3, (14, 12), ['', '.', '%', '.'], [(6, 6), (3, 6), (12, 11)], [False, False, True, False], 90, False, [False, True, False, True], 2105, 'East', (15, 12))
Element 6: (3, (15, 12), ['', '.', '%', '.'], [(6, 5), (4, 6), (13, 11)], [False, False, True, False], 88, False, [False, True, False, True], 2144, 'East', (16, 12))
Element 7: (3, (16, 12), ['', '.', '.', '%'], [(7, 5), (4, 5), (14, 11)], [False, False, False, True], 86, False, [False, True, True, False], 2183, 'North', (16, 13))
Element 8: (3, (16, 13), ['%', '', '%', '.'], [(7, 4), (5, 5), (15, 11)], [True, False, True, False], 84, False, [False, False, False, True], 2222, 'East', (17, 13))
Element 9: (3, (17, 13), ['', '%', '%', '.'], [(8, 4), (5, 4), (16, 11)], [False, True, True, False], 82, False, [False, False, False, True], 2261, 'East', (18, 13))
Element 10: (3, (18, 13), ['', '%', '%', '%'], [(9, 4), (6, 4), (17, 11)], [False, True, True, True], 80, False, [False, False, False, False], 2300, 'West', (17, 13))
Element 11: (3, (17, 13), ['', '%', '%', ''], [(10, 4), (6, 3), (18, 11)], [False, True, True, False], 78, False, [False, False, False, False], 2329, 'West', (16, 13))
Element 12: (3, (16, 13), ['%', '', '%', ''], [(10, 5), (7, 3), (18, 10)], [True, False, True, False], 76, False, [False, False, False, False], 2358, 'South', (16, 12))
Element 13: (3, (16, 12), ['', '', '', '%'], [(10, 6), (7, 2), (18, 9)], [False, False, False, True], 74, False, [False, False, False, False], 2387, 'South', (16, 11))
Element 14: (3, (16, 11), ['', '.', '', ''], [(10, 7), (8, 2), (18, 8)], [False, False, False, False], 72, False, [False, True, False, False], 3406, 'South', (16, 10))
Element 15: (3, (16, 10), ['.', '.', '', '.'], [(9, 7), (9, 2), (17, 8)], [False, False, False, False], 70, False, [True, True, False, True], 4435, 'East', (17, 10))
Element 16: (3, (17, 10), ['', 'G', '', ''], [(9, 8), (9, 1), (17, 9)], [False, False, False, False], 68, False, [False, False, False, False], 5464, 'East', (18, 10))
Element 17: (3, (18, 10), ['', '', '', '%'], [(10, 8), (10, 1), (16, 9)], [False, False, False, True], 66, False, [False, False, False, False], 5493, 'North', (18, 11))
Element 18: (3, (18, 11), ['', '', '%', '%'], [(11, 8), (11, 1), (16, 8)], [False, False, True, True], 64, False, [False, False, False, False], 5522, 'West', (17, 11))
Element 19: (3, (17, 11), ['', '', '%', ''], [(11, 9), (12, 1), (16, 7)], [False, False, True, False], 62, False, [False, False, False, False], 5551, 'East', (18, 11))
Element 20: (3, (18, 11), ['', '', '%', '%'], [(12, 9), (13, 1), (16, 6)], [False, False, True, True], 60, False, [False, False, False, False], 5580, 'South', (18, 10))
