Element 1: (1, (7, 10), ['.', 'F', 'F', '.'], [(17, 10), (13, 1), (14, 10)], [False, False, False, False], 98, False, [True, False, False, True], 9, 'North', (7, 11))
Element 2: (1, (7, 11), ['.', '', '%', '.'], [(18, 10), (14, 1), (15, 10)], [False, False, True, False], 96, False, [True, False, False, True], 1038, 'East', (8, 11))
Element 3: (1, (8, 11), ['', '.', '%', '.'], [(18, 11), (14, 2), (15, 11)], [False, False, True, False], 94, False, [False, True, False, True], 1077, 'East', (9, 11))
Element 4: (1, (9, 11), ['', '.', '.', '.'], [(17, 11), (15, 2), (16, 11)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (10, 11))
Element 5: (1, (10, 11), ['', '.', '.', '.'], [(16, 11), (16, 2), (16, 12)], [False, False, False, False], 90, False, [False, True, True, True], 1145, 'East', (11, 11))
Element 6: (1, (11, 11), ['', '.', '%', '.'], [(16, 12), (16, 3), (16, 13)], [False, False, True, False], 88, False, [False, True, False, True], 1174, 'East', (12, 11))
Element 7: (1, (12, 11), ['', '.', '.', '.'], [(15, 12), (17, 3), (17, 13)], [False, False, False, False], 86, False, [False, True, True, True], 1213, 'East', (13, 11))
Element 8: (1, (13, 11), ['', '.', '.', '.'], [(14, 12), (17, 4), (18, 13)], [False, False, False, False], 84, False, [False, True, True, True], 1252, 'East', (14, 11))
Element 9: (1, (14, 11), ['', '', '', ''], [(13, 12), (18, 4), (17, 13)], [False, False, False, False], 82, False, [False, False, False, False], 1281, 'East', (15, 11))
Element 10: (1, (15, 11), ['', '', '', ''], [(12, 12), (18, 5), (16, 13)], [False, False, False, False], 80, False, [False, False, False, False], 1300, 'East', (16, 11))
Element 11: (1, (16, 11), ['', '', 'G', ''], [(12, 13), (18, 6), (16, 12)], [False, False, False, False], 78, False, [False, False, False, False], 2309, 'East', (17, 11))
Element 12: (1, (17, 11), ['', '', '%', ''], [(11, 13), (17, 6), (15, 12)], [False, False, True, False], 76, False, [False, False, False, False], 2328, 'East', (18, 11))
Element 13: (1, (18, 11), ['', '', '%', '%'], [(10, 13), (17, 5), (14, 12)], [False, False, True, True], 74, False, [False, False, False, False], 2347, 'South', (18, 10))
Element 14: (1, (18, 10), ['', '.', '', '%'], [(10, 12), (17, 6), (14, 11)], [False, False, False, True], 72, False, [False, True, False, False], 2356, 'South', (18, 9))
Element 15: (1, (18, 9), ['.', '.', '', '%'], [(9, 12), (16, 6), (13, 11)], [False, False, False, True], 70, False, [True, True, False, False], 2385, 'South', (18, 8))
Element 16: (1, (18, 8), ['.', '%', '', '%'], [(9, 11), (16, 7), (13, 10)], [False, True, False, True], 68, False, [True, False, False, False], 2414, 'West', (17, 8))
Element 17: (1, (17, 8), ['G', '%', '.', ''], [(9, 10), (16, 8), (13, 9)], [False, True, False, False], 66, False, [False, False, True, False], 2453, 'North', (17, 9))
Element 18: (1, (17, 9), ['G', '', '', ''], [(10, 10), (16, 9), (13, 8)], [False, False, False, False], 64, False, [False, False, False, False], 2492, 'North', (17, 10))
Element 19: (1, (17, 10), ['', '', '', ''], [(11, 10), (15, 9), (14, 8)], [False, False, False, False], 62, False, [False, False, False, False], 2521, 'West', (16, 10))
