Element 1: (0, (6, 10), ['.', 'F', '.', '.'], [(1, 7), (5, 5), (9, 8)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'South', (6, 9))
Element 2: (0, (6, 9), ['.', '%', '', 'F'], [(2, 7), (6, 5), (9, 7)], [False, True, False, False], 96, False, [True, False, False, False], 2019, 'East', (7, 9))
Element 3: (0, (7, 9), ['', '%', '.', '.'], [(3, 7), (7, 5), (10, 7)], [False, True, False, False], 94, False, [False, False, True, True], 4038, 'East', (8, 9))
Element 4: (0, (8, 9), ['', '.', '.', '.'], [(3, 8), (7, 4), (10, 8)], [False, False, False, False], 92, False, [False, True, True, True], 5067, 'East', (9, 9))
Element 5: (0, (9, 9), ['', '', '.', '%'], [(3, 7), (8, 4), (11, 8)], [False, False, False, True], 90, False, [False, False, True, False], 5096, 'North', (9, 10))
Element 6: (0, (9, 10), ['.', '', '.', '.'], [(3, 6), (9, 4), (11, 9)], [False, False, False, False], 88, False, [True, False, True, True], 5135, 'East', (10, 10))
Element 7: (0, (10, 10), ['', '%', '.', '.'], [(4, 6), (10, 4), (12, 9)], [False, True, False, False], 86, False, [False, False, True, True], 5174, 'East', (11, 10))
Element 8: (0, (11, 10), ['', '', '.', '.'], [(5, 6), (10, 5), (13, 9)], [False, False, False, False], 84, False, [False, False, True, True], 5213, 'East', (12, 10))
Element 9: (0, (12, 10), ['', '', '.', 'G'], [(6, 6), (10, 6), (13, 10)], [False, False, False, False], 82, False, [False, False, True, False], 5252, 'North', (12, 11))
Element 10: (0, (12, 11), ['.', '', '.', '.'], [(6, 7), (9, 6), (14, 10)], [False, False, False, False], 80, False, [True, False, True, True], 5291, 'East', (13, 11))
Element 11: (0, (13, 11), ['', '', '.', '.'], [(5, 7), (9, 5), (15, 10)], [False, False, False, False], 78, False, [False, False, True, True], 5330, 'East', (14, 11))
Element 12: (0, (14, 11), ['', '', '.', '.'], [(6, 7), (9, 6), (16, 10)], [False, False, False, False], 76, False, [False, False, True, True], 5349, 'East', (15, 11))
Element 13: (0, (15, 11), ['', '', '.', '.'], [(6, 6), (9, 7), (17, 10)], [False, False, False, False], 74, False, [False, False, True, True], 5368, 'East', (16, 11))
Element 14: (0, (16, 11), ['', '', '.', '.'], [(6, 5), (10, 7), (18, 10)], [False, False, False, False], 72, False, [False, False, True, True], 5387, 'East', (17, 11))
Element 15: (0, (17, 11), ['', '', '%', 'G'], [(6, 4), (10, 8), (18, 11)], [False, False, True, False], 70, False, [False, False, False, False], 5416, 'South', (17, 10))
Element 16: (0, (17, 10), ['', '.', 'G', ''], [(6, 3), (11, 8), (17, 11)], [False, False, False, False], 68, False, [False, True, False, False], 5425, 'South', (17, 9))
Element 17: (0, (17, 9), ['.', '.', '', '.'], [(7, 3), (11, 9), (16, 11)], [False, False, False, False], 66, False, [True, True, False, True], 5444, 'East', (18, 9))
Element 18: (0, (18, 9), ['', '.', '', '%'], [(7, 2), (12, 9), (16, 12)], [False, False, False, True], 64, False, [False, True, False, False], 5473, 'South', (18, 8))
Element 19: (0, (18, 8), ['.', '%', '', '%'], [(8, 2), (13, 9), (16, 13)], [False, True, False, True], 62, False, [True, False, False, False], 5502, 'West', (17, 8))
Element 20: (0, (17, 8), ['.', '%', '', ''], [(9, 2), (13, 8), (17, 13)], [False, True, False, False], 60, False, [True, False, False, False], 5541, 'West', (16, 8))
Element 21: (0, (16, 8), ['.', '.', '.', ''], [(9, 1), (14, 8), (18, 13)], [False, False, False, False], 58, False, [True, True, True, False], 6570, 'North', (16, 9))
Element 22: (0, (16, 9), ['.', '', '', ''], [(10, 1), (15, 8), (17, 13)], [False, False, False, False], 56, False, [True, False, False, False], 6599, 'West', (15, 9))
Element 23: (0, (15, 9), ['%', '', '', ''], [(11, 1), (15, 7), (16, 13)], [True, False, False, False], 54, False, [False, False, False, False], 6628, 'North', (15, 10))
Element 24: (0, (15, 10), ['', '', '', ''], [(12, 1), (16, 7), (16, 12)], [False, False, False, False], 52, False, [False, False, False, False], 6647, 'East', (16, 10))
Element 25: (0, (16, 10), ['', '', '', ''], [(13, 1), (16, 6), (15, 12)], [False, False, False, False], 50, False, [False, False, False, False], 6676, 'West', (15, 10))
Element 26: (0, (15, 10), ['', '', '', ''], [(14, 1), (17, 6), (14, 12)], [False, False, False, False], 48, False, [False, False, False, False], 6705, 'West', (14, 10))
Element 27: (0, (14, 10), ['', '%', '', ''], [(14, 2), (18, 6), (13, 12)], [False, True, False, False], 46, False, [False, False, False, False], 6734, 'West', (13, 10))
Element 28: (0, (13, 10), ['', '', '', ''], [(15, 2), (18, 5), (12, 12)], [False, False, False, False], 44, False, [False, False, False, False], 6763, 'South', (13, 9))
Element 29: (0, (13, 9), ['', '', '', '%'], [(16, 2), (18, 4), (12, 13)], [False, False, False, True], 42, False, [False, False, False, False], 7782, 'South', (13, 8))
Element 30: (0, (13, 8), ['%', '.', '', ''], [(16, 3), (17, 4), (11, 13)], [True, False, False, False], 40, False, [False, True, False, False], 7811, 'South', (13, 7))
Element 31: (0, (13, 7), ['.', '.', '', '.'], [(17, 3), (17, 5), (10, 13)], [False, False, False, False], 38, False, [True, True, False, True], 7850, 'East', (14, 7))
