Element 1: (0, (10, 13), ['%', '.', '%', '.'], [(12, 7), (13, 10), (14, 2)], [True, False, True, False], 98, False, [False, True, False, True], 0, 'East', (11, 13))
Element 2: (0, (11, 13), ['', '%', '%', 'F'], [(13, 7), (14, 10), (15, 2)], [False, True, True, False], 96, False, [False, False, False, False], 39, 'East', (12, 13))
Element 3: (0, (12, 13), ['', '.', '%', '%'], [(14, 7), (15, 10), (16, 2)], [False, False, True, True], 94, False, [False, True, False, False], 1068, 'South', (12, 12))
Element 4: (0, (12, 12), ['%', '.', '', '.'], [(15, 7), (16, 10), (16, 3)], [True, False, False, False], 92, False, [False, True, False, True], 1107, 'East', (13, 12))
Element 5: (0, (13, 12), ['', '.', '%', '.'], [(16, 7), (17, 10), (17, 3)], [False, False, True, False], 90, False, [False, True, False, True], 1146, 'East', (14, 12))
Element 6: (0, (14, 12), ['', '.', '%', '.'], [(16, 8), (18, 10), (17, 4)], [False, False, True, False], 88, False, [False, True, False, True], 1185, 'East', (15, 12))
Element 7: (0, (15, 12), ['', '.', '%', '.'], [(17, 8), (18, 11), (18, 4)], [False, False, True, False], 86, False, [False, True, False, True], 1224, 'East', (16, 12))
Element 8: (0, (16, 12), ['', '.', '.', '%'], [(18, 8), (17, 11), (18, 5)], [False, False, False, True], 84, False, [False, True, True, False], 1263, 'North', (16, 13))
Element 9: (0, (16, 13), ['%', '', '%', '.'], [(18, 9), (16, 11), (18, 6)], [True, False, True, False], 82, False, [False, False, False, True], 1302, 'East', (17, 13))
Element 10: (0, (17, 13), ['', '%', '%', '.'], [(17, 9), (15, 11), (17, 6)], [False, True, True, False], 80, False, [False, False, False, True], 1341, 'East', (18, 13))
Element 11: (0, (18, 13), ['', '%', '%', '%'], [(16, 9), (14, 11), (17, 5)], [False, True, True, True], 78, False, [False, False, False, False], 1380, 'West', (17, 13))
Element 12: (0, (17, 13), ['', '%', '%', ''], [(15, 9), (13, 11), (17, 6)], [False, True, True, False], 76, False, [False, False, False, False], 1399, 'West', (16, 13))
Element 13: (0, (16, 13), ['%', '', '%', ''], [(15, 8), (12, 11), (16, 6)], [True, False, True, False], 74, False, [False, False, False, False], 1428, 'South', (16, 12))
Element 14: (0, (16, 12), ['', '', '', '%'], [(14, 8), (12, 10), (15, 6)], [False, False, False, True], 72, False, [False, False, False, False], 1457, 'South', (16, 11))
Element 15: (0, (16, 11), ['', '', '', ''], [(13, 8), (12, 9), (15, 5)], [False, False, False, False], 70, False, [False, False, False, False], 1486, 'East', (17, 11))
Element 16: (0, (17, 11), ['', '', '%', ''], [(13, 9), (11, 9), (15, 4)], [False, False, True, False], 68, False, [False, False, False, False], 1515, 'East', (18, 11))
Element 17: (0, (18, 11), ['', '', '%', '%'], [(13, 10), (11, 10), (16, 4)], [False, False, True, True], 66, False, [False, False, False, False], 1534, 'South', (18, 10))
Element 18: (0, (18, 10), ['', '', '', '%'], [(14, 10), (11, 11), (15, 4)], [False, False, False, True], 64, False, [False, False, False, False], 1543, 'South', (18, 9))
Element 19: (0, (18, 9), ['', '', '', '%'], [(15, 10), (10, 11), (15, 5)], [False, False, False, True], 62, False, [False, False, False, False], 1552, 'South', (18, 8))
Element 20: (0, (18, 8), ['', '%', '', '%'], [(16, 10), (10, 12), (14, 5)], [False, True, False, True], 60, False, [False, False, False, False], 1571, 'West', (17, 8))
Element 21: (0, (17, 8), ['', '%', '', ''], [(17, 10), (9, 12), (14, 6)], [False, True, False, False], 58, False, [False, False, False, False], 1590, 'North', (17, 9))
Element 22: (0, (17, 9), ['', '', '', ''], [(18, 10), (9, 11), (13, 6)], [False, False, False, False], 56, False, [False, False, False, False], 1609, 'North', (17, 10))
Element 23: (0, (17, 10), ['', '', '', ''], [(18, 11), (9, 10), (13, 5)], [False, False, False, False], 54, False, [False, False, False, False], 1628, 'West', (16, 10))
Element 24: (0, (16, 10), ['', '', '', ''], [(17, 11), (10, 10), (12, 5)], [False, False, False, False], 52, False, [False, False, False, False], 1647, 'South', (16, 9))
Element 25: (0, (16, 9), ['', '', '', ''], [(16, 11), (9, 10), (12, 6)], [False, False, False, False], 50, False, [False, False, False, False], 1656, 'South', (16, 8))
Element 26: (0, (16, 8), ['', '', '', ''], [(16, 12), (9, 9), (12, 7)], [False, False, False, False], 48, False, [False, False, False, False], 1665, 'South', (16, 7))
Element 27: (0, (16, 7), ['', '', '', '%'], [(16, 13), (9, 8), (13, 7)], [False, False, False, True], 46, False, [False, False, False, False], 1674, 'South', (16, 6))
Element 28: (0, (16, 6), ['', '%', '', ''], [(17, 13), (9, 7), (14, 7)], [False, True, False, False], 44, False, [False, False, False, False], 2673, 'East', (17, 6))
Element 29: (0, (17, 6), ['', '', '%', ''], [(18, 13), (10, 7), (15, 7)], [False, False, True, False], 42, False, [False, False, False, False], 3672, 'East', (18, 6))
Element 30: (0, (18, 6), ['', '', '%', '%'], [(17, 13), (10, 8), (16, 7)], [False, False, True, True], 40, False, [False, False, False, False], 3681, 'South', (18, 5))
Element 31: (0, (18, 5), ['', '', '', '%'], [(16, 13), (11, 8), (16, 8)], [False, False, False, True], 38, False, [False, False, False, False], 3690, 'South', (18, 4))
Element 32: (0, (18, 4), ['', '%', '', '%'], [(16, 12), (10, 8), (17, 8)], [False, True, False, True], 36, False, [False, False, False, False], 3689, 'West', (17, 4))
Element 33: (0, (17, 4), ['', '', '', ''], [(15, 12), (10, 7), (18, 8)], [False, False, False, False], 34, False, [False, False, False, False], 3688, 'North', (17, 5))
Element 34: (0, (17, 5), ['%', '', '', ''], [(15, 11), (10, 6), (18, 9)], [True, False, False, False], 32, False, [False, False, False, False], 3697, 'South', (17, 4))
Element 35: (0, (17, 4), ['', '', '', ''], [(14, 11), (10, 5), (18, 10)], [False, False, False, False], 30, False, [False, False, False, False], 3706, 'South', (17, 3))
Element 36: (0, (17, 3), ['', '%', '', '%'], [(14, 12), (10, 4), (18, 11)], [False, True, False, True], 28, False, [False, False, False, False], 3715, 'West', (16, 3))
Element 37: (0, (16, 3), ['%', '', '', ''], [(13, 12), (10, 3), (17, 11)], [True, False, False, False], 26, False, [False, False, False, False], 3724, 'North', (16, 4))
Element 38: (0, (16, 4), ['', '', '%', ''], [(13, 11), (11, 3), (17, 10)], [False, False, True, False], 24, False, [False, False, False, False], 3733, 'West', (15, 4))
Element 39: (0, (15, 4), ['%', '%', '', ''], [(12, 11), (12, 3), (17, 9)], [True, True, False, False], 22, False, [False, False, False, False], 3742, 'North', (15, 5))
Element 40: (0, (15, 5), ['', '', '', '%'], [(12, 12), (13, 3), (16, 9)], [False, False, False, True], 20, False, [False, False, False, False], 3751, 'North', (15, 6))
Element 41: (0, (15, 6), ['', '', '', ''], [(12, 13), (14, 3), (16, 10)], [False, False, False, False], 18, False, [False, False, False, False], 3760, 'North', (15, 7))
Element 42: (0, (15, 7), ['', '', '', ''], [(11, 13), (14, 2), (16, 11)], [False, False, False, False], 16, False, [False, False, False, False], 3759, 'North', (15, 8))
Element 43: (0, (15, 8), ['', '', '', ''], [(10, 13), (14, 1), (16, 12)], [False, False, False, False], 14, False, [False, False, False, False], 3768, 'North', (15, 9))
Element 44: (0, (15, 9), ['%', '', '', ''], [(10, 12), (13, 1), (16, 13)], [True, False, False, False], 12, False, [False, False, False, False], 3777, 'North', (15, 10))
Element 45: (0, (15, 10), ['', '', '', ''], [(10, 11), (12, 1), (17, 13)], [False, False, False, False], 10, False, [False, False, False, False], 3786, 'North', (15, 11))
Element 46: (0, (15, 11), ['', '', '', ''], [(11, 11), (12, 2), (18, 13)], [False, False, False, False], 8, False, [False, False, False, False], 3795, 'West', (14, 11))
Element 47: (0, (14, 11), ['', '', '', ''], [(11, 10), (11, 2), (17, 13)], [False, False, False, False], 6, False, [False, False, False, False], 3804, 'South', (14, 10))
Element 48: (0, (14, 10), ['', '%', '', ''], [(12, 10), (11, 1), (16, 13)], [False, True, False, False], 4, False, [False, False, False, False], 3813, 'West', (13, 10))
Element 49: (0, (13, 10), ['', '', '', ''], [(12, 9), (10, 1), (16, 12)], [False, False, False, False], 2, False, [False, False, False, False], 3822, 'North', (13, 11))
Element 50: (0, (13, 11), ['', '', '', ''], [(11, 9), (9, 1), (15, 12)], [False, False, False, False], 0, False, [False, False, False, False], 4821, 'Stop', (13, 11))
Element 51: #0#
