Element 1: (2, (6, 9), ['%', '.', '%', ''], [(8, 9), (6, 11), (18, 1)], [True, False, True, False], 98, False, [False, True, False, False], 19, 'South', (6, 8))
Element 2: (2, (6, 8), ['.', '%', '', '.'], [(8, 8), (6, 12), (17, 1)], [False, True, False, False], 96, False, [True, False, False, True], 58, 'East', (7, 8))
Element 3: (2, (7, 8), ['', '%', '', ''], [(9, 8), (7, 12), (18, 1)], [False, True, False, False], 94, False, [False, False, False, False], 87, 'East', (8, 8))
Element 4: (2, (8, 8), ['', '%', '', ''], [(10, 8), (8, 12), (18, 1)], [False, True, False, False], 92, False, [False, False, False, False], 1096, 'East', (9, 8))
Element 5: (2, (9, 8), ['', '.', '%', ''], [(10, 7), (9, 12), (17, 1)], [False, False, True, False], 90, False, [False, True, False, False], 1115, 'South', (9, 7))
Element 6: (2, (9, 7), ['%', '.', '', ''], [(10, 8), (10, 12), (18, 1)], [True, False, False, False], 88, False, [False, True, False, False], 1134, 'South', (9, 6))
Element 7: (2, (9, 6), ['.', '.', '', '%'], [(9, 8), (11, 12), (18, 1)], [False, False, False, True], 86, False, [True, True, False, False], 1153, 'South', (9, 5))
Element 8: (2, (9, 5), ['.', '.', '', 'F'], [(9, 7), (12, 12), (17, 1)], [False, False, False, False], 84, False, [True, True, False, False], 1172, 'East', (10, 5))
Element 9: (2, (10, 5), ['', '.', '%', '%'], [(9, 6), (13, 12), (18, 1)], [False, False, True, True], 82, False, [False, True, False, False], 2181, 'South', (10, 4))
Element 10: (2, (10, 4), ['.', '.', '', '.'], [(8, 6), (13, 13), (18, 1)], [False, False, False, False], 80, False, [True, True, False, True], 2210, 'East', (11, 4))
Element 11: (2, (11, 4), ['', '.', '%', '.'], [(8, 5), (14, 13), (17, 1)], [False, False, True, False], 78, False, [False, True, False, True], 2239, 'East', (12, 4))
Element 12: (2, (12, 4), ['', '%', '.', '.'], [(8, 4), (15, 13), (18, 1)], [False, True, False, False], 76, False, [False, False, True, True], 2268, 'East', (13, 4))
Element 13: (2, (13, 4), ['', '.', '.', '.'], [(8, 3), (16, 13), (18, 1)], [False, False, False, False], 74, False, [False, True, True, True], 3287, 'East', (14, 4))
Element 14: (2, (14, 4), ['', '.', '.', '.'], [(9, 3), (17, 13), (17, 1)], [False, False, False, False], 72, False, [False, True, True, True], 3316, 'East', (15, 4))
Element 15: (2, (15, 4), ['', '%', '.', '.'], [(9, 2), (18, 13), (18, 1)], [False, True, False, False], 70, False, [False, False, True, True], 4335, 'East', (16, 4))
Element 16: (2, (16, 4), ['', '.', '.', '.'], [(10, 2), (18, 12), (18, 1)], [False, False, False, False], 68, False, [False, True, True, True], 4364, 'East', (17, 4))
Element 17: (2, (17, 4), ['', '.', '.', '.'], [(11, 2), (18, 11), (17, 1)], [False, False, False, False], 66, False, [False, True, True, True], 4393, 'East', (18, 4))
