Element 1: (1, (1, 12), ['%', 'F', '.', '.'], [(2, 5), (6, 4), (10, 2)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'South', (1, 11))
Element 2: (1, (1, 11), ['%', '.', '', 'F'], [(3, 5), (6, 5), (9, 2)], [True, False, False, False], 96, False, [False, True, False, False], 2028, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(4, 5), (6, 6), (9, 3)], [False, False, False, True], 94, False, [False, True, True, False], 3057, 'North', (2, 12))
Element 4: (1, (2, 12), ['', '', '%', '.'], [(5, 5), (5, 6), (8, 3)], [False, False, True, False], 92, False, [False, False, False, True], 4086, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(6, 5), (4, 6), (8, 4)], [False, True, False, False], 90, False, [False, False, True, True], 4115, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(6, 6), (3, 6), (9, 4)], [False, False, False, False], 88, False, [False, True, True, True], 4144, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', '.'], [(5, 6), (3, 7), (10, 4)], [False, False, False, False], 86, False, [False, True, True, True], 4173, 'East', (6, 12))
Element 8: (1, (6, 12), ['', '.', '.', '.'], [(4, 6), (2, 7), (10, 5)], [False, False, False, False], 84, False, [False, True, True, True], 5192, 'East', (7, 12))
Element 9: (1, (7, 12), ['', '%', '.', 'F'], [(3, 6), (2, 8), (9, 5)], [False, True, False, False], 82, False, [False, False, True, False], 6211, 'East', (8, 12))
Element 10: (1, (8, 12), ['', '%', '%', '.'], [(2, 6), (1, 8), (9, 6)], [False, True, True, False], 80, False, [False, False, False, True], 8230, 'East', (9, 12))
Element 11: (1, (9, 12), ['', '%', '.', '.'], [(1, 6), (1, 7), (9, 7)], [False, True, False, False], 78, False, [False, False, True, True], 8269, 'East', (10, 12))
Element 12: (1, (10, 12), ['', '%', '.', '.'], [(1, 7), (1, 8), (10, 7)], [False, True, False, False], 76, False, [False, False, True, True], 8288, 'East', (11, 12))
Element 13: (1, (11, 12), ['', '%', '%', '.'], [(2, 7), (2, 8), (10, 8)], [False, True, True, False], 74, False, [False, False, False, True], 8307, 'East', (12, 12))
Element 14: (1, (12, 12), ['', '.', '.', '.'], [(3, 7), (1, 8), (9, 8)], [False, False, False, False], 72, False, [False, True, True, True], 8326, 'East', (13, 12))
Element 15: (1, (13, 12), ['', '.', '.', '%'], [(2, 7), (1, 7), (8, 8)], [False, False, False, True], 70, False, [False, True, True, False], 8345, 'North', (13, 13))
Element 16: (1, (13, 13), ['.', '', '%', '.'], [(2, 8), (1, 6), (8, 9)], [False, False, True, False], 68, False, [True, False, False, True], 8364, 'East', (14, 13))
Element 17: (1, (14, 13), ['', '%', '%', '.'], [(1, 8), (2, 6), (7, 9)], [False, True, True, False], 66, False, [False, False, False, True], 8383, 'East', (15, 13))
Element 18: (1, (15, 13), ['', '.', '%', '.'], [(2, 8), (2, 5), (7, 8)], [False, False, True, False], 64, False, [False, True, False, True], 8402, 'East', (16, 13))
Element 19: (1, (16, 13), ['', '.', '%', '.'], [(2, 7), (2, 4), (6, 8)], [False, False, True, False], 62, False, [False, True, False, True], 8431, 'East', (17, 13))
Element 20: (1, (17, 13), ['', '.', '%', '.'], [(1, 7), (3, 4), (6, 9)], [False, False, True, False], 60, False, [False, True, False, True], 8460, 'East', (18, 13))
Element 21: (1, (18, 13), ['', '.', '%', '%'], [(1, 8), (4, 4), (6, 8)], [False, False, True, True], 58, False, [False, True, False, False], 8479, 'South', (18, 12))
Element 22: (1, (18, 12), ['.', '.', '', '%'], [(1, 7), (4, 3), (5, 8)], [False, False, False, True], 56, False, [True, True, False, False], 8508, 'South', (18, 11))
Element 23: (1, (18, 11), ['.', '.', '', '%'], [(1, 6), (5, 3), (4, 8)], [False, False, False, True], 54, False, [True, True, False, False], 8537, 'South', (18, 10))
Element 24: (1, (18, 10), ['.', '%', '', '%'], [(2, 6), (6, 3), (5, 8)], [False, True, False, True], 52, False, [True, False, False, False], 8556, 'West', (17, 10))
Element 25: (1, (17, 10), ['.', '.', '.', ''], [(2, 7), (7, 3), (6, 8)], [False, False, False, False], 50, False, [True, True, True, False], 8575, 'North', (17, 11))
Element 26: (1, (17, 11), ['.', '', '.', ''], [(2, 6), (7, 2), (7, 8)], [False, False, False, False], 48, False, [True, False, True, False], 8594, 'North', (17, 12))
Element 27: (1, (17, 12), ['.', '', '', ''], [(3, 6), (8, 2), (7, 9)], [False, False, False, False], 46, False, [True, False, False, False], 8613, 'West', (16, 12))
Element 28: (1, (16, 12), ['.', '.', '', ''], [(3, 7), (8, 1), (6, 9)], [False, False, False, False], 44, False, [True, True, False, False], 8632, 'South', (16, 11))
Element 29: (1, (16, 11), ['%', '.', '', ''], [(3, 6), (9, 1), (7, 9)], [True, False, False, False], 42, False, [False, True, False, False], 8651, 'South', (16, 10))
Element 30: (1, (16, 10), ['%', '.', '', ''], [(4, 6), (9, 2), (8, 9)], [True, False, False, False], 40, False, [False, True, False, False], 8660, 'South', (16, 9))
Element 31: (1, (16, 9), ['%', '%', '', '.'], [(5, 6), (10, 2), (8, 8)], [True, True, False, False], 38, False, [False, False, False, True], 8669, 'East', (17, 9))
Element 32: (1, (17, 9), ['', '%', '', '%'], [(6, 6), (11, 2), (7, 8)], [False, True, False, True], 36, False, [False, False, False, False], 8688, 'West', (16, 9))
Element 33: (1, (16, 9), ['%', '%', '', ''], [(6, 5), (12, 2), (8, 8)], [True, True, False, False], 34, False, [False, False, False, False], 8697, 'North', (16, 10))
Element 34: (1, (16, 10), ['%', '', '', ''], [(6, 4), (13, 2), (9, 8)], [True, False, False, False], 32, False, [False, False, False, False], 8706, 'North', (16, 11))
Element 35: (1, (16, 11), ['%', '', '', ''], [(6, 3), (14, 2), (10, 8)], [True, False, False, False], 30, False, [False, False, False, False], 8715, 'North', (16, 12))
Element 36: (1, (16, 12), ['.', '', '', ''], [(6, 2), (14, 3), (10, 7)], [False, False, False, False], 28, False, [True, False, False, False], 8734, 'West', (15, 12))
Element 37: #1#
