Element 1: (0, (12, 5), ['%', '.', '.', '.'], [(4, 10), (8, 2), (18, 10)], [True, False, False, False], 98, False, [False, True, True, True], 0, 'East', (13, 5))
Element 2: (0, (13, 5), ['', '.', '.', '.'], [(4, 11), (9, 2), (18, 11)], [False, False, False, False], 96, False, [False, True, True, True], 1029, 'East', (14, 5))
Element 3: (0, (14, 5), ['', '.', '%', '.'], [(5, 11), (10, 2), (18, 12)], [False, False, True, False], 94, False, [False, True, False, True], 1068, 'East', (15, 5))
Element 4: (0, (15, 5), ['', '.', '.', '.'], [(6, 11), (11, 2), (18, 13)], [False, False, False, False], 92, False, [False, True, True, True], 1107, 'East', (16, 5))
Element 5: (0, (16, 5), ['', '.', '.', '.'], [(6, 12), (12, 2), (17, 13)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (17, 5))
Element 6: (0, (17, 5), ['', '.', '.', '.'], [(7, 12), (13, 2), (17, 12)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (18, 5))
Element 7: (0, (18, 5), ['', '.', '%', '%'], [(8, 12), (14, 2), (17, 11)], [False, False, True, True], 86, False, [False, True, False, False], 2214, 'South', (18, 4))
Element 8: (0, (18, 4), ['.', '.', '', '%'], [(9, 12), (14, 3), (17, 10)], [False, False, False, True], 84, False, [True, True, False, False], 2253, 'South', (18, 3))
Element 9: (0, (18, 3), ['.', '%', '', '%'], [(10, 12), (14, 4), (17, 9)], [False, True, False, True], 82, False, [True, False, False, False], 2292, 'West', (17, 3))
Element 10: (0, (17, 3), ['.', '%', '.', ''], [(11, 12), (15, 4), (16, 9)], [False, True, False, False], 80, False, [True, False, True, False], 2331, 'North', (17, 4))
Element 11: (0, (17, 4), ['G', '', '', ''], [(12, 12), (16, 4), (16, 10)], [False, False, False, False], 78, False, [False, False, False, False], 2370, 'South', (17, 3))
Element 12: (0, (17, 3), ['G', '%', '', ''], [(13, 12), (16, 3), (16, 11)], [False, True, False, False], 76, False, [False, False, False, False], 2399, 'North', (17, 4))
Element 13: (0, (17, 4), ['', 'G', '', ''], [(13, 13), (17, 3), (16, 12)], [False, False, False, False], 74, False, [False, False, False, False], 2418, 'West', (16, 4))
Element 14: (0, (16, 4), ['', '', '', ''], [(14, 13), (18, 3), (16, 13)], [False, False, False, False], 72, False, [False, False, False, False], 2437, 'South', (16, 3))
Element 15: (0, (16, 3), ['%', '%', '', ''], [(15, 13), (18, 4), (16, 12)], [True, True, False, False], 70, False, [False, False, False, False], 2446, 'North', (16, 4))
Element 16: (0, (16, 4), ['', '', '', ''], [(15, 12), (18, 5), (16, 11)], [False, False, False, False], 68, False, [False, False, False, False], 2455, 'West', (15, 4))
Element 17: (0, (15, 4), ['', '%', '', ''], [(16, 12), (17, 5), (16, 10)], [False, True, False, False], 66, False, [False, False, False, False], 2454, 'West', (14, 4))
Element 18: (0, (14, 4), ['.', '', '', ''], [(17, 12), (17, 6), (16, 11)], [False, False, False, False], 64, False, [True, False, False, False], 2463, 'West', (13, 4))
Element 19: (0, (13, 4), ['.', '.', '', ''], [(18, 12), (17, 7), (16, 10)], [False, False, False, False], 62, False, [True, True, False, False], 2482, 'South', (13, 3))
Element 20: (0, (13, 3), ['%', '', '', ''], [(18, 13), (18, 7), (16, 9)], [True, False, False, False], 60, False, [False, False, False, False], 2501, 'East', (14, 3))
Element 21: (0, (14, 3), ['', '', '', '%'], [(17, 13), (17, 7), (17, 9)], [False, False, False, True], 58, False, [False, False, False, False], 2500, 'South', (14, 2))
Element 22: (0, (14, 2), ['', '.', '', '%'], [(16, 13), (17, 6), (17, 10)], [False, False, False, True], 56, False, [False, True, False, False], 2499, 'South', (14, 1))
Element 23: (0, (14, 1), ['.', '%', '', '.'], [(17, 13), (16, 6), (16, 10)], [False, True, False, False], 54, False, [True, False, False, True], 2518, 'East', (15, 1))
Element 24: (0, (15, 1), ['', '%', '%', '%'], [(18, 13), (15, 6), (17, 10)], [False, True, True, True], 52, False, [False, False, False, False], 2537, 'West', (14, 1))
Element 25: (0, (14, 1), ['.', '%', '', ''], [(18, 12), (15, 7), (17, 11)], [False, True, False, False], 50, False, [True, False, False, False], 2546, 'West', (13, 1))
