Element 1: (2, (12, 6), ['.', '.', '%', 'G'], [(16, 6), (5, 11), (13, 6)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (12, 5))
Element 2: (2, (12, 5), ['%', '.', '', 'G'], [(17, 6), (6, 11), (13, 5)], [True, False, False, False], 96, False, [False, True, False, False], 58, 'South', (12, 4))
Element 3: (2, (12, 4), ['.', '%', '', '.'], [(17, 7), (6, 12), (14, 5)], [False, True, False, False], 94, False, [True, False, False, True], 97, 'East', (13, 4))
Element 4: (2, (13, 4), ['', '.', '', '.'], [(18, 7), (7, 12), (15, 5)], [False, False, False, False], 92, False, [False, True, False, True], 136, 'East', (14, 4))
Element 5: (2, (14, 4), ['', '.', '', '.'], [(17, 7), (8, 12), (16, 5)], [False, False, False, False], 90, False, [False, True, False, True], 1155, 'East', (15, 4))
Element 6: (2, (15, 4), ['', '%', '', '.'], [(17, 6), (9, 12), (17, 5)], [False, True, False, False], 88, False, [False, False, False, True], 1184, 'East', (16, 4))
Element 7: (2, (16, 4), ['', '.', '', '.'], [(17, 5), (10, 12), (18, 5)], [False, False, False, False], 86, False, [False, True, False, True], 1213, 'East', (17, 4))
Element 8: (2, (17, 4), ['', '.', '', 'G'], [(18, 5), (11, 12), (18, 4)], [False, False, False, False], 84, False, [False, True, False, False], 1242, 'South', (17, 3))
Element 9: (2, (17, 3), ['.', '%', '', 'G'], [(18, 4), (12, 12), (18, 3)], [False, True, False, False], 82, False, [True, False, False, False], 1271, 'West', (16, 3))
Element 10: (2, (16, 3), ['%', '%', '', 'G'], [(18, 3), (13, 12), (17, 3)], [True, True, False, False], 80, False, [False, False, False, False], 1290, 'North', (16, 4))
Element 11: (2, (16, 4), ['', '', '', 'G'], [(17, 3), (13, 13), (17, 4)], [False, False, False, False], 78, False, [False, False, False, False], 1299, 'West', (15, 4))
Element 12: (2, (15, 4), ['', '%', '', 'G'], [(17, 4), (14, 13), (16, 4)], [False, True, False, False], 76, False, [False, False, False, False], 1308, 'North', (15, 5))
Element 13: (2, (15, 5), ['', '', '', ''], [(16, 4), (15, 13), (16, 3)], [False, False, False, False], 74, False, [False, False, False, False], 1317, 'East', (16, 5))
Element 14: (2, (16, 5), ['', '', '', ''], [(16, 3), (16, 13), (17, 3)], [False, False, False, False], 72, False, [False, False, False, False], 1326, 'East', (17, 5))
Element 15: (2, (17, 5), ['', 'G', '', ''], [(16, 4), (17, 13), (17, 4)], [False, False, False, False], 70, False, [False, False, False, False], 1335, 'East', (18, 5))
Element 16: (2, (18, 5), ['', '', '%', '%'], [(15, 4), (18, 13), (17, 3)], [False, False, True, True], 68, False, [False, False, False, False], 1344, 'South', (18, 4))
Element 17: (2, (18, 4), ['G', '', '', '%'], [(15, 5), (18, 12), (17, 4)], [False, False, False, True], 66, False, [False, False, False, False], 1353, 'South', (18, 3))
Element 18: (2, (18, 3), ['G', '%', '', '%'], [(16, 5), (18, 11), (17, 3)], [False, True, False, True], 64, False, [False, False, False, False], 1362, 'North', (18, 4))
Element 19: (2, (18, 4), ['', '', '', '%'], [(15, 5), (18, 10), (16, 3)], [False, False, False, True], 62, False, [False, False, False, False], 1371, 'North', (18, 5))
Element 20: (2, (18, 5), ['', '', '%', '%'], [(14, 5), (17, 10), (17, 3)], [False, False, True, True], 60, False, [False, False, False, False], 1380, 'West', (17, 5))
Element 21: (2, (17, 5), ['', '', '', ''], [(14, 4), (17, 11), (18, 3)], [False, False, False, False], 58, False, [False, False, False, False], 1389, 'North', (17, 6))
