Element 1: (0, (17, 7), ['%', '.', '%', 'G'], [(8, 9), (11, 2), (18, 7)], [True, False, True, False], 98, False, [False, True, False, False], 0, 'South', (17, 6))
Element 2: (0, (17, 6), ['.', '.', 'G', '%'], [(8, 8), (12, 2), (17, 7)], [False, False, False, True], 96, False, [True, True, False, False], 29, 'South', (17, 5))
Element 3: (0, (17, 5), ['.', '.', 'G', '.'], [(9, 8), (13, 2), (17, 6)], [False, False, False, False], 94, False, [True, True, False, True], 58, 'East', (18, 5))
Element 4: (0, (18, 5), ['', '.', '%', '%'], [(10, 8), (14, 2), (16, 6)], [False, False, True, True], 92, False, [False, True, False, False], 97, 'South', (18, 4))
Element 5: (0, (18, 4), ['.', '.', '', '%'], [(10, 7), (14, 3), (16, 5)], [False, False, False, True], 90, False, [True, True, False, False], 136, 'South', (18, 3))
Element 6: (0, (18, 3), ['.', '%', '', '%'], [(9, 7), (14, 4), (16, 4)], [False, True, False, True], 88, False, [True, False, False, False], 175, 'West', (17, 3))
Element 7: (0, (17, 3), ['.', '%', 'G', ''], [(9, 6), (15, 4), (17, 4)], [False, True, False, False], 86, False, [True, False, False, False], 214, 'West', (16, 3))
Element 8: (0, (16, 3), ['%', '%', '', ''], [(9, 5), (15, 5), (18, 4)], [True, True, False, False], 84, False, [False, False, False, False], 243, 'North', (16, 4))
Element 9: (0, (16, 4), ['', '', '', ''], [(10, 5), (15, 6), (18, 5)], [False, False, False, False], 82, False, [False, False, False, False], 1252, 'East', (17, 4))
Element 10: (0, (17, 4), ['', '', 'G', ''], [(10, 4), (15, 7), (17, 5)], [False, False, False, False], 80, False, [False, False, False, False], 1271, 'West', (16, 4))
Element 11: (0, (16, 4), ['', '', '', ''], [(11, 4), (15, 8), (18, 5)], [False, False, False, False], 78, False, [False, False, False, False], 1290, 'North', (16, 5))
Element 12: (0, (16, 5), ['', '', '', ''], [(12, 4), (14, 8), (18, 4)], [False, False, False, False], 76, False, [False, False, False, False], 1309, 'North', (16, 6))
Element 13: (0, (16, 6), ['', '', '%', ''], [(13, 4), (14, 7), (18, 3)], [False, False, True, False], 74, False, [False, False, False, False], 1328, 'West', (15, 6))
