Element 1: (3, (18, 5), ['', '.', '%', '%'], [(17, 6), (15, 7), (14, 8)], [False, False, True, True], 98, False, [False, True, False, False], 29, 'South', (18, 4))
Element 2: (3, (18, 4), ['.', '.', '', '%'], [(17, 7), (15, 6), (13, 8)], [False, False, False, True], 96, False, [True, True, False, False], 68, 'South', (18, 3))
Element 3: (3, (18, 3), ['.', '%', '', '%'], [(18, 7), (16, 6), (14, 8)], [False, True, False, True], 94, False, [True, False, False, False], 97, 'West', (17, 3))
Element 4: (3, (17, 3), ['.', '%', '.', ''], [(17, 7), (16, 5), (14, 7)], [False, True, False, False], 92, False, [True, False, True, False], 116, 'North', (17, 4))
Element 5: (3, (17, 4), ['G', '', '', ''], [(17, 6), (16, 4), (15, 7)], [False, False, False, False], 90, False, [False, False, False, False], 135, 'North', (17, 5))
Element 6: (3, (17, 5), ['', '', '', ''], [(16, 6), (16, 3), (15, 6)], [False, False, False, False], 88, False, [False, False, False, False], 144, 'North', (17, 6))
Element 7: (3, (17, 6), ['', '', '', '%'], [(16, 5), (17, 3), (15, 5)], [False, False, False, True], 86, False, [False, False, False, False], 153, 'North', (17, 7))
Element 8: (3, (17, 7), ['%', '', '%', ''], [(16, 4), (18, 3), (15, 4)], [True, False, True, False], 84, False, [False, False, False, False], 162, 'East', (18, 7))
Element 9: (3, (18, 7), ['', '%', '%', '%'], [(17, 4), (18, 4), (14, 4)], [False, True, True, True], 82, False, [False, False, False, False], 171, 'West', (17, 7))
Element 10: (3, (17, 7), ['%', '', '%', ''], [(17, 3), (18, 5), (14, 5)], [True, False, True, False], 80, False, [False, False, False, False], 180, 'South', (17, 6))
Element 11: (3, (17, 6), ['', 'G', '', '%'], [(18, 3), (17, 5), (13, 5)], [False, False, False, True], 78, False, [False, False, False, False], 189, 'West', (16, 6))
Element 12: (3, (16, 6), ['', '', '%', 'G'], [(18, 4), (17, 6), (13, 6)], [False, False, True, False], 76, False, [False, False, False, False], 198, 'South', (16, 5))
Element 13: (3, (16, 5), ['', '', '', ''], [(18, 5), (17, 7), (12, 6)], [False, False, False, False], 74, False, [False, False, False, False], 207, 'South', (16, 4))
Element 14: (3, (16, 4), ['', '', '', ''], [(18, 4), (18, 7), (12, 5)], [False, False, False, False], 72, False, [False, False, False, False], 216, 'South', (16, 3))
