Element 1: (3, (7, 3), ['G', '.', '%', 'F'], [(13, 5), (3, 1), (6, 3)], [False, False, True, False], 98, False, [False, True, False, False], 29, 'East', (8, 3))
Element 2: (3, (8, 3), ['', '.', '.', '.'], [(14, 5), (4, 1), (6, 4)], [False, False, False, False], 96, False, [False, True, True, True], 1058, 'East', (9, 3))
Element 3: (3, (9, 3), ['', 'F', '.', '.'], [(15, 5), (5, 1), (6, 5)], [False, False, False, False], 94, False, [False, False, True, True], 1097, 'South', (9, 2))
Element 4: (3, (9, 2), ['.', '.', '', '.'], [(16, 5), (6, 1), (6, 6)], [False, False, False, False], 92, False, [True, True, False, True], 3116, 'East', (10, 2))
Element 5: (3, (10, 2), ['', '%', '.', '.'], [(17, 5), (7, 1), (5, 6)], [False, True, False, False], 90, False, [False, False, True, True], 3155, 'East', (11, 2))
Element 6: (3, (11, 2), ['', '.', '.', '.'], [(18, 5), (8, 1), (5, 5)], [False, False, False, False], 88, False, [False, True, True, True], 3194, 'East', (12, 2))
Element 7: (3, (12, 2), ['', '.', '%', '.'], [(18, 4), (9, 1), (4, 5)], [False, False, True, False], 86, False, [False, True, False, True], 3233, 'East', (13, 2))
Element 8: (3, (13, 2), ['', '.', '.', '.'], [(18, 3), (9, 2), (4, 6)], [False, False, False, False], 84, False, [False, True, True, True], 3262, 'East', (14, 2))
Element 9: (3, (14, 2), ['', '.', '.', '%'], [(17, 3), (8, 2), (3, 6)], [False, False, False, True], 82, False, [False, True, True, False], 3301, 'North', (14, 3))
Element 10: (3, (14, 3), ['.', '', '.', '%'], [(17, 4), (7, 2), (3, 7)], [False, False, False, True], 80, False, [True, False, True, False], 3340, 'North', (14, 4))
Element 11: (3, (14, 4), ['.', '', '', '.'], [(16, 4), (6, 2), (2, 7)], [False, False, False, False], 78, False, [True, False, False, True], 3379, 'East', (15, 4))
Element 12: (3, (15, 4), ['', '%', '', ''], [(16, 3), (5, 2), (2, 8)], [False, True, False, False], 76, False, [False, False, False, False], 4408, 'East', (16, 4))
Element 13: (3, (16, 4), ['', '', '', ''], [(17, 3), (4, 2), (1, 8)], [False, False, False, False], 74, False, [False, False, False, False], 5417, 'East', (17, 4))
Element 14: (3, (17, 4), ['', '', '', ''], [(16, 3), (4, 3), (1, 7)], [False, False, False, False], 72, False, [False, False, False, False], 5436, 'East', (18, 4))
Element 15: (3, (18, 4), ['', '', '', '%'], [(17, 3), (4, 4), (1, 6)], [False, False, False, True], 70, False, [False, False, False, False], 5455, 'North', (18, 5))
Element 16: (3, (18, 5), ['', '', '%', '%'], [(16, 3), (3, 4), (2, 6)], [False, False, True, True], 68, False, [False, False, False, False], 5474, 'West', (17, 5))
Element 17: (3, (17, 5), ['', '', '.', ''], [(17, 3), (3, 5), (2, 5)], [False, False, False, False], 66, False, [False, False, True, False], 5493, 'North', (17, 6))
Element 18: (3, (17, 6), ['.', '', '.', '%'], [(18, 3), (4, 5), (2, 4)], [False, False, False, True], 64, False, [True, False, True, False], 5512, 'North', (17, 7))
Element 19: (3, (17, 7), ['%', '', '%', '.'], [(18, 4), (5, 5), (2, 3)], [True, False, True, False], 62, False, [False, False, False, True], 5531, 'East', (18, 7))
Element 20: (3, (18, 7), ['', '%', '%', '%'], [(17, 4), (6, 5), (3, 3)], [False, True, True, True], 60, False, [False, False, False, False], 5550, 'West', (17, 7))
Element 21: (3, (17, 7), ['%', '', '%', ''], [(18, 4), (6, 6), (4, 3)], [True, False, True, False], 58, False, [False, False, False, False], 5549, 'South', (17, 6))
Element 22: (3, (17, 6), ['.', '', '', '%'], [(18, 5), (5, 6), (4, 4)], [False, False, False, True], 56, False, [True, False, False, False], 5548, 'West', (16, 6))
Element 23: (3, (16, 6), ['.', '', '%', ''], [(17, 5), (4, 6), (3, 4)], [False, False, True, False], 54, False, [True, False, False, False], 5557, 'West', (15, 6))
Element 24: (3, (15, 6), ['%', '', '.', ''], [(17, 6), (3, 6), (3, 5)], [True, False, False, False], 52, False, [False, False, True, False], 5566, 'North', (15, 7))
Element 25: (3, (15, 7), ['.', '', '.', '%'], [(17, 7), (3, 7), (3, 4)], [False, False, False, True], 50, False, [True, False, True, False], 5575, 'North', (15, 8))
Element 26: (3, (15, 8), ['.', '', '%', '%'], [(18, 7), (2, 7), (4, 4)], [False, False, True, True], 48, False, [True, False, False, False], 5584, 'West', (14, 8))
Element 27: (3, (14, 8), ['.', '.', '%', ''], [(17, 7), (2, 8), (4, 3)], [False, False, True, False], 46, False, [True, True, False, False], 5593, 'South', (14, 7))
Element 28: (3, (14, 7), ['%', '%', '', ''], [(17, 6), (1, 8), (4, 2)], [True, True, False, False], 44, False, [False, False, False, False], 5602, 'North', (14, 8))
Element 29: (3, (14, 8), ['.', '', '%', ''], [(16, 6), (1, 7), (5, 2)], [False, False, True, False], 42, False, [True, False, False, False], 5601, 'West', (13, 8))
Element 30: (3, (13, 8), ['%', '%', '%', ''], [(15, 6), (1, 6), (6, 2)], [True, True, True, False], 40, False, [False, False, False, False], 5610, 'East', (14, 8))
Element 31: (3, (14, 8), ['', '', '%', ''], [(15, 7), (1, 5), (7, 2)], [False, False, True, False], 38, False, [False, False, False, False], 5619, 'East', (15, 8))
Element 32: (3, (15, 8), ['', '', '%', '%'], [(14, 7), (1, 4), (8, 2)], [False, False, True, True], 36, False, [False, False, False, False], 5628, 'South', (15, 7))
Element 33: (3, (15, 7), ['', '', '', '%'], [(14, 8), (2, 4), (9, 2)], [False, False, False, True], 34, False, [False, False, False, False], 5627, 'West', (14, 7))
Element 34: (3, (14, 7), ['%', '%', '', ''], [(15, 8), (2, 5), (10, 2)], [True, True, False, False], 32, False, [False, False, False, False], 5626, 'East', (15, 7))
Element 35: (3, (15, 7), ['', '', '', '%'], [(14, 8), (2, 6), (10, 3)], [False, False, False, True], 30, False, [False, False, False, False], 5635, 'South', (15, 6))
Element 36: (3, (15, 6), ['%', '', '', ''], [(13, 8), (2, 5), (11, 3)], [True, False, False, False], 28, False, [False, False, False, False], 5644, 'South', (15, 5))
Element 37: (3, (15, 5), ['', '', '', ''], [(14, 8), (2, 4), (11, 4)], [False, False, False, False], 26, False, [False, False, False, False], 5653, 'East', (16, 5))
Element 38: (3, (16, 5), ['', '', '', ''], [(14, 7), (2, 3), (12, 4)], [False, False, False, False], 24, False, [False, False, False, False], 5662, 'West', (15, 5))
