Element 1: (0, (4, 8), ['%', '%', '%', '.'], [(15, 4), (15, 8), (18, 7)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (5, 8))
Element 2: (0, (5, 8), ['', '%', '%', '.'], [(16, 4), (15, 7), (17, 7)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (6, 8))
Element 3: (0, (6, 8), ['', '%', '.', '.'], [(17, 4), (15, 6), (17, 6)], [False, True, False, False], 94, False, [False, False, True, True], 78, 'East', (7, 8))
Element 4: (0, (7, 8), ['', '%', '.', '.'], [(18, 4), (16, 6), (17, 5)], [False, True, False, False], 92, False, [False, False, True, True], 117, 'East', (8, 8))
Element 5: (0, (8, 8), ['', '%', '.', '.'], [(18, 5), (16, 5), (17, 4)], [False, True, False, False], 90, False, [False, False, True, True], 146, 'East', (9, 8))
Element 6: (0, (9, 8), ['', '.', '%', '.'], [(17, 5), (15, 5), (17, 3)], [False, False, True, False], 88, False, [False, True, False, True], 175, 'East', (10, 8))
Element 7: (0, (10, 8), ['', '.', '%', '%'], [(17, 6), (14, 5), (18, 3)], [False, False, True, True], 86, False, [False, True, False, False], 204, 'South', (10, 7))
Element 8: (0, (10, 7), ['.', '%', '', '%'], [(17, 7), (14, 4), (18, 4)], [False, True, False, True], 84, False, [True, False, False, False], 223, 'West', (9, 7))
Element 9: (0, (9, 7), ['%', '.', '', ''], [(18, 7), (14, 3), (18, 5)], [True, False, False, False], 82, False, [False, True, False, False], 242, 'South', (9, 6))
Element 10: (0, (9, 6), ['.', '.', '', '%'], [(17, 7), (14, 2), (18, 4)], [False, False, False, True], 80, False, [True, True, False, False], 261, 'South', (9, 5))
Element 11: (0, (9, 5), ['.', '.', '', 'F'], [(17, 6), (14, 1), (18, 3)], [False, False, False, False], 78, False, [True, True, False, False], 280, 'East', (10, 5))
Element 12: (0, (10, 5), ['', '.', '%', '%'], [(16, 6), (15, 1), (17, 3)], [False, False, True, True], 76, False, [False, True, False, False], 1289, 'South', (10, 4))
Element 13: (0, (10, 4), ['.', '.', '', '.'], [(16, 5), (14, 1), (16, 3)], [False, False, False, False], 74, False, [True, True, False, True], 1308, 'East', (11, 4))
Element 14: (0, (11, 4), ['', '.', '%', '.'], [(15, 5), (13, 1), (16, 4)], [False, False, True, False], 72, False, [False, True, False, True], 1327, 'East', (12, 4))
Element 15: (0, (12, 4), ['', '%', '.', '.'], [(15, 6), (13, 2), (16, 5)], [False, True, False, False], 70, False, [False, False, True, True], 1346, 'East', (13, 4))
Element 16: (0, (13, 4), ['', 'G', '.', ''], [(15, 7), (13, 3), (16, 6)], [False, False, False, False], 68, False, [False, False, True, False], 1365, 'North', (13, 5))
Element 17: (0, (13, 5), ['.', 'G', '.', ''], [(14, 7), (13, 4), (15, 6)], [False, False, False, False], 66, False, [True, False, True, False], 1384, 'North', (13, 6))
Element 18: (0, (13, 6), ['.', 'G', '%', '%'], [(14, 8), (13, 5), (15, 7)], [False, False, True, True], 64, False, [True, False, False, False], 1403, 'West', (12, 6))
Element 19: (0, (12, 6), ['.', 'G', '%', ''], [(13, 8), (12, 5), (15, 8)], [False, False, True, False], 62, False, [True, False, False, False], 1432, 'West', (11, 6))
Element 20: (0, (11, 6), ['%', '%', '%', 'G'], [(14, 8), (12, 6), (15, 7)], [True, True, True, False], 60, False, [False, False, False, False], 1441, 'Stop', (11, 6))
Element 21: (0, (11, 6), ['%', '%', '%', ''], [(15, 8), (13, 6), (14, 7)], [True, True, True, False], 58, False, [False, False, False, False], 1440, 'East', (12, 6))
Element 22: (0, (12, 6), ['', '', '%', ''], [(14, 8), (13, 5), (15, 7)], [False, False, True, False], 56, False, [False, False, False, False], 1439, 'West', (11, 6))
Element 23: (0, (11, 6), ['%', '%', '%', ''], [(14, 7), (12, 5), (15, 6)], [True, True, True, False], 54, False, [False, False, False, False], 1438, 'East', (12, 6))
Element 24: (0, (12, 6), ['', '', '%', ''], [(15, 7), (12, 4), (15, 5)], [False, False, True, False], 52, False, [False, False, False, False], 1437, 'South', (12, 5))
Element 25: (0, (12, 5), ['%', '', '', ''], [(15, 8), (11, 4), (15, 4)], [True, False, False, False], 50, False, [False, False, False, False], 1436, 'East', (13, 5))
Element 26: (0, (13, 5), ['', '', '', ''], [(15, 7), (11, 3), (14, 4)], [False, False, False, False], 48, False, [False, False, False, False], 1445, 'Stop', (13, 5))
Element 27: (0, (13, 5), ['', '', '', 'G'], [(15, 6), (11, 2), (14, 5)], [False, False, False, False], 46, False, [False, False, False, False], 1454, 'South', (13, 4))
Element 28: (0, (13, 4), ['', '', 'G', ''], [(15, 5), (12, 2), (13, 5)], [False, False, False, False], 44, False, [False, False, False, False], 1463, 'East', (14, 4))
Element 29: (0, (14, 4), ['', '', 'G', ''], [(14, 5), (12, 1), (13, 6)], [False, False, False, False], 42, False, [False, False, False, False], 1472, 'East', (15, 4))
Element 30: (0, (15, 4), ['G', '%', '', ''], [(14, 4), (11, 1), (12, 6)], [False, True, False, False], 40, False, [False, False, False, False], 1481, 'East', (16, 4))
Element 31: (0, (16, 4), ['', '', '', ''], [(14, 3), (12, 1), (12, 5)], [False, False, False, False], 38, False, [False, False, False, False], 1480, 'East', (17, 4))
Element 32: (0, (17, 4), ['', '', '', ''], [(14, 2), (12, 2), (12, 4)], [False, False, False, False], 36, False, [False, False, False, False], 1479, 'East', (18, 4))
Element 33: (0, (18, 4), ['', '', '', '%'], [(14, 1), (11, 2), (13, 4)], [False, False, False, True], 34, False, [False, False, False, False], 1478, 'North', (18, 5))
Element 34: (0, (18, 5), ['', '', '%', '%'], [(15, 1), (11, 1), (13, 3)], [False, False, True, True], 32, False, [False, False, False, False], 1477, 'West', (17, 5))
Element 35: (0, (17, 5), ['', '', '', ''], [(14, 1), (11, 2), (14, 3)], [False, False, False, False], 30, False, [False, False, False, False], 1476, 'North', (17, 6))
Element 36: (0, (17, 6), ['', '', '', '%'], [(13, 1), (10, 2), (14, 2)], [False, False, False, True], 28, False, [False, False, False, False], 1485, 'North', (17, 7))
Element 37: (0, (17, 7), ['%', '', '%', ''], [(13, 2), (9, 2), (14, 1)], [True, False, True, False], 26, False, [False, False, False, False], 2484, 'East', (18, 7))
Element 38: (0, (18, 7), ['', '%', '%', '%'], [(13, 3), (9, 3), (15, 1)], [False, True, True, True], 24, False, [False, False, False, False], 2493, 'West', (17, 7))
Element 39: (0, (17, 7), ['%', '', '%', ''], [(13, 4), (8, 3), (14, 1)], [True, False, True, False], 22, False, [False, False, False, False], 3492, 'South', (17, 6))
Element 40: (0, (17, 6), ['', '', '', '%'], [(13, 5), (8, 4), (13, 1)], [False, False, False, True], 20, False, [False, False, False, False], 3501, 'West', (16, 6))
Element 41: (0, (16, 6), ['', '', '%', ''], [(13, 6), (9, 4), (13, 2)], [False, False, True, False], 18, False, [False, False, False, False], 3510, 'South', (16, 5))
Element 42: (0, (16, 5), ['', '', '', ''], [(12, 6), (10, 4), (12, 2)], [False, False, False, False], 16, False, [False, False, False, False], 3509, 'West', (15, 5))
Element 43: (0, (15, 5), ['', '', '', ''], [(12, 5), (10, 3), (12, 1)], [False, False, False, False], 14, False, [False, False, False, False], 3518, 'North', (15, 6))
Element 44: (0, (15, 6), ['%', '', '', ''], [(12, 4), (10, 4), (11, 1)], [True, False, False, False], 12, False, [False, False, False, False], 3517, 'North', (15, 7))
Element 45: (0, (15, 7), ['', '', '', '%'], [(11, 4), (10, 5), (11, 2)], [False, False, False, True], 10, False, [False, False, False, False], 3516, 'North', (15, 8))
Element 46: (0, (15, 8), ['', '', '%', '%'], [(11, 3), (9, 5), (10, 2)], [False, False, True, True], 8, False, [False, False, False, False], 3515, 'West', (14, 8))
Element 47: (0, (14, 8), ['', '', '%', ''], [(11, 2), (8, 5), (10, 3)], [False, False, True, False], 6, False, [False, False, False, False], 3524, 'South', (14, 7))
Element 48: (0, (14, 7), ['%', '%', '', ''], [(12, 2), (8, 6), (11, 3)], [True, True, False, False], 4, False, [False, False, False, False], 3533, 'North', (14, 8))
Element 49: (0, (14, 8), ['', '', '%', ''], [(12, 1), (9, 6), (11, 4)], [False, False, True, False], 2, False, [False, False, False, False], 3532, 'West', (13, 8))
Element 50: (0, (13, 8), ['%', '%', '%', ''], [(11, 1), (9, 7), (10, 4)], [True, True, True, False], 0, False, [False, False, False, False], 3531, 'Stop', (13, 8))
Element 51: #0#
