Element 1: (2, (1, 2), ['%', '', '%', '.'], [(18, 1), (2, 1), (9, 4)], [True, False, True, False], 98, False, [False, False, False, True], 19, 'East', (2, 2))
Element 2: (2, (2, 2), ['', '', '.', '%'], [(17, 1), (3, 1), (10, 4)], [False, False, False, True], 96, False, [False, False, True, False], 48, 'North', (2, 3))
Element 3: (2, (2, 3), ['%', '', '.', '.'], [(17, 1), (4, 1), (10, 5)], [True, False, False, False], 94, False, [False, False, True, True], 1067, 'East', (3, 3))
Element 4: (2, (3, 3), ['', '%', '.', '.'], [(18, 1), (5, 1), (9, 5)], [False, True, False, False], 92, False, [False, False, True, True], 1096, 'East', (4, 3))
Element 5: (2, (4, 3), ['', '.', '.', '.'], [(17, 1), (6, 1), (9, 6)], [False, False, False, False], 90, False, [False, True, True, True], 2115, 'East', (5, 3))
Element 6: (2, (5, 3), ['', '.', '%', '.'], [(17, 1), (7, 1), (9, 7)], [False, False, True, False], 88, False, [False, True, False, True], 2144, 'East', (6, 3))
Element 7: (2, (6, 3), ['', '.', '.', '.'], [(18, 1), (8, 1), (10, 7)], [False, False, False, False], 86, False, [False, True, True, True], 2173, 'East', (7, 3))
Element 8: (2, (7, 3), ['', '.', '%', 'F'], [(17, 1), (9, 1), (10, 8)], [False, False, True, False], 84, False, [False, True, False, False], 2202, 'East', (8, 3))
Element 9: (2, (8, 3), ['', '.', '.', '.'], [(17, 1), (9, 2), (9, 8)], [False, False, False, False], 82, False, [False, True, True, True], 4211, 'East', (9, 3))
Element 10: (2, (9, 3), ['', '', '', '.'], [(18, 1), (10, 2), (8, 8)], [False, False, False, False], 80, False, [False, False, False, True], 4240, 'East', (10, 3))
Element 11: (2, (10, 3), ['', '', '', '.'], [(17, 1), (11, 2), (8, 9)], [False, False, False, False], 78, False, [False, False, False, True], 4269, 'East', (11, 3))
Element 12: (2, (11, 3), ['', '', '.', '%'], [(17, 1), (12, 2), (7, 9)], [False, False, False, True], 76, False, [False, False, True, False], 4298, 'North', (11, 4))
Element 13: (2, (11, 4), ['', '', '%', '.'], [(18, 1), (13, 2), (7, 8)], [False, False, True, False], 74, False, [False, False, False, True], 4327, 'East', (12, 4))
Element 14: (2, (12, 4), ['', '%', '.', '.'], [(17, 1), (14, 2), (6, 8)], [False, True, False, False], 72, False, [False, False, True, True], 4356, 'East', (13, 4))
Element 15: (2, (13, 4), ['', '.', '.', '.'], [(17, 1), (14, 3), (6, 9)], [False, False, False, False], 70, False, [False, True, True, True], 4385, 'East', (14, 4))
Element 16: (2, (14, 4), ['', '', '.', '.'], [(18, 1), (13, 3), (6, 8)], [False, False, False, False], 68, False, [False, False, True, True], 4404, 'East', (15, 4))
Element 17: (2, (15, 4), ['', '%', '.', '.'], [(17, 1), (13, 4), (5, 8)], [False, True, False, False], 66, False, [False, False, True, True], 4423, 'East', (16, 4))
Element 18: (2, (16, 4), ['', '.', '.', '.'], [(17, 1), (13, 5), (4, 8)], [False, False, False, False], 64, False, [False, True, True, True], 4452, 'East', (17, 4))
Element 19: (2, (17, 4), ['', '.', '.', '.'], [(18, 1), (14, 5), (5, 8)], [False, False, False, False], 62, False, [False, True, True, True], 4471, 'East', (18, 4))
Element 20: (2, (18, 4), ['', '.', '.', '%'], [(17, 1), (15, 5), (6, 8)], [False, False, False, True], 60, False, [False, True, True, False], 4490, 'North', (18, 5))
Element 21: (2, (18, 5), ['.', '', '%', '%'], [(17, 1), (16, 5), (7, 8)], [False, False, True, True], 58, False, [True, False, False, False], 4509, 'West', (17, 5))
Element 22: (2, (17, 5), ['', '', '.', ''], [(18, 1), (16, 6), (7, 9)], [False, False, False, False], 56, False, [False, False, True, False], 4528, 'North', (17, 6))
Element 23: (2, (17, 6), ['', '', '.', '%'], [(17, 1), (15, 6), (6, 9)], [False, False, False, True], 54, False, [False, False, True, False], 4547, 'North', (17, 7))
