Element 1: (0, (8, 4), ['%', 'F', '.', 'G'], [(4, 11), (9, 4), (13, 3)], [True, False, False, False], 98, False, [False, False, True, False], 0, 'South', (8, 3))
Element 2: (0, (8, 3), ['.', '.', '', '.'], [(5, 11), (10, 4), (14, 3)], [False, False, False, False], 96, False, [True, True, False, True], 1029, 'East', (9, 3))
Element 3: (0, (9, 3), ['', 'F', '', '.'], [(6, 11), (10, 5), (14, 4)], [False, False, False, False], 94, False, [False, False, False, True], 2058, 'South', (9, 2))
Element 4: (0, (9, 2), ['.', '.', '', '.'], [(6, 12), (9, 5), (15, 4)], [False, False, False, False], 92, False, [True, True, False, True], 3087, 'East', (10, 2))
Element 5: (0, (10, 2), ['', '%', '.', '.'], [(7, 12), (9, 6), (16, 4)], [False, True, False, False], 90, False, [False, False, True, True], 3126, 'East', (11, 2))
Element 6: (0, (11, 2), ['', '.', '.', '.'], [(8, 12), (9, 7), (17, 4)], [False, False, False, False], 88, False, [False, True, True, True], 4155, 'East', (12, 2))
Element 7: (0, (12, 2), ['', '.', '%', '.'], [(9, 12), (10, 7), (18, 4)], [False, False, True, False], 86, False, [False, True, False, True], 4194, 'East', (13, 2))
Element 8: (0, (13, 2), ['', '.', '', '.'], [(10, 12), (10, 8), (18, 5)], [False, False, False, False], 84, False, [False, True, False, True], 4233, 'East', (14, 2))
Element 9: (0, (14, 2), ['', '.', '', '%'], [(11, 12), (9, 8), (17, 5)], [False, False, False, True], 82, False, [False, True, False, False], 4272, 'South', (14, 1))
Element 10: (0, (14, 1), ['.', '%', '', '.'], [(12, 12), (8, 8), (17, 6)], [False, True, False, False], 80, False, [True, False, False, True], 4311, 'East', (15, 1))
Element 11: (0, (15, 1), ['', '%', '%', '%'], [(13, 12), (8, 9), (17, 7)], [False, True, True, True], 78, False, [False, False, False, False], 4350, 'West', (14, 1))
Element 12: (0, (14, 1), ['.', '%', '', ''], [(13, 13), (7, 9), (18, 7)], [False, True, False, False], 76, False, [True, False, False, False], 4379, 'West', (13, 1))
Element 13: (0, (13, 1), ['.', '%', '', ''], [(14, 13), (7, 8), (17, 7)], [False, True, False, False], 74, False, [True, False, False, False], 4408, 'West', (12, 1))
Element 14: (0, (12, 1), ['.', '%', '', ''], [(15, 13), (6, 8), (17, 6)], [False, True, False, False], 72, False, [True, False, False, False], 4437, 'West', (11, 1))
Element 15: (0, (11, 1), ['%', '%', '', ''], [(16, 13), (6, 9), (16, 6)], [True, True, False, False], 70, False, [False, False, False, False], 4476, 'East', (12, 1))
Element 16: (0, (12, 1), ['', '%', '', ''], [(17, 13), (6, 8), (16, 5)], [False, True, False, False], 68, False, [False, False, False, False], 4495, 'East', (13, 1))
Element 17: (0, (13, 1), ['', '%', '', ''], [(18, 13), (5, 8), (15, 5)], [False, True, False, False], 66, False, [False, False, False, False], 4524, 'East', (14, 1))
Element 18: (0, (14, 1), ['', '%', '', ''], [(18, 12), (4, 8), (15, 6)], [False, True, False, False], 64, False, [False, False, False, False], 4553, 'North', (14, 2))
Element 19: (0, (14, 2), ['', '', '', '%'], [(18, 11), (5, 8), (15, 7)], [False, False, False, True], 62, False, [False, False, False, False], 4572, 'North', (14, 3))
Element 20: (0, (14, 3), ['', '', '', '%'], [(18, 10), (6, 8), (15, 8)], [False, False, False, True], 60, False, [False, False, False, False], 4591, 'North', (14, 4))
Element 21: (0, (14, 4), ['.', '', '.', ''], [(17, 10), (7, 8), (14, 8)], [False, False, False, False], 58, False, [True, False, True, False], 4610, 'North', (14, 5))
Element 22: (0, (14, 5), ['.', '', '%', ''], [(17, 11), (7, 9), (14, 7)], [False, False, True, False], 56, False, [True, False, False, False], 4639, 'West', (13, 5))
Element 23: (0, (13, 5), ['.', '.', '.', ''], [(17, 12), (6, 9), (14, 8)], [False, False, False, False], 54, False, [True, True, True, False], 4658, 'North', (13, 6))
Element 24: (0, (13, 6), ['.', '', '%', '%'], [(16, 12), (7, 9), (13, 8)], [False, False, True, True], 52, False, [True, False, False, False], 4687, 'West', (12, 6))
Element 25: (0, (12, 6), ['.', '.', '%', ''], [(16, 11), (8, 9), (14, 8)], [False, False, True, False], 50, False, [True, True, False, False], 4706, 'South', (12, 5))
Element 26: (0, (12, 5), ['%', '.', '', ''], [(16, 10), (8, 8), (15, 8)], [True, False, False, False], 48, False, [False, True, False, False], 4725, 'South', (12, 4))
Element 27: (0, (12, 4), ['.', '%', '', '.'], [(16, 9), (7, 8), (15, 7)], [False, True, False, False], 46, False, [True, False, False, True], 4744, 'East', (13, 4))
Element 28: (0, (13, 4), ['', '', '', ''], [(17, 9), (8, 8), (14, 7)], [False, False, False, False], 44, False, [False, False, False, False], 4763, 'South', (13, 3))
Element 29: (0, (13, 3), ['%', '', '', ''], [(16, 9), (9, 8), (15, 7)], [True, False, False, False], 42, False, [False, False, False, False], 4762, 'North', (13, 4))
Element 30: (0, (13, 4), ['', '', '', ''], [(16, 10), (10, 8), (15, 6)], [False, False, False, False], 40, False, [False, False, False, False], 4761, 'West', (12, 4))
Element 31: (0, (12, 4), ['.', '%', '', ''], [(16, 11), (10, 7), (15, 5)], [False, True, False, False], 38, False, [True, False, False, False], 4760, 'West', (11, 4))
Element 32: (0, (11, 4), ['', '.', '%', ''], [(16, 12), (9, 7), (14, 5)], [False, False, True, False], 36, False, [False, True, False, False], 4769, 'South', (11, 3))
Element 33: (0, (11, 3), ['.', '', '', '%'], [(15, 12), (9, 8), (13, 5)], [False, False, False, True], 34, False, [True, False, False, False], 4788, 'West', (10, 3))
Element 34: (0, (10, 3), ['', '', '', ''], [(16, 12), (9, 7), (13, 6)], [False, False, False, False], 32, False, [False, False, False, False], 4797, 'North', (10, 4))
Element 35: (0, (10, 4), ['', '', '', ''], [(17, 12), (9, 6), (12, 6)], [False, False, False, False], 30, False, [False, False, False, False], 4796, 'North', (10, 5))
Element 36: (0, (10, 5), ['', '', '%', '%'], [(17, 11), (8, 6), (11, 6)], [False, False, True, True], 28, False, [False, False, False, False], 4815, 'West', (9, 5))
Element 37: (0, (9, 5), ['G', '', '', ''], [(16, 11), (8, 5), (12, 6)], [False, False, False, False], 26, False, [False, False, False, False], 4824, 'North', (9, 6))
Element 38: (0, (9, 6), ['', '', '', '%'], [(17, 11), (8, 4), (12, 5)], [False, False, False, True], 24, False, [False, False, False, False], 4823, 'North', (9, 7))
Element 39: (0, (9, 7), ['%', '', '', ''], [(17, 10), (8, 3), (12, 4)], [True, False, False, False], 22, False, [False, False, False, False], 4822, 'East', (10, 7))
Element 40: (0, (10, 7), ['', '%', '', '%'], [(17, 9), (8, 2), (13, 4)], [False, True, False, True], 20, False, [False, False, False, False], 4831, 'North', (10, 8))
Element 41: (0, (10, 8), ['', '', '%', '%'], [(17, 10), (8, 1), (12, 4)], [False, False, True, True], 18, False, [False, False, False, False], 4840, 'West', (9, 8))
Element 42: (0, (9, 8), ['', '', '%', ''], [(16, 10), (9, 1), (11, 4)], [False, False, True, False], 16, False, [False, False, False, False], 4849, 'West', (8, 8))
Element 43: (0, (8, 8), ['', '%', '', ''], [(17, 10), (9, 2), (11, 3)], [False, True, False, False], 14, False, [False, False, False, False], 4848, 'North', (8, 9))
Element 44: (0, (8, 9), ['', '', '%', '%'], [(18, 10), (10, 2), (11, 2)], [False, False, True, True], 12, False, [False, False, False, False], 4847, 'West', (7, 9))
Element 45: (0, (7, 9), ['', '', '%', ''], [(18, 11), (10, 3), (12, 2)], [False, False, True, False], 10, False, [False, False, False, False], 4846, 'South', (7, 8))
Element 46: (0, (7, 8), ['', '%', '', ''], [(17, 11), (11, 3), (13, 2)], [False, True, False, False], 8, False, [False, False, False, False], 4845, 'West', (6, 8))
Element 47: (0, (6, 8), ['', '%', '', ''], [(18, 11), (11, 4), (14, 2)], [False, True, False, False], 6, False, [False, False, False, False], 4844, 'North', (6, 9))
Element 48: (0, (6, 9), ['%', '', '%', ''], [(18, 12), (12, 4), (14, 1)], [True, False, True, False], 4, False, [False, False, False, False], 4843, 'South', (6, 8))
Element 49: (0, (6, 8), ['', '%', '', ''], [(17, 12), (13, 4), (15, 1)], [False, True, False, False], 2, False, [False, False, False, False], 4842, 'West', (5, 8))
Element 50: (0, (5, 8), ['', '%', '%', ''], [(18, 12), (14, 4), (14, 1)], [False, True, True, False], 0, False, [False, False, False, False], 4841, 'Stop', (5, 8))
Element 51: #0#
