Element 1: (2, (6, 12), ['G', '.', 'G', '.'], [(15, 7), (5, 12), (6, 13)], [False, False, False, False], 98, False, [False, True, False, True], 19, 'East', (7, 12))
Element 2: (2, (7, 12), ['', '%', 'G', 'F'], [(15, 6), (5, 13), (7, 13)], [False, True, False, False], 96, False, [False, False, False, False], 58, 'East', (8, 12))
Element 3: (2, (8, 12), ['G', '%', '%', '.'], [(16, 6), (4, 13), (7, 12)], [False, True, True, False], 94, False, [False, False, False, True], 1077, 'East', (9, 12))
Element 4: (2, (9, 12), ['G', '%', '.', '.'], [(17, 6), (3, 13), (8, 12)], [False, True, False, False], 92, False, [False, False, True, True], 1106, 'East', (10, 12))
Element 5: (2, (10, 12), ['G', '%', '.', '.'], [(17, 7), (3, 12), (9, 12)], [False, True, False, False], 90, False, [False, False, True, True], 1135, 'East', (11, 12))
Element 6: (2, (11, 12), ['', '%', '%', '.'], [(18, 7), (2, 12), (9, 13)], [False, True, True, False], 88, False, [False, False, False, True], 1174, 'East', (12, 12))
Element 7: (2, (12, 12), ['', '.', '.', '.'], [(17, 7), (2, 11), (10, 13)], [False, False, False, False], 86, False, [False, True, True, True], 2193, 'East', (13, 12))
Element 8: (2, (13, 12), ['', '.', '.', '%'], [(17, 6), (1, 11), (10, 12)], [False, False, False, True], 84, False, [False, True, True, False], 3202, 'North', (13, 13))
Element 9: (2, (13, 13), ['.', '', '%', '.'], [(17, 5), (1, 12), (11, 12)], [False, False, True, False], 82, False, [True, False, False, True], 3231, 'East', (14, 13))
Element 10: (2, (14, 13), ['', '%', '%', '.'], [(18, 5), (1, 13), (12, 12)], [False, True, True, False], 80, False, [False, False, False, True], 3260, 'East', (15, 13))
Element 11: (2, (15, 13), ['', '.', '%', '.'], [(18, 4), (1, 12), (12, 13)], [False, False, True, False], 78, False, [False, True, False, True], 3289, 'East', (16, 13))
Element 12: (2, (16, 13), ['', '.', '%', '.'], [(18, 3), (1, 11), (13, 13)], [False, False, True, False], 76, False, [False, True, False, True], 3308, 'East', (17, 13))
Element 13: (2, (17, 13), ['', '.', '%', '.'], [(17, 3), (1, 10), (14, 13)], [False, False, True, False], 74, False, [False, True, False, True], 3337, 'East', (18, 13))
Element 14: (2, (18, 13), ['', '.', '%', '%'], [(17, 4), (2, 10), (15, 13)], [False, False, True, True], 72, False, [False, True, False, False], 3366, 'South', (18, 12))
Element 15: (2, (18, 12), ['.', '.', '', '%'], [(16, 4), (3, 10), (15, 12)], [False, False, False, True], 70, False, [True, True, False, False], 3405, 'South', (18, 11))
Element 16: (2, (18, 11), ['.', '.', '', '%'], [(16, 5), (4, 10), (16, 12)], [False, False, False, True], 68, False, [True, True, False, False], 3444, 'South', (18, 10))
Element 17: (2, (18, 10), ['.', '%', '', '%'], [(15, 5), (4, 11), (17, 12)], [False, True, False, True], 66, False, [True, False, False, False], 3483, 'West', (17, 10))
Element 18: (2, (17, 10), ['.', '.', 'G', ''], [(15, 4), (5, 11), (17, 11)], [False, False, False, False], 64, False, [True, True, False, False], 3522, 'South', (17, 9))
Element 19: (2, (17, 9), ['.', '%', '', '%'], [(14, 4), (6, 11), (16, 11)], [False, True, False, True], 62, False, [True, False, False, False], 3561, 'West', (16, 9))
Element 20: (2, (16, 9), ['%', '%', 'G', ''], [(14, 5), (6, 12), (16, 10)], [True, True, False, False], 60, False, [False, False, False, False], 3590, 'East', (17, 9))
Element 21: (2, (17, 9), ['', '%', 'G', '%'], [(13, 5), (7, 12), (17, 10)], [False, True, False, True], 58, False, [False, False, False, False], 3599, 'West', (16, 9))
Element 22: (2, (16, 9), ['%', '%', '', ''], [(13, 6), (8, 12), (18, 10)], [True, True, False, False], 56, False, [False, False, False, False], 3608, 'North', (16, 10))
Element 23: (2, (16, 10), ['%', '', '', ''], [(12, 6), (9, 12), (18, 11)], [True, False, False, False], 54, False, [False, False, False, False], 3617, 'North', (16, 11))
Element 24: (2, (16, 11), ['%', '', '', ''], [(12, 5), (10, 12), (18, 12)], [True, False, False, False], 52, False, [False, False, False, False], 3626, 'East', (17, 11))
Element 25: (2, (17, 11), ['', '', '', ''], [(12, 4), (11, 12), (18, 13)], [False, False, False, False], 50, False, [False, False, False, False], 3635, 'North', (17, 12))
Element 26: (2, (17, 12), ['', '', 'G', ''], [(13, 4), (12, 12), (17, 13)], [False, False, False, False], 48, False, [False, False, False, False], 3644, 'West', (16, 12))
Element 27: (2, (16, 12), ['', '', 'G', ''], [(13, 3), (12, 11), (16, 13)], [False, False, False, False], 46, False, [False, False, False, False], 3663, 'West', (15, 12))
Element 28: (2, (15, 12), ['%', '%', '', ''], [(14, 3), (13, 11), (17, 13)], [True, True, False, False], 44, False, [False, False, False, False], 3682, 'East', (16, 12))
Element 29: (2, (16, 12), ['', '', '', ''], [(14, 2), (13, 12), (18, 13)], [False, False, False, False], 42, False, [False, False, False, False], 3691, 'East', (17, 12))
Element 30: (2, (17, 12), ['', '', '', 'G'], [(14, 1), (13, 13), (18, 12)], [False, False, False, False], 40, False, [False, False, False, False], 3700, 'South', (17, 11))
Element 31: (2, (17, 11), ['', '', '', 'G'], [(15, 1), (14, 13), (18, 11)], [False, False, False, False], 38, False, [False, False, False, False], 3709, 'West', (16, 11))
Element 32: (2, (16, 11), ['%', '', '', ''], [(14, 1), (15, 13), (18, 10)], [True, False, False, False], 36, False, [False, False, False, False], 3708, 'North', (16, 12))
Element 33: (2, (16, 12), ['', '', 'G', ''], [(13, 1), (16, 13), (17, 10)], [False, False, False, False], 34, False, [False, False, False, False], 3717, 'South', (16, 11))
Element 34: (2, (16, 11), ['%', '', '', ''], [(13, 2), (17, 13), (17, 9)], [True, False, False, False], 32, False, [False, False, False, False], 3726, 'South', (16, 10))
