Element 1: (1, (1, 7), ['%', '.', 'F', '.'], [(3, 12), (4, 13), (15, 7)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'F'], [(4, 12), (5, 13), (15, 8)], [True, False, True, False], 96, False, [False, False, False, False], 1038, 'East', (2, 8))
Element 3: (1, (2, 8), ['', '.', '%', '%'], [(5, 12), (6, 13), (14, 8)], [False, False, True, True], 94, False, [False, True, False, False], 2067, 'South', (2, 7))
Element 4: (1, (2, 7), ['', '.', '', '.'], [(6, 12), (7, 13), (14, 7)], [False, False, False, False], 92, False, [False, True, False, True], 2106, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '%', '%'], [(6, 11), (7, 12), (14, 8)], [False, False, True, True], 90, False, [False, True, False, False], 2135, 'South', (3, 6))
Element 6: (1, (3, 6), ['.', '.', '', '.'], [(5, 11), (8, 12), (13, 8)], [False, False, False, False], 88, False, [True, True, False, True], 3164, 'East', (4, 6))
Element 7: (1, (4, 6), ['', '.', '%', '.'], [(4, 11), (9, 12), (14, 8)], [False, False, True, False], 86, False, [False, True, False, True], 3193, 'East', (5, 6))
Element 8: (1, (5, 6), ['', '.', '%', '.'], [(4, 10), (10, 12), (15, 8)], [False, False, True, False], 84, False, [False, True, False, True], 3222, 'East', (6, 6))
Element 9: (1, (6, 6), ['', '.', '%', '%'], [(3, 10), (11, 12), (15, 7)], [False, False, True, True], 82, False, [False, True, False, False], 3251, 'South', (6, 5))
Element 10: (1, (6, 5), ['.', '.', '', '%'], [(2, 10), (12, 12), (15, 6)], [False, False, False, True], 80, False, [True, True, False, False], 3290, 'South', (6, 4))
Element 11: (1, (6, 4), ['%', '.', '', '%'], [(2, 11), (13, 12), (16, 6)], [True, False, False, True], 78, False, [False, True, False, False], 4319, 'South', (6, 3))
Element 12: (1, (6, 3), ['.', '.', '', '.'], [(1, 11), (13, 13), (17, 6)], [False, False, False, False], 76, False, [True, True, False, True], 5348, 'East', (7, 3))
Element 13: (1, (7, 3), ['', '.', '%', 'F'], [(1, 12), (14, 13), (17, 7)], [False, False, True, False], 74, False, [False, True, False, False], 5387, 'East', (8, 3))
Element 14: (1, (8, 3), ['', '.', '.', '.'], [(2, 12), (15, 13), (18, 7)], [False, False, False, False], 72, False, [False, True, True, True], 6416, 'East', (9, 3))
Element 15: (1, (9, 3), ['', 'F', '.', '.'], [(1, 12), (16, 13), (17, 7)], [False, False, False, False], 70, False, [False, False, True, True], 6435, 'South', (9, 2))
