Element 1: (3, (15, 8), ['G', '.', '%', '%'], [(15, 13), (14, 8), (16, 6)], [False, False, True, True], 98, False, [False, True, False, False], 29, 'South', (15, 7))
Element 2: (3, (15, 7), ['G', '', '', '%'], [(16, 13), (14, 7), (17, 6)], [False, False, False, True], 96, False, [False, False, False, False], 68, 'South', (15, 6))
Element 3: (3, (15, 6), ['%', '.', 'G', ''], [(17, 13), (15, 7), (17, 7)], [True, False, False, False], 94, False, [False, True, False, False], 87, 'South', (15, 5))
Element 4: (3, (15, 5), ['.', '.', '', '.'], [(18, 13), (15, 8), (18, 7)], [False, False, False, False], 92, False, [True, True, False, True], 116, 'East', (16, 5))
Element 5: (3, (16, 5), ['', '.', '', '.'], [(18, 12), (15, 7), (17, 7)], [False, False, False, False], 90, False, [False, True, False, True], 135, 'East', (17, 5))
Element 6: (3, (17, 5), ['', '.', 'G', '.'], [(18, 11), (15, 6), (17, 6)], [False, False, False, False], 88, False, [False, True, False, True], 154, 'East', (18, 5))
Element 7: (3, (18, 5), ['G', '.', '%', '%'], [(18, 10), (16, 6), (17, 5)], [False, False, True, True], 86, False, [False, True, False, False], 173, 'South', (18, 4))
Element 8: (3, (18, 4), ['G', '.', '', '%'], [(17, 10), (17, 6), (17, 4)], [False, False, False, True], 84, False, [False, True, False, False], 202, 'South', (18, 3))
Element 9: (3, (18, 3), ['G', '%', '', '%'], [(17, 11), (17, 7), (17, 3)], [False, True, False, True], 82, False, [False, False, False, False], 231, 'North', (18, 4))
Element 10: (3, (18, 4), ['', '', '', '%'], [(17, 12), (18, 7), (16, 3)], [False, False, False, True], 80, False, [False, False, False, False], 250, 'North', (18, 5))
Element 11: (3, (18, 5), ['', '', '%', '%'], [(16, 12), (17, 7), (16, 4)], [False, False, True, True], 78, False, [False, False, False, False], 269, 'West', (17, 5))
Element 12: (3, (17, 5), ['', '', 'G', ''], [(16, 11), (17, 6), (15, 4)], [False, False, False, False], 76, False, [False, False, False, False], 288, 'South', (17, 4))
Element 13: (3, (17, 4), ['', '', 'G', ''], [(16, 10), (17, 5), (14, 4)], [False, False, False, False], 74, False, [False, False, False, False], 307, 'South', (17, 3))
Element 14: (3, (17, 3), ['', '%', '', ''], [(16, 9), (18, 5), (14, 5)], [False, True, False, False], 72, False, [False, False, False, False], 326, 'West', (16, 3))
Element 15: (3, (16, 3), ['%', '%', '', ''], [(17, 9), (18, 4), (13, 5)], [True, True, False, False], 70, False, [False, False, False, False], 345, 'North', (16, 4))
Element 16: (3, (16, 4), ['', '', '', ''], [(16, 9), (18, 3), (13, 6)], [False, False, False, False], 68, False, [False, False, False, False], 354, 'West', (15, 4))
Element 17: (3, (15, 4), ['', '%', '', ''], [(16, 10), (17, 3), (12, 6)], [False, True, False, False], 66, False, [False, False, False, False], 363, 'West', (14, 4))
Element 18: (3, (14, 4), ['.', '.', '', ''], [(16, 11), (17, 4), (12, 5)], [False, False, False, False], 64, False, [True, True, False, False], 372, 'South', (14, 3))
Element 19: (3, (14, 3), ['.', '.', '', '%'], [(16, 12), (16, 4), (12, 4)], [False, False, False, True], 62, False, [True, True, False, False], 391, 'South', (14, 2))
