Element 1: (2, (9, 12), ['F', '%', '.', 'G'], [(10, 12), (8, 9), (14, 1)], [False, True, False, False], 98, False, [False, False, True, False], 19, 'West', (8, 12))
Element 2: (2, (8, 12), ['.', '%', '%', ''], [(11, 12), (8, 8), (15, 1)], [False, True, True, False], 96, False, [True, False, False, False], 1048, 'West', (7, 12))
Element 3: (2, (7, 12), ['.', '%', '.', ''], [(12, 12), (9, 8), (14, 1)], [False, True, False, False], 94, False, [True, False, True, False], 1077, 'North', (7, 13))
Element 4: (2, (7, 13), ['.', '', '%', '%'], [(13, 12), (10, 8), (14, 2)], [False, False, True, True], 92, False, [True, False, False, False], 1116, 'West', (6, 13))
Element 5: (2, (6, 13), ['.', '.', '%', ''], [(13, 13), (10, 7), (14, 3)], [False, False, True, False], 90, False, [True, True, False, False], 1155, 'South', (6, 12))
Element 6: (2, (6, 12), ['.', '.', '', ''], [(14, 13), (9, 7), (14, 4)], [False, False, False, False], 88, False, [True, True, False, False], 1194, 'South', (6, 11))
Element 7: (2, (6, 11), ['.', '%', '', '%'], [(15, 13), (9, 6), (15, 4)], [False, True, False, True], 86, False, [True, False, False, False], 1233, 'West', (5, 11))
Element 8: (2, (5, 11), ['.', '%', '.', ''], [(16, 13), (9, 5), (16, 4)], [False, True, False, False], 84, False, [True, False, True, False], 1272, 'North', (5, 12))
Element 9: (2, (5, 12), ['.', '', '.', ''], [(17, 13), (10, 5), (17, 4)], [False, False, False, False], 82, False, [True, False, True, False], 2301, 'North', (5, 13))
Element 10: (2, (5, 13), ['.', '', '%', ''], [(18, 13), (10, 4), (18, 4)], [False, False, True, False], 80, False, [True, False, False, False], 2340, 'West', (4, 13))
Element 11: (2, (4, 13), ['.', '.', '%', ''], [(18, 12), (11, 4), (18, 5)], [False, False, True, False], 78, False, [True, True, False, False], 2379, 'South', (4, 12))
Element 12: (2, (4, 12), ['.', '.', '', ''], [(18, 11), (12, 4), (17, 5)], [False, False, False, False], 76, False, [True, True, False, False], 2418, 'South', (4, 11))
Element 13: (2, (4, 11), ['%', '.', '', ''], [(18, 10), (13, 4), (17, 6)], [True, False, False, False], 74, False, [False, True, False, False], 2457, 'South', (4, 10))
Element 14: (2, (4, 10), ['.', '%', '', '%'], [(17, 10), (13, 5), (17, 7)], [False, True, False, True], 72, False, [True, False, False, False], 2496, 'West', (3, 10))
Element 15: (2, (3, 10), ['.', '%', '%', ''], [(17, 11), (14, 5), (18, 7)], [False, True, True, False], 70, False, [True, False, False, False], 2535, 'West', (2, 10))
Element 16: (2, (2, 10), ['.', '%', 'F', ''], [(17, 12), (15, 5), (17, 7)], [False, True, False, False], 68, False, [True, False, False, False], 2564, 'North', (2, 11))
Element 17: (2, (2, 11), ['F', '', '.', '%'], [(16, 12), (16, 5), (17, 6)], [False, False, False, True], 66, False, [False, False, True, False], 3583, 'West', (1, 11))
Element 18: (2, (1, 11), ['%', '.', '.', ''], [(16, 11), (17, 5), (16, 6)], [True, False, False, False], 64, False, [False, True, True, False], 4602, 'North', (1, 12))
Element 19: (2, (1, 12), ['%', '', '.', '.'], [(16, 10), (18, 5), (15, 6)], [True, False, False, False], 62, False, [False, False, True, True], 4631, 'East', (2, 12))
Element 20: (2, (2, 12), ['', '', '%', '.'], [(16, 9), (18, 4), (15, 7)], [False, False, True, False], 60, False, [False, False, False, True], 4660, 'East', (3, 12))
Element 21: (2, (3, 12), ['', '%', '.', ''], [(17, 9), (18, 3), (15, 8)], [False, True, False, False], 58, False, [False, False, True, False], 4699, 'North', (3, 13))
Element 22: (2, (3, 13), ['%', '', '%', ''], [(16, 9), (17, 3), (14, 8)], [True, False, True, False], 56, False, [False, False, False, False], 4728, 'South', (3, 12))
Element 23: (2, (3, 12), ['', '%', '', ''], [(16, 10), (16, 3), (14, 7)], [False, True, False, False], 54, False, [False, False, False, False], 4747, 'West', (2, 12))
Element 24: (2, (2, 12), ['', '', '%', ''], [(16, 11), (16, 4), (14, 8)], [False, False, True, False], 52, False, [False, False, False, False], 4746, 'West', (1, 12))
Element 25: (2, (1, 12), ['%', '', '.', ''], [(16, 12), (17, 4), (13, 8)], [True, False, False, False], 50, False, [False, False, True, False], 4755, 'North', (1, 13))
Element 26: (2, (1, 13), ['%', '', '%', '%'], [(15, 12), (16, 4), (14, 8)], [True, False, True, True], 48, False, [False, False, False, False], 4774, 'South', (1, 12))
Element 27: (2, (1, 12), ['%', '', '', ''], [(16, 12), (15, 4), (15, 8)], [True, False, False, False], 46, False, [False, False, False, False], 4773, 'South', (1, 11))
Element 28: (2, (1, 11), ['%', '.', '', ''], [(17, 12), (14, 4), (15, 7)], [True, False, False, False], 44, False, [False, True, False, False], 4772, 'South', (1, 10))
Element 29: (2, (1, 10), ['%', '%', '', ''], [(17, 11), (14, 3), (14, 7)], [True, True, False, False], 42, False, [False, False, False, False], 4781, 'North', (1, 11))
Element 30: (2, (1, 11), ['%', '', '', ''], [(16, 11), (13, 3), (15, 7)], [True, False, False, False], 40, False, [False, False, False, False], 4790, 'East', (2, 11))
Element 31: (2, (2, 11), ['', '', '', '%'], [(17, 11), (13, 2), (15, 6)], [False, False, False, True], 38, False, [False, False, False, False], 4799, 'North', (2, 12))
Element 32: (2, (2, 12), ['', '', '%', ''], [(17, 10), (13, 1), (15, 5)], [False, False, True, False], 36, False, [False, False, False, False], 4808, 'South', (2, 11))
Element 33: (2, (2, 11), ['', '', '', '%'], [(17, 9), (12, 1), (16, 5)], [False, False, False, True], 34, False, [False, False, False, False], 4817, 'South', (2, 10))
Element 34: (2, (2, 10), ['', '%', '', ''], [(17, 10), (12, 2), (15, 5)], [False, True, False, False], 32, False, [False, False, False, False], 4826, 'West', (1, 10))
Element 35: (2, (1, 10), ['%', '%', '', ''], [(16, 10), (11, 2), (14, 5)], [True, True, False, False], 30, False, [False, False, False, False], 4835, 'East', (2, 10))
Element 36: (2, (2, 10), ['', '%', '', ''], [(17, 10), (11, 3), (13, 5)], [False, True, False, False], 28, False, [False, False, False, False], 4844, 'East', (3, 10))
Element 37: (2, (3, 10), ['', '%', '%', ''], [(18, 10), (10, 3), (13, 6)], [False, True, True, False], 26, False, [False, False, False, False], 4863, 'East', (4, 10))
Element 38: (2, (4, 10), ['', '%', '', '%'], [(18, 11), (10, 2), (12, 6)], [False, True, False, True], 24, False, [False, False, False, False], 4882, 'North', (4, 11))
Element 39: (2, (4, 11), ['%', '', '', ''], [(17, 11), (9, 2), (12, 5)], [True, False, False, False], 22, False, [False, False, False, False], 5891, 'North', (4, 12))
Element 40: (2, (4, 12), ['', '', '', ''], [(18, 11), (9, 3), (12, 4)], [False, False, False, False], 20, False, [False, False, False, False], 5900, 'West', (3, 12))
