Element 1: (1, (9, 3), ['F', 'F', '.', '.'], [(7, 9), (10, 4), (16, 6)], [False, False, False, False], 98, False, [False, False, True, True], 9, 'South', (9, 2))
Element 2: (1, (9, 2), ['.', '.', '', '.'], [(8, 9), (10, 5), (17, 6)], [False, False, False, False], 96, False, [True, True, False, True], 2028, 'East', (10, 2))
Element 3: (1, (10, 2), ['', '%', '.', '.'], [(8, 8), (9, 5), (17, 7)], [False, True, False, False], 94, False, [False, False, True, True], 2067, 'East', (11, 2))
Element 4: (1, (11, 2), ['', '.', '.', '.'], [(9, 8), (9, 6), (18, 7)], [False, False, False, False], 92, False, [False, True, True, True], 2106, 'East', (12, 2))
Element 5: (1, (12, 2), ['', '.', '%', '.'], [(10, 8), (9, 7), (17, 7)], [False, False, True, False], 90, False, [False, True, False, True], 2135, 'East', (13, 2))
Element 6: (1, (13, 2), ['', '.', '.', '.'], [(9, 8), (10, 7), (17, 6)], [False, False, False, False], 88, False, [False, True, True, True], 2154, 'East', (14, 2))
Element 7: (1, (14, 2), ['', '.', '.', '%'], [(8, 8), (10, 8), (17, 5)], [False, False, False, True], 86, False, [False, True, True, False], 2173, 'North', (14, 3))
Element 8: (1, (14, 3), ['.', '', '.', '%'], [(7, 8), (9, 8), (18, 5)], [False, False, False, True], 84, False, [True, False, True, False], 2202, 'North', (14, 4))
Element 9: (1, (14, 4), ['.', '', '.', '.'], [(6, 8), (8, 8), (18, 4)], [False, False, False, False], 82, False, [True, False, True, True], 2231, 'East', (15, 4))
Element 10: (1, (15, 4), ['', '%', '.', '.'], [(5, 8), (8, 9), (18, 3)], [False, True, False, False], 80, False, [False, False, True, True], 2260, 'East', (16, 4))
Element 11: (1, (16, 4), ['', '.', '.', '.'], [(4, 8), (7, 9), (17, 3)], [False, False, False, False], 78, False, [False, True, True, True], 2289, 'East', (17, 4))
Element 12: (1, (17, 4), ['', '', '', ''], [(5, 8), (7, 8), (16, 3)], [False, False, False, False], 76, False, [False, False, False, False], 2308, 'East', (18, 4))
Element 13: (1, (18, 4), ['', '', '', '%'], [(4, 8), (6, 8), (16, 4)], [False, False, False, True], 74, False, [False, False, False, False], 2307, 'North', (18, 5))
Element 14: (1, (18, 5), ['', '', '%', '%'], [(5, 8), (6, 9), (16, 5)], [False, False, True, True], 72, False, [False, False, False, False], 2316, 'West', (17, 5))
Element 15: (1, (17, 5), ['', '', '', ''], [(6, 8), (6, 8), (15, 5)], [False, False, False, False], 70, False, [False, False, False, False], 2325, 'North', (17, 6))
Element 16: (1, (17, 6), ['', '', '', '%'], [(6, 9), (5, 8), (15, 6)], [False, False, False, True], 68, False, [False, False, False, False], 2334, 'North', (17, 7))
Element 17: (1, (17, 7), ['%', '', '%', ''], [(7, 9), (4, 8), (15, 7)], [True, False, True, False], 66, False, [False, False, False, False], 2343, 'East', (18, 7))
Element 18: (1, (18, 7), ['', '%', '%', '%'], [(7, 8), (5, 8), (15, 8)], [False, True, True, True], 64, False, [False, False, False, False], 2352, 'West', (17, 7))
Element 19: (1, (17, 7), ['%', '', '%', ''], [(7, 9), (6, 8), (14, 8)], [True, False, True, False], 62, False, [False, False, False, False], 2361, 'South', (17, 6))
Element 20: (1, (17, 6), ['', '', '', '%'], [(6, 9), (7, 8), (14, 7)], [False, False, False, True], 60, False, [False, False, False, False], 2370, 'West', (16, 6))
Element 21: (1, (16, 6), ['', '', '%', ''], [(6, 8), (7, 9), (14, 8)], [False, False, True, False], 58, False, [False, False, False, False], 2369, 'South', (16, 5))
Element 22: (1, (16, 5), ['', '', '', ''], [(5, 8), (6, 9), (13, 8)], [False, False, False, False], 56, False, [False, False, False, False], 2378, 'West', (15, 5))
Element 23: (1, (15, 5), ['.', '', '', ''], [(5, 8), (7, 9), (14, 8)], [False, False, False, False], 54, False, [True, False, False, False], 2377, 'West', (14, 5))
Element 24: (1, (14, 5), ['.', '', '%', ''], [(6, 8), (8, 9), (15, 8)], [False, False, True, False], 52, False, [True, False, False, False], 2386, 'West', (13, 5))
Element 25: (1, (13, 5), ['.', '.', '.', ''], [(7, 8), (8, 8), (15, 7)], [False, False, False, False], 50, False, [True, True, True, False], 2395, 'North', (13, 6))
Element 26: (1, (13, 6), ['.', '', '%', '%'], [(8, 8), (8, 9), (14, 7)], [False, False, True, True], 48, False, [True, False, False, False], 2404, 'West', (12, 6))
Element 27: (1, (12, 6), ['.', '.', '%', ''], [(9, 8), (7, 9), (15, 7)], [False, False, True, False], 46, False, [True, True, False, False], 2413, 'South', (12, 5))
Element 28: (1, (12, 5), ['%', '.', '', ''], [(10, 8), (6, 9), (15, 6)], [True, False, False, False], 44, False, [False, True, False, False], 2422, 'South', (12, 4))
Element 29: (1, (12, 4), ['.', '%', '', '.'], [(10, 7), (6, 8), (15, 5)], [False, True, False, False], 42, False, [True, False, False, True], 2431, 'East', (13, 4))
Element 30: (1, (13, 4), ['', '.', '', ''], [(9, 7), (5, 8), (14, 5)], [False, False, False, False], 40, False, [False, True, False, False], 2440, 'South', (13, 3))
Element 31: (1, (13, 3), ['%', '', '', ''], [(9, 6), (4, 8), (14, 4)], [True, False, False, False], 38, False, [False, False, False, False], 2449, 'North', (13, 4))
Element 32: (1, (13, 4), ['', '', '', ''], [(8, 6), (5, 8), (15, 4)], [False, False, False, False], 36, False, [False, False, False, False], 2458, 'West', (12, 4))
Element 33: (1, (12, 4), ['.', '%', '', ''], [(8, 5), (5, 8), (14, 4)], [False, True, False, False], 34, False, [True, False, False, False], 2467, 'West', (11, 4))
Element 34: (1, (11, 4), ['', '.', '%', ''], [(8, 4), (5, 8), (14, 3)], [False, False, True, False], 32, False, [False, True, False, False], 2486, 'South', (11, 3))
Element 35: (1, (11, 3), ['.', '', '', '%'], [(8, 3), (5, 8), (14, 2)], [False, False, False, True], 30, False, [True, False, False, False], 3495, 'West', (10, 3))
Element 36: (1, (10, 3), ['', '', '', ''], [(8, 2), (5, 8), (14, 1)], [False, False, False, False], 28, False, [False, False, False, False], 3524, 'North', (10, 4))
Element 37: (1, (10, 4), ['.', '', '', ''], [(8, 1), (5, 8), (15, 1)], [False, False, False, False], 26, False, [True, False, False, False], 3543, 'West', (9, 4))
Element 38: (1, (9, 4), ['', '', '', ''], [(9, 1), (4, 8), (14, 1)], [False, False, False, False], 24, False, [False, False, False, False], 3562, 'North', (9, 5))
Element 39: (1, (9, 5), ['', '', '', ''], [(9, 2), (5, 8), (13, 1)], [False, False, False, False], 22, False, [False, False, False, False], 3571, 'East', (10, 5))
Element 40: (1, (10, 5), ['', '', '%', '%'], [(10, 2), (5, 8), (12, 1)], [False, False, True, True], 20, False, [False, False, False, False], 3580, 'West', (9, 5))
Element 41: (1, (9, 5), ['', '', '', ''], [(11, 2), (4, 8), (11, 1)], [False, False, False, False], 18, False, [False, False, False, False], 3589, 'North', (9, 6))
Element 42: (1, (9, 6), ['', '', '', '%'], [(12, 2), (4, 8), (12, 1)], [False, False, False, True], 16, False, [False, False, False, False], 3588, 'North', (9, 7))
Element 43: (1, (9, 7), ['%', '', '', ''], [(13, 2), (4, 8), (11, 1)], [True, False, False, False], 14, False, [False, False, False, False], 3587, 'East', (10, 7))
Element 44: (1, (10, 7), ['', '%', '', '%'], [(14, 2), (4, 8), (12, 1)], [False, True, False, True], 12, False, [False, False, False, False], 3586, 'North', (10, 8))
Element 45: (1, (10, 8), ['', '', '%', '%'], [(14, 3), (4, 8), (13, 1)], [False, False, True, True], 10, False, [False, False, False, False], 3585, 'West', (9, 8))
Element 46: (1, (9, 8), ['', '', '%', ''], [(14, 4), (4, 8), (13, 2)], [False, False, True, False], 8, False, [False, False, False, False], 3584, 'West', (8, 8))
Element 47: (1, (8, 8), ['', '%', '', ''], [(15, 4), (4, 8), (13, 3)], [False, True, False, False], 6, False, [False, False, False, False], 3583, 'North', (8, 9))
Element 48: (1, (8, 9), ['', '', '%', '%'], [(16, 4), (4, 8), (13, 4)], [False, False, True, True], 4, False, [False, False, False, False], 3582, 'West', (7, 9))
Element 49: (1, (7, 9), ['', '', '%', ''], [(17, 4), (4, 8), (13, 5)], [False, False, True, False], 2, False, [False, False, False, False], 3581, 'South', (7, 8))
Element 50: (1, (7, 8), ['', '%', '', ''], [(17, 4), (4, 8), (13, 6)], [False, True, False, False], 0, False, [False, False, False, False], 3580, 'Stop', (7, 8))
Element 51: #0#
