Element 1: (2, (14, 4), ['.', '.', '', '.'], [(15, 5), (4, 6), (17, 1)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (15, 4))
Element 2: (2, (15, 4), ['', '%', '', '.'], [(16, 5), (5, 6), (18, 1)], [False, True, False, False], 96, False, [False, False, False, True], 58, 'East', (16, 4))
Element 3: (2, (16, 4), ['', '.', '', '.'], [(17, 5), (6, 6), (17, 1)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (17, 4))
Element 4: (2, (17, 4), ['', '.', '', '.'], [(18, 5), (6, 5), (17, 1)], [False, False, False, False], 92, False, [False, True, False, True], 116, 'East', (18, 4))
Element 5: (2, (18, 4), ['', '.', '', '%'], [(17, 5), (6, 4), (18, 1)], [False, False, False, True], 90, False, [False, True, False, False], 135, 'South', (18, 3))
Element 6: (2, (18, 3), ['.', '%', '', '%'], [(17, 6), (6, 3), (17, 1)], [False, True, False, True], 88, False, [True, False, False, False], 164, 'West', (17, 3))
Element 7: (2, (17, 3), ['.', '%', '', ''], [(17, 7), (7, 3), (17, 1)], [False, True, False, False], 86, False, [True, False, False, False], 193, 'West', (16, 3))
Element 8: (2, (16, 3), ['%', '%', '', ''], [(18, 7), (8, 3), (18, 1)], [True, True, False, False], 84, False, [False, False, False, False], 1212, 'East', (17, 3))
Element 9: (2, (17, 3), ['', '%', '', ''], [(17, 7), (9, 3), (17, 1)], [False, True, False, False], 82, False, [False, False, False, False], 1221, 'East', (18, 3))
Element 10: (2, (18, 3), ['', '%', '', '%'], [(17, 6), (9, 2), (17, 1)], [False, True, False, True], 80, False, [False, False, False, False], 2220, 'North', (18, 4))
Element 11: (2, (18, 4), ['', '', '', '%'], [(16, 6), (10, 2), (18, 1)], [False, False, False, True], 78, False, [False, False, False, False], 2239, 'North', (18, 5))
Element 12: (2, (18, 5), ['', '', '%', '%'], [(15, 6), (11, 2), (17, 1)], [False, False, True, True], 76, False, [False, False, False, False], 2258, 'West', (17, 5))
Element 13: (2, (17, 5), ['', '', '', ''], [(15, 7), (12, 2), (17, 1)], [False, False, False, False], 74, False, [False, False, False, False], 2277, 'North', (17, 6))
Element 14: (2, (17, 6), ['', '', '', '%'], [(15, 8), (13, 2), (18, 1)], [False, False, False, True], 72, False, [False, False, False, False], 2296, 'North', (17, 7))
Element 15: (2, (17, 7), ['%', '', '%', ''], [(14, 8), (14, 2), (17, 1)], [True, False, True, False], 70, False, [False, False, False, False], 2315, 'East', (18, 7))
Element 16: (2, (18, 7), ['', '%', '%', '%'], [(14, 7), (14, 3), (17, 1)], [False, True, True, True], 68, False, [False, False, False, False], 2334, 'West', (17, 7))
Element 17: (2, (17, 7), ['%', '', '%', ''], [(14, 8), (13, 3), (18, 1)], [True, False, True, False], 66, False, [False, False, False, False], 2343, 'South', (17, 6))
Element 18: (2, (17, 6), ['', '', '', '%'], [(13, 8), (13, 4), (17, 1)], [False, False, False, True], 64, False, [False, False, False, False], 2362, 'West', (16, 6))
Element 19: (2, (16, 6), ['', '', '%', ''], [(14, 8), (13, 5), (17, 1)], [False, False, True, False], 62, False, [False, False, False, False], 2371, 'South', (16, 5))
Element 20: (2, (16, 5), ['', '', '', ''], [(15, 8), (13, 6), (18, 1)], [False, False, False, False], 60, False, [False, False, False, False], 2380, 'West', (15, 5))
Element 21: (2, (15, 5), ['', '', '', ''], [(15, 7), (12, 6), (17, 1)], [False, False, False, False], 58, False, [False, False, False, False], 2389, 'North', (15, 6))
Element 22: (2, (15, 6), ['%', '', '', ''], [(14, 7), (12, 5), (17, 1)], [True, False, False, False], 56, False, [False, False, False, False], 2398, 'North', (15, 7))
Element 23: (2, (15, 7), ['', '', '', '%'], [(14, 8), (12, 4), (18, 1)], [False, False, False, True], 54, False, [False, False, False, False], 2407, 'North', (15, 8))
Element 24: (2, (15, 8), ['', '', '%', '%'], [(14, 7), (11, 4), (17, 1)], [False, False, True, True], 52, False, [False, False, False, False], 2416, 'West', (14, 8))
Element 25: (2, (14, 8), ['', 'G', '%', ''], [(14, 7), (11, 3), (17, 1)], [False, False, True, False], 50, False, [False, False, False, False], 2425, 'West', (13, 8))
Element 26: (2, (13, 8), ['%', '%', '%', ''], [(14, 7), (10, 3), (18, 1)], [True, True, True, False], 48, False, [False, False, False, False], 2434, 'East', (14, 8))
Element 27: (2, (14, 8), ['', 'G', '%', ''], [(14, 7), (10, 4), (17, 1)], [False, False, True, False], 46, False, [False, False, False, False], 2443, 'East', (15, 8))
Element 28: (2, (15, 8), ['', '', '%', '%'], [(14, 7), (10, 5), (17, 1)], [False, False, True, True], 44, False, [False, False, False, False], 3442, 'South', (15, 7))
Element 29: (2, (15, 7), ['G', '', '', '%'], [(14, 7), (9, 5), (18, 1)], [False, False, False, True], 42, False, [False, False, False, False], 3451, 'South', (15, 6))
Element 30: (2, (15, 6), ['%', '', '', ''], [(14, 7), (9, 6), (17, 1)], [True, False, False, False], 40, False, [False, False, False, False], 3460, 'North', (15, 7))
Element 31: (2, (15, 7), ['G', '', '', '%'], [(14, 7), (9, 7), (17, 1)], [False, False, False, True], 38, False, [False, False, False, False], 3469, 'South', (15, 6))
Element 32: (2, (15, 6), ['%', '', '', ''], [(14, 8), (10, 7), (18, 1)], [True, False, False, False], 36, False, [False, False, False, False], 3478, 'South', (15, 5))
Element 33: (2, (15, 5), ['', '', '', ''], [(13, 8), (10, 8), (17, 1)], [False, False, False, False], 34, False, [False, False, False, False], 3487, 'West', (14, 5))
Element 34: (2, (14, 5), ['', '', '%', ''], [(14, 8), (9, 8), (17, 1)], [False, False, True, False], 32, False, [False, False, False, False], 3496, 'West', (13, 5))
Element 35: (2, (13, 5), ['', '', '', ''], [(13, 8), (8, 8), (18, 1)], [False, False, False, False], 30, False, [False, False, False, False], 3505, 'North', (13, 6))
Element 36: (2, (13, 6), ['', '', '%', '%'], [(13, 8), (8, 9), (17, 1)], [False, False, True, True], 28, False, [False, False, False, False], 3514, 'West', (12, 6))
Element 37: (2, (12, 6), ['.', '', '%', ''], [(13, 8), (7, 9), (17, 1)], [False, False, True, False], 26, False, [True, False, False, False], 3523, 'West', (11, 6))
Element 38: (2, (11, 6), ['%', '%', '%', ''], [(14, 8), (7, 8), (18, 1)], [True, True, True, False], 24, False, [False, False, False, False], 3542, 'East', (12, 6))
Element 39: (2, (12, 6), ['', '', '%', ''], [(15, 8), (6, 8), (17, 1)], [False, False, True, False], 22, False, [False, False, False, False], 3551, 'South', (12, 5))
Element 40: (2, (12, 5), ['%', '', '', ''], [(15, 7), (6, 9), (17, 1)], [True, False, False, False], 20, False, [False, False, False, False], 3560, 'South', (12, 4))
Element 41: (2, (12, 4), ['', '%', '', ''], [(15, 6), (6, 8), (18, 1)], [False, True, False, False], 18, False, [False, False, False, False], 3559, 'East', (13, 4))
Element 42: (2, (13, 4), ['', '', '', ''], [(16, 6), (5, 8), (17, 1)], [False, False, False, False], 16, False, [False, False, False, False], 3568, 'South', (13, 3))
Element 43: (2, (13, 3), ['%', '', '', ''], [(17, 6), (4, 8), (17, 1)], [True, False, False, False], 14, False, [False, False, False, False], 3577, 'East', (14, 3))
Element 44: (2, (14, 3), ['', '', '', '%'], [(17, 7), (5, 8), (18, 1)], [False, False, False, True], 12, False, [False, False, False, False], 3576, 'South', (14, 2))
Element 45: (2, (14, 2), ['', '.', '', '%'], [(18, 7), (6, 8), (17, 1)], [False, False, False, True], 10, False, [False, True, False, False], 3575, 'South', (14, 1))
Element 46: (2, (14, 1), ['.', '%', '', '.'], [(17, 7), (7, 8), (17, 1)], [False, True, False, False], 8, False, [True, False, False, True], 3584, 'East', (15, 1))
Element 47: (2, (15, 1), ['', '%', '%', '%'], [(17, 6), (7, 9), (18, 1)], [False, True, True, True], 6, False, [False, False, False, False], 3593, 'West', (14, 1))
Element 48: (2, (14, 1), ['.', '%', '', ''], [(17, 5), (6, 9), (17, 1)], [False, True, False, False], 4, False, [True, False, False, False], 3592, 'West', (13, 1))
Element 49: (2, (13, 1), ['.', '%', '', ''], [(18, 5), (7, 9), (17, 1)], [False, True, False, False], 2, False, [True, False, False, False], 3601, 'West', (12, 1))
Element 50: (2, (12, 1), ['.', '%', '', ''], [(18, 5), (7, 9), (18, 1)], [False, True, False, False], 0, False, [True, False, False, False], 3610, 'Stop', (12, 1))
Element 51: #0#
