Element 1: (0, (8, 10), ['%', '%', '.', 'G'], [(5, 1), (9, 10), (12, 2)], [True, True, False, False], 98, False, [False, False, True, False], 0, 'North', (8, 11))
Element 2: (0, (8, 11), ['.', '', '.', 'G'], [(4, 1), (9, 11), (13, 2)], [False, False, False, False], 96, False, [True, False, True, False], 39, 'North', (8, 12))
Element 3: (0, (8, 12), ['.', '', '.', '.'], [(4, 2), (10, 11), (13, 3)], [False, False, False, False], 94, False, [True, False, True, True], 78, 'East', (9, 12))
Element 4: (0, (9, 12), ['', '', '.', '.'], [(4, 3), (11, 11), (14, 3)], [False, False, False, False], 92, False, [False, False, True, True], 117, 'East', (10, 12))
Element 5: (0, (10, 12), ['', '', '%', '%'], [(5, 3), (12, 11), (15, 3)], [False, False, True, True], 90, False, [False, False, False, False], 156, 'South', (10, 11))
Element 6: (0, (10, 11), ['', '%', '', ''], [(6, 3), (13, 11), (16, 3)], [False, True, False, False], 88, False, [False, False, False, False], 185, 'East', (11, 11))
Element 7: (0, (11, 11), ['', '%', '%', ''], [(7, 3), (14, 11), (17, 3)], [False, True, True, False], 86, False, [False, False, False, False], 214, 'East', (12, 11))
Element 8: (0, (12, 11), ['', '%', '.', ''], [(7, 2), (15, 11), (18, 3)], [False, True, False, False], 84, False, [False, False, True, False], 1233, 'North', (12, 12))
Element 9: (0, (12, 12), ['%', '', '.', '.'], [(8, 2), (15, 12), (18, 4)], [True, False, False, False], 82, False, [False, False, True, True], 1272, 'East', (13, 12))
Element 10: (0, (13, 12), ['', '', '.', '.'], [(9, 2), (15, 13), (18, 5)], [False, False, False, False], 80, False, [False, False, True, True], 1311, 'East', (14, 12))
Element 11: (0, (14, 12), ['', '', '%', ''], [(10, 2), (16, 13), (18, 6)], [False, False, True, False], 78, False, [False, False, False, False], 1350, 'East', (15, 12))
Element 12: (0, (15, 12), ['', '', '', '%'], [(11, 2), (17, 13), (17, 6)], [False, False, False, True], 76, False, [False, False, False, False], 1379, 'North', (15, 13))
Element 13: (0, (15, 13), ['%', '', '%', ''], [(11, 3), (18, 13), (17, 7)], [True, False, True, False], 74, False, [False, False, False, False], 1408, 'East', (16, 13))
Element 14: (0, (16, 13), ['', '%', '%', 'G'], [(12, 3), (17, 13), (17, 8)], [False, True, True, False], 72, False, [False, False, False, False], 1427, 'West', (15, 13))
Element 15: (0, (15, 13), ['%', '', '%', 'G'], [(13, 3), (16, 13), (17, 9)], [True, False, True, False], 70, False, [False, False, False, False], 1436, 'South', (15, 12))
Element 16: (0, (15, 12), ['', '', 'G', '%'], [(13, 4), (15, 13), (17, 10)], [False, False, False, True], 68, False, [False, False, False, False], 1455, 'South', (15, 11))
Element 17: (0, (15, 11), ['', '.', 'G', '%'], [(14, 4), (15, 12), (18, 10)], [False, False, False, True], 66, False, [False, True, False, False], 1474, 'South', (15, 10))
Element 18: (0, (15, 10), ['%', '.', '', '.'], [(15, 4), (14, 12), (18, 11)], [True, False, False, False], 64, False, [False, True, False, True], 1503, 'East', (16, 10))
