Element 1: (3, (4, 2), ['.', '', '.', '%'], [(11, 3), (4, 5), (5, 1)], [False, False, False, True], 98, False, [True, False, True, False], 29, 'North', (4, 3))
Element 2: (3, (4, 3), ['.', '', '.', '.'], [(12, 3), (5, 5), (4, 1)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (5, 3))
Element 3: (3, (5, 3), ['', '%', '%', '.'], [(13, 3), (6, 5), (3, 1)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (6, 3))
Element 4: (3, (6, 3), ['', '%', '.', '.'], [(14, 3), (7, 5), (3, 2)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (7, 3))
Element 5: (3, (7, 3), ['', 'F', '.', '.'], [(15, 3), (7, 6), (3, 3)], [False, False, False, False], 90, False, [False, False, True, True], 175, 'South', (7, 2))
Element 6: (3, (7, 2), ['%', '%', '', '.'], [(16, 3), (8, 6), (3, 4)], [True, True, False, False], 88, False, [False, False, False, True], 1204, 'East', (8, 2))
Element 7: (3, (8, 2), ['', '%', '.', '.'], [(17, 3), (9, 6), (4, 4)], [False, True, False, False], 86, False, [False, False, True, True], 1243, 'East', (9, 2))
Element 8: (3, (9, 2), ['', '%', '.', '.'], [(18, 3), (10, 6), (4, 5)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (10, 2))
Element 9: (3, (10, 2), ['', '%', '', '.'], [(18, 4), (11, 6), (4, 6)], [False, True, False, False], 82, False, [False, False, False, True], 1311, 'East', (11, 2))
Element 10: (3, (11, 2), ['', '.', '', '.'], [(18, 5), (12, 6), (5, 6)], [False, False, False, False], 80, False, [False, True, False, True], 1350, 'East', (12, 2))
Element 11: (3, (12, 2), ['', '.', '', '.'], [(18, 6), (12, 7), (5, 7)], [False, False, False, False], 78, False, [False, True, False, True], 1389, 'East', (13, 2))
Element 12: (3, (13, 2), ['', '%', '', '%'], [(17, 6), (13, 7), (4, 7)], [False, True, False, True], 76, False, [False, False, False, False], 1428, 'North', (13, 3))
Element 13: (3, (13, 3), ['', '', '.', ''], [(17, 7), (14, 7), (4, 8)], [False, False, False, False], 74, False, [False, False, True, False], 1457, 'North', (13, 4))
Element 14: (3, (13, 4), ['%', '', '.', '.'], [(17, 8), (15, 7), (4, 9)], [True, False, False, False], 72, False, [False, False, True, True], 1496, 'East', (14, 4))
Element 15: (3, (14, 4), ['', '', '.', '.'], [(17, 9), (16, 7), (5, 9)], [False, False, False, False], 70, False, [False, False, True, True], 1535, 'East', (15, 4))
Element 16: (3, (15, 4), ['', '', '.', '.'], [(17, 10), (16, 8), (6, 9)], [False, False, False, False], 68, False, [False, False, True, True], 1574, 'East', (16, 4))
Element 17: (3, (16, 4), ['', '', '.', '.'], [(18, 10), (16, 9), (7, 9)], [False, False, False, False], 66, False, [False, False, True, True], 1613, 'East', (17, 4))
Element 18: (3, (17, 4), ['', '', '.', ''], [(18, 11), (16, 10), (7, 8)], [False, False, False, False], 64, False, [False, False, True, False], 1652, 'North', (17, 5))
Element 19: (3, (17, 5), ['.', '', '', ''], [(17, 11), (15, 10), (8, 8)], [False, False, False, False], 62, False, [True, False, False, False], 1691, 'West', (16, 5))
Element 20: (3, (16, 5), ['.', '', '%', ''], [(18, 11), (15, 11), (9, 8)], [False, False, True, False], 60, False, [True, False, False, False], 1720, 'West', (15, 5))
Element 21: (3, (15, 5), ['.', '', '%', ''], [(18, 10), (15, 12), (10, 8)], [False, False, True, False], 58, False, [True, False, False, False], 2739, 'West', (14, 5))
Element 22: (3, (14, 5), ['.', '', '%', ''], [(17, 10), (15, 13), (11, 8)], [False, False, True, False], 56, False, [True, False, False, False], 2768, 'West', (13, 5))
Element 23: (3, (13, 5), ['%', '', '%', ''], [(17, 11), (16, 13), (12, 8)], [True, False, True, False], 54, False, [False, False, False, False], 2797, 'East', (14, 5))
Element 24: (3, (14, 5), ['', '', '%', ''], [(17, 10), (17, 13), (13, 8)], [False, False, True, False], 52, False, [False, False, False, False], 2816, 'East', (15, 5))
Element 25: (3, (15, 5), ['', '', '%', ''], [(16, 10), (18, 13), (13, 7)], [False, False, True, False], 50, False, [False, False, False, False], 2825, 'East', (16, 5))
Element 26: (3, (16, 5), ['', '', '%', ''], [(16, 9), (17, 13), (14, 7)], [False, False, True, False], 48, False, [False, False, False, False], 2824, 'East', (17, 5))
Element 27: (3, (17, 5), ['', '', '', ''], [(15, 9), (16, 13), (15, 7)], [False, False, False, False], 46, False, [False, False, False, False], 2833, 'East', (18, 5))
Element 28: (3, (18, 5), ['', '', '', '%'], [(15, 8), (15, 13), (16, 7)], [False, False, False, True], 44, False, [False, False, False, False], 2842, 'North', (18, 6))
Element 29: (3, (18, 6), ['', '', '%', '%'], [(16, 8), (15, 12), (17, 7)], [False, False, True, True], 42, False, [False, False, False, False], 2841, 'West', (17, 6))
Element 30: (3, (17, 6), ['%', '', '', ''], [(16, 7), (14, 12), (17, 8)], [True, False, False, False], 40, False, [False, False, False, False], 2850, 'North', (17, 7))
Element 31: (3, (17, 7), ['', '', '', '%'], [(15, 7), (14, 11), (17, 9)], [False, False, False, True], 38, False, [False, False, False, False], 2859, 'North', (17, 8))
Element 32: (3, (17, 8), ['', '', '', '%'], [(14, 7), (13, 11), (17, 10)], [False, False, False, True], 36, False, [False, False, False, False], 2868, 'North', (17, 9))
