Element 1: (0, (9, 5), ['%', 'G', '.', '.'], [(9, 4), (11, 1), (18, 3)], [True, False, False, False], 98, False, [False, False, True, True], 0, 'East', (10, 5))
Element 2: (0, (10, 5), ['', 'G', '.', '.'], [(10, 4), (12, 1), (18, 4)], [False, False, False, False], 96, False, [False, False, True, True], 39, 'East', (11, 5))
Element 3: (0, (11, 5), ['', 'G', '.', '%'], [(11, 4), (12, 2), (18, 5)], [False, False, False, True], 94, False, [False, False, True, False], 78, 'North', (11, 6))
Element 4: (0, (11, 6), ['.', '', '%', '.'], [(11, 3), (13, 2), (18, 6)], [False, False, True, False], 92, False, [True, False, False, True], 117, 'East', (12, 6))
Element 5: (0, (12, 6), ['', '%', '.', '%'], [(12, 3), (13, 3), (17, 6)], [False, True, False, True], 90, False, [False, False, True, False], 156, 'North', (12, 7))
Element 6: (0, (12, 7), ['%', '', '.', '.'], [(12, 2), (14, 3), (17, 7)], [True, False, False, False], 88, False, [False, False, True, True], 185, 'East', (13, 7))
Element 7: (0, (13, 7), ['', '%', '.', '.'], [(11, 2), (15, 3), (17, 8)], [False, True, False, False], 86, False, [False, False, True, True], 224, 'East', (14, 7))
Element 8: (0, (14, 7), ['', '%', '%', '.'], [(10, 2), (16, 3), (17, 9)], [False, True, True, False], 84, False, [False, False, False, True], 263, 'East', (15, 7))
Element 9: (0, (15, 7), ['', '%', '.', '.'], [(10, 3), (17, 3), (17, 10)], [False, True, False, False], 82, False, [False, False, True, True], 302, 'East', (16, 7))
Element 10: (0, (16, 7), ['', '%', '.', ''], [(9, 3), (17, 4), (18, 10)], [False, True, False, False], 80, False, [False, False, True, False], 341, 'North', (16, 8))
Element 11: (0, (16, 8), ['.', '', '.', ''], [(9, 2), (17, 5), (18, 11)], [False, False, False, False], 78, False, [True, False, True, False], 380, 'North', (16, 9))
Element 12: (0, (16, 9), ['.', '', '.', ''], [(8, 2), (16, 5), (17, 11)], [False, False, False, False], 76, False, [True, False, True, False], 419, 'North', (16, 10))
Element 13: (0, (16, 10), ['.', '', '%', ''], [(7, 2), (16, 4), (18, 11)], [False, False, True, False], 74, False, [True, False, False, False], 1438, 'West', (15, 10))
Element 14: (0, (15, 10), ['%', '.', '.', ''], [(7, 3), (15, 4), (18, 10)], [True, False, False, False], 72, False, [False, True, True, False], 1467, 'North', (15, 11))
Element 15: (0, (15, 11), ['.', '', '.', '%'], [(8, 3), (15, 5), (17, 10)], [False, False, False, True], 70, False, [True, False, True, False], 1496, 'North', (15, 12))
Element 16: (0, (15, 12), ['.', '', '.', '%'], [(8, 4), (14, 5), (17, 11)], [False, False, False, True], 68, False, [True, False, True, False], 1525, 'North', (15, 13))
Element 17: (0, (15, 13), ['%', '', '%', '.'], [(7, 4), (14, 4), (17, 10)], [True, False, True, False], 66, False, [False, False, False, True], 1554, 'East', (16, 13))
Element 18: (0, (16, 13), ['', '%', '%', '.'], [(7, 5), (13, 4), (16, 10)], [False, True, True, False], 64, False, [False, False, False, True], 1583, 'East', (17, 13))
Element 19: (0, (17, 13), ['', '%', '%', '.'], [(7, 6), (13, 5), (16, 9)], [False, True, True, False], 62, False, [False, False, False, True], 1612, 'East', (18, 13))
Element 20: (0, (18, 13), ['', '%', '%', '%'], [(8, 6), (13, 4), (15, 9)], [False, True, True, True], 60, False, [False, False, False, False], 1641, 'West', (17, 13))
Element 21: (0, (17, 13), ['', '%', '%', ''], [(9, 6), (14, 4), (15, 8)], [False, True, True, False], 58, False, [False, False, False, False], 1660, 'West', (16, 13))
Element 22: (0, (16, 13), ['', '%', '%', ''], [(10, 6), (14, 5), (16, 8)], [False, True, True, False], 56, False, [False, False, False, False], 1669, 'West', (15, 13))
Element 23: (0, (15, 13), ['%', '', '%', ''], [(10, 7), (13, 5), (16, 7)], [True, False, True, False], 54, False, [False, False, False, False], 1678, 'South', (15, 12))
Element 24: (0, (15, 12), ['.', '', '', '%'], [(10, 8), (14, 5), (15, 7)], [False, False, False, True], 52, False, [True, False, False, False], 2677, 'West', (14, 12))
Element 25: (0, (14, 12), ['.', '.', '%', ''], [(11, 8), (15, 5), (14, 7)], [False, False, True, False], 50, False, [True, True, False, False], 2696, 'South', (14, 11))
Element 26: (0, (14, 11), ['.', '%', '', ''], [(12, 8), (15, 4), (13, 7)], [False, True, False, False], 48, False, [True, False, False, False], 2715, 'West', (13, 11))
Element 27: (0, (13, 11), ['.', '%', '.', ''], [(13, 8), (14, 4), (12, 7)], [False, True, False, False], 46, False, [True, False, True, False], 2734, 'North', (13, 12))
Element 28: (0, (13, 12), ['.', '', '.', ''], [(13, 7), (15, 4), (12, 8)], [False, False, False, False], 44, False, [True, False, True, False], 2743, 'North', (13, 13))
Element 29: (0, (13, 13), ['.', '', '%', '%'], [(14, 7), (16, 4), (12, 9)], [False, False, True, True], 42, False, [True, False, False, False], 2762, 'West', (12, 13))
Element 30: (0, (12, 13), ['.', '.', '%', ''], [(15, 7), (16, 5), (11, 9)], [False, False, True, False], 40, False, [True, True, False, False], 2781, 'South', (12, 12))
Element 31: (0, (12, 12), ['%', '.', '', ''], [(16, 7), (15, 5), (11, 8)], [True, False, False, False], 38, False, [False, True, False, False], 2790, 'South', (12, 11))
Element 32: (0, (12, 11), ['.', '%', '', ''], [(17, 7), (16, 5), (10, 8)], [False, True, False, False], 36, False, [True, False, False, False], 2799, 'West', (11, 11))
Element 33: (0, (11, 11), ['.', '%', '%', ''], [(17, 8), (17, 5), (9, 8)], [False, True, True, False], 34, False, [True, False, False, False], 2818, 'West', (10, 11))
Element 34: (0, (10, 11), ['.', '%', '.', ''], [(17, 9), (18, 5), (9, 7)], [False, True, False, False], 32, False, [True, False, True, False], 2837, 'North', (10, 12))
Element 35: (0, (10, 12), ['.', '', '%', '%'], [(17, 10), (18, 6), (8, 7)], [False, False, True, True], 30, False, [True, False, False, False], 2856, 'West', (9, 12))
Element 36: (0, (9, 12), ['.', '.', '.', ''], [(18, 10), (17, 6), (8, 8)], [False, False, False, False], 28, False, [True, True, True, False], 2875, 'North', (9, 13))
Element 37: (0, (9, 13), ['.', '', '%', '%'], [(18, 11), (17, 7), (7, 8)], [False, False, True, True], 26, False, [True, False, False, False], 2894, 'West', (8, 13))
Element 38: (0, (8, 13), ['.', '.', '%', ''], [(17, 11), (17, 8), (7, 9)], [False, False, True, False], 24, False, [True, True, False, False], 2913, 'South', (8, 12))
Element 39: (0, (8, 12), ['.', '.', '', ''], [(18, 11), (17, 9), (6, 9)], [False, False, False, False], 22, False, [True, True, False, False], 2932, 'South', (8, 11))
Element 40: (0, (8, 11), ['.', '.', '', '.'], [(18, 10), (17, 10), (6, 10)], [False, False, False, False], 20, False, [True, True, False, True], 2951, 'East', (9, 11))
Element 41: (0, (9, 11), ['', '.', '', ''], [(18, 11), (18, 10), (5, 10)], [False, False, False, False], 18, False, [False, True, False, False], 2970, 'South', (9, 10))
Element 42: (0, (9, 10), ['.', '%', '', '%'], [(17, 11), (18, 11), (5, 11)], [False, True, False, True], 16, False, [True, False, False, False], 2989, 'West', (8, 10))
Element 43: (0, (8, 10), ['%', '%', '', ''], [(17, 10), (17, 11), (4, 11)], [True, True, False, False], 14, False, [False, False, False, False], 3008, 'East', (9, 10))
Element 44: (0, (9, 10), ['', '%', '', '%'], [(16, 10), (18, 11), (4, 12)], [False, True, False, True], 12, False, [False, False, False, False], 3017, 'North', (9, 11))
Element 45: (0, (9, 11), ['', '', '', ''], [(16, 9), (18, 10), (3, 12)], [False, False, False, False], 10, False, [False, False, False, False], 3026, 'West', (8, 11))
Element 46: (0, (8, 11), ['.', '', '', ''], [(16, 8), (17, 10), (3, 13)], [False, False, False, False], 8, False, [True, False, False, False], 3035, 'South', (8, 10))
Element 47: (0, (8, 10), ['%', '%', '', ''], [(15, 8), (17, 11), (2, 13)], [True, True, False, False], 6, False, [False, False, False, False], 3044, 'North', (8, 11))
Element 48: (0, (8, 11), ['.', '', '', ''], [(15, 9), (17, 10), (2, 12)], [False, False, False, False], 4, False, [True, False, False, False], 3053, 'West', (7, 11))
Element 49: (0, (7, 11), ['%', '%', '.', ''], [(14, 9), (16, 10), (2, 11)], [True, True, False, False], 2, False, [False, False, True, False], 3082, 'North', (7, 12))
Element 50: (0, (7, 12), ['.', '', '.', ''], [(15, 9), (16, 9), (3, 11)], [False, False, False, False], 0, False, [True, False, True, False], 3101, 'Stop', (7, 12))
Element 51: #0#
