Element 1: (1, (3, 6), ['.', '.', '%', '.'], [(7, 9), (6, 8), (11, 9)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (4, 6))
Element 2: (1, (4, 6), ['', '.', '.', '.'], [(6, 9), (7, 8), (12, 9)], [False, False, False, False], 96, False, [False, True, True, True], 38, 'East', (5, 6))
Element 3: (1, (5, 6), ['', '.', '.', '%'], [(6, 10), (8, 8), (12, 8)], [False, False, False, True], 94, False, [False, True, True, False], 77, 'North', (5, 7))
Element 4: (1, (5, 7), ['.', '', '%', '%'], [(5, 10), (9, 8), (13, 8)], [False, False, True, True], 92, False, [True, False, False, False], 116, 'West', (4, 7))
Element 5: (1, (4, 7), ['%', '', '.', ''], [(5, 11), (10, 8), (13, 7)], [True, False, False, False], 90, False, [False, False, True, False], 1145, 'North', (4, 8))
Element 6: (1, (4, 8), ['.', '', '.', '%'], [(4, 11), (11, 8), (14, 7)], [False, False, False, True], 88, False, [True, False, True, False], 1184, 'North', (4, 9))
Element 7: (1, (4, 9), ['%', '', '.', '.'], [(4, 12), (12, 8), (15, 7)], [True, False, False, False], 86, False, [False, False, True, True], 1213, 'East', (5, 9))
Element 8: (1, (5, 9), ['', '%', '', ''], [(3, 12), (12, 7), (16, 7)], [False, True, False, False], 84, False, [False, False, False, False], 1252, 'East', (6, 9))
Element 9: (1, (6, 9), ['', '', '', ''], [(3, 13), (12, 6), (17, 7)], [False, False, False, False], 82, False, [False, False, False, False], 1281, 'East', (7, 9))
Element 10: (1, (7, 9), ['', '', '%', '%'], [(2, 13), (11, 6), (17, 8)], [False, False, True, True], 80, False, [False, False, False, False], 1310, 'South', (7, 8))
Element 11: (1, (7, 8), ['', '.', '', ''], [(2, 12), (11, 5), (17, 9)], [False, False, False, False], 78, False, [False, True, False, False], 1339, 'South', (7, 7))
Element 12: (1, (7, 7), ['%', '.', '', '.'], [(2, 11), (11, 4), (17, 10)], [True, False, False, False], 76, False, [False, True, False, True], 1378, 'East', (8, 7))
Element 13: (1, (8, 7), ['', '.', '', '.'], [(3, 11), (11, 3), (18, 10)], [False, False, False, False], 74, False, [False, True, False, True], 1417, 'East', (9, 7))
Element 14: (1, (9, 7), ['', '.', '', '.'], [(2, 11), (12, 3), (18, 11)], [False, False, False, False], 72, False, [False, True, False, True], 1446, 'East', (10, 7))
Element 15: (1, (10, 7), ['', '.', '', '%'], [(1, 11), (13, 3), (17, 11)], [False, False, False, True], 70, False, [False, True, False, False], 1485, 'South', (10, 6))
