Element 1: (2, (4, 12), ['.', 'G', '%', '%'], [(17, 8), (4, 11), (8, 11)], [False, False, True, True], 98, False, [True, False, False, False], 19, 'West', (3, 12))
Element 2: (2, (3, 12), ['.', '', '.', ''], [(17, 9), (5, 11), (9, 11)], [False, False, False, False], 96, False, [True, False, True, False], 58, 'North', (3, 13))
Element 3: (2, (3, 13), ['.', '', '%', '%'], [(17, 10), (5, 10), (10, 11)], [False, False, True, True], 94, False, [True, False, False, False], 97, 'West', (2, 13))
Element 4: (2, (2, 13), ['.', '.', '%', ''], [(18, 10), (6, 10), (11, 11)], [False, False, True, False], 92, False, [True, True, False, False], 136, 'South', (2, 12))
Element 5: (2, (2, 12), ['.', '.', '', ''], [(18, 11), (6, 9), (12, 11)], [False, False, False, False], 90, False, [True, True, False, False], 175, 'South', (2, 11))
Element 6: (2, (2, 11), ['.', '%', '', ''], [(17, 11), (7, 9), (13, 11)], [False, True, False, False], 88, False, [True, False, False, False], 214, 'West', (1, 11))
Element 7: (2, (1, 11), ['%', '%', '.', ''], [(18, 11), (7, 8), (14, 11)], [True, True, False, False], 86, False, [False, False, True, False], 243, 'North', (1, 12))
Element 8: (2, (1, 12), ['%', '', '.', ''], [(18, 10), (8, 8), (15, 11)], [True, False, False, False], 84, False, [False, False, True, False], 272, 'North', (1, 13))
Element 9: (2, (1, 13), ['%', '', '%', ''], [(17, 10), (9, 8), (15, 12)], [True, False, True, False], 82, False, [False, False, False, False], 301, 'South', (1, 12))
Element 10: (2, (1, 12), ['%', '', '', ''], [(17, 11), (10, 8), (15, 13)], [True, False, False, False], 80, False, [False, False, False, False], 1310, 'South', (1, 11))
Element 11: (2, (1, 11), ['%', '%', '', ''], [(17, 10), (11, 8), (16, 13)], [True, True, False, False], 78, False, [False, False, False, False], 1329, 'East', (2, 11))
Element 12: (2, (2, 11), ['', '%', '', ''], [(16, 10), (12, 8), (17, 13)], [False, True, False, False], 76, False, [False, False, False, False], 1358, 'East', (3, 11))
Element 13: (2, (3, 11), ['', '%', '', ''], [(16, 9), (13, 8), (18, 13)], [False, True, False, False], 74, False, [False, False, False, False], 1387, 'East', (4, 11))
Element 14: (2, (4, 11), ['', '.', '', ''], [(15, 9), (13, 7), (17, 13)], [False, False, False, False], 72, False, [False, True, False, False], 1406, 'South', (4, 10))
Element 15: (2, (4, 10), ['%', '.', '', ''], [(15, 10), (14, 7), (16, 13)], [True, False, False, False], 70, False, [False, True, False, False], 1435, 'South', (4, 9))
Element 16: (2, (4, 9), ['%', '.', '', '.'], [(15, 11), (15, 7), (15, 13)], [True, False, False, False], 68, False, [False, True, False, True], 1454, 'East', (5, 9))
Element 17: (2, (5, 9), ['', '%', '', ''], [(14, 11), (16, 7), (15, 12)], [False, True, False, False], 66, False, [False, False, False, False], 1473, 'East', (6, 9))
Element 18: (2, (6, 9), ['', '.', '', ''], [(13, 11), (17, 7), (14, 12)], [False, False, False, False], 64, False, [False, True, False, False], 1492, 'South', (6, 8))
Element 19: (2, (6, 8), ['%', '%', '', ''], [(12, 11), (17, 6), (13, 12)], [True, True, False, False], 62, False, [False, False, False, False], 1521, 'East', (7, 8))
Element 20: (2, (7, 8), ['', '.', '', ''], [(12, 12), (18, 6), (13, 13)], [False, False, False, False], 60, False, [False, True, False, False], 1550, 'South', (7, 7))
Element 21: (2, (7, 7), ['%', '.', '', '.'], [(13, 12), (18, 5), (12, 13)], [True, False, False, False], 58, False, [False, True, False, True], 1579, 'East', (8, 7))
Element 22: (2, (8, 7), ['', '.', '', '.'], [(14, 12), (18, 4), (11, 13)], [False, False, False, False], 56, False, [False, True, False, True], 1608, 'East', (9, 7))
Element 23: (2, (9, 7), ['', '.', '', '.'], [(15, 12), (18, 3), (12, 13)], [False, False, False, False], 54, False, [False, True, False, True], 1627, 'East', (10, 7))
Element 24: (2, (10, 7), ['', '.', '', '%'], [(15, 13), (18, 2), (12, 12)], [False, False, False, True], 52, False, [False, True, False, False], 1646, 'South', (10, 6))
Element 25: (2, (10, 6), ['.', '.', '', '.'], [(16, 13), (18, 1), (12, 13)], [False, False, False, False], 50, False, [True, True, False, True], 1665, 'East', (11, 6))
Element 26: (2, (11, 6), ['', '.', '%', '.'], [(17, 13), (17, 1), (13, 13)], [False, False, True, False], 48, False, [False, True, False, True], 1684, 'East', (12, 6))
Element 27: (2, (12, 6), ['', '%', '.', '%'], [(18, 13), (16, 1), (13, 12)], [False, True, False, True], 46, False, [False, False, True, False], 2693, 'North', (12, 7))
Element 28: (2, (12, 7), ['%', '', '', ''], [(17, 13), (17, 1), (12, 12)], [True, False, False, False], 44, False, [False, False, False, False], 2702, 'East', (13, 7))
Element 29: (2, (13, 7), ['', '%', '', ''], [(16, 13), (17, 2), (13, 12)], [False, True, False, False], 42, False, [False, False, False, False], 2711, 'East', (14, 7))
Element 30: (2, (14, 7), ['', '%', '%', ''], [(15, 13), (17, 3), (14, 12)], [False, True, True, False], 40, False, [False, False, False, False], 2720, 'East', (15, 7))
Element 31: (2, (15, 7), ['', '%', '.', ''], [(16, 13), (17, 4), (15, 12)], [False, True, False, False], 38, False, [False, False, True, False], 2729, 'North', (15, 8))
Element 32: (2, (15, 8), ['%', '', '', ''], [(16, 13), (17, 5), (15, 11)], [True, False, False, False], 36, False, [False, False, False, False], 2748, 'East', (16, 8))
Element 33: (2, (16, 8), ['', '', '', ''], [(16, 13), (16, 5), (15, 10)], [False, False, False, False], 34, False, [False, False, False, False], 2757, 'East', (17, 8))
Element 34: (2, (17, 8), ['', '', '', '%'], [(15, 13), (16, 4), (16, 10)], [False, False, False, True], 32, False, [False, False, False, False], 2766, 'North', (17, 9))
Element 35: (2, (17, 9), ['', '', 'G', '%'], [(15, 12), (16, 3), (17, 10)], [False, False, False, True], 30, False, [False, False, False, False], 2775, 'West', (16, 9))
Element 36: (2, (16, 9), ['', '', '', ''], [(14, 12), (15, 3), (18, 10)], [False, False, False, False], 28, False, [False, False, False, False], 2784, 'North', (16, 10))
Element 37: (2, (16, 10), ['', '', '%', ''], [(14, 11), (15, 4), (18, 11)], [False, False, True, False], 26, False, [False, False, False, False], 2793, 'East', (17, 10))
Element 38: (2, (17, 10), ['', '', 'G', ''], [(13, 11), (15, 5), (17, 11)], [False, False, False, False], 24, False, [False, False, False, False], 2802, 'East', (18, 10))
Element 39: (2, (18, 10), ['', '%', 'G', '%'], [(12, 11), (14, 5), (18, 11)], [False, True, False, True], 22, False, [False, False, False, False], 2811, 'West', (17, 10))
Element 40: (2, (17, 10), ['', '', '', 'G'], [(13, 11), (14, 4), (18, 10)], [False, False, False, False], 20, False, [False, False, False, False], 2820, 'West', (16, 10))
Element 41: (2, (16, 10), ['', '', '%', 'G'], [(14, 11), (14, 3), (17, 10)], [False, False, True, False], 18, False, [False, False, False, False], 2829, 'West', (15, 10))
Element 42: (2, (15, 10), ['%', '', 'G', ''], [(15, 11), (13, 3), (17, 11)], [True, False, False, False], 16, False, [False, False, False, False], 2838, 'South', (15, 9))
Element 43: (2, (15, 9), ['.', '', 'G', ''], [(15, 10), (13, 4), (17, 10)], [False, False, False, False], 14, False, [True, False, False, False], 2847, 'West', (14, 9))
Element 44: (2, (14, 9), ['%', '%', '%', 'G'], [(15, 9), (13, 5), (17, 9)], [True, True, True, False], 12, False, [False, False, False, False], 2866, 'Stop', (14, 9))
Element 45: (2, (14, 9), ['%', '%', '%', ''], [(15, 8), (13, 4), (17, 8)], [True, True, True, False], 10, False, [False, False, False, False], 2865, 'Stop', (14, 9))
Element 46: (2, (14, 9), ['%', '%', '%', ''], [(15, 7), (13, 3), (17, 7)], [True, True, True, False], 8, False, [False, False, False, False], 2864, 'Stop', (14, 9))
Element 47: (2, (14, 9), ['%', '%', '%', ''], [(16, 7), (13, 2), (17, 6)], [True, True, True, False], 6, False, [False, False, False, False], 2873, 'East', (15, 9))
Element 48: (2, (15, 9), ['', '', '', ''], [(17, 7), (12, 2), (18, 6)], [False, False, False, False], 4, False, [False, False, False, False], 2882, 'Stop', (15, 9))
Element 49: (2, (15, 9), ['', '', '', ''], [(17, 6), (12, 3), (18, 5)], [False, False, False, False], 2, False, [False, False, False, False], 2891, 'East', (16, 9))
Element 50: (2, (16, 9), ['', '', '', ''], [(17, 6), (12, 3), (18, 4)], [False, False, False, False], 0, False, [False, False, False, False], 2890, 'Stop', (16, 9))
Element 51: #0#
