Element 1: (3, (13, 2), ['G', '%', '.', '%'], [(12, 2), (9, 3), (9, 11)], [False, True, False, True], 98, False, [False, False, True, False], 29, 'North', (13, 3))
Element 2: (3, (13, 3), ['G', '', '.', '.'], [(12, 3), (10, 3), (10, 11)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (14, 3))
Element 3: (3, (14, 3), ['', '%', '.', '.'], [(11, 3), (10, 4), (11, 11)], [False, True, False, False], 94, False, [False, False, True, True], 107, 'East', (15, 3))
Element 4: (3, (15, 3), ['', '%', '.', '.'], [(11, 4), (10, 5), (12, 11)], [False, True, False, False], 92, False, [False, False, True, True], 146, 'East', (16, 3))
Element 5: (3, (16, 3), ['', '%', '.', '.'], [(11, 5), (10, 6), (13, 11)], [False, True, False, False], 90, False, [False, False, True, True], 185, 'East', (17, 3))
Element 6: (3, (17, 3), ['', '.', '.', '.'], [(11, 6), (10, 7), (14, 11)], [False, False, False, False], 88, False, [False, True, True, True], 224, 'East', (18, 3))
Element 7: (3, (18, 3), ['', '.', '.', '%'], [(12, 6), (10, 8), (15, 11)], [False, False, False, True], 86, False, [False, True, True, False], 1253, 'North', (18, 4))
Element 8: (3, (18, 4), ['.', '', '.', '%'], [(12, 7), (11, 8), (15, 12)], [False, False, False, True], 84, False, [True, False, True, False], 1292, 'North', (18, 5))
Element 9: (3, (18, 5), ['.', '', '.', '%'], [(13, 7), (12, 8), (15, 13)], [False, False, False, True], 82, False, [True, False, True, False], 1331, 'North', (18, 6))
Element 10: (3, (18, 6), ['.', '', '%', '%'], [(14, 7), (13, 8), (16, 13)], [False, False, True, True], 80, False, [True, False, False, False], 1370, 'West', (17, 6))
Element 11: (3, (17, 6), ['%', '.', '.', ''], [(15, 7), (13, 7), (17, 13)], [True, False, False, False], 78, False, [False, True, True, False], 1399, 'North', (17, 7))
Element 12: (3, (17, 7), ['G', '', '.', '%'], [(16, 7), (14, 7), (18, 13)], [False, False, False, True], 76, False, [False, False, True, False], 1428, 'North', (17, 8))
Element 13: (3, (17, 8), ['G', '', '.', '%'], [(16, 8), (15, 7), (17, 13)], [False, False, False, True], 74, False, [False, False, True, False], 1447, 'North', (17, 9))
Element 14: (3, (17, 9), ['G', '', '.', '%'], [(16, 9), (15, 8), (16, 13)], [False, False, False, True], 72, False, [False, False, True, False], 1476, 'North', (17, 10))
Element 15: (3, (17, 10), ['G', '', '.', '.'], [(16, 10), (15, 9), (15, 13)], [False, False, False, False], 70, False, [False, False, True, True], 1505, 'East', (18, 10))
Element 16: (3, (18, 10), ['', '%', '.', '%'], [(15, 10), (14, 9), (15, 12)], [False, True, False, True], 68, False, [False, False, True, False], 1534, 'North', (18, 11))
Element 17: (3, (18, 11), ['.', '', '%', '%'], [(15, 11), (15, 9), (14, 12)], [False, False, True, True], 66, False, [True, False, False, False], 1553, 'West', (17, 11))
Element 18: (3, (17, 11), ['%', '', '%', ''], [(15, 12), (16, 9), (13, 12)], [True, False, True, False], 64, False, [False, False, False, False], 1572, 'East', (18, 11))
Element 19: (3, (18, 11), ['', '', '%', '%'], [(15, 13), (17, 9), (13, 13)], [False, False, True, True], 62, False, [False, False, False, False], 1581, 'South', (18, 10))
Element 20: (3, (18, 10), ['G', '%', '', '%'], [(16, 13), (17, 10), (12, 13)], [False, True, False, True], 60, False, [False, False, False, False], 1590, 'North', (18, 11))
Element 21: (3, (18, 11), ['', 'G', '%', '%'], [(17, 13), (18, 10), (12, 12)], [False, False, True, True], 58, False, [False, False, False, False], 1599, 'West', (17, 11))
Element 22: (3, (17, 11), ['%', '', '%', 'G'], [(18, 13), (18, 11), (12, 13)], [True, False, True, False], 56, False, [False, False, False, False], 1598, 'South', (17, 10))
Element 23: (3, (17, 10), ['', '', 'G', ''], [(17, 13), (17, 11), (11, 13)], [False, False, False, False], 54, False, [False, False, False, False], 1607, 'South', (17, 9))
Element 24: (3, (17, 9), ['', '', '', '%'], [(16, 13), (18, 11), (12, 13)], [False, False, False, True], 52, False, [False, False, False, False], 1606, 'South', (17, 8))
Element 25: (3, (17, 8), ['', '', '', '%'], [(15, 13), (18, 10), (13, 13)], [False, False, False, True], 50, False, [False, False, False, False], 1605, 'South', (17, 7))
Element 26: (3, (17, 7), ['', '', '', '%'], [(15, 12), (17, 10), (13, 12)], [False, False, False, True], 48, False, [False, False, False, False], 1604, 'South', (17, 6))
Element 27: (3, (17, 6), ['%', '.', '', ''], [(14, 12), (17, 11), (12, 12)], [True, False, False, False], 46, False, [False, True, False, False], 1603, 'South', (17, 5))
Element 28: (3, (17, 5), ['.', '.', '', ''], [(14, 11), (17, 10), (13, 12)], [False, False, False, False], 44, False, [True, True, False, False], 1612, 'South', (17, 4))
Element 29: (3, (17, 4), ['.', '', '', ''], [(13, 11), (16, 10), (14, 12)], [False, False, False, False], 42, False, [True, False, False, False], 1621, 'West', (16, 4))
Element 30: (3, (16, 4), ['.', '', '.', ''], [(13, 12), (15, 10), (15, 12)], [False, False, False, False], 40, False, [True, False, True, False], 1630, 'North', (16, 5))
Element 31: (3, (16, 5), ['.', '', '%', ''], [(13, 13), (15, 11), (14, 12)], [False, False, True, False], 38, False, [True, False, False, False], 1639, 'West', (15, 5))
Element 32: (3, (15, 5), ['.', '.', '%', ''], [(12, 13), (15, 12), (14, 11)], [False, False, True, False], 36, False, [True, True, False, False], 1648, 'South', (15, 4))
Element 33: (3, (15, 4), ['.', '', '', ''], [(12, 12), (15, 13), (15, 11)], [False, False, False, False], 34, False, [True, False, False, False], 1657, 'West', (14, 4))
Element 34: (3, (14, 4), ['.', '', '.', ''], [(12, 11), (16, 13), (14, 11)], [False, False, False, False], 32, False, [True, False, True, False], 1666, 'North', (14, 5))
Element 35: (3, (14, 5), ['.', '', '%', ''], [(11, 11), (17, 13), (14, 12)], [False, False, True, False], 30, False, [True, False, False, False], 1675, 'West', (13, 5))
Element 36: (3, (13, 5), ['%', '.', '%', ''], [(10, 11), (18, 13), (14, 11)], [True, False, True, False], 28, False, [False, True, False, False], 1684, 'South', (13, 4))
Element 37: (3, (13, 4), ['%', '', '', ''], [(10, 12), (17, 13), (13, 11)], [True, False, False, False], 26, False, [False, False, False, False], 1703, 'North', (13, 5))
Element 38: (3, (13, 5), ['%', '', '%', ''], [(9, 12), (16, 13), (13, 12)], [True, False, True, False], 24, False, [False, False, False, False], 1712, 'East', (14, 5))
Element 39: (3, (14, 5), ['', '', '%', ''], [(9, 13), (15, 13), (13, 11)], [False, False, True, False], 22, False, [False, False, False, False], 1721, 'South', (14, 4))
