Element 1: (2, (8, 3), ['.', '.', '.', '.'], [(9, 11), (2, 1), (11, 6)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (9, 3))
Element 2: (2, (9, 3), ['', '.', '.', '.'], [(10, 11), (3, 1), (12, 6)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (10, 3))
Element 3: (2, (10, 3), ['', '.', '.', '.'], [(11, 11), (4, 1), (12, 7)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (11, 3))
Element 4: (2, (11, 3), ['', '.', '.', '.'], [(12, 11), (5, 1), (13, 7)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (12, 3))
Element 5: (2, (12, 3), ['', '.', '%', '.'], [(13, 11), (4, 1), (14, 7)], [False, False, True, False], 90, False, [False, True, False, True], 165, 'East', (13, 3))
Element 6: (2, (13, 3), ['', '.', '.', '.'], [(14, 11), (4, 2), (15, 7)], [False, False, False, False], 88, False, [False, True, True, True], 204, 'East', (14, 3))
Element 7: (2, (14, 3), ['', '%', '.', '.'], [(15, 11), (4, 3), (16, 7)], [False, True, False, False], 86, False, [False, False, True, True], 243, 'East', (15, 3))
Element 8: (2, (15, 3), ['', '%', '.', '.'], [(15, 12), (5, 3), (17, 7)], [False, True, False, False], 84, False, [False, False, True, True], 282, 'East', (16, 3))
Element 9: (2, (16, 3), ['', '%', '.', '.'], [(15, 13), (6, 3), (17, 8)], [False, True, False, False], 82, False, [False, False, True, True], 321, 'East', (17, 3))
Element 10: (2, (17, 3), ['', '.', '.', '.'], [(16, 13), (7, 3), (17, 9)], [False, False, False, False], 80, False, [False, True, True, True], 360, 'East', (18, 3))
Element 11: (2, (18, 3), ['', '.', '.', '%'], [(17, 13), (7, 2), (17, 10)], [False, False, False, True], 78, False, [False, True, True, False], 1389, 'North', (18, 4))
Element 12: (2, (18, 4), ['.', '', '.', '%'], [(18, 13), (8, 2), (18, 10)], [False, False, False, True], 76, False, [True, False, True, False], 1428, 'North', (18, 5))
Element 13: (2, (18, 5), ['.', '', '.', '%'], [(17, 13), (9, 2), (18, 11)], [False, False, False, True], 74, False, [True, False, True, False], 1457, 'North', (18, 6))
Element 14: (2, (18, 6), ['.', '', '%', '%'], [(16, 13), (10, 2), (17, 11)], [False, False, True, True], 72, False, [True, False, False, False], 1486, 'West', (17, 6))
Element 15: (2, (17, 6), ['%', '.', '', ''], [(15, 13), (11, 2), (18, 11)], [True, False, False, False], 70, False, [False, True, False, False], 1505, 'South', (17, 5))
Element 16: (2, (17, 5), ['.', '.', '', ''], [(15, 12), (12, 2), (18, 10)], [False, False, False, False], 68, False, [True, True, False, False], 1524, 'South', (17, 4))
Element 17: (2, (17, 4), ['.', '', '', ''], [(14, 12), (13, 2), (17, 10)], [False, False, False, False], 66, False, [True, False, False, False], 1553, 'West', (16, 4))
Element 18: (2, (16, 4), ['.', '', '.', ''], [(13, 12), (13, 3), (17, 11)], [False, False, False, False], 64, False, [True, False, True, False], 1572, 'North', (16, 5))
Element 19: (2, (16, 5), ['.', '', '%', ''], [(13, 13), (13, 4), (17, 10)], [False, False, True, False], 62, False, [True, False, False, False], 1601, 'West', (15, 5))
