Element 1: (3, (14, 5), ['.', 'G', '%', '.'], [(3, 6), (11, 5), (14, 4)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (15, 5))
Element 2: (3, (15, 5), ['', 'G', '%', '.'], [(4, 6), (11, 6), (15, 4)], [False, False, True, False], 96, False, [False, False, False, True], 68, 'East', (16, 5))
Element 3: (3, (16, 5), ['', 'G', '%', '.'], [(5, 6), (12, 6), (16, 4)], [False, False, True, False], 94, False, [False, False, False, True], 107, 'East', (17, 5))
Element 4: (3, (17, 5), ['', 'G', '.', '.'], [(5, 7), (12, 7), (17, 4)], [False, False, False, False], 92, False, [False, False, True, True], 146, 'East', (18, 5))
Element 5: (3, (18, 5), ['', 'G', '.', '%'], [(4, 7), (13, 7), (18, 4)], [False, False, False, True], 90, False, [False, False, True, False], 185, 'North', (18, 6))
Element 6: (3, (18, 6), ['.', '', '%', '%'], [(4, 8), (14, 7), (18, 3)], [False, False, True, True], 88, False, [True, False, False, False], 224, 'West', (17, 6))
Element 7: (3, (17, 6), ['%', '', '.', ''], [(4, 9), (15, 7), (18, 2)], [True, False, False, False], 86, False, [False, False, True, False], 263, 'North', (17, 7))
Element 8: (3, (17, 7), ['G', '', '.', '%'], [(5, 9), (16, 7), (18, 1)], [False, False, False, True], 84, False, [False, False, True, False], 302, 'North', (17, 8))
Element 9: (3, (17, 8), ['G', '', '.', '%'], [(6, 9), (16, 8), (17, 1)], [False, False, False, True], 82, False, [False, False, True, False], 341, 'North', (17, 9))
Element 10: (3, (17, 9), ['G', '', '.', '%'], [(7, 9), (16, 9), (16, 1)], [False, False, False, True], 80, False, [False, False, True, False], 1370, 'North', (17, 10))
Element 11: (3, (17, 10), ['G', '', '.', '.'], [(7, 8), (16, 10), (17, 1)], [False, False, False, False], 78, False, [False, False, True, True], 1399, 'East', (18, 10))
Element 12: (3, (18, 10), ['', '%', '.', '%'], [(8, 8), (15, 10), (17, 2)], [False, True, False, True], 76, False, [False, False, True, False], 1438, 'North', (18, 11))
Element 13: (3, (18, 11), ['.', '', '%', '%'], [(9, 8), (15, 11), (17, 3)], [False, False, True, True], 74, False, [True, False, False, False], 1477, 'West', (17, 11))
Element 14: (3, (17, 11), ['%', '', '%', ''], [(10, 8), (15, 12), (16, 3)], [True, False, True, False], 72, False, [False, False, False, False], 2506, 'East', (18, 11))
