Element 1: (2, (13, 11), ['.', '%', '.', '.'], [(9, 4), (3, 4), (17, 4)], [False, True, False, False], 98, False, [True, False, True, True], 19, 'East', (14, 11))
Element 2: (2, (14, 11), ['', '%', '.', '.'], [(10, 4), (4, 4), (18, 4)], [False, True, False, False], 96, False, [False, False, True, True], 58, 'East', (15, 11))
Element 3: (2, (15, 11), ['', '.', '.', '%'], [(11, 4), (4, 5), (18, 5)], [False, False, False, True], 94, False, [False, True, True, False], 97, 'North', (15, 12))
Element 4: (2, (15, 12), ['.', '', '.', '%'], [(11, 5), (5, 5), (18, 6)], [False, False, False, True], 92, False, [True, False, True, False], 136, 'North', (15, 13))
Element 5: (2, (15, 13), ['%', '', '%', '.'], [(11, 6), (6, 5), (17, 6)], [True, False, True, False], 90, False, [False, False, False, True], 175, 'East', (16, 13))
Element 6: (2, (16, 13), ['', '%', '%', '.'], [(12, 6), (7, 5), (17, 7)], [False, True, True, False], 88, False, [False, False, False, True], 214, 'East', (17, 13))
Element 7: (2, (17, 13), ['', '%', '%', '.'], [(12, 7), (7, 6), (17, 8)], [False, True, True, False], 86, False, [False, False, False, True], 253, 'East', (18, 13))
Element 8: (2, (18, 13), ['', '%', '%', '%'], [(13, 7), (8, 6), (17, 9)], [False, True, True, True], 84, False, [False, False, False, False], 292, 'West', (17, 13))
Element 9: (2, (17, 13), ['', '%', '%', ''], [(14, 7), (9, 6), (17, 10)], [False, True, True, False], 82, False, [False, False, False, False], 321, 'West', (16, 13))
Element 10: (2, (16, 13), ['', '%', '%', ''], [(15, 7), (10, 6), (18, 10)], [False, True, True, False], 80, False, [False, False, False, False], 350, 'West', (15, 13))
Element 11: (2, (15, 13), ['%', '', '%', ''], [(16, 7), (10, 7), (18, 11)], [True, False, True, False], 78, False, [False, False, False, False], 379, 'South', (15, 12))
Element 12: (2, (15, 12), ['.', '', '', '%'], [(16, 8), (10, 8), (17, 11)], [False, False, False, True], 76, False, [True, False, False, False], 1398, 'West', (14, 12))
Element 13: (2, (14, 12), ['.', '', '%', ''], [(16, 9), (11, 8), (18, 11)], [False, False, True, False], 74, False, [True, False, False, False], 1427, 'West', (13, 12))
Element 14: (2, (13, 12), ['.', '', '.', ''], [(16, 10), (12, 8), (18, 10)], [False, False, False, False], 72, False, [True, False, True, False], 1456, 'North', (13, 13))
Element 15: (2, (13, 13), ['.', '', '%', '%'], [(15, 10), (13, 8), (17, 10)], [False, False, True, True], 70, False, [True, False, False, False], 1485, 'West', (12, 13))
Element 16: (2, (12, 13), ['.', '.', '%', ''], [(15, 9), (13, 7), (17, 11)], [False, False, True, False], 68, False, [True, True, False, False], 1504, 'South', (12, 12))
Element 17: (2, (12, 12), ['%', '.', '', ''], [(15, 8), (14, 7), (17, 10)], [True, False, False, False], 66, False, [False, True, False, False], 1523, 'South', (12, 11))
Element 18: (2, (12, 11), ['.', '%', '', ''], [(15, 9), (15, 7), (16, 10)], [False, True, False, False], 64, False, [True, False, False, False], 1532, 'West', (11, 11))
Element 19: (2, (11, 11), ['.', '%', '%', ''], [(14, 9), (16, 7), (16, 9)], [False, True, True, False], 62, False, [True, False, False, False], 1551, 'West', (10, 11))
Element 20: (2, (10, 11), ['.', '%', '.', ''], [(15, 9), (17, 7), (16, 8)], [False, True, False, False], 60, False, [True, False, True, False], 1560, 'North', (10, 12))
Element 21: (2, (10, 12), ['.', '', '%', '%'], [(15, 10), (17, 8), (16, 7)], [False, False, True, True], 58, False, [True, False, False, False], 1569, 'West', (9, 12))
Element 22: (2, (9, 12), ['.', '.', '.', ''], [(15, 11), (17, 9), (15, 7)], [False, False, False, False], 56, False, [True, True, True, False], 1578, 'North', (9, 13))
Element 23: (2, (9, 13), ['.', '', '%', '%'], [(15, 12), (17, 10), (15, 8)], [False, False, True, True], 54, False, [True, False, False, False], 1587, 'West', (8, 13))
Element 24: (2, (8, 13), ['.', '.', '%', ''], [(15, 13), (18, 10), (15, 9)], [False, False, True, False], 52, False, [True, True, False, False], 1596, 'South', (8, 12))
