Element 1: (2, (9, 6), ['.', '', '.', '.'], [(18, 2), (9, 4), (10, 5)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (10, 6))
Element 2: (2, (10, 6), ['', '', '.', '.'], [(18, 3), (10, 4), (11, 5)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (11, 6))
Element 3: (2, (11, 6), ['', '', '%', '.'], [(18, 4), (10, 3), (11, 4)], [False, False, True, False], 94, False, [False, False, False, True], 97, 'East', (12, 6))
Element 4: (2, (12, 6), ['', '%', '.', '%'], [(18, 5), (10, 2), (11, 3)], [False, True, False, True], 92, False, [False, False, True, False], 136, 'North', (12, 7))
Element 5: (2, (12, 7), ['%', '', '.', '.'], [(18, 6), (11, 2), (12, 3)], [True, False, False, False], 90, False, [False, False, True, True], 175, 'East', (13, 7))
Element 6: (2, (13, 7), ['', '%', '.', '.'], [(17, 6), (12, 2), (13, 3)], [False, True, False, False], 88, False, [False, False, True, True], 214, 'East', (14, 7))
Element 7: (2, (14, 7), ['', '%', '%', '.'], [(17, 7), (13, 2), (14, 3)], [False, True, True, False], 86, False, [False, False, False, True], 253, 'East', (15, 7))
Element 8: (2, (15, 7), ['', '%', '.', '.'], [(17, 8), (13, 3), (15, 3)], [False, True, False, False], 84, False, [False, False, True, True], 282, 'East', (16, 7))
Element 9: (2, (16, 7), ['', '%', '.', ''], [(17, 9), (13, 4), (16, 3)], [False, True, False, False], 82, False, [False, False, True, False], 321, 'North', (16, 8))
Element 10: (2, (16, 8), ['.', '', '.', ''], [(17, 10), (14, 4), (17, 3)], [False, False, False, False], 80, False, [True, False, True, False], 360, 'North', (16, 9))
Element 11: (2, (16, 9), ['.', '', '.', ''], [(18, 10), (15, 4), (17, 4)], [False, False, False, False], 78, False, [True, False, True, False], 399, 'North', (16, 10))
Element 12: (2, (16, 10), ['.', '', '%', ''], [(18, 11), (16, 4), (17, 5)], [False, False, True, False], 76, False, [True, False, False, False], 438, 'West', (15, 10))
Element 13: (2, (15, 10), ['%', '.', '.', ''], [(17, 11), (17, 4), (16, 5)], [True, False, False, False], 74, False, [False, True, True, False], 467, 'North', (15, 11))
