Element 1: (0, (14, 4), ['.', 'G', '.', '.'], [(10, 8), (13, 8), (14, 3)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'East', (15, 4))
Element 2: (0, (15, 4), ['', '%', '.', '.'], [(10, 7), (14, 8), (14, 2)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (16, 4))
Element 3: (0, (16, 4), ['', '.', '.', '.'], [(9, 7), (15, 8), (14, 1)], [False, False, False, False], 94, False, [False, True, True, True], 78, 'East', (17, 4))
Element 4: (0, (17, 4), ['', '.', '.', '.'], [(9, 8), (15, 7), (15, 1)], [False, False, False, False], 92, False, [False, True, True, True], 117, 'East', (18, 4))
Element 5: (0, (18, 4), ['', '.', '.', '%'], [(8, 8), (15, 6), (14, 1)], [False, False, False, True], 90, False, [False, True, True, False], 146, 'North', (18, 5))
Element 6: (0, (18, 5), ['.', '', '%', '%'], [(8, 9), (16, 6), (13, 1)], [False, False, True, True], 88, False, [True, False, False, False], 185, 'West', (17, 5))
Element 7: (0, (17, 5), ['.', '', 'G', ''], [(7, 9), (17, 6), (13, 2)], [False, False, False, False], 86, False, [True, False, False, False], 224, 'West', (16, 5))
Element 8: (0, (16, 5), ['.', '', '', ''], [(7, 8), (17, 7), (13, 3)], [False, False, False, False], 84, False, [True, False, False, False], 263, 'West', (15, 5))
Element 9: (0, (15, 5), ['.', '', '', ''], [(6, 8), (18, 7), (13, 4)], [False, False, False, False], 82, False, [True, False, False, False], 302, 'West', (14, 5))
Element 10: (0, (14, 5), ['G', '', '%', ''], [(6, 9), (17, 7), (13, 5)], [False, False, True, False], 80, False, [False, False, False, False], 331, 'East', (15, 5))
Element 11: (0, (15, 5), ['', '', '', ''], [(6, 8), (17, 6), (13, 6)], [False, False, False, False], 78, False, [False, False, False, False], 340, 'North', (15, 6))
Element 12: (0, (15, 6), ['%', '', '', ''], [(5, 8), (17, 5), (12, 6)], [True, False, False, False], 76, False, [False, False, False, False], 359, 'East', (16, 6))
Element 13: (0, (16, 6), ['', '', '%', ''], [(4, 8), (18, 5), (12, 5)], [False, False, True, False], 74, False, [False, False, False, False], 378, 'East', (17, 6))
Element 14: (0, (17, 6), ['', '', '', '%'], [(5, 8), (18, 4), (12, 4)], [False, False, False, True], 72, False, [False, False, False, False], 387, 'North', (17, 7))
Element 15: (0, (17, 7), ['%', '', '%', ''], [(6, 8), (18, 3), (11, 4)], [True, False, True, False], 70, False, [False, False, False, False], 406, 'East', (18, 7))
Element 16: (0, (18, 7), ['', '%', '%', '%'], [(7, 8), (17, 3), (11, 3)], [False, True, True, True], 68, False, [False, False, False, False], 425, 'West', (17, 7))
Element 17: (0, (17, 7), ['%', '', '%', ''], [(7, 9), (16, 3), (11, 2)], [True, False, True, False], 66, False, [False, False, False, False], 444, 'South', (17, 6))
Element 18: (0, (17, 6), ['', '', '', '%'], [(6, 9), (16, 4), (12, 2)], [False, False, False, True], 64, False, [False, False, False, False], 453, 'West', (16, 6))
Element 19: (0, (16, 6), ['', '', '%', ''], [(7, 9), (17, 4), (12, 1)], [False, False, True, False], 62, False, [False, False, False, False], 462, 'West', (15, 6))
Element 20: (0, (15, 6), ['%', '', '', ''], [(8, 9), (16, 4), (11, 1)], [True, False, False, False], 60, False, [False, False, False, False], 471, 'North', (15, 7))
Element 21: (0, (15, 7), ['.', '', '', '%'], [(8, 8), (16, 5), (12, 1)], [False, False, False, True], 58, False, [True, False, False, False], 470, 'West', (14, 7))
Element 22: (0, (14, 7), ['%', '%', '', ''], [(7, 8), (15, 5), (12, 2)], [True, True, False, False], 56, False, [False, False, False, False], 479, 'North', (14, 8))
Element 23: (0, (14, 8), ['', '', '%', ''], [(8, 8), (15, 4), (11, 2)], [False, False, True, False], 54, False, [False, False, False, False], 478, 'East', (15, 8))
Element 24: (0, (15, 8), ['', '', '%', '%'], [(9, 8), (14, 4), (11, 1)], [False, False, True, True], 52, False, [False, False, False, False], 477, 'West', (14, 8))
Element 25: (0, (14, 8), ['', '', '%', ''], [(9, 7), (14, 5), (11, 2)], [False, False, True, False], 50, False, [False, False, False, False], 476, 'West', (13, 8))
Element 26: (0, (13, 8), ['%', '%', '%', ''], [(9, 6), (13, 5), (10, 2)], [True, True, True, False], 48, False, [False, False, False, False], 495, 'East', (14, 8))
Element 27: (0, (14, 8), ['', '', '%', ''], [(9, 5), (13, 6), (9, 2)], [False, False, True, False], 46, False, [False, False, False, False], 1504, 'South', (14, 7))
Element 28: (0, (14, 7), ['%', '%', '', ''], [(10, 5), (12, 6), (9, 3)], [True, True, False, False], 44, False, [False, False, False, False], 2513, 'East', (15, 7))
Element 29: (0, (15, 7), ['', '', '', '%'], [(10, 4), (11, 6), (10, 3)], [False, False, False, True], 42, False, [False, False, False, False], 2542, 'North', (15, 8))
Element 30: (0, (15, 8), ['', '', '%', '%'], [(9, 4), (12, 6), (10, 4)], [False, False, True, True], 40, False, [False, False, False, False], 2551, 'South', (15, 7))
Element 31: (0, (15, 7), ['', '', '', '%'], [(8, 4), (12, 5), (10, 5)], [False, False, False, True], 38, False, [False, False, False, False], 2560, 'South', (15, 6))
Element 32: (0, (15, 6), ['%', '', '', ''], [(8, 5), (12, 4), (9, 5)], [True, False, False, False], 36, False, [False, False, False, False], 2569, 'South', (15, 5))
Element 33: (0, (15, 5), ['', '', '', ''], [(8, 6), (13, 4), (9, 6)], [False, False, False, False], 34, False, [False, False, False, False], 2578, 'East', (16, 5))
Element 34: (0, (16, 5), ['', '', '', ''], [(8, 5), (13, 3), (9, 7)], [False, False, False, False], 32, False, [False, False, False, False], 2577, 'North', (16, 6))
Element 35: (0, (16, 6), ['', '', '%', ''], [(8, 4), (14, 3), (10, 7)], [False, False, True, False], 30, False, [False, False, False, False], 2576, 'South', (16, 5))
Element 36: (0, (16, 5), ['', '', '', ''], [(8, 3), (14, 2), (10, 8)], [False, False, False, False], 28, False, [False, False, False, False], 2585, 'East', (17, 5))
