Element 1: (0, (14, 7), ['%', '%', 'G', '.'], [(10, 12), (14, 8), (16, 6)], [True, True, False, False], 98, False, [False, False, False, True], 0, 'East', (15, 7))
Element 2: (0, (15, 7), ['', '.', 'G', '%'], [(11, 12), (15, 8), (17, 6)], [False, False, False, True], 96, False, [False, True, False, False], 39, 'South', (15, 6))
Element 3: (0, (15, 6), ['%', '.', 'G', ''], [(12, 12), (15, 7), (17, 7)], [True, False, False, False], 94, False, [False, True, False, False], 68, 'South', (15, 5))
Element 4: (0, (15, 5), ['.', '.', 'G', '.'], [(13, 12), (15, 6), (18, 7)], [False, False, False, False], 92, False, [True, True, False, True], 97, 'East', (16, 5))
Element 5: (0, (16, 5), ['', '.', 'G', '.'], [(13, 13), (16, 6), (17, 7)], [False, False, False, False], 90, False, [False, True, False, True], 116, 'East', (17, 5))
Element 6: (0, (17, 5), ['', '.', 'G', '.'], [(14, 13), (17, 6), (18, 7)], [False, False, False, False], 88, False, [False, True, False, True], 135, 'East', (18, 5))
Element 7: (0, (18, 5), ['', '.', '%', '%'], [(15, 13), (17, 7), (18, 7)], [False, False, True, True], 86, False, [False, True, False, False], 154, 'South', (18, 4))
Element 8: (0, (18, 4), ['.', '.', '', '%'], [(16, 13), (17, 6), (17, 7)], [False, False, False, True], 84, False, [True, True, False, False], 173, 'South', (18, 3))
Element 9: (0, (18, 3), ['.', '%', '', '%'], [(17, 13), (17, 5), (17, 6)], [False, True, False, True], 82, False, [True, False, False, False], 192, 'West', (17, 3))
Element 10: (0, (17, 3), ['.', '%', 'G', ''], [(18, 13), (17, 4), (17, 5)], [False, True, False, False], 80, False, [True, False, False, False], 221, 'West', (16, 3))
Element 11: (0, (16, 3), ['%', '%', 'G', ''], [(18, 12), (16, 4), (18, 5)], [True, True, False, False], 78, False, [False, False, False, False], 250, 'East', (17, 3))
Element 12: (0, (17, 3), ['', '%', '', ''], [(18, 11), (15, 4), (18, 4)], [False, True, False, False], 76, False, [False, False, False, False], 269, 'East', (18, 3))
Element 13: (0, (18, 3), ['', '%', '', '%'], [(18, 10), (14, 4), (17, 4)], [False, True, False, True], 74, False, [False, False, False, False], 288, 'North', (18, 4))
Element 14: (0, (18, 4), ['', '', '', '%'], [(17, 10), (14, 5), (17, 3)], [False, False, False, True], 72, False, [False, False, False, False], 307, 'West', (17, 4))
