Element 1: (1, (5, 3), ['.', '.', '%', ''], [(7, 3), (7, 1), (15, 13)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'South', (5, 2))
Element 2: (1, (5, 2), ['.', '.', '', '.'], [(8, 3), (8, 1), (16, 13)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'East', (6, 2))
Element 3: (1, (6, 2), ['', '.', '', '.'], [(9, 3), (9, 1), (17, 13)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (7, 2))
Element 4: (1, (7, 2), ['', '', '', '.'], [(10, 3), (9, 2), (18, 13)], [False, False, False, False], 92, False, [False, False, False, True], 1116, 'East', (8, 2))
Element 5: (1, (8, 2), ['', '', '', ''], [(11, 3), (10, 2), (18, 12)], [False, False, False, False], 90, False, [False, False, False, False], 1155, 'East', (9, 2))
Element 6: (1, (9, 2), ['', '', '', ''], [(11, 4), (11, 2), (18, 11)], [False, False, False, False], 88, False, [False, False, False, False], 1184, 'East', (10, 2))
Element 7: (1, (10, 2), ['', '%', '', ''], [(12, 4), (12, 2), (18, 10)], [False, True, False, False], 86, False, [False, False, False, False], 1213, 'East', (11, 2))
Element 8: (1, (11, 2), ['', '.', '', ''], [(13, 4), (13, 2), (17, 10)], [False, False, False, False], 84, False, [False, True, False, False], 1242, 'South', (11, 1))
Element 9: (1, (11, 1), ['%', '%', '', '.'], [(14, 4), (14, 2), (17, 11)], [True, True, False, False], 82, False, [False, False, False, True], 1281, 'East', (12, 1))
Element 10: (1, (12, 1), ['', '%', '', '.'], [(15, 4), (14, 3), (17, 12)], [False, True, False, False], 80, False, [False, False, False, True], 1320, 'East', (13, 1))
Element 11: (1, (13, 1), ['', '%', '', '.'], [(16, 4), (13, 3), (16, 12)], [False, True, False, False], 78, False, [False, False, False, True], 1359, 'East', (14, 1))
Element 12: (1, (14, 1), ['', '%', '', '.'], [(17, 4), (13, 4), (16, 11)], [False, True, False, False], 76, False, [False, False, False, True], 1388, 'East', (15, 1))
Element 13: (1, (15, 1), ['', '%', '%', '%'], [(18, 4), (13, 5), (16, 10)], [False, True, True, True], 74, False, [False, False, False, False], 1427, 'West', (14, 1))
Element 14: (1, (14, 1), ['', '%', '', ''], [(18, 5), (14, 5), (16, 9)], [False, True, False, False], 72, False, [False, False, False, False], 1456, 'North', (14, 2))
Element 15: (1, (14, 2), ['', '', '', '%'], [(17, 5), (15, 5), (17, 9)], [False, False, False, True], 70, False, [False, False, False, False], 1485, 'North', (14, 3))
Element 16: (1, (14, 3), ['', '', '', '%'], [(17, 6), (16, 5), (16, 9)], [False, False, False, True], 68, False, [False, False, False, False], 1504, 'North', (14, 4))
Element 17: (1, (14, 4), ['', '', '', ''], [(17, 7), (16, 6), (16, 10)], [False, False, False, False], 66, False, [False, False, False, False], 1523, 'East', (15, 4))
Element 18: (1, (15, 4), ['', '%', '', ''], [(18, 7), (15, 6), (16, 11)], [False, True, False, False], 64, False, [False, False, False, False], 1542, 'East', (16, 4))
Element 19: (1, (16, 4), ['', '.', '', ''], [(17, 7), (15, 7), (16, 12)], [False, False, False, False], 62, False, [False, True, False, False], 1551, 'South', (16, 3))
Element 20: (1, (16, 3), ['%', '%', '', '.'], [(17, 6), (15, 8), (15, 12)], [True, True, False, False], 60, False, [False, False, False, True], 1580, 'East', (17, 3))
Element 21: (1, (17, 3), ['', '%', '', '.'], [(17, 5), (14, 8), (16, 12)], [False, True, False, False], 58, False, [False, False, False, True], 1599, 'East', (18, 3))
Element 22: (1, (18, 3), ['', '%', '', '%'], [(18, 5), (14, 7), (17, 12)], [False, True, False, True], 56, False, [False, False, False, False], 1618, 'North', (18, 4))
Element 23: (1, (18, 4), ['', '', '', '%'], [(17, 5), (14, 8), (17, 11)], [False, False, False, True], 54, False, [False, False, False, False], 1617, 'North', (18, 5))
Element 24: (1, (18, 5), ['', '', '%', '%'], [(17, 4), (13, 8), (16, 11)], [False, False, True, True], 52, False, [False, False, False, False], 1626, 'West', (17, 5))
Element 25: (1, (17, 5), ['', '', '', ''], [(18, 4), (14, 8), (17, 11)], [False, False, False, False], 50, False, [False, False, False, False], 1625, 'North', (17, 6))
Element 26: (1, (17, 6), ['', '', '', '%'], [(17, 4), (15, 8), (17, 10)], [False, False, False, True], 48, False, [False, False, False, False], 1624, 'North', (17, 7))
Element 27: (1, (17, 7), ['%', '', '%', ''], [(17, 5), (15, 7), (17, 9)], [True, False, True, False], 46, False, [False, False, False, False], 1623, 'East', (18, 7))
Element 28: (1, (18, 7), ['', '%', '%', '%'], [(17, 4), (14, 7), (17, 10)], [False, True, True, True], 44, False, [False, False, False, False], 1622, 'West', (17, 7))
Element 29: (1, (17, 7), ['%', '', '%', ''], [(17, 3), (15, 7), (16, 10)], [True, False, True, False], 42, False, [False, False, False, False], 1621, 'South', (17, 6))
Element 30: (1, (17, 6), ['', '', '', '%'], [(18, 3), (15, 6), (17, 10)], [False, False, False, True], 40, False, [False, False, False, False], 1620, 'West', (16, 6))
Element 31: (1, (16, 6), ['', '', '%', ''], [(17, 3), (15, 5), (18, 10)], [False, False, True, False], 38, False, [False, False, False, False], 1619, 'South', (16, 5))
Element 32: (1, (16, 5), ['', '', '', ''], [(16, 3), (15, 6), (18, 11)], [False, False, False, False], 36, False, [False, False, False, False], 1618, 'West', (15, 5))
Element 33: (1, (15, 5), ['', '', '', ''], [(17, 3), (16, 6), (17, 11)], [False, False, False, False], 34, False, [False, False, False, False], 1617, 'North', (15, 6))
Element 34: (1, (15, 6), ['%', '', '', ''], [(17, 4), (16, 5), (18, 11)], [True, False, False, False], 32, False, [False, False, False, False], 1616, 'North', (15, 7))
Element 35: (1, (15, 7), ['', '', '', '%'], [(16, 4), (17, 5), (18, 12)], [False, False, False, True], 30, False, [False, False, False, False], 1615, 'North', (15, 8))
Element 36: (1, (15, 8), ['', '', '%', '%'], [(16, 5), (18, 5), (17, 12)], [False, False, True, True], 28, False, [False, False, False, False], 1614, 'West', (14, 8))
Element 37: (1, (14, 8), ['', '', '%', ''], [(16, 6), (18, 4), (18, 12)], [False, False, True, False], 26, False, [False, False, False, False], 1613, 'South', (14, 7))
Element 38: (1, (14, 7), ['%', '%', '', ''], [(15, 6), (18, 3), (18, 13)], [True, True, False, False], 24, False, [False, False, False, False], 1612, 'North', (14, 8))
Element 39: (1, (14, 8), ['', '', '%', ''], [(15, 7), (17, 3), (17, 13)], [False, False, True, False], 22, False, [False, False, False, False], 1611, 'West', (13, 8))
Element 40: (1, (13, 8), ['%', '%', '%', ''], [(15, 8), (17, 4), (17, 12)], [True, True, True, False], 20, False, [False, False, False, False], 1610, 'East', (14, 8))
Element 41: (1, (14, 8), ['', '', '%', ''], [(15, 7), (16, 4), (17, 13)], [False, False, True, False], 18, False, [False, False, False, False], 1609, 'East', (15, 8))
Element 42: (1, (15, 8), ['', '', '%', '%'], [(14, 7), (16, 3), (16, 13)], [False, False, True, True], 16, False, [False, False, False, False], 1608, 'South', (15, 7))
Element 43: (1, (15, 7), ['', '', '', '%'], [(14, 8), (16, 4), (16, 12)], [False, False, False, True], 14, False, [False, False, False, False], 1607, 'West', (14, 7))
Element 44: (1, (14, 7), ['%', '%', '', ''], [(13, 8), (15, 4), (16, 13)], [True, True, False, False], 12, False, [False, False, False, False], 1606, 'East', (15, 7))
Element 45: (1, (15, 7), ['', '', '', '%'], [(14, 8), (14, 4), (15, 13)], [False, False, False, True], 10, False, [False, False, False, False], 1605, 'South', (15, 6))
Element 46: (1, (15, 6), ['%', '', '', ''], [(14, 7), (15, 4), (15, 12)], [True, False, False, False], 8, False, [False, False, False, False], 1604, 'South', (15, 5))
Element 47: (1, (15, 5), ['', '', '', ''], [(15, 7), (16, 4), (15, 13)], [False, False, False, False], 6, False, [False, False, False, False], 1603, 'West', (14, 5))
Element 48: (1, (14, 5), ['', '', '%', ''], [(15, 6), (17, 4), (14, 13)], [False, False, True, False], 4, False, [False, False, False, False], 1612, 'West', (13, 5))
Element 49: (1, (13, 5), ['.', '', '.', ''], [(15, 5), (17, 3), (13, 13)], [False, False, False, False], 2, False, [True, False, True, False], 1621, 'North', (13, 6))
Element 50: (1, (13, 6), ['.', '', '%', '%'], [(15, 5), (16, 3), (13, 12)], [False, False, True, True], 0, False, [True, False, False, False], 1640, 'Stop', (13, 6))
Element 51: #0#
