Element 1: (0, (5, 3), ['G', '.', '%', '.'], [(4, 3), (7, 2), (7, 12)], [False, False, True, False], 98, False, [False, True, False, True], 0, 'East', (6, 3))
Element 2: (0, (6, 3), ['', '.', '.', '.'], [(4, 4), (8, 2), (8, 12)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (7, 3))
Element 3: (0, (7, 3), ['', '', '%', '.'], [(4, 5), (9, 2), (9, 12)], [False, False, True, False], 94, False, [False, False, False, True], 1068, 'East', (8, 3))
Element 4: (0, (8, 3), ['', '', '.', '.'], [(5, 5), (10, 2), (10, 12)], [False, False, False, False], 92, False, [False, False, True, True], 1107, 'East', (9, 3))
Element 5: (0, (9, 3), ['', '', '.', '.'], [(6, 5), (11, 2), (11, 12)], [False, False, False, False], 90, False, [False, False, True, True], 1146, 'East', (10, 3))
Element 6: (0, (10, 3), ['', '', '.', '.'], [(6, 6), (12, 2), (12, 12)], [False, False, False, False], 88, False, [False, False, True, True], 1185, 'East', (11, 3))
Element 7: (0, (11, 3), ['', '', '.', '%'], [(5, 6), (13, 2), (13, 12)], [False, False, False, True], 86, False, [False, False, True, False], 1224, 'North', (11, 4))
Element 8: (0, (11, 4), ['.', '', '%', '.'], [(4, 6), (14, 2), (13, 13)], [False, False, True, False], 84, False, [True, False, False, True], 1263, 'East', (12, 4))
Element 9: (0, (12, 4), ['', '%', '.', '.'], [(3, 6), (14, 3), (14, 13)], [False, True, False, False], 82, False, [False, False, True, True], 1302, 'East', (13, 4))
Element 10: (0, (13, 4), ['', '.', '.', 'G'], [(3, 7), (14, 4), (15, 13)], [False, False, False, False], 80, False, [False, True, True, False], 1341, 'North', (13, 5))
Element 11: (0, (13, 5), ['.', '', '.', '.'], [(2, 7), (15, 4), (16, 13)], [False, False, False, False], 78, False, [True, False, True, True], 1380, 'East', (14, 5))
Element 12: (0, (14, 5), ['', '', '%', '.'], [(2, 8), (16, 4), (17, 13)], [False, False, True, False], 76, False, [False, False, False, True], 2409, 'East', (15, 5))
Element 13: (0, (15, 5), ['', '', '.', '.'], [(1, 8), (17, 4), (18, 13)], [False, False, False, False], 74, False, [False, False, True, True], 3438, 'East', (16, 5))
Element 14: (0, (16, 5), ['', '', '.', '.'], [(1, 7), (18, 4), (18, 12)], [False, False, False, False], 72, False, [False, False, True, True], 3477, 'East', (17, 5))
Element 15: (0, (17, 5), ['', '', '.', 'G'], [(1, 6), (18, 5), (18, 11)], [False, False, False, False], 70, False, [False, False, True, False], 3516, 'North', (17, 6))
Element 16: (0, (17, 6), ['.', 'G', '.', '%'], [(2, 6), (17, 5), (18, 10)], [False, False, False, True], 68, False, [True, False, True, False], 3545, 'North', (17, 7))
Element 17: (0, (17, 7), ['%', 'G', '%', '.'], [(2, 5), (17, 6), (17, 10)], [True, False, True, False], 66, False, [False, False, False, True], 3574, 'East', (18, 7))
Element 18: (0, (18, 7), ['', '%', '%', '%'], [(3, 5), (16, 6), (17, 11)], [False, True, True, True], 64, False, [False, False, False, False], 3613, 'West', (17, 7))
Element 19: (0, (17, 7), ['%', '', '%', ''], [(3, 4), (15, 6), (17, 12)], [True, False, True, False], 62, False, [False, False, False, False], 3642, 'South', (17, 6))
Element 20: (0, (17, 6), ['', '', '', '%'], [(3, 3), (15, 7), (16, 12)], [False, False, False, True], 60, False, [False, False, False, False], 3671, 'West', (16, 6))
Element 21: (0, (16, 6), ['', '', '%', ''], [(2, 3), (15, 8), (16, 11)], [False, False, True, False], 58, False, [False, False, False, False], 3700, 'West', (15, 6))
Element 22: (0, (15, 6), ['%', '', '', ''], [(2, 4), (14, 8), (16, 10)], [True, False, False, False], 56, False, [False, False, False, False], 3729, 'North', (15, 7))
Element 23: (0, (15, 7), ['G', '', '', '%'], [(1, 4), (14, 7), (16, 9)], [False, False, False, True], 54, False, [False, False, False, False], 3758, 'North', (15, 8))
