Element 1: (1, (1, 7), ['%', '.', 'F', 'G'], [(2, 7), (3, 6), (5, 5)], [True, False, False, False], 98, False, [False, True, False, False], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'G'], [(2, 8), (4, 6), (6, 5)], [True, False, True, False], 96, False, [False, False, False, False], 2028, 'South', (1, 7))
Element 3: (1, (1, 7), ['%', '.', 'G', ''], [(1, 8), (5, 6), (6, 6)], [True, False, False, False], 94, False, [False, True, False, False], 2047, 'South', (1, 6))
Element 4: (1, (1, 6), ['%', '.', 'G', '.'], [(1, 7), (5, 5), (5, 6)], [True, False, False, False], 92, False, [False, True, False, True], 2056, 'East', (2, 6))
Element 5: (1, (2, 6), ['G', '.', '', ''], [(1, 6), (4, 5), (4, 6)], [False, False, False, False], 90, False, [False, True, False, False], 2075, 'South', (2, 5))
Element 6: (1, (2, 5), ['G', '.', '', '.'], [(1, 5), (4, 4), (4, 5)], [False, False, False, False], 88, False, [False, True, False, True], 2104, 'East', (3, 5))
Element 7: (1, (3, 5), ['', '.', '', ''], [(1, 4), (4, 3), (4, 4)], [False, False, False, False], 86, False, [False, True, False, False], 2133, 'South', (3, 4))
Element 8: (1, (3, 4), ['G', '.', '', ''], [(2, 4), (5, 3), (4, 3)], [False, False, False, False], 84, False, [False, True, False, False], 2162, 'South', (3, 3))
Element 9: (1, (3, 3), ['G', '%', '', ''], [(2, 3), (6, 3), (4, 2)], [False, True, False, False], 82, False, [False, False, False, False], 2201, 'East', (4, 3))
Element 10: (1, (4, 3), ['', '', '', ''], [(2, 2), (7, 3), (5, 2)], [False, False, False, False], 80, False, [False, False, False, False], 2230, 'East', (5, 3))
Element 11: (1, (5, 3), ['', '', '%', ''], [(2, 1), (8, 3), (6, 2)], [False, False, True, False], 78, False, [False, False, False, False], 2259, 'East', (6, 3))
Element 12: (1, (6, 3), ['', '', '.', ''], [(3, 1), (9, 3), (7, 2)], [False, False, False, False], 76, False, [False, False, True, False], 2288, 'North', (6, 4))
Element 13: (1, (6, 4), ['%', '', '', '%'], [(4, 1), (9, 2), (8, 2)], [True, False, False, True], 74, False, [False, False, False, False], 3317, 'North', (6, 5))
Element 14: (1, (6, 5), ['', '', '', '%'], [(5, 1), (10, 2), (8, 1)], [False, False, False, True], 72, False, [False, False, False, False], 3346, 'North', (6, 6))
Element 15: (1, (6, 6), ['', '', '%', '%'], [(6, 1), (11, 2), (9, 1)], [False, False, True, True], 70, False, [False, False, False, False], 3375, 'West', (5, 6))
Element 16: (1, (5, 6), ['', '', '%', ''], [(7, 1), (12, 2), (9, 2)], [False, False, True, False], 68, False, [False, False, False, False], 3394, 'South', (5, 5))
Element 17: (1, (5, 5), ['', '%', '', ''], [(8, 1), (13, 2), (10, 2)], [False, True, False, False], 66, False, [False, False, False, False], 3403, 'West', (4, 5))
Element 18: (1, (4, 5), ['', '', '', ''], [(9, 1), (14, 2), (10, 3)], [False, False, False, False], 64, False, [False, False, False, False], 3422, 'North', (4, 6))
Element 19: (1, (4, 6), ['', '', '%', ''], [(9, 2), (14, 3), (11, 3)], [False, False, True, False], 62, False, [False, False, False, False], 3441, 'West', (3, 6))
Element 20: (1, (3, 6), ['', '', '', ''], [(10, 2), (14, 4), (11, 4)], [False, False, False, False], 60, False, [False, False, False, False], 3460, 'North', (3, 7))
Element 21: (1, (3, 7), ['', '', '%', '%'], [(11, 2), (15, 4), (12, 4)], [False, False, True, True], 58, False, [False, False, False, False], 3479, 'West', (2, 7))
Element 22: (1, (2, 7), ['', '', '', ''], [(11, 1), (16, 4), (13, 4)], [False, False, False, False], 56, False, [False, False, False, False], 3508, 'North', (2, 8))
Element 23: (1, (2, 8), ['', '', '%', '%'], [(12, 1), (17, 4), (13, 5)], [False, False, True, True], 54, False, [False, False, False, False], 3537, 'South', (2, 7))
Element 24: (1, (2, 7), ['', '', '', ''], [(13, 1), (18, 4), (14, 5)], [False, False, False, False], 52, False, [False, False, False, False], 3566, 'East', (3, 7))
Element 25: (1, (3, 7), ['', '', '%', '%'], [(14, 1), (18, 5), (15, 5)], [False, False, True, True], 50, False, [False, False, False, False], 3595, 'South', (3, 6))
Element 26: (1, (3, 6), ['', '', '', ''], [(15, 1), (17, 5), (16, 5)], [False, False, False, False], 48, False, [False, False, False, False], 3624, 'East', (4, 6))
Element 27: (1, (4, 6), ['', '', '%', ''], [(14, 1), (17, 6), (16, 6)], [False, False, True, False], 46, False, [False, False, False, False], 3643, 'South', (4, 5))
Element 28: (1, (4, 5), ['', '', '', ''], [(14, 2), (17, 7), (15, 6)], [False, False, False, False], 44, False, [False, False, False, False], 3662, 'South', (4, 4))
Element 29: (1, (4, 4), ['', '', '', '%'], [(14, 3), (18, 7), (15, 7)], [False, False, False, True], 42, False, [False, False, False, False], 3681, 'North', (4, 5))
Element 30: (1, (4, 5), ['', '', '', ''], [(13, 3), (17, 7), (15, 8)], [False, False, False, False], 40, False, [False, False, False, False], 3700, 'East', (5, 5))
Element 31: (1, (5, 5), ['', '%', '', ''], [(13, 4), (17, 6), (14, 8)], [False, True, False, False], 38, False, [False, False, False, False], 3709, 'North', (5, 6))
Element 32: (1, (5, 6), ['', '', '%', ''], [(14, 4), (17, 5), (14, 7)], [False, False, True, False], 36, False, [False, False, False, False], 3718, 'West', (4, 6))
Element 33: (1, (4, 6), ['', '', '%', ''], [(15, 4), (18, 5), (14, 8)], [False, False, True, False], 34, False, [False, False, False, False], 3717, 'East', (5, 6))
Element 34: (1, (5, 6), ['', '', '%', ''], [(16, 4), (18, 4), (13, 8)], [False, False, True, False], 32, False, [False, False, False, False], 3726, 'East', (6, 6))
Element 35: (1, (6, 6), ['', '', '%', '%'], [(16, 3), (18, 3), (14, 8)], [False, False, True, True], 30, False, [False, False, False, False], 3745, 'South', (6, 5))
Element 36: (1, (6, 5), ['', '', '', '%'], [(16, 4), (17, 3), (15, 8)], [False, False, False, True], 28, False, [False, False, False, False], 3754, 'West', (5, 5))
Element 37: (1, (5, 5), ['', '%', '', ''], [(17, 4), (16, 3), (15, 7)], [False, True, False, False], 26, False, [False, False, False, False], 3753, 'East', (6, 5))
Element 38: (1, (6, 5), ['', '', '', '%'], [(18, 4), (17, 3), (14, 7)], [False, False, False, True], 24, False, [False, False, False, False], 3752, 'South', (6, 4))
Element 39: (1, (6, 4), ['%', '', '', '%'], [(18, 5), (18, 3), (15, 7)], [True, False, False, True], 22, False, [False, False, False, False], 3751, 'South', (6, 3))
Element 40: (1, (6, 3), ['', '', '', ''], [(17, 5), (18, 4), (15, 6)], [False, False, False, False], 20, False, [False, False, False, False], 3750, 'East', (7, 3))
Element 41: (1, (7, 3), ['', '', '%', ''], [(17, 6), (17, 4), (16, 6)], [False, False, True, False], 18, False, [False, False, False, False], 3749, 'East', (8, 3))
Element 42: (1, (8, 3), ['', '', '.', ''], [(17, 7), (17, 5), (15, 6)], [False, False, False, False], 16, False, [False, False, True, False], 3748, 'North', (8, 4))
Element 43: (1, (8, 4), ['%', '', '.', '.'], [(18, 7), (17, 4), (16, 6)], [True, False, False, False], 14, False, [False, False, True, True], 3757, 'East', (9, 4))
Element 44: (1, (9, 4), ['', '', '.', '.'], [(17, 7), (17, 3), (16, 5)], [False, False, False, False], 12, False, [False, False, True, True], 3766, 'East', (10, 4))
Element 45: (1, (10, 4), ['', '', 'F', ''], [(17, 6), (17, 4), (17, 5)], [False, False, False, False], 10, False, [False, False, False, False], 3775, 'North', (10, 5))
Element 46: (1, (10, 5), ['.', '', '%', '%'], [(16, 6), (16, 4), (18, 5)], [False, False, True, True], 8, False, [True, False, False, False], 4774, 'West', (9, 5))
Element 47: (1, (9, 5), ['.', '', '.', ''], [(15, 6), (16, 5), (18, 4)], [False, False, False, False], 6, False, [True, False, True, False], 4783, 'North', (9, 6))
Element 48: (1, (9, 6), ['.', '', '.', '%'], [(15, 7), (16, 6), (18, 3)], [False, False, False, True], 4, False, [True, False, True, False], 4792, 'North', (9, 7))
Element 49: (1, (9, 7), ['%', '', '.', '.'], [(15, 8), (15, 6), (17, 3)], [True, False, False, False], 2, False, [False, False, True, True], 4801, 'East', (10, 7))
Element 50: (1, (10, 7), ['', '%', '.', '%'], [(15, 8), (15, 7), (17, 4)], [False, True, False, True], 0, False, [False, False, True, False], 4810, 'Stop', (10, 7))
Element 51: #0#
