Element 1: (2, (11, 3), ['.', '.', '', '%'], [(12, 4), (9, 2), (13, 2)], [False, False, False, True], 98, False, [True, True, False, False], 1009, 'South', (11, 2))
Element 2: (2, (11, 2), ['G', '.', '', '.'], [(13, 4), (10, 2), (14, 2)], [False, False, False, False], 96, False, [False, True, False, True], 1048, 'East', (12, 2))
Element 3: (2, (12, 2), ['', '.', '%', ''], [(14, 4), (10, 3), (14, 3)], [False, False, True, False], 94, False, [False, True, False, False], 1087, 'South', (12, 1))
Element 4: (2, (12, 1), ['.', '%', '', '.'], [(15, 4), (10, 4), (13, 3)], [False, True, False, False], 92, False, [True, False, False, True], 1126, 'East', (13, 1))
Element 5: (2, (13, 1), ['', '%', '', '.'], [(16, 4), (10, 5), (13, 4)], [False, True, False, False], 90, False, [False, False, False, True], 2145, 'East', (14, 1))
Element 6: (2, (14, 1), ['', '%', '', '.'], [(17, 4), (9, 5), (13, 5)], [False, True, False, False], 88, False, [False, False, False, True], 2184, 'East', (15, 1))
Element 7: (2, (15, 1), ['', '%', '%', '%'], [(18, 4), (9, 6), (14, 5)], [False, True, True, True], 86, False, [False, False, False, False], 2223, 'West', (14, 1))
Element 8: (2, (14, 1), ['', '%', '', ''], [(18, 5), (9, 7), (15, 5)], [False, True, False, False], 84, False, [False, False, False, False], 2252, 'North', (14, 2))
Element 9: (2, (14, 2), ['', '', '', '%'], [(17, 5), (10, 7), (16, 5)], [False, False, False, True], 82, False, [False, False, False, False], 2281, 'North', (14, 3))
Element 10: (2, (14, 3), ['', '', '', '%'], [(17, 6), (10, 8), (16, 6)], [False, False, False, True], 80, False, [False, False, False, False], 2310, 'North', (14, 4))
Element 11: (2, (14, 4), ['', '', '', ''], [(17, 7), (9, 8), (15, 6)], [False, False, False, False], 78, False, [False, False, False, False], 2339, 'East', (15, 4))
Element 12: (2, (15, 4), ['', '%', '', ''], [(18, 7), (8, 8), (15, 7)], [False, True, False, False], 76, False, [False, False, False, False], 2368, 'East', (16, 4))
Element 13: (2, (16, 4), ['', '.', '', ''], [(17, 7), (8, 9), (15, 8)], [False, False, False, False], 74, False, [False, True, False, False], 2387, 'South', (16, 3))
Element 14: (2, (16, 3), ['%', '%', '', '.'], [(17, 6), (7, 9), (14, 8)], [True, True, False, False], 72, False, [False, False, False, True], 2416, 'East', (17, 3))
Element 15: (2, (17, 3), ['', '%', '', '.'], [(16, 6), (7, 8), (14, 7)], [False, True, False, False], 70, False, [False, False, False, True], 2445, 'East', (18, 3))
Element 16: (2, (18, 3), ['', '%', '', '%'], [(16, 5), (6, 8), (14, 8)], [False, True, False, True], 68, False, [False, False, False, False], 2464, 'North', (18, 4))
Element 17: (2, (18, 4), ['', '', '', '%'], [(15, 5), (6, 9), (13, 8)], [False, False, False, True], 66, False, [False, False, False, False], 2483, 'North', (18, 5))
Element 18: (2, (18, 5), ['', '', '%', '%'], [(15, 6), (6, 8), (14, 8)], [False, False, True, True], 64, False, [False, False, False, False], 2482, 'West', (17, 5))
Element 19: (2, (17, 5), ['', '', '', ''], [(15, 7), (5, 8), (15, 8)], [False, False, False, False], 62, False, [False, False, False, False], 2491, 'North', (17, 6))
Element 20: (2, (17, 6), ['', '', '', '%'], [(15, 8), (4, 8), (14, 8)], [False, False, False, True], 60, False, [False, False, False, False], 2500, 'North', (17, 7))
Element 21: (2, (17, 7), ['%', '', '%', ''], [(14, 8), (5, 8), (14, 7)], [True, False, True, False], 58, False, [False, False, False, False], 2499, 'East', (18, 7))
Element 22: (2, (18, 7), ['', '%', '%', '%'], [(14, 7), (6, 8), (15, 7)], [False, True, True, True], 56, False, [False, False, False, False], 2498, 'West', (17, 7))
Element 23: (2, (17, 7), ['%', '', '%', ''], [(14, 8), (7, 8), (15, 6)], [True, False, True, False], 54, False, [False, False, False, False], 2497, 'South', (17, 6))
Element 24: (2, (17, 6), ['G', '', '', '%'], [(13, 8), (7, 9), (16, 6)], [False, False, False, True], 52, False, [False, False, False, False], 2496, 'South', (17, 5))
Element 25: (2, (17, 5), ['G', '', '', ''], [(14, 8), (6, 9), (16, 5)], [False, False, False, False], 50, False, [False, False, False, False], 2495, 'North', (17, 6))
Element 26: (2, (17, 6), ['', '', '', '%'], [(15, 8), (7, 9), (16, 4)], [False, False, False, True], 48, False, [False, False, False, False], 2494, 'South', (17, 5))
Element 27: (2, (17, 5), ['', 'G', '', ''], [(15, 7), (8, 9), (17, 4)], [False, False, False, False], 46, False, [False, False, False, False], 2493, 'West', (16, 5))
Element 28: (2, (16, 5), ['', '', '', ''], [(14, 7), (8, 8), (18, 4)], [False, False, False, False], 44, False, [False, False, False, False], 2492, 'North', (16, 6))
Element 29: (2, (16, 6), ['', '', '%', ''], [(15, 7), (7, 8), (18, 5)], [False, False, True, False], 42, False, [False, False, False, False], 2491, 'West', (15, 6))
Element 30: (2, (15, 6), ['%', '', '', ''], [(14, 7), (8, 8), (17, 5)], [True, False, False, False], 40, False, [False, False, False, False], 2490, 'North', (15, 7))
Element 31: (2, (15, 7), ['G', '', '', '%'], [(14, 7), (9, 8), (17, 6)], [False, False, False, True], 38, False, [False, False, False, False], 2489, 'North', (15, 8))
Element 32: (2, (15, 8), ['', '', '%', '%'], [(14, 7), (10, 8), (17, 7)], [False, False, True, True], 36, False, [False, False, False, False], 2488, 'West', (14, 8))
Element 33: (2, (14, 8), ['', 'G', '%', ''], [(14, 7), (10, 7), (18, 7)], [False, False, True, False], 34, False, [False, False, False, False], 2487, 'West', (13, 8))
Element 34: (2, (13, 8), ['%', '%', '%', ''], [(14, 7), (9, 7), (17, 7)], [True, True, True, False], 32, False, [False, False, False, False], 2486, 'East', (14, 8))
Element 35: (2, (14, 8), ['', 'G', '%', ''], [(14, 7), (9, 8), (17, 6)], [False, False, True, False], 30, False, [False, False, False, False], 2485, 'East', (15, 8))
Element 36: (2, (15, 8), ['', '', '%', '%'], [(14, 7), (9, 7), (17, 5)], [False, False, True, True], 28, False, [False, False, False, False], 2484, 'South', (15, 7))
Element 37: (2, (15, 7), ['G', '', '', '%'], [(14, 7), (9, 6), (18, 5)], [False, False, False, True], 26, False, [False, False, False, False], 2483, 'South', (15, 6))
Element 38: (2, (15, 6), ['%', '', '', ''], [(14, 7), (8, 6), (18, 4)], [True, False, False, False], 24, False, [False, False, False, False], 2492, 'South', (15, 5))
Element 39: (2, (15, 5), ['', '', '', ''], [(14, 7), (8, 5), (18, 3)], [False, False, False, False], 22, False, [False, False, False, False], 2501, 'West', (14, 5))
Element 40: (2, (14, 5), ['', '', '%', ''], [(14, 7), (8, 4), (17, 3)], [False, False, True, False], 20, False, [False, False, False, False], 2510, 'West', (13, 5))
Element 41: (2, (13, 5), ['.', '', '.', ''], [(14, 7), (9, 4), (16, 3)], [False, False, False, False], 18, False, [True, False, True, False], 2519, 'North', (13, 6))
Element 42: (2, (13, 6), ['.', '', '%', '%'], [(14, 7), (9, 3), (17, 3)], [False, False, True, True], 16, False, [True, False, False, False], 2538, 'West', (12, 6))
