Element 1: (1, (8, 4), ['%', '.', '.', ''], [(10, 4), (12, 1), (17, 4)], [True, False, False, False], 98, False, [False, True, True, False], 9, 'North', (8, 5))
Element 2: (1, (8, 5), ['%', '', '.', '.'], [(10, 5), (13, 1), (18, 4)], [True, False, False, False], 96, False, [False, False, True, True], 1038, 'East', (9, 5))
Element 3: (1, (9, 5), ['', '', '.', ''], [(10, 4), (14, 1), (18, 5)], [False, False, False, False], 94, False, [False, False, True, False], 1067, 'North', (9, 6))
Element 4: (1, (9, 6), ['.', '', '.', '%'], [(11, 4), (15, 1), (17, 5)], [False, False, False, True], 92, False, [True, False, True, False], 1106, 'North', (9, 7))
Element 5: (1, (9, 7), ['%', '', '.', '.'], [(12, 4), (14, 1), (17, 6)], [True, False, False, False], 90, False, [False, False, True, True], 1135, 'East', (10, 7))
Element 6: (1, (10, 7), ['', '%', '.', '%'], [(13, 4), (14, 2), (17, 7)], [False, True, False, True], 88, False, [False, False, True, False], 1174, 'North', (10, 8))
Element 7: (1, (10, 8), ['.', '', '%', '%'], [(14, 4), (14, 3), (18, 7)], [False, False, True, True], 86, False, [True, False, False, False], 1213, 'West', (9, 8))
Element 8: (1, (9, 8), ['.', '', '%', ''], [(15, 4), (13, 3), (17, 7)], [False, False, True, False], 84, False, [True, False, False, False], 1242, 'West', (8, 8))
Element 9: (1, (8, 8), ['.', '%', '.', ''], [(16, 4), (13, 2), (17, 6)], [False, True, False, False], 82, False, [True, False, True, False], 1271, 'North', (8, 9))
Element 10: (1, (8, 9), ['.', '', '%', '%'], [(16, 5), (12, 2), (16, 6)], [False, False, True, True], 80, False, [True, False, False, False], 1310, 'West', (7, 9))
Element 11: (1, (7, 9), ['.', '.', '%', ''], [(15, 5), (11, 2), (15, 6)], [False, False, True, False], 78, False, [True, True, False, False], 1349, 'South', (7, 8))
Element 12: (1, (7, 8), ['.', '%', '', ''], [(14, 5), (11, 3), (15, 7)], [False, True, False, False], 76, False, [True, False, False, False], 1388, 'West', (6, 8))
Element 13: (1, (6, 8), ['.', '%', '.', ''], [(13, 5), (10, 3), (15, 8)], [False, True, False, False], 74, False, [True, False, True, False], 1427, 'North', (6, 9))
Element 14: (1, (6, 9), ['%', '', '%', ''], [(13, 6), (10, 2), (14, 8)], [True, False, True, False], 72, False, [False, False, False, False], 1466, 'South', (6, 8))
Element 15: (1, (6, 8), ['.', '%', '', ''], [(12, 6), (9, 2), (14, 7)], [False, True, False, False], 70, False, [True, False, False, False], 2485, 'West', (5, 8))
Element 16: (1, (5, 8), ['.', '%', '%', ''], [(12, 5), (9, 3), (14, 8)], [False, True, True, False], 68, False, [True, False, False, False], 2514, 'West', (4, 8))
Element 17: (1, (4, 8), ['%', '%', '%', ''], [(12, 6), (8, 3), (13, 8)], [True, True, True, False], 66, False, [False, False, False, False], 2543, 'East', (5, 8))
Element 18: (1, (5, 8), ['', '%', '%', ''], [(11, 6), (8, 2), (14, 8)], [False, True, True, False], 64, False, [False, False, False, False], 2562, 'East', (6, 8))
Element 19: (1, (6, 8), ['', '%', '', ''], [(12, 6), (8, 1), (15, 8)], [False, True, False, False], 62, False, [False, False, False, False], 2571, 'East', (7, 8))
Element 20: (1, (7, 8), ['', '%', '', ''], [(13, 6), (9, 1), (15, 7)], [False, True, False, False], 60, False, [False, False, False, False], 2580, 'North', (7, 9))
Element 21: (1, (7, 9), ['', '', '%', ''], [(13, 5), (8, 1), (14, 7)], [False, False, True, False], 58, False, [False, False, False, False], 2579, 'West', (6, 9))
Element 22: (1, (6, 9), ['%', '', '%', ''], [(12, 5), (7, 1), (15, 7)], [True, False, True, False], 56, False, [False, False, False, False], 2588, 'East', (7, 9))
Element 23: (1, (7, 9), ['', '', '%', ''], [(13, 5), (7, 2), (15, 6)], [False, False, True, False], 54, False, [False, False, False, False], 2597, 'East', (8, 9))
Element 24: (1, (8, 9), ['', '', '%', '%'], [(14, 5), (7, 3), (16, 6)], [False, False, True, True], 52, False, [False, False, False, False], 2606, 'South', (8, 8))
Element 25: (1, (8, 8), ['', '%', '', ''], [(15, 5), (6, 3), (17, 6)], [False, True, False, False], 50, False, [False, False, False, False], 2615, 'West', (7, 8))
Element 26: (1, (7, 8), ['', '%', '', ''], [(15, 6), (6, 4), (17, 5)], [False, True, False, False], 48, False, [False, False, False, False], 2624, 'East', (8, 8))
Element 27: (1, (8, 8), ['', '%', '', ''], [(16, 6), (6, 5), (16, 5)], [False, True, False, False], 46, False, [False, False, False, False], 2633, 'East', (9, 8))
Element 28: (1, (9, 8), ['', '', '%', ''], [(17, 6), (6, 6), (16, 4)], [False, False, True, False], 44, False, [False, False, False, False], 2642, 'East', (10, 8))
Element 29: (1, (10, 8), ['', '', '%', '%'], [(17, 7), (5, 6), (16, 3)], [False, False, True, True], 42, False, [False, False, False, False], 2661, 'South', (10, 7))
Element 30: (1, (10, 7), ['', '%', '', '%'], [(18, 7), (5, 5), (17, 3)], [False, True, False, True], 40, False, [False, False, False, False], 2680, 'West', (9, 7))
Element 31: (1, (9, 7), ['%', '', '', ''], [(17, 7), (4, 5), (18, 3)], [True, False, False, False], 38, False, [False, False, False, False], 2699, 'North', (9, 8))
Element 32: (1, (9, 8), ['', '', '%', ''], [(17, 6), (4, 6), (17, 3)], [False, False, True, False], 36, False, [False, False, False, False], 2708, 'South', (9, 7))
Element 33: (1, (9, 7), ['%', '', '', ''], [(17, 5), (3, 6), (16, 3)], [True, False, False, False], 34, False, [False, False, False, False], 2717, 'South', (9, 6))
Element 34: (1, (9, 6), ['.', '', '', '%'], [(18, 5), (3, 7), (16, 4)], [False, False, False, True], 32, False, [True, False, False, False], 2726, 'West', (8, 6))
Element 35: (1, (8, 6), ['%', '', '%', ''], [(18, 4), (2, 7), (15, 4)], [True, False, True, False], 30, False, [False, False, False, False], 2745, 'East', (9, 6))
Element 36: (1, (9, 6), ['', '', '', '%'], [(18, 3), (2, 8), (15, 5)], [False, False, False, True], 28, False, [False, False, False, False], 3744, 'South', (9, 5))
Element 37: (1, (9, 5), ['', '', '', ''], [(17, 3), (1, 8), (14, 5)], [False, False, False, False], 26, False, [False, False, False, False], 4743, 'East', (10, 5))
Element 38: (1, (10, 5), ['', '', '%', '%'], [(17, 4), (1, 7), (14, 4)], [False, False, True, True], 24, False, [False, False, False, False], 4752, 'South', (10, 4))
Element 39: (1, (10, 4), ['', '', '', ''], [(17, 3), (1, 6), (14, 3)], [False, False, False, False], 22, False, [False, False, False, False], 4761, 'East', (11, 4))
Element 40: (1, (11, 4), ['', '', '%', ''], [(16, 3), (2, 6), (14, 2)], [False, False, True, False], 20, False, [False, False, False, False], 4770, 'East', (12, 4))
Element 41: (1, (12, 4), ['', '%', '', ''], [(17, 3), (2, 5), (14, 1)], [False, True, False, False], 18, False, [False, False, False, False], 4779, 'East', (13, 4))
Element 42: (1, (13, 4), ['', '', '', ''], [(18, 3), (3, 5), (15, 1)], [False, False, False, False], 16, False, [False, False, False, False], 4788, 'East', (14, 4))
Element 43: (1, (14, 4), ['', '', '', ''], [(18, 4), (3, 4), (14, 1)], [False, False, False, False], 14, False, [False, False, False, False], 4797, 'East', (15, 4))
Element 44: (1, (15, 4), ['', '%', '', ''], [(17, 4), (4, 4), (13, 1)], [False, True, False, False], 12, False, [False, False, False, False], 4806, 'East', (16, 4))
Element 45: (1, (16, 4), ['', '', '', ''], [(18, 4), (4, 3), (13, 2)], [False, False, False, False], 10, False, [False, False, False, False], 4815, 'East', (17, 4))
Element 46: (1, (17, 4), ['', '', '', ''], [(18, 5), (5, 3), (13, 3)], [False, False, False, False], 8, False, [False, False, False, False], 4824, 'East', (18, 4))
Element 47: (1, (18, 4), ['', '', '', '%'], [(17, 5), (5, 2), (13, 4)], [False, False, False, True], 6, False, [False, False, False, False], 4833, 'North', (18, 5))
Element 48: (1, (18, 5), ['', '', '%', '%'], [(17, 4), (6, 2), (13, 5)], [False, False, True, True], 4, False, [False, False, False, False], 4842, 'West', (17, 5))
Element 49: (1, (17, 5), ['', '', '', ''], [(16, 4), (6, 1), (13, 6)], [False, False, False, False], 2, False, [False, False, False, False], 4851, 'North', (17, 6))
Element 50: (1, (17, 6), ['', '', '', '%'], [(16, 4), (5, 1), (12, 6)], [False, False, False, True], 0, False, [False, False, False, False], 4860, 'Stop', (17, 6))
Element 51: #0#
