Element 1: (1, (1, 10), ['%', '%', 'F', '.'], [(18, 4), (16, 5), (17, 11)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'North', (1, 11))
Element 2: (1, (1, 11), ['%', '', '.', 'F'], [(18, 3), (17, 5), (18, 11)], [True, False, False, False], 96, False, [False, False, True, False], 1038, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(17, 3), (17, 6), (18, 12)], [False, False, False, True], 94, False, [False, True, True, False], 2067, 'North', (2, 12))
Element 4: (1, (2, 12), ['.', '', '%', '.'], [(17, 4), (17, 7), (18, 13)], [False, False, True, False], 92, False, [True, False, False, True], 2106, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(16, 4), (18, 7), (17, 13)], [False, True, False, False], 90, False, [False, False, True, True], 2145, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(16, 3), (17, 7), (17, 12)], [False, False, False, False], 88, False, [False, True, True, True], 2174, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', '.'], [(16, 4), (17, 6), (16, 12)], [False, False, False, False], 86, False, [False, True, True, True], 2193, 'East', (6, 12))
Element 8: (1, (6, 12), ['', '.', '.', '.'], [(15, 4), (16, 6), (16, 13)], [False, False, False, False], 84, False, [False, True, True, True], 2232, 'East', (7, 12))
Element 9: (1, (7, 12), ['', '%', '.', '.'], [(15, 5), (15, 6), (15, 13)], [False, True, False, False], 82, False, [False, False, True, True], 2271, 'East', (8, 12))
Element 10: (1, (8, 12), ['', '%', '%', '.'], [(14, 5), (15, 7), (15, 12)], [False, True, True, False], 80, False, [False, False, False, True], 2310, 'East', (9, 12))
Element 11: (1, (9, 12), ['', '%', '.', '.'], [(14, 4), (15, 8), (15, 13)], [False, True, False, False], 78, False, [False, False, True, True], 2339, 'East', (10, 12))
Element 12: (1, (10, 12), ['', '%', '.', '.'], [(14, 3), (14, 8), (14, 13)], [False, True, False, False], 76, False, [False, False, True, True], 2378, 'East', (11, 12))
Element 13: (1, (11, 12), ['', '%', '%', '.'], [(14, 2), (14, 7), (13, 13)], [False, True, True, False], 74, False, [False, False, False, True], 2417, 'East', (12, 12))
Element 14: (1, (12, 12), ['', '.', '.', 'G'], [(14, 1), (14, 8), (13, 12)], [False, False, False, False], 72, False, [False, True, True, False], 2446, 'North', (12, 13))
Element 15: (1, (12, 13), ['%', '', '%', ''], [(15, 1), (13, 8), (13, 11)], [True, False, True, False], 70, False, [False, False, False, False], 2485, 'East', (13, 13))
Element 16: (1, (13, 13), ['', '', '%', ''], [(14, 1), (14, 8), (12, 11)], [False, False, True, False], 68, False, [False, False, False, False], 2494, 'East', (14, 13))
Element 17: (1, (14, 13), ['', '%', '%', ''], [(13, 1), (15, 8), (12, 12)], [False, True, True, False], 66, False, [False, False, False, False], 2503, 'East', (15, 13))
Element 18: (1, (15, 13), ['', '', '%', ''], [(13, 2), (15, 7), (12, 13)], [False, False, True, False], 64, False, [False, False, False, False], 2512, 'East', (16, 13))
Element 19: (1, (16, 13), ['', '', '%', ''], [(13, 3), (14, 7), (12, 12)], [False, False, True, False], 62, False, [False, False, False, False], 2521, 'East', (17, 13))
Element 20: (1, (17, 13), ['', '', '%', ''], [(13, 4), (15, 7), (11, 12)], [False, False, True, False], 60, False, [False, False, False, False], 2530, 'East', (18, 13))
Element 21: (1, (18, 13), ['', '', '%', '%'], [(13, 5), (15, 6), (10, 12)], [False, False, True, True], 58, False, [False, False, False, False], 2539, 'South', (18, 12))
Element 22: (1, (18, 12), ['', '', '', '%'], [(13, 6), (16, 6), (10, 13)], [False, False, False, True], 56, False, [False, False, False, False], 2558, 'South', (18, 11))
Element 23: (1, (18, 11), ['', '.', '', '%'], [(12, 6), (17, 6), (9, 13)], [False, False, False, True], 54, False, [False, True, False, False], 2577, 'South', (18, 10))
Element 24: (1, (18, 10), ['.', '%', '', '%'], [(12, 5), (17, 5), (9, 12)], [False, True, False, True], 52, False, [True, False, False, False], 2596, 'West', (17, 10))
Element 25: (1, (17, 10), ['.', '.', '', ''], [(12, 4), (17, 4), (8, 12)], [False, False, False, False], 50, False, [True, True, False, False], 2615, 'South', (17, 9))
Element 26: (1, (17, 9), ['.', '%', '', '%'], [(11, 4), (18, 4), (7, 12)], [False, True, False, True], 48, False, [True, False, False, False], 2634, 'West', (16, 9))
Element 27: (1, (16, 9), ['%', '%', '.', ''], [(11, 3), (18, 5), (7, 13)], [True, True, False, False], 46, False, [False, False, True, False], 2663, 'North', (16, 10))
Element 28: (1, (16, 10), ['%', '', '.', ''], [(11, 2), (18, 4), (6, 13)], [True, False, False, False], 44, False, [False, False, True, False], 2692, 'North', (16, 11))
Element 29: (1, (16, 11), ['%', '', '', ''], [(12, 2), (18, 3), (5, 13)], [True, False, False, False], 42, False, [False, False, False, False], 2721, 'East', (17, 11))
Element 30: (1, (17, 11), ['', '', '', ''], [(12, 1), (17, 3), (4, 13)], [False, False, False, False], 40, False, [False, False, False, False], 2740, 'North', (17, 12))
Element 31: (1, (17, 12), ['', '', '', ''], [(11, 1), (16, 3), (3, 13)], [False, False, False, False], 38, False, [False, False, False, False], 2759, 'West', (16, 12))
Element 32: (1, (16, 12), ['', '', '', ''], [(12, 1), (16, 4), (3, 12)], [False, False, False, False], 36, False, [False, False, False, False], 2758, 'West', (15, 12))
Element 33: (1, (15, 12), ['%', '%', '', ''], [(12, 2), (15, 4), (4, 12)], [True, True, False, False], 34, False, [False, False, False, False], 2757, 'East', (16, 12))
Element 34: (1, (16, 12), ['', '', '', ''], [(11, 2), (15, 5), (4, 11)], [False, False, False, False], 32, False, [False, False, False, False], 2766, 'East', (17, 12))
Element 35: (1, (17, 12), ['', '', '', ''], [(11, 1), (14, 5), (5, 11)], [False, False, False, False], 30, False, [False, False, False, False], 2775, 'South', (17, 11))
Element 36: (1, (17, 11), ['', '', '', ''], [(11, 2), (14, 4), (6, 11)], [False, False, False, False], 28, False, [False, False, False, False], 2784, 'West', (16, 11))
Element 37: (1, (16, 11), ['%', '', '', ''], [(10, 2), (14, 3), (6, 12)], [True, False, False, False], 26, False, [False, False, False, False], 2793, 'North', (16, 12))
Element 38: (1, (16, 12), ['', '', '', ''], [(9, 2), (14, 2), (5, 12)], [False, False, False, False], 24, False, [False, False, False, False], 3792, 'South', (16, 11))
Element 39: (1, (16, 11), ['%', '', '', ''], [(9, 3), (14, 1), (6, 12)], [True, False, False, False], 22, False, [False, False, False, False], 3801, 'South', (16, 10))
Element 40: (1, (16, 10), ['%', '', '', ''], [(10, 3), (15, 1), (6, 11)], [True, False, False, False], 20, False, [False, False, False, False], 3810, 'South', (16, 9))
Element 41: (1, (16, 9), ['%', '%', '', ''], [(10, 4), (14, 1), (5, 11)], [True, True, False, False], 18, False, [False, False, False, False], 3819, 'East', (17, 9))
Element 42: (1, (17, 9), ['', '%', '', '%'], [(10, 5), (13, 1), (5, 12)], [False, True, False, True], 16, False, [False, False, False, False], 4818, 'North', (17, 10))
Element 43: (1, (17, 10), ['', '', '', ''], [(9, 5), (13, 2), (5, 11)], [False, False, False, False], 14, False, [False, False, False, False], 4827, 'West', (16, 10))
Element 44: (1, (16, 10), ['%', '', '', ''], [(9, 6), (13, 3), (4, 11)], [True, False, False, False], 12, False, [False, False, False, False], 4836, 'East', (17, 10))
Element 45: (1, (17, 10), ['', '', '', ''], [(9, 7), (13, 4), (4, 10)], [False, False, False, False], 10, False, [False, False, False, False], 4855, 'North', (17, 11))
Element 46: (1, (17, 11), ['', '', '', ''], [(10, 7), (13, 5), (3, 10)], [False, False, False, False], 8, False, [False, False, False, False], 4874, 'South', (17, 10))
Element 47: (1, (17, 10), ['', '', '', ''], [(10, 8), (13, 6), (2, 10)], [False, False, False, False], 6, False, [False, False, False, False], 4893, 'East', (18, 10))
Element 48: (1, (18, 10), ['', '%', '', '%'], [(9, 8), (12, 6), (2, 11)], [False, True, False, True], 4, False, [False, False, False, False], 4902, 'North', (18, 11))
Element 49: (1, (18, 11), ['', '', '', '%'], [(8, 8), (11, 6), (2, 12)], [False, False, False, True], 2, False, [False, False, False, False], 4921, 'West', (17, 11))
Element 50: (1, (17, 11), ['', '', '', ''], [(8, 8), (12, 6), (1, 12)], [False, False, False, False], 0, False, [False, False, False, False], 4930, 'Stop', (17, 11))
Element 51: #0#
