Element 1: (1, (10, 4), ['.', '.', 'F', '.'], [(14, 1), (16, 11), (17, 3)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'North', (10, 5))
Element 2: (1, (10, 5), ['.', '', '%', '%'], [(15, 1), (17, 11), (18, 3)], [False, False, True, True], 96, False, [True, False, False, False], 1038, 'West', (9, 5))
Element 3: (1, (9, 5), ['.', '.', '.', ''], [(14, 1), (18, 11), (18, 4)], [False, False, False, False], 94, False, [True, True, True, False], 1067, 'North', (9, 6))
Element 4: (1, (9, 6), ['.', '', '.', '%'], [(14, 2), (18, 12), (18, 5)], [False, False, False, True], 92, False, [True, False, True, False], 1106, 'North', (9, 7))
Element 5: (1, (9, 7), ['%', '', '.', '.'], [(14, 3), (18, 13), (17, 5)], [True, False, False, False], 90, False, [False, False, True, True], 1145, 'East', (10, 7))
Element 6: (1, (10, 7), ['', '%', '.', '%'], [(14, 4), (17, 13), (17, 6)], [False, True, False, True], 88, False, [False, False, True, False], 1184, 'North', (10, 8))
Element 7: (1, (10, 8), ['.', '', '%', '%'], [(15, 4), (17, 12), (17, 7)], [False, False, True, True], 86, False, [True, False, False, False], 1223, 'West', (9, 8))
Element 8: (1, (9, 8), ['.', '', '%', ''], [(16, 4), (16, 12), (18, 7)], [False, False, True, False], 84, False, [True, False, False, False], 1262, 'West', (8, 8))
Element 9: (1, (8, 8), ['.', '%', '.', ''], [(17, 4), (16, 13), (17, 7)], [False, True, False, False], 82, False, [True, False, True, False], 1291, 'North', (8, 9))
Element 10: (1, (8, 9), ['.', '', '%', '%'], [(18, 4), (15, 13), (17, 6)], [False, False, True, True], 80, False, [True, False, False, False], 1310, 'West', (7, 9))
Element 11: (1, (7, 9), ['.', '.', '%', ''], [(18, 5), (15, 12), (16, 6)], [False, False, True, False], 78, False, [True, True, False, False], 1339, 'South', (7, 8))
Element 12: (1, (7, 8), ['.', '%', '', ''], [(17, 5), (15, 13), (16, 5)], [False, True, False, False], 76, False, [True, False, False, False], 1358, 'West', (6, 8))
Element 13: (1, (6, 8), ['.', '%', '.', ''], [(17, 6), (14, 13), (15, 5)], [False, True, False, False], 74, False, [True, False, True, False], 1387, 'North', (6, 9))
Element 14: (1, (6, 9), ['%', '', '%', ''], [(17, 7), (13, 13), (15, 6)], [True, False, True, False], 72, False, [False, False, False, False], 1416, 'South', (6, 8))
Element 15: (1, (6, 8), ['.', '%', '', ''], [(18, 7), (13, 12), (15, 7)], [False, True, False, False], 70, False, [True, False, False, False], 1435, 'West', (5, 8))
Element 16: (1, (5, 8), ['.', '%', '%', ''], [(17, 7), (13, 11), (15, 8)], [False, True, True, False], 68, False, [True, False, False, False], 1464, 'West', (4, 8))
Element 17: (1, (4, 8), ['%', '%', '%', ''], [(17, 6), (12, 11), (14, 8)], [True, True, True, False], 66, False, [False, False, False, False], 1493, 'East', (5, 8))
Element 18: (1, (5, 8), ['', '%', '%', ''], [(16, 6), (12, 12), (14, 7)], [False, True, True, False], 64, False, [False, False, False, False], 1512, 'East', (6, 8))
Element 19: (1, (6, 8), ['', '%', '', ''], [(16, 5), (12, 13), (14, 8)], [False, True, False, False], 62, False, [False, False, False, False], 1521, 'East', (7, 8))
Element 20: (1, (7, 8), ['', '%', '', ''], [(15, 5), (12, 12), (13, 8)], [False, True, False, False], 60, False, [False, False, False, False], 1530, 'North', (7, 9))
Element 21: (1, (7, 9), ['', '', '%', ''], [(14, 5), (11, 12), (14, 8)], [False, False, True, False], 58, False, [False, False, False, False], 1549, 'West', (6, 9))
Element 22: (1, (6, 9), ['%', '', '%', ''], [(13, 5), (10, 12), (15, 8)], [True, False, True, False], 56, False, [False, False, False, False], 1568, 'East', (7, 9))
Element 23: (1, (7, 9), ['', '', '%', ''], [(13, 6), (10, 13), (15, 7)], [False, False, True, False], 54, False, [False, False, False, False], 1587, 'East', (8, 9))
Element 24: (1, (8, 9), ['', '', '%', '%'], [(12, 6), (9, 13), (14, 7)], [False, False, True, True], 52, False, [False, False, False, False], 1606, 'South', (8, 8))
Element 25: (1, (8, 8), ['', '%', '', ''], [(12, 5), (9, 12), (15, 7)], [False, True, False, False], 50, False, [False, False, False, False], 1625, 'West', (7, 8))
Element 26: (1, (7, 8), ['', '%', '', ''], [(12, 4), (8, 12), (15, 6)], [False, True, False, False], 48, False, [False, False, False, False], 1644, 'East', (8, 8))
Element 27: (1, (8, 8), ['', '%', '', ''], [(13, 4), (7, 12), (15, 5)], [False, True, False, False], 46, False, [False, False, False, False], 1663, 'East', (9, 8))
Element 28: (1, (9, 8), ['', '', '%', ''], [(13, 3), (7, 13), (14, 5)], [False, False, True, False], 44, False, [False, False, False, False], 1682, 'East', (10, 8))
Element 29: (1, (10, 8), ['', '', '%', '%'], [(13, 2), (6, 13), (14, 4)], [False, False, True, True], 42, False, [False, False, False, False], 1701, 'South', (10, 7))
Element 30: (1, (10, 7), ['', '%', '', '%'], [(12, 2), (6, 12), (15, 4)], [False, True, False, True], 40, False, [False, False, False, False], 1720, 'West', (9, 7))
Element 31: (1, (9, 7), ['%', '', '', ''], [(12, 1), (6, 11), (16, 4)], [True, False, False, False], 38, False, [False, False, False, False], 1739, 'North', (9, 8))
Element 32: (1, (9, 8), ['', '', '%', ''], [(11, 1), (5, 11), (16, 3)], [False, False, True, False], 36, False, [False, False, False, False], 1768, 'South', (9, 7))
Element 33: (1, (9, 7), ['%', '', '', ''], [(11, 2), (5, 12), (16, 4)], [True, False, False, False], 34, False, [False, False, False, False], 1787, 'South', (9, 6))
Element 34: (1, (9, 6), ['.', '', '', '%'], [(11, 3), (5, 13), (17, 4)], [False, False, False, True], 32, False, [True, False, False, False], 1806, 'West', (8, 6))
Element 35: (1, (8, 6), ['%', '.', '%', ''], [(11, 4), (4, 13), (16, 4)], [True, False, True, False], 30, False, [False, True, False, False], 1835, 'South', (8, 5))
Element 36: (1, (8, 5), ['%', '.', '', ''], [(10, 4), (4, 12), (15, 4)], [True, False, False, False], 28, False, [False, True, False, False], 1854, 'South', (8, 4))
Element 37: (1, (8, 4), ['%', '.', '', '.'], [(10, 3), (4, 11), (14, 4)], [True, False, False, False], 26, False, [False, True, False, True], 1883, 'East', (9, 4))
Element 38: (1, (9, 4), ['', '.', '', ''], [(10, 2), (4, 10), (14, 3)], [False, False, False, False], 24, False, [False, True, False, False], 1912, 'South', (9, 3))
Element 39: (1, (9, 3), ['.', 'G', '', ''], [(9, 2), (3, 10), (14, 2)], [False, False, False, False], 22, False, [True, False, False, False], 2931, 'West', (8, 3))
Element 40: (1, (8, 3), ['.', '.', '', ''], [(9, 1), (2, 10), (14, 1)], [False, False, False, False], 20, False, [True, True, False, False], 2960, 'South', (8, 2))
Element 41: (1, (8, 2), ['.', 'G', '', ''], [(8, 1), (2, 11), (15, 1)], [False, False, False, False], 18, False, [True, False, False, False], 3979, 'West', (7, 2))
Element 42: (1, (7, 2), ['.', 'G', '.', ''], [(7, 1), (1, 11), (14, 1)], [False, False, False, False], 16, False, [True, False, True, False], 4998, 'North', (7, 3))
Element 43: (1, (7, 3), ['.', '', '%', ''], [(6, 1), (1, 12), (13, 1)], [False, False, True, False], 14, False, [True, False, False, False], 5027, 'West', (6, 3))
