Element 1: (1, (8, 2), ['.', '.', '.', 'F'], [(4, 1), (10, 7), (17, 9)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'East', (9, 2))
Element 2: (1, (9, 2), ['', '.', '.', '.'], [(5, 1), (10, 8), (17, 10)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (10, 2))
Element 3: (1, (10, 2), ['', '%', '.', '.'], [(6, 1), (9, 8), (18, 10)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (11, 2))
Element 4: (1, (11, 2), ['', '.', '.', '.'], [(7, 1), (9, 7), (18, 11)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (12, 2))
Element 5: (1, (12, 2), ['', '.', '%', '.'], [(8, 1), (9, 6), (18, 12)], [False, False, True, False], 90, False, [False, True, False, True], 1155, 'East', (13, 2))
Element 6: (1, (13, 2), ['', '.', '.', '.'], [(9, 1), (9, 5), (18, 13)], [False, False, False, False], 88, False, [False, True, True, True], 1194, 'East', (14, 2))
Element 7: (1, (14, 2), ['', '.', '.', '%'], [(9, 2), (10, 5), (17, 13)], [False, False, False, True], 86, False, [False, True, True, False], 2213, 'North', (14, 3))
Element 8: (1, (14, 3), ['.', '', '.', '%'], [(9, 3), (10, 4), (17, 12)], [False, False, False, True], 84, False, [True, False, True, False], 2252, 'North', (14, 4))
Element 9: (1, (14, 4), ['.', '', '.', '.'], [(10, 3), (11, 4), (17, 11)], [False, False, False, False], 82, False, [True, False, True, True], 2291, 'East', (15, 4))
Element 10: (1, (15, 4), ['', '%', '.', '.'], [(11, 3), (12, 4), (16, 11)], [False, True, False, False], 80, False, [False, False, True, True], 2330, 'East', (16, 4))
Element 11: (1, (16, 4), ['', '.', '.', '.'], [(11, 4), (13, 4), (16, 12)], [False, False, False, False], 78, False, [False, True, True, True], 2359, 'East', (17, 4))
Element 12: (1, (17, 4), ['', '.', '.', '.'], [(12, 4), (13, 5), (16, 13)], [False, False, False, False], 76, False, [False, True, True, True], 2388, 'East', (18, 4))
Element 13: (1, (18, 4), ['', '.', '.', '%'], [(12, 5), (14, 5), (15, 13)], [False, False, False, True], 74, False, [False, True, True, False], 2427, 'North', (18, 5))
Element 14: (1, (18, 5), ['.', '', '%', '%'], [(12, 6), (15, 5), (15, 12)], [False, False, True, True], 72, False, [True, False, False, False], 2466, 'West', (17, 5))
Element 15: (1, (17, 5), ['G', '', '.', ''], [(13, 6), (16, 5), (15, 13)], [False, False, False, False], 70, False, [False, False, True, False], 2495, 'North', (17, 6))
Element 16: (1, (17, 6), ['G', '', '.', '%'], [(13, 5), (16, 6), (14, 13)], [False, False, False, True], 68, False, [False, False, True, False], 2524, 'North', (17, 7))
Element 17: (1, (17, 7), ['%', '', '%', '.'], [(14, 5), (15, 6), (13, 13)], [True, False, True, False], 66, False, [False, False, False, True], 2553, 'East', (18, 7))
Element 18: (1, (18, 7), ['', '%', '%', '%'], [(15, 5), (15, 7), (13, 12)], [False, True, True, True], 64, False, [False, False, False, False], 2582, 'West', (17, 7))
Element 19: (1, (17, 7), ['%', '', '%', ''], [(16, 5), (15, 8), (13, 11)], [True, False, True, False], 62, False, [False, False, False, False], 2601, 'South', (17, 6))
Element 20: (1, (17, 6), ['', 'G', '', '%'], [(17, 5), (14, 8), (12, 11)], [False, False, False, True], 60, False, [False, False, False, False], 2620, 'West', (16, 6))
