Element 1: (3, (18, 12), ['.', '.', '.', '%'], [(6, 12), (1, 12), (8, 8)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (18, 13))
Element 2: (3, (18, 13), ['.', '', '%', '%'], [(7, 12), (1, 11), (9, 8)], [False, False, True, True], 96, False, [True, False, False, False], 1058, 'West', (17, 13))
Element 3: (3, (17, 13), ['.', '.', '%', ''], [(8, 12), (2, 11), (10, 8)], [False, False, True, False], 94, False, [True, True, False, False], 2087, 'South', (17, 12))
Element 4: (3, (17, 12), ['.', '.', '', ''], [(9, 12), (2, 12), (10, 7)], [False, False, False, False], 92, False, [True, True, False, False], 2126, 'South', (17, 11))
Element 5: (3, (17, 11), ['.', '.', '', '.'], [(10, 12), (3, 12), (9, 7)], [False, False, False, False], 90, False, [True, True, False, True], 2165, 'East', (18, 11))
Element 6: (3, (18, 11), ['', '.', '', '%'], [(11, 12), (4, 12), (9, 6)], [False, False, False, True], 88, False, [False, True, False, False], 2204, 'South', (18, 10))
Element 7: (3, (18, 10), ['.', '%', '', '%'], [(12, 12), (4, 13), (9, 5)], [False, True, False, True], 86, False, [True, False, False, False], 2243, 'West', (17, 10))
Element 8: (3, (17, 10), ['.', '.', '', ''], [(13, 12), (5, 13), (10, 5)], [False, False, False, False], 84, False, [True, True, False, False], 3272, 'South', (17, 9))
Element 9: (3, (17, 9), ['.', '%', '', '%'], [(13, 13), (6, 13), (10, 4)], [False, True, False, True], 82, False, [True, False, False, False], 3311, 'West', (16, 9))
Element 10: (3, (16, 9), ['%', '%', '.', ''], [(14, 13), (7, 13), (11, 4)], [True, True, False, False], 80, False, [False, False, True, False], 3350, 'North', (16, 10))
Element 11: (3, (16, 10), ['%', '', '.', ''], [(15, 13), (7, 12), (12, 4)], [True, False, False, False], 78, False, [False, False, True, False], 3379, 'North', (16, 11))
Element 12: (3, (16, 11), ['%', '', '.', ''], [(16, 13), (8, 12), (13, 4)], [True, False, False, False], 76, False, [False, False, True, False], 3408, 'North', (16, 12))
Element 13: (3, (16, 12), ['.', '', '', ''], [(17, 13), (9, 12), (14, 4)], [False, False, False, False], 74, False, [True, False, False, False], 3427, 'West', (15, 12))
Element 14: (3, (15, 12), ['%', '%', '', ''], [(18, 13), (9, 13), (15, 4)], [True, True, False, False], 72, False, [False, False, False, False], 3456, 'North', (15, 13))
Element 15: (3, (15, 13), ['', '', '%', ''], [(18, 12), (10, 13), (16, 4)], [False, False, True, False], 70, False, [False, False, False, False], 3475, 'East', (16, 13))
Element 16: (3, (16, 13), ['', '', '%', ''], [(18, 11), (10, 12), (17, 4)], [False, False, True, False], 68, False, [False, False, False, False], 3484, 'West', (15, 13))
Element 17: (3, (15, 13), ['', '', '%', ''], [(18, 10), (11, 12), (18, 4)], [False, False, True, False], 66, False, [False, False, False, False], 3493, 'West', (14, 13))
Element 18: (3, (14, 13), ['', '%', '%', ''], [(17, 10), (12, 12), (18, 5)], [False, True, True, False], 64, False, [False, False, False, False], 3502, 'West', (13, 13))
Element 19: (3, (13, 13), ['G', '', '%', ''], [(17, 11), (12, 13), (17, 5)], [False, False, True, False], 62, False, [False, False, False, False], 3521, 'South', (13, 12))
Element 20: (3, (13, 12), ['', '.', 'G', '%'], [(17, 12), (13, 13), (17, 6)], [False, False, False, True], 60, False, [False, True, False, False], 3530, 'South', (13, 11))
Element 21: (3, (13, 11), ['.', '%', '', '%'], [(16, 12), (14, 13), (17, 7)], [False, True, False, True], 58, False, [True, False, False, False], 3549, 'West', (12, 11))
Element 22: (3, (12, 11), ['%', '%', '', ''], [(16, 11), (15, 13), (18, 7)], [True, True, False, False], 56, False, [False, False, False, False], 3568, 'North', (12, 12))
Element 23: (3, (12, 12), ['', '', '', ''], [(16, 10), (16, 13), (17, 7)], [False, False, False, False], 54, False, [False, False, False, False], 3567, 'North', (12, 13))
Element 24: (3, (12, 13), ['%', '', '%', ''], [(16, 9), (17, 13), (17, 6)], [True, False, True, False], 52, False, [False, False, False, False], 3566, 'South', (12, 12))
Element 25: (3, (12, 12), ['', '', '', ''], [(17, 9), (18, 13), (16, 6)], [False, False, False, False], 50, False, [False, False, False, False], 3575, 'West', (11, 12))
Element 26: (3, (11, 12), ['', '%', '%', ''], [(16, 9), (18, 12), (16, 5)], [False, True, True, False], 48, False, [False, False, False, False], 3584, 'West', (10, 12))
Element 27: (3, (10, 12), ['', '%', '', ''], [(16, 10), (18, 11), (15, 5)], [False, True, False, False], 46, False, [False, False, False, False], 3593, 'North', (10, 13))
Element 28: (3, (10, 13), ['', '', '%', '%'], [(16, 11), (18, 10), (15, 6)], [False, False, True, True], 44, False, [False, False, False, False], 3602, 'West', (9, 13))
Element 29: (3, (9, 13), ['%', '', '%', ''], [(16, 12), (17, 10), (15, 7)], [True, False, True, False], 42, False, [False, False, False, False], 3611, 'South', (9, 12))
Element 30: (3, (9, 12), ['', '%', '', ''], [(15, 12), (17, 11), (15, 8)], [False, True, False, False], 40, False, [False, False, False, False], 3620, 'West', (8, 12))
Element 31: (3, (8, 12), ['', '%', '%', ''], [(16, 12), (17, 12), (14, 8)], [False, True, True, False], 38, False, [False, False, False, False], 3629, 'West', (7, 12))
Element 32: (3, (7, 12), ['', '%', '', ''], [(15, 12), (16, 12), (14, 7)], [False, True, False, False], 36, False, [False, False, False, False], 3638, 'North', (7, 13))
Element 33: (3, (7, 13), ['', '', '%', '%'], [(15, 12), (16, 11), (14, 8)], [False, False, True, True], 34, False, [False, False, False, False], 3637, 'West', (6, 13))
Element 34: (3, (6, 13), ['', '', '%', ''], [(15, 13), (16, 10), (13, 8)], [False, False, True, False], 32, False, [False, False, False, False], 3646, 'South', (6, 12))
Element 35: (3, (6, 12), ['', '.', '', ''], [(15, 12), (16, 9), (14, 8)], [False, False, False, False], 30, False, [False, True, False, False], 3645, 'South', (6, 11))
Element 36: (3, (6, 11), ['.', '%', '', '%'], [(15, 12), (17, 9), (15, 8)], [False, True, False, True], 28, False, [True, False, False, False], 3654, 'West', (5, 11))
Element 37: (3, (5, 11), ['.', '%', '', ''], [(15, 13), (16, 9), (15, 7)], [False, True, False, False], 26, False, [True, False, False, False], 3663, 'West', (4, 11))
Element 38: (3, (4, 11), ['%', '.', '', ''], [(15, 12), (16, 10), (14, 7)], [True, False, False, False], 24, False, [False, True, False, False], 3672, 'South', (4, 10))
Element 39: (3, (4, 10), ['.', '%', '', '%'], [(15, 13), (16, 11), (15, 7)], [False, True, False, True], 22, False, [True, False, False, False], 3681, 'West', (3, 10))
Element 40: (3, (3, 10), ['.', '%', '%', ''], [(15, 12), (16, 12), (15, 6)], [False, True, True, False], 20, False, [True, False, False, False], 3690, 'West', (2, 10))
Element 41: (3, (2, 10), ['.', '%', '', ''], [(15, 12), (17, 12), (15, 5)], [False, True, False, False], 18, False, [True, False, False, False], 3699, 'West', (1, 10))
Element 42: (3, (1, 10), ['%', '%', '', ''], [(15, 12), (17, 11), (14, 5)], [True, True, False, False], 16, False, [False, False, False, False], 3718, 'North', (1, 11))
Element 43: (3, (1, 11), ['%', '', '', ''], [(15, 13), (16, 11), (13, 5)], [True, False, False, False], 14, False, [False, False, False, False], 3727, 'East', (2, 11))
Element 44: (3, (2, 11), ['', '', '', '%'], [(15, 12), (17, 11), (13, 6)], [False, False, False, True], 12, False, [False, False, False, False], 3736, 'North', (2, 12))
Element 45: (3, (2, 12), ['', '', '%', ''], [(16, 12), (17, 10), (12, 6)], [False, False, True, False], 10, False, [False, False, False, False], 3745, 'East', (3, 12))
Element 46: (3, (3, 12), ['', '%', '.', ''], [(17, 12), (17, 9), (12, 5)], [False, True, False, False], 8, False, [False, False, True, False], 3754, 'North', (3, 13))
Element 47: (3, (3, 13), ['%', '', '%', ''], [(18, 12), (17, 10), (12, 6)], [True, False, True, False], 6, False, [False, False, False, False], 3763, 'East', (4, 13))
Element 48: (3, (4, 13), ['', '', '%', ''], [(18, 13), (16, 10), (11, 6)], [False, False, True, False], 4, False, [False, False, False, False], 3772, 'East', (5, 13))
Element 49: (3, (5, 13), ['', '', '%', ''], [(17, 13), (17, 10), (12, 6)], [False, False, True, False], 2, False, [False, False, False, False], 3771, 'South', (5, 12))
Element 50: (3, (5, 12), ['', '', '', ''], [(17, 13), (17, 10), (12, 6)], [False, False, False, False], 0, False, [False, False, False, False], 3770, 'Stop', (5, 12))
Element 51: #0#
