Element 1: (2, (6, 3), ['G', '.', '.', '.'], [(16, 13), (5, 3), (12, 5)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (7, 3))
Element 2: (2, (7, 3), ['', '.', '%', '.'], [(17, 13), (5, 2), (13, 5)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (8, 3))
Element 3: (2, (8, 3), ['', '.', '.', '.'], [(18, 13), (6, 2), (14, 5)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (9, 3))
Element 4: (2, (9, 3), ['', 'F', '.', '.'], [(18, 12), (7, 2), (15, 5)], [False, False, False, False], 92, False, [False, False, True, True], 136, 'South', (9, 2))
Element 5: (2, (9, 2), ['G', '.', '', '.'], [(18, 11), (8, 2), (16, 5)], [False, False, False, False], 90, False, [False, True, False, True], 1165, 'East', (10, 2))
Element 6: (2, (10, 2), ['', '%', '.', '.'], [(18, 10), (8, 1), (17, 5)], [False, True, False, False], 88, False, [False, False, True, True], 1204, 'East', (11, 2))
Element 7: (2, (11, 2), ['', '.', '.', '.'], [(17, 10), (9, 1), (18, 5)], [False, False, False, False], 86, False, [False, True, True, True], 1243, 'East', (12, 2))
Element 8: (2, (12, 2), ['', '.', '%', '.'], [(17, 11), (9, 2), (18, 4)], [False, False, True, False], 84, False, [False, True, False, True], 1272, 'East', (13, 2))
Element 9: (2, (13, 2), ['', '.', '.', '.'], [(17, 12), (10, 2), (18, 3)], [False, False, False, False], 82, False, [False, True, True, True], 1301, 'East', (14, 2))
Element 10: (2, (14, 2), ['', '.', '.', '%'], [(16, 12), (10, 3), (17, 3)], [False, False, False, True], 80, False, [False, True, True, False], 1340, 'North', (14, 3))
Element 11: (2, (14, 3), ['.', '', '.', '%'], [(16, 11), (11, 3), (17, 4)], [False, False, False, True], 78, False, [True, False, True, False], 1379, 'North', (14, 4))
Element 12: (2, (14, 4), ['.', '', '', '.'], [(16, 10), (11, 4), (16, 4)], [False, False, False, False], 76, False, [True, False, False, True], 1418, 'East', (15, 4))
Element 13: (2, (15, 4), ['', '%', '', ''], [(16, 9), (12, 4), (16, 3)], [False, True, False, False], 74, False, [False, False, False, False], 1457, 'East', (16, 4))
Element 14: (2, (16, 4), ['', '', '', ''], [(17, 9), (13, 4), (17, 3)], [False, False, False, False], 72, False, [False, False, False, False], 1476, 'East', (17, 4))
Element 15: (2, (17, 4), ['', '', '', ''], [(16, 9), (13, 3), (16, 3)], [False, False, False, False], 70, False, [False, False, False, False], 1485, 'East', (18, 4))
Element 16: (2, (18, 4), ['', '', '', '%'], [(16, 10), (14, 3), (17, 3)], [False, False, False, True], 68, False, [False, False, False, False], 1484, 'North', (18, 5))
Element 17: (2, (18, 5), ['', '', '%', '%'], [(16, 11), (14, 4), (16, 3)], [False, False, True, True], 66, False, [False, False, False, False], 1483, 'West', (17, 5))
Element 18: (2, (17, 5), ['', '', '.', ''], [(16, 12), (15, 4), (17, 3)], [False, False, False, False], 64, False, [False, False, True, False], 1482, 'North', (17, 6))
Element 19: (2, (17, 6), ['.', '', '.', '%'], [(15, 12), (16, 4), (18, 3)], [False, False, False, True], 62, False, [True, False, True, False], 1501, 'North', (17, 7))
Element 20: (2, (17, 7), ['%', '', '%', '.'], [(16, 12), (17, 4), (18, 4)], [True, False, True, False], 60, False, [False, False, False, True], 1510, 'East', (18, 7))
Element 21: (2, (18, 7), ['', '%', '%', '%'], [(17, 12), (18, 4), (18, 3)], [False, True, True, True], 58, False, [False, False, False, False], 1519, 'West', (17, 7))
