Element 1: (3, (18, 12), ['', '.', '.', '%'], [(17, 5), (6, 8), (17, 13)], [False, False, False, True], 98, False, [False, True, True, False], 29, 'North', (18, 13))
Element 2: (3, (18, 13), ['', '', '%', '%'], [(18, 5), (7, 8), (16, 13)], [False, False, True, True], 96, False, [False, False, False, False], 68, 'West', (17, 13))
Element 3: (3, (17, 13), ['', '', '%', ''], [(18, 4), (8, 8), (16, 12)], [False, False, True, False], 94, False, [False, False, False, False], 97, 'South', (17, 12))
Element 4: (3, (17, 12), ['', '.', '', ''], [(18, 3), (9, 8), (16, 11)], [False, False, False, False], 92, False, [False, True, False, False], 126, 'South', (17, 11))
Element 5: (3, (17, 11), ['', '.', '', '.'], [(17, 3), (10, 8), (16, 10)], [False, False, False, False], 90, False, [False, True, False, True], 165, 'East', (18, 11))
Element 6: (3, (18, 11), ['', '.', '', '%'], [(17, 4), (10, 7), (17, 10)], [False, False, False, True], 88, False, [False, True, False, False], 204, 'South', (18, 10))
Element 7: (3, (18, 10), ['', '%', '', '%'], [(16, 4), (9, 7), (17, 9)], [False, True, False, True], 86, False, [False, False, False, False], 243, 'West', (17, 10))
Element 8: (3, (17, 10), ['', '', '', ''], [(16, 3), (9, 6), (16, 9)], [False, False, False, False], 84, False, [False, False, False, False], 272, 'South', (17, 9))
Element 9: (3, (17, 9), ['', '%', '', '%'], [(16, 4), (9, 5), (16, 10)], [False, True, False, True], 82, False, [False, False, False, False], 281, 'West', (16, 9))
Element 10: (3, (16, 9), ['%', '%', '', ''], [(15, 4), (10, 5), (17, 10)], [True, True, False, False], 80, False, [False, False, False, False], 1290, 'North', (16, 10))
Element 11: (3, (16, 10), ['%', '', '', ''], [(15, 5), (10, 4), (17, 11)], [True, False, False, False], 78, False, [False, False, False, False], 1309, 'North', (16, 11))
Element 12: (3, (16, 11), ['%', '', '', ''], [(15, 6), (11, 4), (18, 11)], [True, False, False, False], 76, False, [False, False, False, False], 1328, 'North', (16, 12))
Element 13: (3, (16, 12), ['.', '', '', ''], [(16, 6), (12, 4), (18, 12)], [False, False, False, False], 74, False, [True, False, False, False], 1347, 'West', (15, 12))
Element 14: (3, (15, 12), ['%', '%', '.', ''], [(17, 6), (13, 4), (18, 13)], [True, True, False, False], 72, False, [False, False, True, False], 1376, 'North', (15, 13))
Element 15: (3, (15, 13), ['.', '', '%', ''], [(17, 7), (14, 4), (18, 12)], [False, False, True, False], 70, False, [True, False, False, False], 1405, 'West', (14, 13))
Element 16: (3, (14, 13), ['.', '%', '%', ''], [(18, 7), (14, 5), (18, 11)], [False, True, True, False], 68, False, [True, False, False, False], 1434, 'West', (13, 13))
Element 17: (3, (13, 13), ['.', '.', '%', ''], [(17, 7), (13, 5), (18, 10)], [False, False, True, False], 66, False, [True, True, False, False], 1453, 'South', (13, 12))
Element 18: (3, (13, 12), ['.', '.', '', '%'], [(17, 6), (13, 6), (18, 11)], [False, False, False, True], 64, False, [True, True, False, False], 1472, 'South', (13, 11))
Element 19: (3, (13, 11), ['.', '%', '', '%'], [(16, 6), (12, 6), (17, 11)], [False, True, False, True], 62, False, [True, False, False, False], 1491, 'West', (12, 11))
Element 20: (3, (12, 11), ['%', '%', '.', ''], [(15, 6), (12, 5), (17, 10)], [True, True, False, False], 60, False, [False, False, True, False], 1510, 'North', (12, 12))
Element 21: (3, (12, 12), ['.', '', '.', ''], [(15, 7), (12, 6), (16, 10)], [False, False, False, False], 58, False, [True, False, True, False], 1529, 'North', (12, 13))
Element 22: (3, (12, 13), ['%', '', '%', ''], [(15, 8), (11, 6), (16, 9)], [True, False, True, False], 56, False, [False, False, False, False], 1558, 'South', (12, 12))
Element 23: (3, (12, 12), ['.', '', '', ''], [(14, 8), (12, 6), (16, 10)], [False, False, False, False], 54, False, [True, False, False, False], 1567, 'West', (11, 12))
