Element 1: (1, (5, 3), ['.', '.', '%', '.'], [(2, 2), (5, 8), (6, 9)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'South', (5, 2))
Element 2: (1, (5, 2), ['.', '.', '', '.'], [(2, 3), (6, 8), (7, 9)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'South', (5, 1))
Element 3: (1, (5, 1), ['.', '%', '', '.'], [(2, 4), (7, 8), (8, 9)], [False, True, False, False], 94, False, [True, False, False, True], 87, 'East', (6, 1))
Element 4: (1, (6, 1), ['', '%', '.', '.'], [(2, 5), (8, 8), (7, 9)], [False, True, False, False], 92, False, [False, False, True, True], 116, 'East', (7, 1))
Element 5: (1, (7, 1), ['', '%', '.', '.'], [(3, 5), (9, 8), (6, 9)], [False, True, False, False], 90, False, [False, False, True, True], 145, 'East', (8, 1))
Element 6: (1, (8, 1), ['', '%', '.', '.'], [(4, 5), (10, 8), (6, 9)], [False, True, False, False], 88, False, [False, False, True, True], 174, 'East', (9, 1))
Element 7: (1, (9, 1), ['', '%', 'F', '%'], [(5, 5), (10, 7), (7, 9)], [False, True, False, True], 86, False, [False, False, False, False], 203, 'North', (9, 2))
Element 8: (1, (9, 2), ['.', '', '.', '.'], [(6, 5), (9, 7), (8, 9)], [False, False, False, False], 84, False, [True, False, True, True], 1222, 'East', (10, 2))
Element 9: (1, (10, 2), ['', '%', '.', '.'], [(6, 6), (9, 6), (8, 8)], [False, True, False, False], 82, False, [False, False, True, True], 1251, 'East', (11, 2))
Element 10: (1, (11, 2), ['', '.', '.', '.'], [(5, 6), (9, 5), (9, 8)], [False, False, False, False], 80, False, [False, True, True, True], 1280, 'East', (12, 2))
Element 11: (1, (12, 2), ['', '.', '%', '.'], [(4, 6), (10, 5), (10, 8)], [False, False, True, False], 78, False, [False, True, False, True], 2299, 'East', (13, 2))
Element 12: (1, (13, 2), ['', '.', '.', '.'], [(3, 6), (10, 4), (10, 7)], [False, False, False, False], 76, False, [False, True, True, True], 2328, 'East', (14, 2))
Element 13: (1, (14, 2), ['', '.', '.', '%'], [(3, 7), (11, 4), (9, 7)], [False, False, False, True], 74, False, [False, True, True, False], 2357, 'North', (14, 3))
Element 14: (1, (14, 3), ['.', '', '.', '%'], [(2, 7), (12, 4), (9, 6)], [False, False, False, True], 72, False, [True, False, True, False], 2386, 'North', (14, 4))
Element 15: (1, (14, 4), ['G', '', '.', '.'], [(2, 8), (13, 4), (8, 6)], [False, False, False, False], 70, False, [False, False, True, True], 3415, 'East', (15, 4))
Element 16: (1, (15, 4), ['', '%', '.', '.'], [(1, 8), (13, 5), (8, 5)], [False, True, False, False], 68, False, [False, False, True, True], 4444, 'East', (16, 4))
Element 17: (1, (16, 4), ['', '.', '.', '.'], [(1, 7), (14, 5), (8, 4)], [False, False, False, False], 66, False, [False, True, True, True], 4483, 'East', (17, 4))
Element 18: (1, (17, 4), ['', '.', '.', '.'], [(1, 6), (15, 5), (9, 4)], [False, False, False, False], 64, False, [False, True, True, True], 4522, 'East', (18, 4))
Element 19: (1, (18, 4), ['', '.', '.', '%'], [(2, 6), (16, 5), (9, 3)], [False, False, False, True], 62, False, [False, True, True, False], 4561, 'North', (18, 5))
Element 20: (1, (18, 5), ['G', '', '%', '%'], [(1, 6), (17, 5), (10, 3)], [False, False, True, True], 60, False, [False, False, False, False], 4590, 'South', (18, 4))
Element 21: (1, (18, 4), ['', '.', '', '%'], [(1, 5), (17, 6), (11, 3)], [False, False, False, True], 58, False, [False, True, False, False], 4619, 'South', (18, 3))
Element 22: (1, (18, 3), ['.', '%', '', '%'], [(1, 4), (17, 7), (11, 4)], [False, True, False, True], 56, False, [True, False, False, False], 4648, 'West', (17, 3))
Element 23: (1, (17, 3), ['.', '%', '', ''], [(1, 5), (18, 7), (12, 4)], [False, True, False, False], 54, False, [True, False, False, False], 4667, 'West', (16, 3))
Element 24: (1, (16, 3), ['%', '%', '', ''], [(1, 6), (17, 7), (12, 5)], [True, True, False, False], 52, False, [False, False, False, False], 4686, 'East', (17, 3))
Element 25: (1, (17, 3), ['', '%', '', ''], [(1, 7), (17, 6), (12, 6)], [False, True, False, False], 50, False, [False, False, False, False], 4695, 'East', (18, 3))
Element 26: (1, (18, 3), ['', '%', '', '%'], [(1, 8), (16, 6), (13, 6)], [False, True, False, True], 48, False, [False, False, False, False], 4714, 'North', (18, 4))
Element 27: (1, (18, 4), ['', '', '', '%'], [(2, 8), (15, 6), (13, 5)], [False, False, False, True], 46, False, [False, False, False, False], 4723, 'West', (17, 4))
Element 28: (1, (17, 4), ['', '', '', ''], [(2, 7), (15, 7), (14, 5)], [False, False, False, False], 44, False, [False, False, False, False], 4732, 'North', (17, 5))
Element 29: (1, (17, 5), ['', '', '', ''], [(2, 6), (15, 8), (15, 5)], [False, False, False, False], 42, False, [False, False, False, False], 4741, 'North', (17, 6))
Element 30: (1, (17, 6), ['', '', '', '%'], [(2, 7), (14, 8), (16, 5)], [False, False, False, True], 40, False, [False, False, False, False], 4750, 'North', (17, 7))
Element 31: (1, (17, 7), ['%', '', '%', ''], [(1, 7), (14, 7), (17, 5)], [True, False, True, False], 38, False, [False, False, False, False], 4759, 'East', (18, 7))
Element 32: (1, (18, 7), ['', '%', '%', '%'], [(2, 7), (14, 8), (18, 5)], [False, True, True, True], 36, False, [False, False, False, False], 4758, 'West', (17, 7))
Element 33: (1, (17, 7), ['%', '', '%', ''], [(3, 7), (13, 8), (18, 4)], [True, False, True, False], 34, False, [False, False, False, False], 4767, 'South', (17, 6))
Element 34: (1, (17, 6), ['', '', '', '%'], [(3, 6), (14, 8), (18, 3)], [False, False, False, True], 32, False, [False, False, False, False], 4766, 'West', (16, 6))
Element 35: (1, (16, 6), ['', '', '%', ''], [(2, 6), (15, 8), (17, 3)], [False, False, True, False], 30, False, [False, False, False, False], 4765, 'South', (16, 5))
Element 36: (1, (16, 5), ['', '', '', ''], [(3, 6), (15, 7), (17, 4)], [False, False, False, False], 28, False, [False, False, False, False], 4764, 'West', (15, 5))
Element 37: (1, (15, 5), ['', '', '', ''], [(4, 6), (14, 7), (16, 4)], [False, False, False, False], 26, False, [False, False, False, False], 4763, 'North', (15, 6))
Element 38: (1, (15, 6), ['%', '', 'G', ''], [(5, 6), (15, 7), (16, 3)], [True, False, False, False], 24, False, [False, False, False, False], 4762, 'South', (15, 5))
Element 39: (1, (15, 5), ['', '', 'G', ''], [(6, 6), (15, 6), (16, 4)], [False, False, False, False], 22, False, [False, False, False, False], 4761, 'West', (14, 5))
Element 40: (1, (14, 5), ['', '', '%', ''], [(6, 5), (16, 6), (15, 4)], [False, False, True, False], 20, False, [False, False, False, False], 4760, 'West', (13, 5))
Element 41: (1, (13, 5), ['', '', '', ''], [(6, 4), (17, 6), (14, 4)], [False, False, False, False], 18, False, [False, False, False, False], 4769, 'North', (13, 6))
Element 42: (1, (13, 6), ['', '', '%', '%'], [(6, 3), (17, 5), (14, 3)], [False, False, True, True], 16, False, [False, False, False, False], 4778, 'West', (12, 6))
Element 43: (1, (12, 6), ['.', '', '%', ''], [(7, 3), (18, 5), (13, 3)], [False, False, True, False], 14, False, [True, False, False, False], 4797, 'West', (11, 6))
Element 44: (1, (11, 6), ['%', '%', '%', ''], [(8, 3), (18, 4), (13, 4)], [True, True, True, False], 12, False, [False, False, False, False], 4816, 'East', (12, 6))
Element 45: (1, (12, 6), ['', '', '%', ''], [(8, 2), (18, 3), (13, 3)], [False, False, True, False], 10, False, [False, False, False, False], 4825, 'South', (12, 5))
Element 46: (1, (12, 5), ['%', '', '', ''], [(7, 2), (17, 3), (13, 2)], [True, False, False, False], 8, False, [False, False, False, False], 4834, 'South', (12, 4))
Element 47: (1, (12, 4), ['', '%', '', ''], [(6, 2), (17, 4), (13, 1)], [False, True, False, False], 6, False, [False, False, False, False], 4853, 'East', (13, 4))
Element 48: (1, (13, 4), ['', '', '', ''], [(6, 1), (16, 4), (14, 1)], [False, False, False, False], 4, False, [False, False, False, False], 4862, 'South', (13, 3))
Element 49: (1, (13, 3), ['%', '', '', ''], [(7, 1), (16, 3), (15, 1)], [True, False, False, False], 2, False, [False, False, False, False], 4871, 'North', (13, 4))
Element 50: (1, (13, 4), ['', '', '', ''], [(7, 1), (16, 4), (14, 1)], [False, False, False, False], 0, False, [False, False, False, False], 4870, 'Stop', (13, 4))
Element 51: #0#
