Element 1: (3, (13, 11), ['.', '%', '', '%'], [(13, 13), (1, 11), (5, 8)], [False, True, False, True], 98, False, [True, False, False, False], 1019, 'West', (12, 11))
Element 2: (3, (12, 11), ['%', '%', '.', ''], [(14, 13), (2, 11), (6, 8)], [True, True, False, False], 96, False, [False, False, True, False], 2048, 'North', (12, 12))
Element 3: (3, (12, 12), ['.', '', '.', ''], [(15, 13), (2, 12), (7, 8)], [False, False, False, False], 94, False, [True, False, True, False], 2087, 'North', (12, 13))
Element 4: (3, (12, 13), ['%', '', '%', ''], [(16, 13), (3, 12), (8, 8)], [True, False, True, False], 92, False, [False, False, False, False], 2126, 'East', (13, 13))
Element 5: (3, (13, 13), ['', '', '%', ''], [(17, 13), (4, 12), (9, 8)], [False, False, True, False], 90, False, [False, False, False, False], 2155, 'East', (14, 13))
Element 6: (3, (14, 13), ['', '%', '%', ''], [(18, 13), (5, 12), (10, 8)], [False, True, True, False], 88, False, [False, False, False, False], 2184, 'East', (15, 13))
Element 7: (3, (15, 13), ['', '.', '%', ''], [(18, 12), (6, 12), (10, 7)], [False, False, True, False], 86, False, [False, True, False, False], 2213, 'South', (15, 12))
Element 8: (3, (15, 12), ['%', '%', '', '.'], [(18, 11), (7, 12), (9, 7)], [True, True, False, False], 84, False, [False, False, False, True], 2252, 'East', (16, 12))
Element 9: (3, (16, 12), ['', '.', '', '.'], [(18, 10), (8, 12), (9, 6)], [False, False, False, False], 82, False, [False, True, False, True], 2291, 'East', (17, 12))
Element 10: (3, (17, 12), ['', '.', '', ''], [(17, 10), (9, 12), (9, 5)], [False, False, False, False], 80, False, [False, True, False, False], 2330, 'South', (17, 11))
Element 11: (3, (17, 11), ['.', '', '', ''], [(17, 9), (10, 12), (10, 5)], [False, False, False, False], 78, False, [True, False, False, False], 3359, 'West', (16, 11))
Element 12: (3, (16, 11), ['%', '.', '', ''], [(16, 9), (11, 12), (10, 4)], [True, False, False, False], 76, False, [False, True, False, False], 3398, 'South', (16, 10))
Element 13: (3, (16, 10), ['%', '', '', ''], [(17, 9), (12, 12), (11, 4)], [True, False, False, False], 74, False, [False, False, False, False], 3417, 'East', (17, 10))
Element 14: (3, (17, 10), ['', '', '', ''], [(16, 9), (13, 12), (12, 4)], [False, False, False, False], 72, False, [False, False, False, False], 3426, 'East', (18, 10))
Element 15: (3, (18, 10), ['', '%', '', '%'], [(16, 10), (13, 13), (13, 4)], [False, True, False, True], 70, False, [False, False, False, False], 3435, 'North', (18, 11))
Element 16: (3, (18, 11), ['', '', '', '%'], [(16, 11), (14, 13), (14, 4)], [False, False, False, True], 68, False, [False, False, False, False], 3444, 'North', (18, 12))
Element 17: (3, (18, 12), ['', '', '', '%'], [(17, 11), (15, 13), (15, 4)], [False, False, False, True], 66, False, [False, False, False, False], 3453, 'North', (18, 13))
