Element 1: (2, (18, 5), ['.', '.', '%', '%'], [(10, 13), (10, 5), (18, 10)], [False, False, True, True], 98, False, [True, True, False, False], 1009, 'South', (18, 4))
Element 2: (2, (18, 4), ['.', '.', '', '%'], [(10, 12), (10, 4), (18, 11)], [False, False, False, True], 96, False, [True, True, False, False], 1048, 'South', (18, 3))
Element 3: (2, (18, 3), ['.', '%', '', '%'], [(11, 12), (11, 4), (18, 12)], [False, True, False, True], 94, False, [True, False, False, False], 1087, 'West', (17, 3))
Element 4: (2, (17, 3), ['.', '%', '.', ''], [(12, 12), (12, 4), (18, 13)], [False, True, False, False], 92, False, [True, False, True, False], 1126, 'North', (17, 4))
Element 5: (2, (17, 4), ['.', '', '.', ''], [(13, 12), (13, 4), (17, 13)], [False, False, False, False], 90, False, [True, False, True, False], 1165, 'North', (17, 5))
Element 6: (2, (17, 5), ['.', '', '.', ''], [(13, 13), (14, 4), (17, 12)], [False, False, False, False], 88, False, [True, False, True, False], 1204, 'North', (17, 6))
Element 7: (2, (17, 6), ['.', '', '.', '%'], [(14, 13), (15, 4), (17, 11)], [False, False, False, True], 86, False, [True, False, True, False], 1243, 'North', (17, 7))
Element 8: (2, (17, 7), ['%', '', '%', '.'], [(15, 13), (16, 4), (17, 10)], [True, False, True, False], 84, False, [False, False, False, True], 1282, 'East', (18, 7))
Element 9: (2, (18, 7), ['', '%', '%', '%'], [(16, 13), (16, 5), (17, 9)], [False, True, True, True], 82, False, [False, False, False, False], 1321, 'West', (17, 7))
Element 10: (2, (17, 7), ['%', '', '%', ''], [(16, 12), (16, 6), (16, 9)], [True, False, True, False], 80, False, [False, False, False, False], 1350, 'South', (17, 6))
Element 11: (2, (17, 6), ['', '', '', '%'], [(16, 11), (15, 6), (16, 10)], [False, False, False, True], 78, False, [False, False, False, False], 1379, 'West', (16, 6))
Element 12: (2, (16, 6), ['', '', '%', ''], [(17, 11), (15, 7), (16, 9)], [False, False, True, False], 76, False, [False, False, False, False], 1388, 'South', (16, 5))
Element 13: (2, (16, 5), ['.', '', '', ''], [(18, 11), (15, 8), (17, 9)], [False, False, False, False], 74, False, [True, False, False, False], 1397, 'West', (15, 5))
Element 14: (2, (15, 5), ['.', '', '', ''], [(18, 12), (14, 8), (17, 10)], [False, False, False, False], 72, False, [True, False, False, False], 1416, 'West', (14, 5))
Element 15: (2, (14, 5), ['.', '', '%', ''], [(18, 13), (14, 7), (16, 10)], [False, False, True, False], 70, False, [True, False, False, False], 1435, 'West', (13, 5))
Element 16: (2, (13, 5), ['.', '', '.', ''], [(17, 13), (14, 8), (17, 10)], [False, False, False, False], 68, False, [True, False, True, False], 1444, 'North', (13, 6))
Element 17: (2, (13, 6), ['.', '', '%', '%'], [(17, 12), (13, 8), (17, 11)], [False, False, True, True], 66, False, [True, False, False, False], 1463, 'West', (12, 6))
Element 18: (2, (12, 6), ['.', '.', '%', ''], [(17, 13), (14, 8), (16, 11)], [False, False, True, False], 64, False, [True, True, False, False], 1472, 'South', (12, 5))
Element 19: (2, (12, 5), ['%', '', '', ''], [(18, 13), (15, 8), (16, 12)], [True, False, False, False], 62, False, [False, False, False, False], 1481, 'South', (12, 4))
Element 20: (2, (12, 4), ['', '%', '', ''], [(18, 12), (15, 7), (15, 12)], [False, True, False, False], 60, False, [False, False, False, False], 1490, 'East', (13, 4))
Element 21: (2, (13, 4), ['', '.', '', ''], [(17, 12), (14, 7), (15, 13)], [False, False, False, False], 58, False, [False, True, False, False], 1489, 'South', (13, 3))
Element 22: (2, (13, 3), ['%', '.', '', '.'], [(18, 12), (15, 7), (16, 13)], [True, False, False, False], 56, False, [False, True, False, True], 1498, 'East', (14, 3))
Element 23: (2, (14, 3), ['', '.', '', '%'], [(18, 11), (15, 6), (15, 13)], [False, False, False, True], 54, False, [False, True, False, False], 1507, 'South', (14, 2))
Element 24: (2, (14, 2), ['.', '.', '', '%'], [(18, 10), (15, 5), (14, 13)], [False, False, False, True], 52, False, [True, True, False, False], 1516, 'South', (14, 1))
Element 25: (2, (14, 1), ['.', '%', '', '.'], [(17, 10), (14, 5), (13, 13)], [False, True, False, False], 50, False, [True, False, False, True], 1525, 'East', (15, 1))
Element 26: (2, (15, 1), ['', '%', '%', '%'], [(17, 9), (13, 5), (12, 13)], [False, True, True, True], 48, False, [False, False, False, False], 1544, 'West', (14, 1))
Element 27: (2, (14, 1), ['.', '%', '', ''], [(16, 9), (13, 6), (12, 12)], [False, True, False, False], 46, False, [True, False, False, False], 1543, 'West', (13, 1))
Element 28: (2, (13, 1), ['.', '%', '.', ''], [(16, 10), (12, 6), (12, 11)], [False, True, False, False], 44, False, [True, False, True, False], 1562, 'North', (13, 2))
Element 29: (2, (13, 2), ['.', '', '', ''], [(16, 9), (11, 6), (13, 11)], [False, False, False, False], 42, False, [True, False, False, False], 1591, 'West', (12, 2))
Element 30: (2, (12, 2), ['.', '.', '%', ''], [(17, 9), (12, 6), (13, 12)], [False, False, True, False], 40, False, [True, True, False, False], 1600, 'South', (12, 1))
Element 31: (2, (12, 1), ['.', '%', '', ''], [(17, 10), (12, 5), (13, 11)], [False, True, False, False], 38, False, [True, False, False, False], 1609, 'West', (11, 1))
Element 32: (2, (11, 1), ['%', '%', '.', ''], [(16, 10), (12, 6), (12, 11)], [True, True, False, False], 36, False, [False, False, True, False], 1618, 'North', (11, 2))
Element 33: (2, (11, 2), ['.', '', '.', ''], [(17, 10), (13, 6), (12, 12)], [False, False, False, False], 34, False, [True, False, True, False], 1627, 'North', (11, 3))
Element 34: (2, (11, 3), ['.', '', '', '%'], [(18, 10), (13, 5), (13, 12)], [False, False, False, True], 32, False, [True, False, False, False], 1636, 'West', (10, 3))
Element 35: (2, (10, 3), ['.', '.', '', ''], [(18, 11), (12, 5), (12, 12)], [False, False, False, False], 30, False, [True, True, False, False], 1645, 'South', (10, 2))
