Element 1: (2, (9, 7), ['%', '.', '', '.'], [(10, 8), (4, 11), (16, 4)], [True, False, False, False], 98, False, [False, True, False, True], 19, 'East', (10, 7))
Element 2: (2, (10, 7), ['', '%', '', '%'], [(9, 8), (4, 12), (17, 4)], [False, True, False, True], 96, False, [False, False, False, False], 48, 'North', (10, 8))
Element 3: (2, (10, 8), ['', '', '%', '%'], [(8, 8), (4, 13), (18, 4)], [False, False, True, True], 94, False, [False, False, False, False], 77, 'West', (9, 8))
Element 4: (2, (9, 8), ['', '', '%', ''], [(8, 9), (3, 13), (18, 5)], [False, False, True, False], 92, False, [False, False, False, False], 106, 'West', (8, 8))
Element 5: (2, (8, 8), ['.', '%', '', ''], [(7, 9), (3, 12), (17, 5)], [False, True, False, False], 90, False, [True, False, False, False], 135, 'West', (7, 8))
Element 6: (2, (7, 8), ['.', '%', '', ''], [(6, 9), (2, 12), (17, 6)], [False, True, False, False], 88, False, [True, False, False, False], 174, 'West', (6, 8))
Element 7: (2, (6, 8), ['.', '%', '', ''], [(7, 9), (2, 11), (17, 7)], [False, True, False, False], 86, False, [True, False, False, False], 1193, 'West', (5, 8))
Element 8: (2, (5, 8), ['.', '%', '%', ''], [(8, 9), (1, 11), (18, 7)], [False, True, True, False], 84, False, [True, False, False, False], 2212, 'West', (4, 8))
Element 9: (2, (4, 8), ['%', '%', '%', ''], [(8, 8), (1, 12), (17, 7)], [True, True, True, False], 82, False, [False, False, False, False], 2231, 'East', (5, 8))
Element 10: (2, (5, 8), ['', '%', '%', ''], [(7, 8), (1, 13), (17, 6)], [False, True, True, False], 80, False, [False, False, False, False], 2240, 'East', (6, 8))
Element 11: (2, (6, 8), ['', '%', '', ''], [(8, 8), (1, 12), (16, 6)], [False, True, False, False], 78, False, [False, False, False, False], 2249, 'North', (6, 9))
Element 12: (2, (6, 9), ['%', '', '%', ''], [(9, 8), (1, 11), (16, 5)], [True, False, True, False], 76, False, [False, False, False, False], 2258, 'East', (7, 9))
Element 13: (2, (7, 9), ['', '', '%', ''], [(9, 8), (1, 10), (15, 5)], [False, False, True, False], 74, False, [False, False, False, False], 2277, 'East', (8, 9))
Element 14: (2, (8, 9), ['', '', '%', '%'], [(10, 8), (2, 10), (15, 6)], [False, False, True, True], 72, False, [False, False, False, False], 2296, 'West', (7, 9))
Element 15: (2, (7, 9), ['', '', '%', ''], [(10, 7), (3, 10), (15, 7)], [False, False, True, False], 70, False, [False, False, False, False], 2315, 'West', (6, 9))
Element 16: (2, (6, 9), ['%', '', '%', ''], [(9, 7), (2, 10), (15, 8)], [True, False, True, False], 68, False, [False, False, False, False], 2324, 'South', (6, 8))
Element 17: (2, (6, 8), ['', '%', '', ''], [(9, 6), (1, 10), (14, 8)], [False, True, False, False], 66, False, [False, False, False, False], 2343, 'East', (7, 8))
Element 18: (2, (7, 8), ['', '%', '', ''], [(9, 5), (1, 11), (14, 7)], [False, True, False, False], 64, False, [False, False, False, False], 2362, 'North', (7, 9))
Element 19: (2, (7, 9), ['', '', '%', ''], [(10, 5), (2, 11), (14, 8)], [False, False, True, False], 62, False, [False, False, False, False], 3361, 'South', (7, 8))
Element 20: (2, (7, 8), ['', '%', '', ''], [(10, 4), (2, 10), (13, 8)], [False, True, False, False], 60, False, [False, False, False, False], 3380, 'East', (8, 8))
Element 21: (2, (8, 8), ['', '%', '', ''], [(11, 4), (2, 11), (14, 8)], [False, True, False, False], 58, False, [False, False, False, False], 3389, 'North', (8, 9))
Element 22: (2, (8, 9), ['', '', '%', '%'], [(12, 4), (2, 12), (15, 8)], [False, False, True, True], 56, False, [False, False, False, False], 3398, 'South', (8, 8))
Element 23: (2, (8, 8), ['', '%', '', ''], [(13, 4), (1, 12), (15, 7)], [False, True, False, False], 54, False, [False, False, False, False], 3407, 'East', (9, 8))
Element 24: (2, (9, 8), ['', '', '%', ''], [(14, 4), (2, 12), (14, 7)], [False, False, True, False], 52, False, [False, False, False, False], 3416, 'East', (10, 8))
Element 25: (2, (10, 8), ['', '', '%', '%'], [(15, 4), (3, 12), (15, 7)], [False, False, True, True], 50, False, [False, False, False, False], 3425, 'South', (10, 7))
