Element 1: (2, (2, 7), ['.', '', 'F', '.'], [(16, 13), (3, 6), (10, 8)], [False, False, False, False], 98, False, [True, False, False, True], 19, 'North', (2, 8))
Element 2: (2, (2, 8), ['F', '', '%', '%'], [(17, 13), (4, 6), (10, 7)], [False, False, True, True], 96, False, [False, False, False, False], 1048, 'West', (1, 8))
Element 3: (2, (1, 8), ['%', '.', '%', ''], [(18, 13), (5, 6), (9, 7)], [True, False, True, False], 94, False, [False, True, False, False], 2077, 'South', (1, 7))
Element 4: (2, (1, 7), ['%', '.', '', ''], [(18, 12), (6, 6), (9, 8)], [True, False, False, False], 92, False, [False, True, False, False], 2116, 'South', (1, 6))
Element 5: (2, (1, 6), ['%', '.', '', ''], [(18, 11), (6, 5), (8, 8)], [True, False, False, False], 90, False, [False, True, False, False], 2155, 'South', (1, 5))
Element 6: (2, (1, 5), ['%', '.', '', '.'], [(18, 10), (6, 4), (8, 9)], [True, False, False, False], 88, False, [False, True, False, True], 2194, 'East', (2, 5))
Element 7: (2, (2, 5), ['', '.', '', '.'], [(17, 10), (6, 3), (7, 9)], [False, False, False, False], 86, False, [False, True, False, True], 2233, 'East', (3, 5))
Element 8: (2, (3, 5), ['', '.', '', '.'], [(17, 11), (7, 3), (7, 8)], [False, False, False, False], 84, False, [False, True, False, True], 2272, 'East', (4, 5))
Element 9: (2, (4, 5), ['', '.', '', '.'], [(17, 12), (8, 3), (6, 8)], [False, False, False, False], 82, False, [False, True, False, True], 2311, 'East', (5, 5))
Element 10: (2, (5, 5), ['', '%', '', ''], [(16, 12), (9, 3), (6, 9)], [False, True, False, False], 80, False, [False, False, False, False], 2350, 'East', (6, 5))
Element 11: (2, (6, 5), ['', '', '', '%'], [(16, 11), (9, 2), (6, 8)], [False, False, False, True], 78, False, [False, False, False, False], 3359, 'North', (6, 6))
Element 12: (2, (6, 6), ['', '', '%', '%'], [(16, 10), (10, 2), (5, 8)], [False, False, True, True], 76, False, [False, False, False, False], 3388, 'West', (5, 6))
Element 13: (2, (5, 6), ['', '', '%', ''], [(16, 9), (11, 2), (4, 8)], [False, False, True, False], 74, False, [False, False, False, False], 3417, 'West', (4, 6))
Element 14: (2, (4, 6), ['', '', '%', ''], [(17, 9), (12, 2), (5, 8)], [False, False, True, False], 72, False, [False, False, False, False], 3436, 'West', (3, 6))
Element 15: (2, (3, 6), ['', '', '.', ''], [(16, 9), (13, 2), (6, 8)], [False, False, False, False], 70, False, [False, False, True, False], 3445, 'North', (3, 7))
Element 16: (2, (3, 7), ['', '', '%', '%'], [(16, 10), (14, 2), (7, 8)], [False, False, True, True], 68, False, [False, False, False, False], 3464, 'South', (3, 6))
Element 17: (2, (3, 6), ['', '', '', ''], [(16, 11), (14, 3), (7, 9)], [False, False, False, False], 66, False, [False, False, False, False], 3473, 'West', (2, 6))
Element 18: (2, (2, 6), ['', '', '', ''], [(16, 12), (14, 4), (6, 9)], [False, False, False, False], 64, False, [False, False, False, False], 3482, 'East', (3, 6))
Element 19: (2, (3, 6), ['', '', '', ''], [(15, 12), (15, 4), (7, 9)], [False, False, False, False], 62, False, [False, False, False, False], 3501, 'East', (4, 6))
Element 20: (2, (4, 6), ['', '', '%', ''], [(16, 12), (16, 4), (8, 9)], [False, False, True, False], 60, False, [False, False, False, False], 3510, 'East', (5, 6))
Element 21: (2, (5, 6), ['', '', '%', ''], [(17, 12), (17, 4), (8, 8)], [False, False, True, False], 58, False, [False, False, False, False], 3519, 'East', (6, 6))
Element 22: (2, (6, 6), ['', '', '%', '%'], [(17, 11), (18, 4), (7, 8)], [False, False, True, True], 56, False, [False, False, False, False], 3528, 'South', (6, 5))
Element 23: (2, (6, 5), ['', '', '', '%'], [(16, 11), (18, 5), (8, 8)], [False, False, False, True], 54, False, [False, False, False, False], 3537, 'South', (6, 4))
Element 24: (2, (6, 4), ['%', '', '', '%'], [(17, 11), (17, 5), (9, 8)], [True, False, False, True], 52, False, [False, False, False, False], 3546, 'South', (6, 3))
Element 25: (2, (6, 3), ['.', '.', '', ''], [(17, 10), (17, 6), (9, 7)], [False, False, False, False], 50, False, [True, True, False, False], 3555, 'South', (6, 2))
Element 26: (2, (6, 2), ['.', '.', '', '.'], [(17, 9), (17, 7), (9, 6)], [False, False, False, False], 48, False, [True, True, False, True], 3584, 'East', (7, 2))
Element 27: (2, (7, 2), ['', '.', '', '.'], [(17, 10), (18, 7), (9, 5)], [False, False, False, False], 46, False, [False, True, False, True], 3613, 'East', (8, 2))
Element 28: (2, (8, 2), ['', '.', '', ''], [(16, 10), (17, 7), (10, 5)], [False, False, False, False], 44, False, [False, True, False, False], 4622, 'South', (8, 1))
Element 29: (2, (8, 1), ['.', '%', '', '.'], [(17, 10), (17, 6), (10, 4)], [False, True, False, False], 42, False, [True, False, False, True], 4641, 'East', (9, 1))
Element 30: (2, (9, 1), ['', '%', '', '%'], [(18, 10), (16, 6), (11, 4)], [False, True, False, True], 40, False, [False, False, False, False], 4670, 'North', (9, 2))
Element 31: (2, (9, 2), ['', '', '', ''], [(18, 11), (16, 5), (12, 4)], [False, False, False, False], 38, False, [False, False, False, False], 4689, 'East', (10, 2))
Element 32: (2, (10, 2), ['', '%', '.', ''], [(17, 11), (15, 5), (13, 4)], [False, True, False, False], 36, False, [False, False, True, False], 4708, 'North', (10, 3))
Element 33: (2, (10, 3), ['', '', '', '.'], [(18, 11), (15, 6), (13, 5)], [False, False, False, False], 34, False, [False, False, False, True], 4737, 'East', (11, 3))
Element 34: (2, (11, 3), ['', '', '', '%'], [(18, 12), (15, 7), (14, 5)], [False, False, False, True], 32, False, [False, False, False, False], 4766, 'North', (11, 4))
Element 35: (2, (11, 4), ['', '', '%', ''], [(17, 12), (15, 8), (15, 5)], [False, False, True, False], 30, False, [False, False, False, False], 4775, 'East', (12, 4))
Element 36: (2, (12, 4), ['', '%', '.', ''], [(18, 12), (14, 8), (16, 5)], [False, True, False, False], 28, False, [False, False, True, False], 4784, 'North', (12, 5))
Element 37: (2, (12, 5), ['%', '', '.', ''], [(18, 13), (14, 7), (17, 5)], [True, False, False, False], 26, False, [False, False, True, False], 4803, 'North', (12, 6))
Element 38: (2, (12, 6), ['.', '', '%', '.'], [(17, 13), (14, 8), (18, 5)], [False, False, True, False], 24, False, [True, False, False, True], 4812, 'East', (13, 6))
Element 39: (2, (13, 6), ['', '', '%', '%'], [(17, 12), (13, 8), (18, 4)], [False, False, True, True], 22, False, [False, False, False, False], 4831, 'South', (13, 5))
Element 40: (2, (13, 5), ['', '', '', ''], [(17, 13), (14, 8), (18, 3)], [False, False, False, False], 20, False, [False, False, False, False], 4840, 'East', (14, 5))
Element 41: (2, (14, 5), ['', '', '%', ''], [(16, 13), (15, 8), (17, 3)], [False, False, True, False], 18, False, [False, False, False, False], 4849, 'East', (15, 5))
Element 42: (2, (15, 5), ['', '', '', ''], [(16, 12), (15, 7), (16, 3)], [False, False, False, False], 16, False, [False, False, False, False], 4858, 'East', (16, 5))
Element 43: (2, (16, 5), ['', 'G', '', ''], [(16, 13), (14, 7), (16, 4)], [False, False, False, False], 14, False, [False, False, False, False], 4857, 'East', (17, 5))
Element 44: (2, (17, 5), ['', 'G', '', ''], [(15, 13), (15, 7), (17, 4)], [False, False, False, False], 12, False, [False, False, False, False], 4856, 'East', (18, 5))
Element 45: (2, (18, 5), ['', '', '%', '%'], [(15, 12), (15, 6), (16, 4)], [False, False, True, True], 10, False, [False, False, False, False], 4855, 'South', (18, 4))
Element 46: (2, (18, 4), ['', '', '', '%'], [(15, 13), (15, 5), (15, 4)], [False, False, False, True], 8, False, [False, False, False, False], 4854, 'South', (18, 3))
Element 47: (2, (18, 3), ['', '%', '', '%'], [(14, 13), (14, 5), (14, 4)], [False, True, False, True], 6, False, [False, False, False, False], 4863, 'West', (17, 3))
Element 48: (2, (17, 3), ['', '%', '', ''], [(13, 13), (13, 5), (14, 3)], [False, True, False, False], 4, False, [False, False, False, False], 4872, 'North', (17, 4))
Element 49: (2, (17, 4), ['', '', '', ''], [(13, 12), (13, 6), (13, 3)], [False, False, False, False], 2, False, [False, False, False, False], 4891, 'West', (16, 4))
Element 50: (2, (16, 4), ['', '', '', ''], [(13, 12), (13, 6), (13, 2)], [False, False, False, False], 0, False, [False, False, False, False], 4890, 'Stop', (16, 4))
Element 51: #0#
