Element 1: (2, (9, 1), ['.', '%', '%', 'F'], [(10, 6), (8, 6), (14, 1)], [False, True, True, False], 98, False, [True, False, False, False], 19, 'East', (10, 1))
Element 2: (2, (10, 1), ['', '%', '.', '.'], [(11, 6), (8, 7), (15, 1)], [False, True, False, False], 96, False, [False, False, True, True], 2038, 'East', (11, 1))
Element 3: (2, (11, 1), ['', '%', '.', '.'], [(12, 6), (8, 8), (16, 1)], [False, True, False, False], 94, False, [False, False, True, True], 3067, 'East', (12, 1))
Element 4: (2, (12, 1), ['', '%', '%', '.'], [(13, 6), (9, 8), (17, 1)], [False, True, True, False], 92, False, [False, False, False, True], 3106, 'East', (13, 1))
Element 5: (2, (13, 1), ['', '%', '%', ''], [(14, 6), (10, 8), (18, 1)], [False, True, True, False], 90, False, [False, False, False, False], 3145, 'East', (14, 1))
Element 6: (2, (14, 1), ['', '%', '%', ''], [(15, 6), (9, 8), (17, 1)], [False, True, True, False], 88, False, [False, False, False, False], 3154, 'East', (15, 1))
Element 7: (2, (15, 1), ['', '%', '.', ''], [(16, 6), (8, 8), (17, 2)], [False, True, False, False], 86, False, [False, False, True, False], 3173, 'North', (15, 2))
Element 8: (2, (15, 2), ['%', '', '.', '.'], [(17, 6), (8, 7), (17, 3)], [True, False, False, False], 84, False, [False, False, True, True], 3202, 'East', (16, 2))
Element 9: (2, (16, 2), ['', '', '.', ''], [(18, 6), (7, 7), (17, 4)], [False, False, False, False], 82, False, [False, False, True, False], 3241, 'North', (16, 3))
Element 10: (2, (16, 3), ['.', '', '.', ''], [(17, 6), (6, 7), (18, 4)], [False, False, False, False], 80, False, [True, False, True, False], 3270, 'North', (16, 4))
Element 11: (2, (16, 4), ['%', '', '.', 'G'], [(17, 5), (6, 6), (17, 4)], [True, False, False, False], 78, False, [False, False, True, False], 3299, 'North', (16, 5))
Element 12: #1#
