Element 1: (2, (2, 8), ['%', '%', '.', '.'], [(5, 12), (2, 5), (16, 2)], [True, True, False, False], 98, False, [False, False, True, True], 19, 'North', (2, 9))
Element 2: (2, (2, 9), ['.', '', '%', '%'], [(6, 12), (3, 5), (17, 2)], [False, False, True, True], 96, False, [True, False, False, False], 58, 'West', (1, 9))
Element 3: (2, (1, 9), ['%', '%', '%', ''], [(6, 13), (4, 5), (17, 3)], [True, True, True, False], 94, False, [False, False, False, False], 97, 'East', (2, 9))
Element 4: (2, (2, 9), ['', '', '%', '%'], [(7, 13), (3, 5), (17, 4)], [False, False, True, True], 92, False, [False, False, False, False], 116, 'South', (2, 8))
Element 5: (2, (2, 8), ['%', '%', '', '.'], [(6, 13), (2, 5), (18, 4)], [True, True, False, False], 90, False, [False, False, False, True], 125, 'East', (3, 8))
Element 6: (2, (3, 8), ['', '%', '%', '.'], [(5, 13), (1, 5), (17, 4)], [False, True, True, False], 88, False, [False, False, False, True], 144, 'East', (4, 8))
Element 7: (2, (4, 8), ['', '.', '%', '.'], [(6, 13), (1, 5), (17, 5)], [False, False, True, False], 86, False, [False, True, False, True], 163, 'East', (5, 8))
Element 8: (2, (5, 8), ['', '.', '%', '%'], [(6, 12), (2, 5), (17, 6)], [False, False, True, True], 84, False, [False, True, False, False], 182, 'South', (5, 7))
Element 9: (2, (5, 7), ['.', '%', '', '.'], [(6, 11), (3, 5), (18, 6)], [False, True, False, False], 82, False, [True, False, False, True], 211, 'East', (6, 7))
Element 10: (2, (6, 7), ['', '.', '%', '.'], [(7, 11), (4, 5), (17, 6)], [False, False, True, False], 80, False, [False, True, False, True], 230, 'East', (7, 7))
Element 11: (2, (7, 7), ['', '.', '%', 'F'], [(7, 10), (3, 5), (16, 6)], [False, False, True, False], 78, False, [False, True, False, False], 259, 'East', (8, 7))
Element 12: (2, (8, 7), ['', '.', '.', '%'], [(8, 10), (2, 5), (16, 7)], [False, False, False, True], 76, False, [False, True, True, False], 1278, 'North', (8, 8))
Element 13: (2, (8, 8), ['%', '', '%', '.'], [(9, 10), (1, 5), (15, 7)], [True, False, True, False], 74, False, [False, False, False, True], 1307, 'East', (9, 8))
Element 14: (2, (9, 8), ['', '%', '%', '.'], [(9, 11), (1, 5), (15, 6)], [False, True, True, False], 72, False, [False, False, False, True], 1336, 'East', (10, 8))
Element 15: (2, (10, 8), ['', '%', '%', '%'], [(10, 11), (2, 5), (15, 5)], [False, True, True, True], 70, False, [False, False, False, False], 1365, 'West', (9, 8))
Element 16: (2, (9, 8), ['', '%', '%', ''], [(11, 11), (3, 5), (16, 5)], [False, True, True, False], 68, False, [False, False, False, False], 1384, 'West', (8, 8))
Element 17: (2, (8, 8), ['%', '', '%', ''], [(12, 11), (4, 5), (16, 4)], [True, False, True, False], 66, False, [False, False, False, False], 1403, 'South', (8, 7))
Element 18: (2, (8, 7), ['', '.', '', '%'], [(13, 11), (3, 5), (16, 3)], [False, False, False, True], 64, False, [False, True, False, False], 1422, 'South', (8, 6))
Element 19: (2, (8, 6), ['.', '.', '', '.'], [(12, 11), (2, 5), (15, 3)], [False, False, False, False], 62, False, [True, True, False, True], 1441, 'East', (9, 6))
Element 20: (2, (9, 6), ['', '.', '%', '.'], [(11, 11), (1, 5), (15, 2)], [False, False, True, False], 60, False, [False, True, False, True], 1460, 'East', (10, 6))
Element 21: (2, (10, 6), ['', '.', '%', '.'], [(11, 12), (1, 5), (15, 1)], [False, False, True, False], 58, False, [False, True, False, True], 1489, 'East', (11, 6))
Element 22: (2, (11, 6), ['', '%', '.', 'F'], [(11, 13), (2, 5), (16, 1)], [False, True, False, False], 56, False, [False, False, True, False], 1518, 'East', (12, 6))
Element 23: (2, (12, 6), ['', '%', '.', '.'], [(12, 13), (3, 5), (17, 1)], [False, True, False, False], 54, False, [False, False, True, True], 2537, 'East', (13, 6))
Element 24: (2, (13, 6), ['', '.', '.', '.'], [(13, 13), (4, 5), (18, 1)], [False, False, False, False], 52, False, [False, True, True, True], 2566, 'East', (14, 6))
Element 25: (2, (14, 6), ['', '.', '.', ''], [(14, 13), (3, 5), (17, 1)], [False, False, False, False], 50, False, [False, True, True, False], 2585, 'North', (14, 7))
Element 26: (2, (14, 7), ['.', '', '%', ''], [(14, 12), (2, 5), (16, 1)], [False, False, True, False], 48, False, [True, False, False, False], 2604, 'West', (13, 7))
Element 27: (2, (13, 7), ['.', '', '.', ''], [(15, 12), (1, 5), (15, 1)], [False, False, False, False], 46, False, [True, False, True, False], 2623, 'North', (13, 8))
Element 28: (2, (13, 8), ['.', '', '.', '%'], [(16, 12), (1, 5), (14, 1)], [False, False, False, True], 44, False, [True, False, True, False], 2652, 'North', (13, 9))
Element 29: (2, (13, 9), ['.', '', '%', '.'], [(17, 12), (2, 5), (13, 1)], [False, False, True, False], 42, False, [True, False, False, True], 2681, 'East', (14, 9))
Element 30: (2, (14, 9), ['', '%', '%', '.'], [(18, 12), (3, 5), (12, 1)], [False, True, True, False], 40, False, [False, False, False, True], 2710, 'East', (15, 9))
Element 31: (2, (15, 9), ['', '%', '.', '.'], [(18, 13), (4, 5), (11, 1)], [False, True, False, False], 38, False, [False, False, True, True], 2739, 'East', (16, 9))
Element 32: (2, (16, 9), ['', '%', '.', '.'], [(17, 13), (3, 5), (10, 1)], [False, True, False, False], 36, False, [False, False, True, True], 3758, 'East', (17, 9))
Element 33: (2, (17, 9), ['', '.', '.', '.'], [(16, 13), (2, 5), (10, 2)], [False, False, False, False], 34, False, [False, True, True, True], 3787, 'East', (18, 9))
Element 34: (2, (18, 9), ['', '.', '.', '%'], [(17, 13), (1, 5), (11, 2)], [False, False, False, True], 32, False, [False, True, True, False], 3806, 'North', (18, 10))
Element 35: (2, (18, 10), ['.', '', '.', '%'], [(18, 13), (1, 5), (11, 3)], [False, False, False, True], 30, False, [True, False, True, False], 3825, 'North', (18, 11))
Element 36: (2, (18, 11), ['.', '', 'G', '%'], [(18, 12), (2, 5), (12, 3)], [False, False, False, True], 28, False, [True, False, False, False], 3844, 'West', (17, 11))
Element 37: (2, (17, 11), ['.', '.', '', 'G'], [(18, 11), (3, 5), (13, 3)], [False, False, False, False], 26, False, [True, True, False, False], 3863, 'South', (17, 10))
Element 38: (2, (17, 10), ['.', '', '', 'G'], [(18, 10), (4, 5), (14, 3)], [False, False, False, False], 24, False, [True, False, False, False], 3882, 'West', (16, 10))
Element 39: (2, (16, 10), ['.', '', '.', ''], [(18, 9), (3, 5), (14, 4)], [False, False, False, False], 22, False, [True, False, True, False], 3901, 'North', (16, 11))
Element 40: (2, (16, 11), ['.', '', '', ''], [(18, 8), (2, 5), (14, 5)], [False, False, False, False], 20, False, [True, False, False, False], 3930, 'West', (15, 11))
Element 41: (2, (15, 11), ['%', '.', '', ''], [(17, 8), (1, 5), (13, 5)], [True, False, False, False], 18, False, [False, True, False, False], 3959, 'South', (15, 10))
Element 42: (2, (15, 10), ['%', '', '', ''], [(17, 9), (1, 5), (13, 4)], [True, False, False, False], 16, False, [False, False, False, False], 3978, 'North', (15, 11))
Element 43: (2, (15, 11), ['%', '', '', ''], [(17, 10), (2, 5), (12, 4)], [True, False, False, False], 14, False, [False, False, False, False], 3987, 'North', (15, 12))
Element 44: (2, (15, 12), ['', '', '%', ''], [(17, 11), (3, 5), (11, 4)], [False, False, True, False], 12, False, [False, False, False, False], 3996, 'East', (16, 12))
Element 45: (2, (16, 12), ['', 'G', '', ''], [(16, 11), (4, 5), (10, 4)], [False, False, False, False], 10, False, [False, False, False, False], 4005, 'East', (17, 12))
Element 46: (2, (17, 12), ['', '', '', ''], [(16, 10), (3, 5), (10, 5)], [False, False, False, False], 8, False, [False, False, False, False], 4014, 'East', (18, 12))
Element 47: (2, (18, 12), ['', '', '', '%'], [(16, 9), (2, 5), (9, 5)], [False, False, False, True], 6, False, [False, False, False, False], 4023, 'North', (18, 13))
Element 48: (2, (18, 13), ['', '', '%', '%'], [(15, 9), (1, 5), (9, 4)], [False, False, True, True], 4, False, [False, False, False, False], 4032, 'West', (17, 13))
Element 49: (2, (17, 13), ['', '', '%', ''], [(15, 10), (1, 5), (9, 3)], [False, False, True, False], 2, False, [False, False, False, False], 4041, 'West', (16, 13))
Element 50: (2, (16, 13), ['%', '', '%', ''], [(15, 10), (1, 5), (8, 3)], [True, False, True, False], 0, False, [False, False, False, False], 4050, 'Stop', (16, 13))
Element 51: #0#
