Element 1: (2, (7, 5), ['F', '.', '.', '.'], [(5, 10), (6, 13), (10, 4)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'West', (6, 5))
Element 2: (2, (6, 5), ['%', '.', '.', ''], [(6, 10), (7, 13), (11, 4)], [True, False, False, False], 96, False, [False, True, True, False], 1048, 'North', (6, 6))
Element 3: (2, (6, 6), ['%', '', '.', '.'], [(7, 10), (6, 13), (12, 4)], [True, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (7, 6))
Element 4: (2, (7, 6), ['', '', '.', '.'], [(8, 10), (6, 12), (13, 4)], [False, False, False, False], 92, False, [False, False, True, True], 1116, 'East', (8, 6))
Element 5: (2, (8, 6), ['', '.', 'F', '.'], [(9, 10), (6, 11), (14, 4)], [False, False, False, False], 90, False, [False, True, False, True], 1155, 'North', (8, 7))
Element 6: (2, (8, 7), ['.', '', '.', '%'], [(9, 11), (7, 11), (14, 5)], [False, False, False, True], 88, False, [True, False, True, False], 2184, 'North', (8, 8))
Element 7: (2, (8, 8), ['%', '', '%', '.'], [(10, 11), (7, 10), (15, 5)], [True, False, True, False], 86, False, [False, False, False, True], 2213, 'East', (9, 8))
Element 8: (2, (9, 8), ['', '%', '%', '.'], [(11, 11), (8, 10), (16, 5)], [False, True, True, False], 84, False, [False, False, False, True], 2242, 'East', (10, 8))
Element 9: (2, (10, 8), ['', '%', '%', '%'], [(12, 11), (9, 10), (17, 5)], [False, True, True, True], 82, False, [False, False, False, False], 2271, 'West', (9, 8))
Element 10: (2, (9, 8), ['', '%', '%', ''], [(13, 11), (9, 11), (17, 6)], [False, True, True, False], 80, False, [False, False, False, False], 2290, 'West', (8, 8))
Element 11: (2, (8, 8), ['%', '', '%', ''], [(12, 11), (9, 12), (18, 6)], [True, False, True, False], 78, False, [False, False, False, False], 2309, 'South', (8, 7))
Element 12: (2, (8, 7), ['.', '', '', '%'], [(11, 11), (10, 12), (17, 6)], [False, False, False, True], 76, False, [True, False, False, False], 2318, 'West', (7, 7))
Element 13: (2, (7, 7), ['.', '', '%', ''], [(11, 12), (10, 11), (16, 6)], [False, False, True, False], 74, False, [True, False, False, False], 2347, 'West', (6, 7))
Element 14: (2, (6, 7), ['.', '', '%', ''], [(11, 13), (11, 11), (16, 7)], [False, False, True, False], 72, False, [True, False, False, False], 2376, 'West', (5, 7))
Element 15: (2, (5, 7), ['.', '%', '.', ''], [(12, 13), (12, 11), (15, 7)], [False, True, False, False], 70, False, [True, False, True, False], 2405, 'North', (5, 8))
Element 16: (2, (5, 8), ['.', '', '%', '%'], [(13, 13), (13, 11), (15, 6)], [False, False, True, True], 68, False, [True, False, False, False], 2434, 'West', (4, 8))
Element 17: (2, (4, 8), ['.', '.', '%', ''], [(14, 13), (12, 11), (14, 6)], [False, False, True, False], 66, False, [True, True, False, False], 2463, 'South', (4, 7))
Element 18: (2, (4, 7), ['%', '%', '', ''], [(14, 12), (11, 11), (14, 7)], [True, True, False, False], 64, False, [False, False, False, False], 2492, 'North', (4, 8))
Element 19: (2, (4, 8), ['.', '', '%', ''], [(15, 12), (11, 12), (13, 7)], [False, False, True, False], 62, False, [True, False, False, False], 2511, 'West', (3, 8))
Element 20: (2, (3, 8), ['.', '%', '%', ''], [(16, 12), (11, 13), (13, 8)], [False, True, True, False], 60, False, [True, False, False, False], 2540, 'West', (2, 8))
Element 21: (2, (2, 8), ['%', '%', '.', ''], [(17, 12), (12, 13), (13, 9)], [True, True, False, False], 58, False, [False, False, True, False], 2569, 'North', (2, 9))
Element 22: (2, (2, 9), ['.', '', '%', '%'], [(18, 12), (13, 13), (14, 9)], [False, False, True, True], 56, False, [True, False, False, False], 2598, 'West', (1, 9))
Element 23: (2, (1, 9), ['%', '%', '%', ''], [(18, 13), (14, 13), (15, 9)], [True, True, True, False], 54, False, [False, False, False, False], 2627, 'East', (2, 9))
Element 24: (2, (2, 9), ['', '', '%', '%'], [(17, 13), (14, 12), (16, 9)], [False, False, True, True], 52, False, [False, False, False, False], 2646, 'South', (2, 8))
Element 25: (2, (2, 8), ['%', '%', '', ''], [(16, 13), (15, 12), (17, 9)], [True, True, False, False], 50, False, [False, False, False, False], 2665, 'East', (3, 8))
Element 26: (2, (3, 8), ['', '%', '%', ''], [(17, 13), (15, 11), (18, 9)], [False, True, True, False], 48, False, [False, False, False, False], 2684, 'East', (4, 8))
Element 27: (2, (4, 8), ['', '', '%', ''], [(18, 13), (16, 11), (18, 10)], [False, False, True, False], 46, False, [False, False, False, False], 2703, 'East', (5, 8))
Element 28: (2, (5, 8), ['', '', '%', '%'], [(18, 12), (17, 11), (18, 11)], [False, False, True, True], 44, False, [False, False, False, False], 2722, 'South', (5, 7))
Element 29: (2, (5, 7), ['', '%', '', ''], [(18, 11), (17, 10), (18, 10)], [False, True, False, False], 42, False, [False, False, False, False], 2731, 'West', (4, 7))
Element 30: (2, (4, 7), ['%', '%', '', ''], [(18, 10), (16, 10), (18, 9)], [True, True, False, False], 40, False, [False, False, False, False], 2740, 'East', (5, 7))
Element 31: (2, (5, 7), ['', '%', '', ''], [(18, 9), (15, 10), (17, 9)], [False, True, False, False], 38, False, [False, False, False, False], 2749, 'East', (6, 7))
Element 32: (2, (6, 7), ['', '', '%', ''], [(18, 8), (15, 9), (16, 9)], [False, False, True, False], 36, False, [False, False, False, False], 2758, 'East', (7, 7))
Element 33: (2, (7, 7), ['', '', '%', ''], [(17, 8), (16, 9), (16, 10)], [False, False, True, False], 34, False, [False, False, False, False], 2767, 'East', (8, 7))
