Element 1: (2, (8, 8), ['%', 'G', '%', '.'], [(3, 8), (8, 7), (17, 2)], [True, False, True, False], 98, False, [False, False, False, True], 1009, 'East', (9, 8))
Element 2: (2, (9, 8), ['', '%', '%', '.'], [(4, 8), (7, 7), (17, 3)], [False, True, True, False], 96, False, [False, False, False, True], 1048, 'East', (10, 8))
Element 3: (2, (10, 8), ['', '%', '%', '%'], [(5, 8), (7, 6), (17, 4)], [False, True, True, True], 94, False, [False, False, False, False], 1087, 'West', (9, 8))
Element 4: (2, (9, 8), ['', '%', '%', ''], [(5, 7), (7, 5), (18, 4)], [False, True, True, False], 92, False, [False, False, False, False], 1116, 'West', (8, 8))
Element 5: (2, (8, 8), ['%', '', '%', ''], [(6, 7), (6, 5), (17, 4)], [True, False, True, False], 90, False, [False, False, False, False], 2125, 'Stop', (8, 8))
Element 6: (2, (8, 8), ['%', '', '%', ''], [(6, 6), (6, 4), (17, 5)], [True, False, True, False], 88, False, [False, False, False, False], 2154, 'East', (9, 8))
Element 7: (2, (9, 8), ['', '%', '%', ''], [(7, 6), (7, 4), (17, 6)], [False, True, True, False], 86, False, [False, False, False, False], 2173, 'East', (10, 8))
Element 8: (2, (10, 8), ['', '%', '%', '%'], [(8, 6), (8, 4), (18, 6)], [False, True, True, True], 84, False, [False, False, False, False], 2192, 'West', (9, 8))
Element 9: (2, (9, 8), ['', '%', '%', ''], [(9, 6), (9, 4), (17, 6)], [False, True, True, False], 82, False, [False, False, False, False], 2211, 'West', (8, 8))
Element 10: (2, (8, 8), ['%', '', '%', ''], [(10, 6), (10, 4), (16, 6)], [True, False, True, False], 80, False, [False, False, False, False], 2240, 'South', (8, 7))
Element 11: (2, (8, 7), ['', '', '', '%'], [(11, 6), (11, 4), (16, 7)], [False, False, False, True], 78, False, [False, False, False, False], 2269, 'South', (8, 6))
Element 12: (2, (8, 6), ['', '.', '', ''], [(12, 6), (12, 4), (15, 7)], [False, False, False, False], 76, False, [False, True, False, False], 3288, 'South', (8, 5))
Element 13: (2, (8, 5), ['', '', '', '.'], [(13, 6), (13, 4), (15, 6)], [False, False, False, False], 74, False, [False, False, False, True], 3327, 'East', (9, 5))
Element 14: (2, (9, 5), ['', '', '', '.'], [(14, 6), (14, 4), (15, 5)], [False, False, False, False], 72, False, [False, False, False, True], 3366, 'East', (10, 5))
Element 15: (2, (10, 5), ['', '', '', '%'], [(14, 7), (14, 5), (16, 5)], [False, False, False, True], 70, False, [False, False, False, False], 3405, 'North', (10, 6))
Element 16: (2, (10, 6), ['', '', '%', ''], [(13, 7), (13, 5), (16, 4)], [False, False, True, False], 68, False, [False, False, False, False], 3434, 'East', (11, 6))
Element 17: (2, (11, 6), ['', '%', '.', ''], [(13, 8), (13, 6), (16, 3)], [False, True, False, False], 66, False, [False, False, True, False], 3453, 'North', (11, 7))
Element 18: (2, (11, 7), ['%', '', '%', '.'], [(13, 9), (14, 6), (16, 2)], [True, False, True, False], 64, False, [False, False, False, True], 3482, 'East', (12, 7))
Element 19: (2, (12, 7), ['', '', '.', ''], [(14, 9), (15, 6), (16, 1)], [False, False, False, False], 62, False, [False, False, True, False], 3511, 'North', (12, 8))
Element 20: (2, (12, 8), ['%', '', '.', ''], [(15, 9), (16, 6), (17, 1)], [True, False, False, False], 60, False, [False, False, True, False], 3540, 'North', (12, 9))
Element 21: (2, (12, 9), ['.', '', '%', ''], [(16, 9), (17, 6), (18, 1)], [False, False, True, False], 58, False, [True, False, False, False], 3569, 'West', (11, 9))
Element 22: (2, (11, 9), ['%', '%', '%', ''], [(17, 9), (18, 6), (17, 1)], [True, True, True, False], 56, False, [False, False, False, False], 3588, 'East', (12, 9))
Element 23: (2, (12, 9), ['', '', '%', ''], [(18, 9), (17, 6), (16, 1)], [False, False, True, False], 54, False, [False, False, False, False], 3597, 'East', (13, 9))
Element 24: (2, (13, 9), ['', '', '%', ''], [(18, 10), (17, 5), (15, 1)], [False, False, True, False], 52, False, [False, False, False, False], 3616, 'East', (14, 9))
Element 25: (2, (14, 9), ['', '%', '%', ''], [(18, 11), (17, 4), (15, 2)], [False, True, True, False], 50, False, [False, False, False, False], 3635, 'East', (15, 9))
Element 26: (2, (15, 9), ['', '%', '.', ''], [(18, 12), (18, 4), (15, 3)], [False, True, False, False], 48, False, [False, False, True, False], 3654, 'North', (15, 10))
Element 27: (2, (15, 10), ['%', '', '.', '.'], [(18, 13), (17, 4), (14, 3)], [True, False, False, False], 46, False, [False, False, True, True], 3683, 'East', (16, 10))
Element 28: (2, (16, 10), ['', '', '.', '.'], [(17, 13), (17, 3), (13, 3)], [False, False, False, False], 44, False, [False, False, True, True], 3712, 'East', (17, 10))
Element 29: (2, (17, 10), ['', '', '.', ''], [(17, 12), (17, 2), (12, 3)], [False, False, False, False], 42, False, [False, False, True, False], 3741, 'North', (17, 11))
Element 30: (2, (17, 11), ['.', '', '', ''], [(16, 12), (17, 1), (11, 3)], [False, False, False, False], 40, False, [True, False, False, False], 3770, 'West', (16, 11))
Element 31: (2, (16, 11), ['.', '', '', ''], [(16, 13), (18, 1), (11, 2)], [False, False, False, False], 38, False, [True, False, False, False], 3799, 'West', (15, 11))
Element 32: (2, (15, 11), ['%', '', '.', ''], [(16, 12), (17, 1), (11, 1)], [True, False, False, False], 36, False, [False, False, True, False], 3818, 'North', (15, 12))
Element 33: #1#
