Element 1: (0, (12, 13), ['.', '%', '%', '.'], [(8, 5), (8, 6), (10, 4)], [False, True, True, False], 98, False, [True, False, False, True], 0, 'East', (13, 13))
Element 2: (0, (13, 13), ['', '%', '%', '.'], [(9, 5), (8, 7), (11, 4)], [False, True, True, False], 96, False, [False, False, False, True], 1029, 'East', (14, 13))
Element 3: (0, (14, 13), ['', '.', '%', '%'], [(10, 5), (8, 8), (12, 4)], [False, False, True, True], 94, False, [False, True, False, False], 1068, 'South', (14, 12))
Element 4: (0, (14, 12), ['%', '%', '', '.'], [(10, 6), (9, 8), (13, 4)], [True, True, False, False], 92, False, [False, False, False, True], 1107, 'East', (15, 12))
Element 5: (0, (15, 12), ['', '.', '%', '.'], [(11, 6), (10, 8), (14, 4)], [False, False, True, False], 90, False, [False, True, False, True], 1146, 'East', (16, 12))
Element 6: (0, (16, 12), ['', '.', '.', '.'], [(12, 6), (9, 8), (14, 5)], [False, False, False, False], 88, False, [False, True, True, True], 2165, 'East', (17, 12))
Element 7: (0, (17, 12), ['', '.', '.', '.'], [(13, 6), (8, 8), (15, 5)], [False, False, False, False], 86, False, [False, True, True, True], 2194, 'East', (18, 12))
Element 8: (0, (18, 12), ['', '.', '.', '%'], [(14, 6), (8, 7), (16, 5)], [False, False, False, True], 84, False, [False, True, True, False], 2223, 'North', (18, 13))
Element 9: (0, (18, 13), ['.', '', '%', '%'], [(15, 6), (7, 7), (17, 5)], [False, False, True, True], 82, False, [True, False, False, False], 2262, 'West', (17, 13))
Element 10: (0, (17, 13), ['.', '', '%', ''], [(16, 6), (7, 6), (17, 6)], [False, False, True, False], 80, False, [True, False, False, False], 2301, 'West', (16, 13))
Element 11: (0, (16, 13), ['%', '', '%', ''], [(16, 7), (7, 5), (18, 6)], [True, False, True, False], 78, False, [False, False, False, False], 2340, 'East', (17, 13))
Element 12: (0, (17, 13), ['', '', '%', ''], [(15, 7), (6, 5), (17, 6)], [False, False, True, False], 76, False, [False, False, False, False], 3349, 'East', (18, 13))
Element 13: (0, (18, 13), ['', '', '%', '%'], [(14, 7), (6, 6), (16, 6)], [False, False, True, True], 74, False, [False, False, False, False], 3368, 'South', (18, 12))
Element 14: (0, (18, 12), ['', '.', '', '%'], [(13, 7), (6, 7), (16, 7)], [False, False, False, True], 72, False, [False, True, False, False], 3387, 'South', (18, 11))
Element 15: (0, (18, 11), ['.', '.', '', '%'], [(13, 8), (5, 7), (15, 7)], [False, False, False, True], 70, False, [True, True, False, False], 3416, 'South', (18, 10))
Element 16: (0, (18, 10), ['.', '.', '', '%'], [(13, 9), (5, 8), (15, 6)], [False, False, False, True], 68, False, [True, True, False, False], 3445, 'South', (18, 9))
Element 17: (0, (18, 9), ['.', '.', '', '%'], [(14, 9), (4, 8), (14, 6)], [False, False, False, True], 66, False, [True, True, False, False], 3474, 'South', (18, 8))
Element 18: (0, (18, 8), ['.', '%', '', '%'], [(15, 9), (4, 7), (14, 7)], [False, True, False, True], 64, False, [True, False, False, False], 3503, 'West', (17, 8))
Element 19: (0, (17, 8), ['%', '%', '.', ''], [(16, 9), (4, 8), (13, 7)], [True, True, False, False], 62, False, [False, False, True, False], 3522, 'North', (17, 9))
Element 20: (0, (17, 9), ['', '', '.', ''], [(16, 10), (3, 8), (12, 7)], [False, False, False, False], 60, False, [False, False, True, False], 3561, 'North', (17, 10))
Element 21: (0, (17, 10), ['', '', '.', ''], [(16, 11), (2, 8), (12, 8)], [False, False, False, False], 58, False, [False, False, True, False], 3600, 'North', (17, 11))
Element 22: (0, (17, 11), ['', '', '', ''], [(15, 11), (2, 9), (12, 9)], [False, False, False, False], 56, False, [False, False, False, False], 3639, 'West', (16, 11))
Element 23: (0, (16, 11), ['', '', '', ''], [(15, 10), (1, 9), (11, 9)], [False, False, False, False], 54, False, [False, False, False, False], 3668, 'South', (16, 10))
Element 24: (0, (16, 10), ['', '', '', ''], [(15, 11), (2, 9), (12, 9)], [False, False, False, False], 52, False, [False, False, False, False], 3667, 'South', (16, 9))
Element 25: (0, (16, 9), ['', '%', '', ''], [(15, 12), (2, 8), (13, 9)], [False, True, False, False], 50, False, [False, False, False, False], 3666, 'West', (15, 9))
Element 26: (0, (15, 9), ['G', '%', '', ''], [(16, 12), (3, 8), (14, 9)], [False, True, False, False], 48, False, [False, False, False, False], 3665, 'North', (15, 10))
Element 27: (0, (15, 10), ['%', 'G', '', ''], [(17, 12), (4, 8), (15, 9)], [True, False, False, False], 46, False, [False, False, False, False], 3664, 'North', (15, 11))
Element 28: (0, (15, 11), ['%', '', '', ''], [(18, 12), (5, 8), (16, 9)], [True, False, False, False], 44, False, [False, False, False, False], 3663, 'South', (15, 10))
Element 29: (0, (15, 10), ['%', '', '', ''], [(18, 13), (5, 7), (17, 9)], [True, False, False, False], 42, False, [False, False, False, False], 3662, 'South', (15, 9))
Element 30: (0, (15, 9), ['', '%', '', ''], [(17, 13), (4, 7), (18, 9)], [False, True, False, False], 40, False, [False, False, False, False], 3661, 'East', (16, 9))
Element 31: (0, (16, 9), ['', '%', '', ''], [(16, 13), (5, 7), (18, 10)], [False, True, False, False], 38, False, [False, False, False, False], 3660, 'North', (16, 10))
Element 32: (0, (16, 10), ['', '', '', ''], [(17, 13), (6, 7), (18, 11)], [False, False, False, False], 36, False, [False, False, False, False], 3659, 'West', (15, 10))
Element 33: (0, (15, 10), ['%', '', '', ''], [(18, 13), (6, 6), (18, 12)], [True, False, False, False], 34, False, [False, False, False, False], 3658, 'East', (16, 10))
Element 34: (0, (16, 10), ['', '', '', ''], [(17, 13), (6, 5), (18, 13)], [False, False, False, False], 32, False, [False, False, False, False], 3657, 'North', (16, 11))
Element 35: (0, (16, 11), ['', '', '', ''], [(17, 12), (6, 4), (17, 13)], [False, False, False, False], 30, False, [False, False, False, False], 3666, 'West', (15, 11))
Element 36: (0, (15, 11), ['%', '', '', ''], [(18, 12), (7, 4), (17, 12)], [True, False, False, False], 28, False, [False, False, False, False], 3675, 'East', (16, 11))
Element 37: (0, (16, 11), ['', '', '', 'G'], [(18, 11), (8, 4), (17, 11)], [False, False, False, False], 26, False, [False, False, False, False], 3684, 'West', (15, 11))
Element 38: (0, (15, 11), ['%', '', '', ''], [(18, 10), (9, 4), (17, 10)], [True, False, False, False], 24, False, [False, False, False, False], 3693, 'South', (15, 10))
Element 39: (0, (15, 10), ['%', '', '', 'G'], [(18, 9), (9, 3), (16, 10)], [True, False, False, False], 22, False, [False, False, False, False], 3702, 'South', (15, 9))
Element 40: (0, (15, 9), ['', '%', '', ''], [(18, 8), (8, 3), (16, 11)], [False, True, False, False], 20, False, [False, False, False, False], 3711, 'North', (15, 10))
Element 41: (0, (15, 10), ['%', '', '', ''], [(17, 8), (7, 3), (16, 12)], [True, False, False, False], 18, False, [False, False, False, False], 3720, 'South', (15, 9))
Element 42: (0, (15, 9), ['', '%', '', ''], [(17, 9), (6, 3), (16, 13)], [False, True, False, False], 16, False, [False, False, False, False], 3729, 'East', (16, 9))
Element 43: (0, (16, 9), ['', '%', '', ''], [(17, 10), (7, 3), (16, 12)], [False, True, False, False], 14, False, [False, False, False, False], 3728, 'East', (17, 9))
Element 44: (0, (17, 9), ['', '', '', ''], [(17, 11), (8, 3), (15, 12)], [False, False, False, False], 12, False, [False, False, False, False], 3727, 'South', (17, 8))
Element 45: (0, (17, 8), ['%', '%', '', ''], [(17, 10), (9, 3), (15, 11)], [True, True, False, False], 10, False, [False, False, False, False], 3726, 'East', (18, 8))
Element 46: (0, (18, 8), ['', '%', '', '%'], [(17, 9), (9, 4), (15, 10)], [False, True, False, True], 8, False, [False, False, False, False], 3725, 'North', (18, 9))
Element 47: (0, (18, 9), ['', '', '', '%'], [(17, 8), (10, 4), (15, 11)], [False, False, False, True], 6, False, [False, False, False, False], 3724, 'West', (17, 9))
Element 48: (0, (17, 9), ['', '', '', ''], [(18, 8), (11, 4), (15, 12)], [False, False, False, False], 4, False, [False, False, False, False], 3723, 'East', (18, 9))
Element 49: (0, (18, 9), ['', '', '', '%'], [(17, 8), (11, 3), (14, 12)], [False, False, False, True], 2, False, [False, False, False, False], 3732, 'North', (18, 10))
Element 50: (0, (18, 10), ['', '', '', '%'], [(17, 9), (12, 3), (14, 13)], [False, False, False, True], 0, False, [False, False, False, False], 3741, 'Stop', (18, 10))
Element 51: #0#
